latitude,longitude,datetime
88.06508,79.19867,2020-02-16 12:03:49
88.06490,79.19164,2020-02-16 13:00:02
88.06559,79.21774,2020-02-16 14:00:02
88.06572,79.22087,2020-02-16 15:00:30
88.06526,79.19714,2020-02-16 16:00:04
88.06477,79.16862,2020-02-16 17:00:25
88.06468,79.15652,2020-02-16 18:00:34
88.06532,79.16060,2020-02-16 19:00:00
88.06635,79.16963,2020-02-16 20:00:31
88.06675,79.14902,2020-02-16 21:00:21
88.06709,79.11039,2020-02-16 22:00:25
88.06778,79.07214,2020-02-16 23:00:39
88.06802,79.03508,2020-02-17 00:00:44
88.06768,78.99497,2020-02-17 01:00:58
88.06752,78.95502,2020-02-17 02:00:33
88.06818,78.90221,2020-02-17 03:00:00
88.06886,78.84978,2020-02-17 04:00:36
88.06969,78.78813,2020-02-17 05:00:39
88.07078,78.72628,2020-02-17 06:00:44
88.07110,78.66174,2020-02-17 07:00:25
88.07120,78.59510,2020-02-17 08:00:56
88.07135,78.53182,2020-02-17 09:00:53
88.07143,78.45703,2020-02-17 10:00:36
88.07174,78.38081,2020-02-17 11:00:21
88.07215,78.29749,2020-02-17 12:00:38
88.07254,78.22225,2020-02-17 13:00:29
88.07265,78.13766,2020-02-17 14:00:06
88.07292,78.06019,2020-02-17 15:00:15
88.07308,77.99210,2020-02-17 16:00:20
88.07354,77.91750,2020-02-17 17:00:35
88.07416,77.84113,2020-02-17 18:00:50
88.07468,77.77545,2020-02-17 19:00:00
88.07523,77.71470,2020-02-17 20:00:25
88.07594,77.66153,2020-02-17 21:00:33
88.07680,77.60844,2020-02-17 22:00:27
88.07764,77.55833,2020-02-17 23:00:23
88.07874,77.50959,2020-02-18 00:00:32
88.07986,77.46081,2020-02-18 01:00:07
88.08121,77.41537,2020-02-18 02:00:36
88.08256,77.36499,2020-02-18 03:00:32
88.08389,77.31559,2020-02-18 04:00:31
88.08559,77.25825,2020-02-18 05:00:54
88.08785,77.18936,2020-02-18 06:00:24
88.09064,77.09957,2020-02-18 07:00:33
88.09406,76.99200,2020-02-18 08:00:36
88.09779,76.87349,2020-02-18 09:00:01
88.10183,76.74966,2020-02-18 10:00:06
88.10622,76.62476,2020-02-18 11:00:06
88.11047,76.48909,2020-02-18 12:00:01
88.11520,76.36134,2020-02-18 13:00:06
88.11988,76.23751,2020-02-18 14:00:05
88.12473,76.12012,2020-02-18 15:00:00
88.12991,76.00110,2020-02-18 16:00:00
88.13544,75.87677,2020-02-18 17:00:25
88.14119,75.74859,2020-02-18 18:00:32
88.14733,75.62253,2020-02-18 19:00:36
88.15330,75.49401,2020-02-18 20:00:31
88.15917,75.36360,2020-02-18 21:00:36
88.16479,75.23259,2020-02-18 22:00:36
88.17040,75.09639,2020-02-18 23:00:21
88.17596,74.94894,2020-02-19 00:00:05
88.18136,74.78874,2020-02-19 01:00:06
88.18700,74.61996,2020-02-19 02:00:06
88.19331,74.43209,2020-02-19 03:00:01
88.20049,74.22492,2020-02-19 04:00:00
88.20796,74.00808,2020-02-19 05:00:05
88.21574,73.78330,2020-02-19 06:00:07
88.22348,73.55019,2020-02-19 07:00:04
88.23148,73.31631,2020-02-19 08:00:10
88.23881,73.08335,2020-02-19 09:00:05
88.24604,72.85570,2020-02-19 10:00:08
88.25298,72.63486,2020-02-19 11:00:06
88.25954,72.42160,2020-02-19 12:00:03
88.26585,72.21431,2020-02-19 13:00:00
88.27209,72.00999,2020-02-19 14:00:06
88.27826,71.80555,2020-02-19 15:00:07
88.28452,71.59865,2020-02-19 16:00:00
88.29092,71.39157,2020-02-19 17:00:01
88.29712,71.18331,2020-02-19 18:00:01
88.30322,70.97801,2020-02-19 19:00:31
88.30863,70.77876,2020-02-19 20:00:19
88.31414,70.58304,2020-02-19 21:00:01
88.31931,70.39082,2020-02-19 22:00:07
88.32436,70.20433,2020-02-19 23:00:06
88.32920,70.02300,2020-02-20 00:00:01
88.33378,69.84290,2020-02-20 01:00:00
88.33819,69.66388,2020-02-20 02:00:06
88.34249,69.48573,2020-02-20 03:00:05
88.34724,69.30402,2020-02-20 04:00:14
88.35210,69.12653,2020-02-20 05:00:01
88.35702,68.94911,2020-02-20 06:00:32
88.36171,68.78046,2020-02-20 07:00:36
88.36611,68.62163,2020-02-20 08:00:01
88.37049,68.46028,2020-02-20 09:00:07
88.37500,68.30093,2020-02-20 10:00:00
88.37967,68.15054,2020-02-20 11:00:01
88.38471,68.01129,2020-02-20 12:00:01
88.39008,67.88514,2020-02-20 13:00:00
88.39577,67.78069,2020-02-20 14:00:05
88.40159,67.69908,2020-02-20 15:00:01
88.40732,67.63372,2020-02-20 16:00:00
88.41285,67.58004,2020-02-20 17:00:01
88.41800,67.52794,2020-02-20 18:00:00
88.42255,67.47304,2020-02-20 19:00:32
88.42660,67.40178,2020-02-20 20:00:36
88.43056,67.31517,2020-02-20 21:00:20
88.43457,67.21705,2020-02-20 22:00:25
88.43877,67.09748,2020-02-20 23:00:21
88.44331,66.96374,2020-02-21 00:00:30
88.44791,66.84212,2020-02-21 01:00:08
88.45251,66.73103,2020-02-21 02:00:06
88.45714,66.62804,2020-02-21 03:00:01
88.46183,66.53087,2020-02-21 04:00:06
88.46642,66.43578,2020-02-21 05:00:01
88.47097,66.33423,2020-02-21 06:00:01
88.47541,66.23106,2020-02-21 07:00:41
88.47992,66.13213,2020-02-21 08:00:36
88.48446,66.02927,2020-02-21 09:00:00
88.48900,65.93012,2020-02-21 10:00:00
88.49341,65.83856,2020-02-21 11:00:01
88.49780,65.75655,2020-02-21 12:00:05
88.50225,65.68193,2020-02-21 13:00:06
88.50652,65.61523,2020-02-21 14:00:21
88.51067,65.54990,2020-02-21 15:00:15
88.51499,65.47809,2020-02-21 16:00:06
88.51951,65.39603,2020-02-21 17:00:07
88.52420,65.31203,2020-02-21 18:00:01
88.52903,65.23038,2020-02-21 19:00:06
88.53369,65.14247,2020-02-21 20:00:30
88.53801,65.06363,2020-02-21 21:00:15
88.54198,64.98427,2020-02-21 22:00:02
88.54552,64.90536,2020-02-21 23:00:06
88.54850,64.81920,2020-02-22 00:00:08
88.55145,64.73135,2020-02-22 01:00:06
88.55426,64.64433,2020-02-22 02:00:01
88.55692,64.56461,2020-02-22 03:00:01
88.55944,64.48374,2020-02-22 04:00:06
88.56182,64.40156,2020-02-22 05:00:06
88.56387,64.31558,2020-02-22 06:00:01
88.56572,64.22757,2020-02-22 07:00:00
88.56731,64.14272,2020-02-22 08:00:35
88.56852,64.05968,2020-02-22 09:00:20
88.56945,63.98215,2020-02-22 10:00:27
88.57025,63.91640,2020-02-22 11:00:01
88.57095,63.84243,2020-02-22 12:00:05
88.57156,63.77575,2020-02-22 13:00:06
88.57216,63.71636,2020-02-22 14:00:01
88.57236,63.66305,2020-02-22 15:00:00
88.57172,63.60622,2020-02-22 16:00:02
88.57072,63.52544,2020-02-22 17:00:02
88.57005,63.41760,2020-02-22 18:00:20
88.56983,63.29639,2020-02-22 19:00:14
88.56978,63.15694,2020-02-22 20:00:09
88.56977,63.01110,2020-02-22 21:00:07
88.56974,62.85417,2020-02-22 22:00:08
88.56962,62.69823,2020-02-22 23:00:05
88.56979,62.54361,2020-02-23 00:00:07
88.57014,62.39019,2020-02-23 01:00:33
88.57080,62.24018,2020-02-23 02:00:54
88.57150,62.08773,2020-02-23 03:00:00
88.57237,61.93608,2020-02-23 04:00:00
88.57372,61.78120,2020-02-23 05:00:01
88.57505,61.62461,2020-02-23 06:00:07
88.57674,61.46537,2020-02-23 07:00:00
88.57848,61.29585,2020-02-23 08:00:04
88.58013,61.12479,2020-02-23 09:00:03
88.58186,60.95005,2020-02-23 10:00:00
88.58358,60.76855,2020-02-23 11:00:06
88.58531,60.58417,2020-02-23 12:00:15
88.58675,60.40064,2020-02-23 13:00:04
88.58803,60.21688,2020-02-23 14:00:00
88.58885,60.03114,2020-02-23 15:00:01
88.58955,59.83898,2020-02-23 16:00:08
88.59006,59.62826,2020-02-23 17:00:25
88.59040,59.41726,2020-02-23 18:00:08
88.59071,59.18167,2020-02-23 19:00:19
88.59035,58.94845,2020-02-23 20:00:23
88.59108,58.69749,2020-02-23 21:00:36
88.59103,58.44880,2020-02-23 22:00:20
88.59070,58.18443,2020-02-23 23:00:40
88.59006,57.90524,2020-02-24 00:00:01
88.58916,57.61501,2020-02-24 01:00:06
88.58795,57.32121,2020-02-24 02:00:01
88.58701,57.02416,2020-02-24 03:00:09
88.58605,56.72646,2020-02-24 04:00:06
88.58513,56.41015,2020-02-24 05:00:06
88.58447,56.05995,2020-02-24 06:00:07
88.58382,55.69412,2020-02-24 07:00:25
88.58322,55.31305,2020-02-24 08:00:26
88.58255,54.92223,2020-02-24 09:00:36
88.58178,54.52195,2020-02-24 10:00:27
88.58069,54.13802,2020-02-24 11:00:26
88.57964,53.75077,2020-02-24 12:00:15
88.57865,53.37452,2020-02-24 13:00:29
88.57767,53.00231,2020-02-24 14:00:36
88.57680,52.64389,2020-02-24 15:00:00
88.57596,52.28348,2020-02-24 16:00:00
88.57505,51.91893,2020-02-24 17:00:13
88.57413,51.55452,2020-02-24 18:00:30
88.57315,51.18579,2020-02-24 19:00:25
88.57217,50.81723,2020-02-24 20:00:21
88.57119,50.44796,2020-02-24 21:00:30
88.57014,50.07729,2020-02-24 22:00:36
88.56899,49.70747,2020-02-24 23:00:36
88.56773,49.33866,2020-02-25 00:00:32
88.56638,48.96817,2020-02-25 01:00:54
88.56498,48.60662,2020-02-25 02:00:06
88.56355,48.24431,2020-02-25 03:00:13
88.56221,47.89448,2020-02-25 04:00:00
88.56097,47.54951,2020-02-25 05:00:07
88.55965,47.20689,2020-02-25 06:00:25
88.55832,46.86979,2020-02-25 07:00:02
88.55685,46.52702,2020-02-25 08:00:06
88.55530,46.18210,2020-02-25 09:00:32
88.55320,45.84996,2020-02-25 10:00:31
88.55151,45.51817,2020-02-25 11:00:00
88.54942,45.19550,2020-02-25 12:00:07
88.54728,44.88928,2020-02-25 13:00:00
88.54492,44.60110,2020-02-25 14:00:06
88.54251,44.32458,2020-02-25 15:00:00
88.53999,44.05908,2020-02-25 16:00:00
88.53734,43.79882,2020-02-25 17:00:30
88.53453,43.54390,2020-02-25 18:01:02
88.53160,43.29473,2020-02-25 19:00:19
88.52845,43.04274,2020-02-25 20:00:17
88.52503,42.78905,2020-02-25 21:00:36
88.52169,42.53308,2020-02-25 22:00:32
88.51834,42.27486,2020-02-25 23:00:36
88.51501,42.02433,2020-02-26 00:00:00
88.51174,41.77982,2020-02-26 01:00:00
88.50853,41.54763,2020-02-26 02:00:07
88.50527,41.32501,2020-02-26 03:01:03
88.50229,41.11474,2020-02-26 04:00:08
88.49929,40.90979,2020-02-26 05:00:01
88.49611,40.70911,2020-02-26 06:00:03
88.49294,40.51193,2020-02-26 07:00:02
88.48966,40.31251,2020-02-26 08:00:36
88.48633,40.11644,2020-02-26 09:00:01
88.48296,39.91721,2020-02-26 10:00:08
88.47948,39.72117,2020-02-26 11:00:25
88.47620,39.52111,2020-02-26 12:00:36
88.47277,39.33302,2020-02-26 13:00:54
88.46947,39.16173,2020-02-26 14:00:06
88.46619,39.00350,2020-02-26 15:00:01
88.46283,38.85043,2020-02-26 16:00:06
88.45946,38.71155,2020-02-26 17:00:30
88.45624,38.57316,2020-02-26 18:00:46
88.45291,38.43295,2020-02-26 19:00:14
88.44951,38.28687,2020-02-26 20:01:02
88.44621,38.14188,2020-02-26 21:00:03
88.44279,37.99262,2020-02-26 22:00:12
88.43932,37.84225,2020-02-26 23:00:30
88.43589,37.69343,2020-02-27 00:00:26
88.43250,37.54934,2020-02-27 01:00:29
88.42918,37.41494,2020-02-27 02:00:33
88.42593,37.28952,2020-02-27 03:00:24
88.42273,37.17562,2020-02-27 04:00:11
88.41948,37.06536,2020-02-27 05:01:00
88.41628,36.95958,2020-02-27 06:00:01
88.41299,36.85203,2020-02-27 07:00:32
88.40986,36.74155,2020-02-27 08:00:36
88.40665,36.61854,2020-02-27 09:00:07
88.40340,36.49310,2020-02-27 10:00:02
88.40017,36.36403,2020-02-27 11:00:25
88.39704,36.23194,2020-02-27 12:00:36
88.39396,36.09685,2020-02-27 13:01:06
88.39104,35.96492,2020-02-27 14:00:15
88.38817,35.83478,2020-02-27 15:00:38
88.38539,35.70827,2020-02-27 16:00:54
88.38265,35.58501,2020-02-27 17:00:01
88.37984,35.46125,2020-02-27 18:00:03
88.37699,35.33611,2020-02-27 19:00:32
88.37411,35.21193,2020-02-27 20:01:05
88.37119,35.08844,2020-02-27 21:00:01
88.36817,34.95691,2020-02-27 22:00:02
88.36520,34.81525,2020-02-27 23:00:07
88.36221,34.68399,2020-02-28 00:00:36
88.35942,34.55577,2020-02-28 01:00:39
88.35671,34.43472,2020-02-28 02:00:33
88.35401,34.32066,2020-02-28 03:00:07
88.35130,34.21313,2020-02-28 04:00:04
88.34851,34.11197,2020-02-28 05:00:29
88.34561,34.01400,2020-02-28 06:00:54
88.34285,33.92096,2020-02-28 07:00:00
88.33981,33.82930,2020-02-28 08:00:54
88.33707,33.72867,2020-02-28 09:00:07
88.33405,33.62425,2020-02-28 10:01:06
88.33118,33.52348,2020-02-28 11:00:04
88.32838,33.42201,2020-02-28 12:00:20
88.32568,33.32523,2020-02-28 13:00:00
88.32301,33.23211,2020-02-28 14:00:56
88.32042,33.14901,2020-02-28 15:00:36
88.31780,33.07261,2020-02-28 16:00:08
88.31500,32.99104,2020-02-28 17:00:38
88.31225,32.91611,2020-02-28 18:00:30
88.30945,32.83728,2020-02-28 19:00:25
88.30659,32.75304,2020-02-28 20:00:01
88.30362,32.66884,2020-02-28 21:00:32
88.30067,32.57961,2020-02-28 22:00:49
88.29768,32.48409,2020-02-28 23:01:05
88.29463,32.39124,2020-02-29 00:00:33
88.29167,32.29805,2020-02-29 01:00:32
88.28884,32.20391,2020-02-29 02:00:25
88.28612,32.11351,2020-02-29 03:00:01
88.28334,32.02749,2020-02-29 04:00:37
88.28062,31.94584,2020-02-29 05:00:36
88.27779,31.87890,2020-02-29 06:00:03
88.27508,31.81185,2020-02-29 07:00:37
88.27238,31.74527,2020-02-29 08:00:35
88.26967,31.67843,2020-02-29 09:00:09
88.26685,31.61147,2020-02-29 10:00:37
88.26411,31.54149,2020-02-29 11:00:25
88.26138,31.47745,2020-02-29 12:00:07
88.25866,31.41343,2020-02-29 13:00:32
88.25590,31.35773,2020-02-29 14:00:04
88.25324,31.30751,2020-02-29 15:01:06
88.25054,31.26778,2020-02-29 16:00:43
88.24800,31.23693,2020-02-29 17:00:21
88.24552,31.21546,2020-02-29 18:00:01
88.24312,31.19330,2020-02-29 19:01:00
88.24081,31.17522,2020-02-29 20:01:00
88.23848,31.15445,2020-02-29 21:00:38
88.23602,31.13579,2020-02-29 22:00:25
88.23345,31.11641,2020-02-29 23:00:06
88.23077,31.09672,2020-03-01 00:01:05
88.22823,31.07305,2020-03-01 01:00:08
88.22570,31.05457,2020-03-01 02:00:39
88.22334,31.03982,2020-03-01 03:00:15
88.22120,31.02955,2020-03-01 04:01:06
88.21927,31.02363,2020-03-01 05:00:38
88.21743,31.02230,2020-03-01 06:00:15
88.21572,31.02192,2020-03-01 07:01:06
88.21419,31.02123,2020-03-01 08:00:44
88.21261,31.01699,2020-03-01 09:00:32
88.21098,31.01283,2020-03-01 10:00:03
88.20934,31.01016,2020-03-01 11:00:38
88.20773,31.00590,2020-03-01 12:00:32
88.20611,30.99951,2020-03-01 13:00:03
88.20453,30.99630,2020-03-01 14:01:05
88.20312,30.98977,2020-03-01 15:00:44
88.20193,30.98651,2020-03-01 16:00:19
88.20080,30.98326,2020-03-01 17:00:05
88.19974,30.98421,2020-03-01 18:00:44
88.19826,30.99323,2020-03-01 19:00:25
88.19759,30.98603,2020-03-01 20:00:05
88.19638,30.98382,2020-03-01 21:00:51
88.19552,30.98489,2020-03-01 22:00:29
88.19366,30.96258,2020-03-01 23:00:25
88.19221,30.94864,2020-03-02 00:00:01
88.19079,30.92497,2020-03-02 01:00:02
88.18935,30.90480,2020-03-02 02:00:36
88.18786,30.89122,2020-03-02 03:00:30
88.18642,30.86463,2020-03-02 04:00:29
88.18504,30.83376,2020-03-02 05:00:02
88.18351,30.81929,2020-03-02 06:00:38
88.18185,30.79502,2020-03-02 07:00:31
88.18021,30.77171,2020-03-02 08:00:25
88.17842,30.75082,2020-03-02 09:00:07
88.17644,30.72863,2020-03-02 10:01:00
88.17437,30.70386,2020-03-02 11:00:38
88.17239,30.67841,2020-03-02 12:00:16
88.16998,30.64590,2020-03-02 13:00:07
88.16787,30.61385,2020-03-02 14:01:05
88.16583,30.57139,2020-03-02 15:00:38
88.16388,30.54431,2020-03-02 16:00:14
88.16175,30.50956,2020-03-02 17:00:50
88.15966,30.48506,2020-03-02 18:00:36
88.15741,30.46567,2020-03-02 19:00:14
88.15510,30.44120,2020-03-02 20:00:50
88.15277,30.42102,2020-03-02 21:00:36
88.15052,30.40083,2020-03-02 22:00:08
88.14818,30.37523,2020-03-02 23:00:43
88.14573,30.34980,2020-03-03 00:00:36
88.14326,30.32113,2020-03-03 01:00:37
88.14097,30.28033,2020-03-03 02:00:14
88.13638,30.22529,2020-03-03 04:00:36
88.13423,30.20405,2020-03-03 05:00:13
88.13210,30.19048,2020-03-03 06:00:55
88.13000,30.17753,2020-03-03 07:00:54
88.12816,30.16466,2020-03-03 08:00:30
88.12618,30.15387,2020-03-03 09:00:24
88.12422,30.14318,2020-03-03 10:00:06
88.12209,30.12872,2020-03-03 11:00:35
88.11989,30.11156,2020-03-03 12:00:32
88.11771,30.09339,2020-03-03 13:00:36
88.11558,30.07808,2020-03-03 14:00:07
88.11359,30.06208,2020-03-03 15:00:44
88.11167,30.04979,2020-03-03 16:00:25
88.10975,30.03948,2020-03-03 17:00:27
88.10792,30.02911,2020-03-03 18:00:01
88.10618,30.02381,2020-03-03 19:00:32
88.10448,30.02008,2020-03-03 20:00:06
88.10293,30.01627,2020-03-03 21:00:53
88.10127,30.01101,2020-03-03 22:00:25
88.09975,30.00940,2020-03-03 23:00:01
88.09820,30.00499,2020-03-04 00:00:36
88.09666,30.00484,2020-03-04 01:01:00
88.09515,29.99964,2020-03-04 02:00:29
88.09374,29.99073,2020-03-04 03:00:07
88.09246,29.98933,2020-03-04 04:00:44
88.09121,29.99586,2020-03-04 05:00:36
88.08995,30.00339,2020-03-04 06:00:08
88.08871,30.02232,2020-03-04 07:00:32
88.08755,30.04310,2020-03-04 08:00:25
88.08627,30.06252,2020-03-04 09:00:07
88.08501,30.08254,2020-03-04 10:00:39
88.08385,30.09848,2020-03-04 11:00:07
88.08276,30.11279,2020-03-04 12:00:55
88.08198,30.12716,2020-03-04 13:00:35
88.08140,30.14513,2020-03-04 14:00:29
88.08076,30.15707,2020-03-04 15:00:07
88.08041,30.17388,2020-03-04 16:00:32
88.08006,30.19864,2020-03-04 17:00:01
88.07971,30.21959,2020-03-04 18:00:44
88.07909,30.24013,2020-03-04 19:00:36
88.07867,30.26585,2020-03-04 20:00:09
88.07829,30.29194,2020-03-04 21:00:44
88.07790,30.31490,2020-03-04 22:00:20
88.07757,30.33434,2020-03-04 23:00:07
88.07732,30.35221,2020-03-05 00:01:01
88.07728,30.36522,2020-03-05 01:00:06
88.07722,30.37733,2020-03-05 02:00:35
88.07718,30.38359,2020-03-05 03:00:13
88.07736,30.39075,2020-03-05 04:01:01
88.07776,30.39770,2020-03-05 05:00:25
88.07796,30.40429,2020-03-05 06:00:05
88.07832,30.41073,2020-03-05 07:00:32
88.07870,30.41452,2020-03-05 08:00:07
88.07911,30.41721,2020-03-05 09:01:01
88.07957,30.41961,2020-03-05 10:01:00
88.08016,30.42314,2020-03-05 11:00:31
88.08054,30.41871,2020-03-05 12:00:07
88.08107,30.41521,2020-03-05 13:00:45
88.08148,30.40595,2020-03-05 14:00:14
88.08207,30.39507,2020-03-05 15:00:44
88.08245,30.38104,2020-03-05 16:00:35
88.08296,30.36804,2020-03-05 17:00:07
88.08340,30.35528,2020-03-05 18:00:44
88.08418,30.33655,2020-03-05 19:00:36
88.08485,30.31414,2020-03-05 20:00:13
88.08554,30.29030,2020-03-05 21:00:45
88.08616,30.25821,2020-03-05 22:00:08
88.08685,30.22105,2020-03-05 23:00:54
