latitude,longitude,datetime
84.78111,134.49622,2019-10-14 06:08:24
84.77139,134.45227,2019-10-14 09:08:35
84.76404,134.37450,2019-10-14 12:08:46
84.76148,134.32135,2019-10-14 15:08:29
84.75965,134.33873,2019-10-14 18:08:47
84.75673,134.36140,2019-10-14 21:08:45
84.75626,134.32968,2019-10-15 00:08:47
84.75953,134.29890,2019-10-15 03:08:45
84.76208,134.30838,2019-10-15 06:08:52
84.76161,134.29587,2019-10-15 09:08:34
84.76187,134.22589,2019-10-15 12:08:47
84.76472,134.16106,2019-10-15 15:08:24
84.76594,134.13184,2019-10-15 18:08:49
84.76390,134.04732,2019-10-15 21:08:30
84.76287,133.87402,2019-10-16 00:08:48
84.76529,133.73077,2019-10-16 03:08:45
84.76520,133.65474,2019-10-16 06:08:49
84.76162,133.56477,2019-10-16 09:08:28
84.76000,133.42621,2019-10-16 12:08:49
84.76227,133.30295,2019-10-16 15:08:28
84.76334,133.23866,2019-10-16 18:08:49
84.76000,133.18001,2019-10-16 21:08:45
84.75728,133.05907,2019-10-17 00:08:49
84.75681,132.94627,2019-10-17 03:08:45
84.75713,132.91069,2019-10-17 06:08:51
84.75452,132.90556,2019-10-17 09:08:45
84.75204,132.87083,2019-10-17 12:08:49
84.75303,132.86375,2019-10-17 15:08:35
84.75564,132.92236,2019-10-17 18:08:48
84.75804,132.98132,2019-10-17 21:08:44
84.76485,132.98442,2019-10-18 00:08:49
84.77801,132.99536,2019-10-18 03:08:45
84.79215,133.04863,2019-10-18 06:08:50
84.80424,133.08849,2019-10-18 09:08:45
84.81946,133.07697,2019-10-18 12:08:48
84.84053,133.07463,2019-10-18 15:08:28
84.86136,133.12636,2019-10-18 18:08:49
84.87697,133.17970,2019-10-18 21:08:45
84.89466,133.16316,2019-10-19 00:08:47
84.91324,133.13631,2019-10-19 03:08:29
84.92422,133.13287,2019-10-19 06:08:48
84.93027,133.09808,2019-10-19 09:08:45
84.93924,133.02223,2019-10-19 12:08:49
84.95088,132.94984,2019-10-19 15:08:45
84.95836,132.91467,2019-10-19 18:08:48
84.96109,132.85905,2019-10-19 21:08:28
84.96544,132.77580,2019-10-20 00:08:49
84.97380,132.71217,2019-10-20 03:08:39
84.98148,132.68813,2019-10-20 06:08:48
84.98711,132.66206,2019-10-20 09:08:48
84.99551,132.61806,2019-10-20 12:08:47
85.00889,132.60298,2019-10-20 15:08:38
85.02361,132.67383,2019-10-20 18:08:47
85.03407,132.74834,2019-10-20 21:08:27
85.04846,132.71880,2019-10-21 00:08:48
85.07155,132.68411,2019-10-21 03:08:38
85.09242,132.66803,2019-10-21 06:08:46
85.10670,132.59366,2019-10-21 09:08:41
85.12527,132.44679,2019-10-21 12:08:48
85.14759,132.30165,2019-10-21 15:08:38
85.16650,132.17870,2019-10-21 18:08:47
85.18236,132.03439,2019-10-21 21:08:37
85.20276,131.84825,2019-10-22 00:08:46
85.22692,131.67522,2019-10-22 03:08:37
85.24820,131.52177,2019-10-22 06:08:48
85.26377,131.33376,2019-10-22 09:08:41
85.27707,131.11501,2019-10-22 12:08:47
85.29011,130.90344,2019-10-22 15:08:29
85.30249,130.72833,2019-10-22 18:08:47
85.31204,130.56798,2019-10-22 21:08:28
85.32164,130.38557,2019-10-23 00:08:49
85.32949,130.23833,2019-10-23 03:08:38
85.33581,130.11444,2019-10-23 06:08:49
85.34212,129.99094,2019-10-23 09:08:28
85.34845,129.86693,2019-10-23 12:08:49
85.35476,129.74330,2019-10-23 15:08:39
85.36108,129.61945,2019-10-23 18:08:48
85.36739,129.49579,2019-10-23 21:08:39
85.37371,129.37193,2019-10-24 00:08:48
85.86126,122.31255,2019-11-02 13:27:53
85.86541,122.26040,2019-11-02 15:27:53
85.86851,122.20637,2019-11-02 17:28:00
85.87105,122.13982,2019-11-02 19:27:53
85.87426,122.05473,2019-11-02 21:27:54
85.87870,121.95867,2019-11-02 23:28:00
85.88387,121.86965,2019-11-03 01:27:53
85.88871,121.78922,2019-11-03 03:27:56
85.89313,121.70082,2019-11-03 05:27:59
85.89584,121.56057,2019-11-03 07:27:54
85.89857,121.38920,2019-11-03 09:27:53
85.90286,121.21484,2019-11-03 11:27:59
85.90844,121.06428,2019-11-03 13:27:53
85.91363,120.94140,2019-11-03 15:27:53
85.91743,120.83043,2019-11-03 17:28:00
85.92039,120.71291,2019-11-03 19:27:53
85.92374,120.58699,2019-11-03 21:27:53
85.92803,120.44592,2019-11-03 23:27:59
85.93295,120.31394,2019-11-04 01:27:53
85.93748,120.19658,2019-11-04 03:27:53
85.94032,120.09194,2019-11-04 05:27:59
85.94231,119.97614,2019-11-04 07:27:53
85.94459,119.83628,2019-11-04 09:27:53
85.94753,119.69920,2019-11-04 11:28:00
85.95066,119.57418,2019-11-04 13:27:53
85.95289,119.46199,2019-11-04 15:27:52
85.95359,119.35663,2019-11-04 17:28:00
85.95326,119.24983,2019-11-04 19:27:52
85.95277,119.13904,2019-11-04 21:27:53
85.95266,119.03055,2019-11-04 23:28:00
85.95271,118.93167,2019-11-05 01:27:54
85.95147,118.83589,2019-11-05 03:27:53
85.94955,118.72941,2019-11-05 05:28:00
85.94630,118.62333,2019-11-05 07:27:53
85.94263,118.51262,2019-11-05 09:27:54
85.93940,118.39804,2019-11-05 11:28:00
85.93705,118.29510,2019-11-05 13:27:54
