latitude,longitude,datetime
88.13032,76.58528,2020-02-18 15:00:05
88.13577,76.46516,2020-02-18 16:00:18
88.14178,76.34433,2020-02-18 17:00:14
88.14715,76.22124,2020-02-18 18:00:32
88.15330,76.09628,2020-02-18 19:00:03
88.15939,75.96754,2020-02-18 20:00:11
88.16512,75.84045,2020-02-18 21:00:07
88.17083,75.70841,2020-02-18 22:00:16
88.17661,75.57259,2020-02-18 23:00:30
88.18217,75.42479,2020-02-19 00:00:09
88.18761,75.26633,2020-02-19 01:00:14
88.19334,75.09913,2020-02-19 02:00:31
88.19959,74.91255,2020-02-19 03:00:05
88.20683,74.70522,2020-02-19 04:00:08
88.21440,74.49181,2020-02-19 05:00:05
88.22228,74.27034,2020-02-19 06:00:07
88.23000,74.03533,2020-02-19 07:00:18
88.23762,73.80929,2020-02-19 08:00:15
88.24593,73.56300,2020-02-19 09:00:29
88.25280,73.34505,2020-02-19 10:00:04
88.25983,73.12369,2020-02-19 11:00:06
88.26652,72.91036,2020-02-19 12:00:32
88.27286,72.70698,2020-02-19 13:00:06
88.27911,72.50282,2020-02-19 14:00:05
88.28549,72.30060,2020-02-19 15:00:11
88.29175,72.09284,2020-02-19 16:00:14
88.29813,71.88744,2020-02-19 17:00:30
88.30447,71.67857,2020-02-19 18:00:30
88.31050,71.47588,2020-02-19 19:00:04
88.31599,71.27762,2020-02-19 20:00:07
88.32150,71.08089,2020-02-19 21:00:07
88.32690,70.88869,2020-02-19 22:00:04
88.33204,70.69891,2020-02-19 23:00:06
88.33692,70.52090,2020-02-20 00:00:07
88.34152,70.34031,2020-02-20 01:00:31
88.34594,70.16357,2020-02-20 02:00:07
88.35027,69.98608,2020-02-20 03:00:05
88.35514,69.80737,2020-02-20 04:00:04
88.36008,69.63269,2020-02-20 05:00:10
88.36480,69.46070,2020-02-20 06:00:15
88.36969,69.28327,2020-02-20 07:00:31
88.37416,69.12417,2020-02-20 08:00:05
88.37859,68.96389,2020-02-20 09:00:11
88.38305,68.79738,2020-02-20 10:00:04
88.38805,68.67484,2020-02-20 11:00:15
88.39342,68.52763,2020-02-20 12:00:22
88.39841,68.38776,2020-02-20 13:00:14
88.40414,68.28664,2020-02-20 14:00:30
88.40997,68.20521,2020-02-20 15:00:03
88.41574,68.14266,2020-02-20 16:00:07
88.42140,68.08744,2020-02-20 17:00:06
88.42649,68.03811,2020-02-20 18:00:32
88.43097,67.98484,2020-02-20 19:00:04
88.43501,67.91467,2020-02-20 20:00:07
88.43917,67.82666,2020-02-20 21:00:12
88.44330,67.75222,2020-02-20 22:00:22
88.44733,67.61275,2020-02-20 23:00:30
88.45186,67.48216,2020-02-21 00:00:05
88.45654,67.35703,2020-02-21 01:00:07
88.46120,67.24831,2020-02-21 02:00:31
88.46583,67.14676,2020-02-21 03:00:07
88.47056,67.04980,2020-02-21 04:00:08
88.47511,66.95797,2020-02-21 05:00:06
88.47977,66.85621,2020-02-21 06:00:32
88.48419,66.75842,2020-02-21 07:00:07
88.48869,66.65545,2020-02-21 08:00:07
88.49332,66.55331,2020-02-21 09:00:12
88.49792,66.45417,2020-02-21 10:00:29
88.50233,66.36407,2020-02-21 11:00:07
88.50677,66.27992,2020-02-21 12:00:07
88.51120,66.20829,2020-02-21 13:00:07
88.51545,66.14061,2020-02-21 14:00:15
88.51961,66.07772,2020-02-21 15:00:07
88.52403,66.00689,2020-02-21 16:00:08
88.52907,65.92738,2020-02-21 17:00:11
88.53330,65.84367,2020-02-21 18:00:32
88.53806,65.75930,2020-02-21 19:00:06
88.54280,65.67803,2020-02-21 20:00:07
88.54716,65.59517,2020-02-21 21:00:15
88.55119,65.51987,2020-02-21 22:00:29
88.55471,65.44299,2020-02-21 23:00:07
88.55779,65.35707,2020-02-22 00:00:07
88.56074,65.27218,2020-02-22 01:00:06
88.56351,65.18253,2020-02-22 02:00:31
88.56615,65.10368,2020-02-22 03:00:07
88.56866,65.02319,2020-02-22 04:00:08
88.57117,64.94300,2020-02-22 05:00:07
88.57337,64.85694,2020-02-22 06:00:16
88.57507,64.76747,2020-02-22 07:00:29
88.57666,64.68349,2020-02-22 08:00:06
88.57789,64.60033,2020-02-22 09:00:07
88.57883,64.52251,2020-02-22 10:00:31
88.57964,64.45712,2020-02-22 11:00:05
88.58025,64.38555,2020-02-22 12:00:07
88.58099,64.31508,2020-02-22 13:00:07
88.58173,64.25182,2020-02-22 14:00:25
88.58212,64.20892,2020-02-22 15:00:11
88.58134,64.14174,2020-02-22 16:00:11
88.58009,64.06349,2020-02-22 17:00:09
88.57955,63.95533,2020-02-22 18:00:32
88.57932,63.83244,2020-02-22 19:00:07
88.57931,63.69459,2020-02-22 20:00:06
88.57941,63.54629,2020-02-22 21:00:07
88.57934,63.38784,2020-02-22 22:00:31
88.57925,63.23101,2020-02-22 23:00:07
88.57948,63.07750,2020-02-23 00:00:07
88.57986,62.92342,2020-02-23 01:00:14
88.58057,62.77218,2020-02-23 02:00:25
88.58131,62.61752,2020-02-23 03:00:30
88.58222,62.46798,2020-02-23 04:00:06
88.58357,62.31120,2020-02-23 05:00:07
88.58499,62.15594,2020-02-23 06:00:11
88.58607,62.01112,2020-02-23 07:00:14
88.58829,61.82951,2020-02-23 08:00:11
88.59027,61.64775,2020-02-23 09:00:13
88.59186,61.47570,2020-02-23 10:00:29
88.59361,61.29533,2020-02-23 11:00:07
88.59540,61.11130,2020-02-23 12:00:07
88.59686,60.92671,2020-02-23 13:00:31
88.59818,60.74360,2020-02-23 14:00:07
