latitude,longitude,datetime
87.48280,20.83560,2020-03-12 17:00:00
87.47500,20.72440,2020-03-12 18:00:00
87.46700,20.61720,2020-03-12 19:00:00
87.45880,20.50880,2020-03-12 20:00:00
87.45040,20.39880,2020-03-12 21:00:00
87.44160,20.28700,2020-03-12 22:00:00
87.43240,20.17680,2020-03-12 23:00:00
87.42260,20.06820,2020-03-13 00:00:00
87.41260,19.96220,2020-03-13 01:00:00
87.40240,19.85140,2020-03-13 02:00:00
87.39180,19.73720,2020-03-13 03:00:00
87.38140,19.62920,2020-03-13 04:00:00
87.37120,19.53260,2020-03-13 05:00:00
87.36120,19.44300,2020-03-13 06:00:00
87.35160,19.35900,2020-03-13 07:00:00
87.34200,19.27460,2020-03-13 08:00:00
87.33220,19.18820,2020-03-13 09:00:00
87.32260,19.09860,2020-03-13 10:00:00
87.31280,19.00100,2020-03-13 11:00:00
87.30300,18.89920,2020-03-13 12:00:00
87.29320,18.79900,2020-03-13 13:00:00
87.28280,18.70020,2020-03-13 14:00:00
87.27220,18.60680,2020-03-13 15:00:00
87.26180,18.51600,2020-03-13 16:00:00
87.25140,18.43000,2020-03-13 17:00:00
87.24100,18.35280,2020-03-13 18:00:00
87.23100,18.27780,2020-03-13 19:00:00
87.22140,18.20120,2020-03-13 20:00:00
87.21240,18.12560,2020-03-13 21:00:00
87.20360,18.04760,2020-03-13 22:00:00
87.19480,17.96560,2020-03-13 23:00:00
87.18640,17.88520,2020-03-14 00:00:00
87.17840,17.81120,2020-03-14 01:00:00
87.17100,17.74440,2020-03-14 02:00:00
87.16360,17.68140,2020-03-14 03:00:00
87.15740,17.62300,2020-03-14 04:00:00
87.15220,17.57020,2020-03-14 05:00:00
87.14760,17.52000,2020-03-14 06:00:00
87.14420,17.47020,2020-03-14 07:00:00
87.14160,17.41740,2020-03-14 08:00:00
87.13920,17.36520,2020-03-14 09:00:00
87.13640,17.31980,2020-03-14 10:00:00
87.13360,17.27280,2020-03-14 11:00:00
87.13060,17.22000,2020-03-14 12:00:00
87.12780,17.16900,2020-03-14 13:00:00
87.12520,17.12360,2020-03-14 14:00:00
87.12280,17.08500,2020-03-14 15:00:00
87.12060,17.04860,2020-03-14 16:00:00
87.11860,17.01200,2020-03-14 17:00:00
87.11680,16.97160,2020-03-14 18:00:00
87.11520,16.92780,2020-03-14 19:00:00
87.11380,16.88000,2020-03-14 20:00:00
87.11220,16.83080,2020-03-14 21:00:00
87.11060,16.77740,2020-03-14 22:00:00
87.10900,16.71860,2020-03-14 23:00:00
87.10760,16.65360,2020-03-15 00:00:00
87.10560,16.58240,2020-03-15 01:00:00
87.10340,16.51100,2020-03-15 02:00:00
87.10120,16.44120,2020-03-15 03:00:00
87.09860,16.37280,2020-03-15 04:00:00
87.09580,16.30780,2020-03-15 05:00:00
87.09280,16.23800,2020-03-15 06:00:00
87.08880,16.14220,2020-03-15 07:00:00
87.08380,15.99960,2020-03-15 08:00:00
87.07840,15.84120,2020-03-15 09:00:00
