latitude,longitude,datetime
84.06320,16.01988,2020-04-23 10:00:14
84.06261,16.01629,2020-04-23 10:30:15
84.06208,16.01354,2020-04-23 11:00:14
84.06157,16.01150,2020-04-23 11:30:14
84.06112,16.01009,2020-04-23 12:00:15
84.06062,16.00897,2020-04-23 12:30:14
84.06023,16.00883,2020-04-23 13:00:15
84.05994,16.00964,2020-04-23 13:30:15
84.05971,16.01101,2020-04-23 14:00:14
84.05951,16.01273,2020-04-23 14:30:14
84.05932,16.01435,2020-04-23 15:00:15
84.05914,16.01554,2020-04-23 15:30:14
84.05894,16.01642,2020-04-23 16:00:14
84.05876,16.01705,2020-04-23 16:30:15
84.05846,16.01711,2020-04-23 17:00:14
84.05812,16.01646,2020-04-23 17:30:14
84.05772,16.01524,2020-04-23 18:00:15
84.05728,16.01314,2020-04-23 18:30:14
84.05679,16.00992,2020-04-23 19:00:14
84.05629,16.00562,2020-04-23 19:30:15
84.05582,16.00062,2020-04-23 20:00:14
84.05531,15.99498,2020-04-23 20:30:14
84.05480,15.98927,2020-04-23 21:00:15
84.05429,15.98368,2020-04-23 21:30:14
84.05381,15.97822,2020-04-23 22:00:14
84.05332,15.97308,2020-04-23 22:30:15
84.05289,15.96828,2020-04-23 23:00:14
84.05251,15.96437,2020-04-23 23:30:14
84.05215,15.96152,2020-04-24 00:00:15
84.05184,15.95913,2020-04-24 00:30:14
84.05167,15.95852,2020-04-24 01:00:14
84.05156,15.95895,2020-04-24 01:30:15
84.05143,15.95897,2020-04-24 02:00:14
84.05140,15.95994,2020-04-24 02:30:14
84.05143,15.96165,2020-04-24 03:00:15
84.05147,15.96323,2020-04-24 03:30:14
84.05147,15.96447,2020-04-24 04:00:14
84.05145,15.96580,2020-04-24 04:30:15
84.05138,15.96656,2020-04-24 05:00:14
84.05122,15.96569,2020-04-24 05:30:14
84.05097,15.96381,2020-04-24 06:00:15
84.05053,15.96054,2020-04-24 06:30:14
84.04997,15.95580,2020-04-24 07:00:14
84.04933,15.94962,2020-04-24 07:30:15
84.04865,15.94254,2020-04-24 08:00:14
84.04800,15.93500,2020-04-24 08:30:14
84.04721,15.92630,2020-04-24 09:00:15
84.04640,15.91758,2020-04-24 09:30:14
84.04546,15.90845,2020-04-24 10:00:14
84.04456,15.89966,2020-04-24 10:30:15
84.04366,15.89191,2020-04-24 11:00:14
84.04276,15.88503,2020-04-24 11:30:14
84.04182,15.87847,2020-04-24 12:00:15
84.04093,15.87229,2020-04-24 12:30:14
84.03995,15.86648,2020-04-24 13:00:15
84.03902,15.86176,2020-04-24 13:30:15
84.03820,15.85727,2020-04-24 14:00:14
84.03748,15.85415,2020-04-24 14:30:14
84.03674,15.85056,2020-04-24 15:00:15
84.03610,15.84671,2020-04-24 15:30:14
84.03548,15.84278,2020-04-24 16:00:14
84.03488,15.83939,2020-04-24 16:30:15
84.03428,15.83607,2020-04-24 17:00:14
84.03360,15.83206,2020-04-24 17:30:14
84.03275,15.82642,2020-04-24 18:00:15
84.03184,15.82007,2020-04-24 18:30:15
84.03089,15.81311,2020-04-24 19:00:14
84.03004,15.80556,2020-04-24 19:30:15
84.02925,15.79681,2020-04-24 20:00:14
84.02840,15.78760,2020-04-24 20:30:14
84.02753,15.77790,2020-04-24 21:00:15
84.02666,15.76736,2020-04-24 21:30:14
84.02576,15.75736,2020-04-24 22:00:14
84.02486,15.74747,2020-04-24 22:30:15
84.02392,15.73755,2020-04-24 23:00:14
84.02300,15.72790,2020-04-24 23:30:14
84.02210,15.71844,2020-04-25 00:00:15
84.02124,15.70901,2020-04-25 00:30:14
84.02040,15.69992,2020-04-25 01:00:14
84.01956,15.69156,2020-04-25 01:30:15
84.01881,15.68364,2020-04-25 02:00:14
84.01809,15.67645,2020-04-25 02:30:14
84.01735,15.67016,2020-04-25 03:00:15
84.01655,15.66483,2020-04-25 03:30:14
84.01568,15.66007,2020-04-25 04:00:14
84.01473,15.65587,2020-04-25 04:30:15
84.01375,15.65187,2020-04-25 05:00:14
84.01270,15.64752,2020-04-25 05:30:15
84.01157,15.64298,2020-04-25 06:00:15
84.01028,15.63829,2020-04-25 06:30:14
84.00890,15.63328,2020-04-25 07:00:14
84.00732,15.62793,2020-04-25 07:30:15
84.00562,15.62203,2020-04-25 08:00:14
84.00375,15.61629,2020-04-25 08:30:14
84.00179,15.60946,2020-04-25 09:00:15
83.99973,15.60245,2020-04-25 09:30:14
83.99763,15.59588,2020-04-25 10:00:14
83.99548,15.58872,2020-04-25 10:30:15
83.99331,15.58107,2020-04-25 11:00:15
83.99116,15.57492,2020-04-25 11:30:14
83.98900,15.57046,2020-04-25 12:00:15
83.98685,15.56622,2020-04-25 12:30:14
83.98468,15.56281,2020-04-25 13:00:14
83.98252,15.55949,2020-04-25 13:30:15
83.98040,15.55713,2020-04-25 14:00:14
83.97839,15.55564,2020-04-25 14:30:14
83.97643,15.55462,2020-04-25 15:00:15
83.97450,15.55379,2020-04-25 15:30:14
83.97261,15.55305,2020-04-25 16:00:14
83.97077,15.55219,2020-04-25 16:30:15
83.96896,15.55112,2020-04-25 17:00:14
83.96719,15.54961,2020-04-25 17:30:14
83.96549,15.54760,2020-04-25 18:00:15
83.96381,15.54516,2020-04-25 18:30:14
83.96216,15.54245,2020-04-25 19:00:14
83.96046,15.53932,2020-04-25 19:30:15
83.95875,15.53554,2020-04-25 20:00:14
83.95700,15.53107,2020-04-25 20:30:14
83.95522,15.52602,2020-04-25 21:00:15
83.95341,15.52061,2020-04-25 21:30:14
83.95161,15.51509,2020-04-25 22:00:15
83.94985,15.50933,2020-04-25 22:30:15
83.94817,15.50356,2020-04-25 23:00:14
83.94655,15.49826,2020-04-25 23:30:14
83.94498,15.49373,2020-04-26 00:00:15
83.94353,15.49027,2020-04-26 00:30:14
83.94220,15.48806,2020-04-26 01:00:14
83.94090,15.48606,2020-04-26 01:30:15
83.93965,15.48482,2020-04-26 02:00:14
83.93849,15.48548,2020-04-26 02:30:14
83.93736,15.48723,2020-04-26 03:00:15
83.93621,15.48877,2020-04-26 03:30:15
83.93508,15.49018,2020-04-26 04:00:14
83.93392,15.49193,2020-04-26 04:30:15
83.93277,15.49442,2020-04-26 05:00:14
83.93148,15.49537,2020-04-26 05:30:14
83.93025,15.49647,2020-04-26 06:00:15
83.92927,15.49780,2020-04-26 06:30:14
83.92822,15.49930,2020-04-26 07:00:14
83.92701,15.49999,2020-04-26 07:30:15
83.92569,15.49967,2020-04-26 08:00:14
83.92442,15.49909,2020-04-26 08:30:15
83.92316,15.49838,2020-04-26 09:00:15
83.92180,15.49739,2020-04-26 09:30:14
83.92037,15.49582,2020-04-26 10:00:14
83.91896,15.49402,2020-04-26 10:30:15
83.91756,15.49210,2020-04-26 11:00:14
83.91616,15.49026,2020-04-26 11:30:14
83.91484,15.48861,2020-04-26 12:00:15
83.91356,15.48747,2020-04-26 12:30:14
83.91238,15.48695,2020-04-26 13:00:14
83.91129,15.48700,2020-04-26 13:30:15
83.91032,15.48764,2020-04-26 14:00:15
83.90945,15.48890,2020-04-26 14:30:14
83.90869,15.49071,2020-04-26 15:00:15
83.90799,15.49287,2020-04-26 15:30:14
83.90740,15.49520,2020-04-26 16:00:14
83.90692,15.49792,2020-04-26 16:30:15
83.90649,15.50057,2020-04-26 17:00:14
83.90612,15.50310,2020-04-26 17:30:14
83.90580,15.50558,2020-04-26 18:00:15
83.90550,15.50792,2020-04-26 18:30:14
83.90516,15.50996,2020-04-26 19:00:14
83.90488,15.51190,2020-04-26 19:30:15
83.90462,15.51347,2020-04-26 20:00:14
83.90434,15.51483,2020-04-26 20:30:14
83.90398,15.51587,2020-04-26 21:00:15
83.90364,15.51655,2020-04-26 21:30:14
83.90327,15.51688,2020-04-26 22:00:14
83.90296,15.51710,2020-04-26 22:30:15
83.90270,15.51744,2020-04-26 23:00:14
83.90250,15.51808,2020-04-26 23:30:14
83.90237,15.51957,2020-04-27 00:00:15
83.90228,15.52057,2020-04-27 00:30:14
83.90216,15.52207,2020-04-27 01:00:15
83.90213,15.52440,2020-04-27 01:30:15
83.90221,15.52783,2020-04-27 02:00:14
83.90252,15.53375,2020-04-27 02:30:14
83.90312,15.54071,2020-04-27 03:00:15
83.90388,15.54720,2020-04-27 03:30:14
83.90472,15.55451,2020-04-27 04:00:14
83.90562,15.56166,2020-04-27 04:30:15
83.90665,15.56927,2020-04-27 05:00:14
83.90751,15.57628,2020-04-27 05:30:14
83.90860,15.58358,2020-04-27 06:00:15
83.90971,15.59053,2020-04-27 06:30:15
83.91085,15.59724,2020-04-27 07:00:14
83.91200,15.60310,2020-04-27 07:30:15
83.91313,15.60762,2020-04-27 08:00:14
83.91428,15.61115,2020-04-27 08:30:14
83.91534,15.61302,2020-04-27 09:00:15
83.91647,15.61409,2020-04-27 09:30:14
83.91748,15.61362,2020-04-27 10:00:14
83.91857,15.61279,2020-04-27 10:30:15
83.91975,15.61136,2020-04-27 11:00:14
83.92096,15.61167,2020-04-27 11:30:14
83.92236,15.61346,2020-04-27 12:00:15
83.92388,15.61758,2020-04-27 12:30:15
83.92526,15.62228,2020-04-27 13:00:14
83.92692,15.62817,2020-04-27 13:30:15
83.92883,15.63454,2020-04-27 14:00:14
83.93077,15.64153,2020-04-27 14:30:14
83.93282,15.65073,2020-04-27 15:00:15
83.93488,15.66226,2020-04-27 15:30:14
83.93710,15.67477,2020-04-27 16:00:14
83.93938,15.68850,2020-04-27 16:30:15
83.94145,15.69970,2020-04-27 17:00:14
83.94357,15.71105,2020-04-27 17:30:14
83.94563,15.72281,2020-04-27 18:00:15
83.94762,15.73377,2020-04-27 18:30:15
83.94971,15.74467,2020-04-27 19:00:14
83.95204,15.75702,2020-04-27 19:30:15
83.95452,15.77044,2020-04-27 20:00:14
83.95702,15.78432,2020-04-27 20:30:14
83.95945,15.79875,2020-04-27 21:00:15
83.96187,15.81501,2020-04-27 21:30:14
83.96428,15.83250,2020-04-27 22:00:14
83.96668,15.85048,2020-04-27 22:30:15
83.96908,15.86708,2020-04-27 23:00:14
83.97152,15.88440,2020-04-27 23:30:14
83.97398,15.90428,2020-04-28 00:00:15
83.97646,15.92492,2020-04-28 00:30:15
83.97894,15.94628,2020-04-28 01:00:14
83.98147,15.96792,2020-04-28 01:30:15
83.98406,15.99123,2020-04-28 02:00:14
83.98668,16.01498,2020-04-28 02:30:14
83.98917,16.03956,2020-04-28 03:00:15
83.99160,16.06453,2020-04-28 03:30:14
83.99394,16.09034,2020-04-28 04:00:14
83.99624,16.11666,2020-04-28 04:30:15
83.99848,16.14277,2020-04-28 05:00:14
84.00069,16.16826,2020-04-28 05:30:14
84.00294,16.19389,2020-04-28 06:00:15
84.00514,16.21973,2020-04-28 06:30:15
84.00731,16.24531,2020-04-28 07:00:14
84.00949,16.27020,2020-04-28 07:30:15
84.01164,16.29490,2020-04-28 08:00:14
84.01375,16.31896,2020-04-28 08:30:14
84.01577,16.34295,2020-04-28 09:00:15
84.01757,16.36856,2020-04-28 09:30:14
84.01932,16.39310,2020-04-28 10:00:14
84.02096,16.41742,2020-04-28 10:30:15
84.02252,16.44123,2020-04-28 11:00:14
84.02395,16.46473,2020-04-28 11:30:14
84.02522,16.48862,2020-04-28 12:00:15
84.02625,16.51360,2020-04-28 12:30:14
84.02723,16.53886,2020-04-28 13:00:15
84.02804,16.56384,2020-04-28 13:30:15
84.02885,16.58914,2020-04-28 14:00:14
84.02952,16.61416,2020-04-28 14:30:14
84.03000,16.63928,2020-04-28 15:00:15
84.03037,16.66457,2020-04-28 15:30:14
84.03071,16.69029,2020-04-28 16:00:14
84.03092,16.71654,2020-04-28 16:30:15
84.03100,16.74294,2020-04-28 17:00:14
84.03094,16.76951,2020-04-28 17:30:14
84.03077,16.79611,2020-04-28 18:00:15
84.03055,16.82202,2020-04-28 18:30:14
84.03024,16.84687,2020-04-28 19:00:14
84.02992,16.87049,2020-04-28 19:30:15
84.02955,16.89266,2020-04-28 20:00:14
84.02907,16.91331,2020-04-28 20:30:14
84.02855,16.93289,2020-04-28 21:00:15
84.02797,16.95072,2020-04-28 21:30:14
84.02734,16.96624,2020-04-28 22:00:14
84.02664,16.98036,2020-04-28 22:30:15
84.02596,16.99287,2020-04-28 23:00:14
84.02527,17.00440,2020-04-28 23:30:14
84.02459,17.01526,2020-04-29 00:00:15
84.02399,17.02599,2020-04-29 00:30:14
84.02340,17.03756,2020-04-29 01:00:14
84.02284,17.04951,2020-04-29 01:30:15
84.02222,17.06129,2020-04-29 02:00:15
84.02153,17.07218,2020-04-29 02:30:14
84.02088,17.08209,2020-04-29 03:00:15
84.02026,17.09264,2020-04-29 03:30:14
84.01962,17.10410,2020-04-29 04:00:14
84.01903,17.11761,2020-04-29 04:30:15
84.01837,17.13215,2020-04-29 05:00:14
84.01768,17.14649,2020-04-29 05:30:14
84.01693,17.16026,2020-04-29 06:00:15
84.01614,17.17271,2020-04-29 06:30:14
84.01514,17.18443,2020-04-29 07:00:14
84.01400,17.19452,2020-04-29 07:30:15
84.01277,17.20343,2020-04-29 08:00:15
84.01141,17.21112,2020-04-29 08:30:14
84.00990,17.21657,2020-04-29 09:00:15
84.00824,17.21992,2020-04-29 09:30:14
84.00642,17.22136,2020-04-29 10:00:14
84.00448,17.22140,2020-04-29 10:30:15
84.00243,17.22027,2020-04-29 11:00:14
84.00020,17.21888,2020-04-29 11:30:14
83.99773,17.21815,2020-04-29 12:00:15
83.99515,17.21591,2020-04-29 12:30:14
83.99258,17.21224,2020-04-29 13:00:14
83.99000,17.20713,2020-04-29 13:30:15
83.98744,17.20143,2020-04-29 14:00:15
83.98491,17.19616,2020-04-29 14:30:14
83.98243,17.19163,2020-04-29 15:00:15
83.98010,17.18736,2020-04-29 15:30:14
83.97805,17.18494,2020-04-29 16:00:14
83.97598,17.18494,2020-04-29 16:30:15
83.97398,17.18643,2020-04-29 17:00:14
83.97198,17.19103,2020-04-29 17:30:14
83.96984,17.19818,2020-04-29 18:00:15
83.96768,17.20574,2020-04-29 18:30:14
83.96561,17.21318,2020-04-29 19:00:14
83.96355,17.21999,2020-04-29 19:30:15
83.96159,17.22658,2020-04-29 20:00:15
83.95979,17.23233,2020-04-29 20:30:14
83.95802,17.23836,2020-04-29 21:00:15
83.95640,17.24497,2020-04-29 21:30:14
83.95474,17.25183,2020-04-29 22:00:14
83.95308,17.25903,2020-04-29 22:30:15
83.95131,17.26521,2020-04-29 23:00:14
83.94957,17.27095,2020-04-29 23:30:14
83.94792,17.27614,2020-04-30 00:00:15
83.94630,17.28111,2020-04-30 00:30:14
83.94476,17.28619,2020-04-30 01:00:14
83.94327,17.29155,2020-04-30 01:30:15
83.94180,17.29707,2020-04-30 02:00:14
83.94040,17.30209,2020-04-30 02:30:14
83.93909,17.30697,2020-04-30 03:00:15
83.93785,17.31302,2020-04-30 03:30:14
83.93671,17.31981,2020-04-30 04:00:14
83.93562,17.32705,2020-04-30 04:30:15
83.93472,17.33460,2020-04-30 05:00:14
83.93387,17.34271,2020-04-30 05:30:14
83.93298,17.35184,2020-04-30 06:00:15
83.93208,17.36209,2020-04-30 06:30:15
83.93118,17.37243,2020-04-30 07:00:14
83.93028,17.38254,2020-04-30 07:30:15
83.92940,17.39268,2020-04-30 08:00:14
83.92852,17.40284,2020-04-30 08:30:14
83.92756,17.41323,2020-04-30 09:00:15
83.92660,17.42364,2020-04-30 09:30:14
83.92568,17.43319,2020-04-30 10:00:14
83.92474,17.44245,2020-04-30 10:30:15
83.92374,17.45141,2020-04-30 11:00:14
83.92272,17.45965,2020-04-30 11:30:14
83.92169,17.46716,2020-04-30 12:00:15
83.92069,17.47379,2020-04-30 12:30:14
83.91968,17.47940,2020-04-30 13:00:14
83.91868,17.48444,2020-04-30 13:30:15
83.91768,17.48861,2020-04-30 14:00:14
83.91673,17.49276,2020-04-30 14:30:14
83.91580,17.49711,2020-04-30 15:00:15
83.91491,17.50201,2020-04-30 15:30:14
83.91406,17.50733,2020-04-30 16:00:14
83.91328,17.51303,2020-04-30 16:30:15
83.91258,17.51939,2020-04-30 17:00:14
83.91188,17.52590,2020-04-30 17:30:15
83.91128,17.53307,2020-04-30 18:00:15
