latitude,longitude,datetime
81.82095,9.10066,2020-06-29 13:10:00
81.82040,9.09751,2020-06-29 13:19:59
81.81983,9.09424,2020-06-29 13:30:00
81.81925,9.09094,2020-06-29 13:40:01
81.81867,9.08752,2020-06-29 13:50:00
81.81808,9.08401,2020-06-29 14:00:01
81.81745,9.08040,2020-06-29 14:09:59
81.81681,9.07663,2020-06-29 14:20:01
81.81616,9.07278,2020-06-29 14:29:59
81.81550,9.06889,2020-06-29 14:40:00
81.81482,9.06489,2020-06-29 14:49:59
81.81413,9.06080,2020-06-29 15:00:00
81.81343,9.05661,2020-06-29 15:10:01
81.81274,9.05229,2020-06-29 15:20:00
81.81203,9.04789,2020-06-29 15:30:01
81.81133,9.04347,2020-06-29 15:39:59
81.81062,9.03899,2020-06-29 15:50:01
81.80991,9.03446,2020-06-29 15:59:59
81.80919,9.02988,2020-06-29 16:10:00
81.80849,9.02524,2020-06-29 16:19:59
81.80779,9.02050,2020-06-29 16:30:00
81.80709,9.01566,2020-06-29 16:40:01
81.80642,9.01076,2020-06-29 16:50:00
81.80575,9.00577,2020-06-29 17:00:01
81.80508,9.00034,2020-06-29 17:09:59
81.80443,8.99552,2020-06-29 17:20:01
81.80381,8.99030,2020-06-29 17:29:59
81.80324,8.98507,2020-06-29 17:40:00
81.80268,8.97980,2020-06-29 17:49:59
81.80215,8.97446,2020-06-29 18:00:00
81.80166,8.96927,2020-06-29 18:10:01
81.80122,8.96423,2020-06-29 18:20:00
81.80081,8.95932,2020-06-29 18:30:01
81.80045,8.95450,2020-06-29 18:39:59
81.80013,8.94978,2020-06-29 18:50:01
81.79983,8.94515,2020-06-29 18:59:59
81.79956,8.94065,2020-06-29 19:10:00
81.79933,8.93631,2020-06-29 19:19:59
81.79915,8.93204,2020-06-29 19:30:00
81.79901,8.92786,2020-06-29 19:40:01
81.79890,8.92377,2020-06-29 19:50:00
81.79885,8.91974,2020-06-29 20:00:01
81.79884,8.91587,2020-06-29 20:09:59
81.79887,8.91212,2020-06-29 20:20:01
81.79892,8.90848,2020-06-29 20:29:59
81.79900,8.90505,2020-06-29 20:40:00
81.79913,8.90185,2020-06-29 20:49:59
81.79927,8.89894,2020-06-29 21:00:00
81.79945,8.89637,2020-06-29 21:10:01
81.79965,8.89407,2020-06-29 21:20:00
81.79989,8.89192,2020-06-29 21:30:01
81.80015,8.88996,2020-06-29 21:39:59
81.80041,8.88820,2020-06-29 21:50:01
81.80070,8.88667,2020-06-29 21:59:59
81.80099,8.88541,2020-06-29 22:10:00
81.80133,8.88436,2020-06-29 22:19:59
81.80167,8.88353,2020-06-29 22:30:00
81.80202,8.88307,2020-06-29 22:40:01
81.80238,8.88274,2020-06-29 22:50:00
81.80276,8.88272,2020-06-29 23:00:01
81.80313,8.88282,2020-06-29 23:09:59
81.80350,8.88312,2020-06-29 23:20:01
81.80389,8.88365,2020-06-29 23:29:59
81.80427,8.88443,2020-06-29 23:40:00
81.80465,8.88554,2020-06-29 23:49:59
81.80501,8.88683,2020-06-30 00:00:00
81.80534,8.88832,2020-06-30 00:10:01
81.80566,8.89000,2020-06-30 00:20:00
81.80595,8.89193,2020-06-30 00:30:01
81.80619,8.89391,2020-06-30 00:39:59
81.80642,8.89599,2020-06-30 00:50:01
81.80663,8.89817,2020-06-30 00:59:59
81.80681,8.90040,2020-06-30 01:10:00
81.80696,8.90266,2020-06-30 01:19:59
81.80711,8.90498,2020-06-30 01:30:00
81.80721,8.90735,2020-06-30 01:40:01
81.80730,8.90975,2020-06-30 01:50:00
81.80735,8.91228,2020-06-30 02:00:01
81.80737,8.91490,2020-06-30 02:09:59
81.80735,8.91751,2020-06-30 02:20:01
81.80730,8.92008,2020-06-30 02:29:59
81.80723,8.92248,2020-06-30 02:40:00
81.80712,8.92487,2020-06-30 02:49:59
81.80700,8.92721,2020-06-30 03:00:00
81.80686,8.92946,2020-06-30 03:10:01
81.80670,8.93162,2020-06-30 03:20:00
81.80653,8.93370,2020-06-30 03:30:01
81.80634,8.93562,2020-06-30 03:39:59
81.80614,8.93747,2020-06-30 03:50:01
81.80594,8.93931,2020-06-30 03:59:59
81.80569,8.94115,2020-06-30 04:10:00
81.80542,8.94301,2020-06-30 04:19:59
81.80513,8.94482,2020-06-30 04:30:00
81.80482,8.94657,2020-06-30 04:40:01
81.80448,8.94825,2020-06-30 04:50:00
81.80415,8.94984,2020-06-30 05:00:01
81.80379,8.95135,2020-06-30 05:09:59
81.80342,8.95273,2020-06-30 05:20:01
81.80305,8.95392,2020-06-30 05:29:59
81.80268,8.95493,2020-06-30 05:40:00
81.80233,8.95580,2020-06-30 05:49:59
81.80199,8.95654,2020-06-30 06:00:00
81.80164,8.95714,2020-06-30 06:10:01
81.80130,8.95760,2020-06-30 06:20:00
81.80097,8.95796,2020-06-30 06:30:01
81.80066,8.95824,2020-06-30 06:39:59
81.80038,8.95841,2020-06-30 06:50:01
