latitude,longitude,datetime
87.95023,107.69159,2020-08-27 11:00:06
87.95481,107.76104,2020-08-27 12:00:00
87.96024,107.83893,2020-08-27 13:00:36
87.96568,107.91959,2020-08-27 14:00:01
87.97110,108.00552,2020-08-27 15:00:00
87.97609,108.10349,2020-08-27 16:00:07
87.98000,108.21291,2020-08-27 17:00:01
87.98271,108.32015,2020-08-27 18:00:00
87.98454,108.40118,2020-08-27 19:00:07
87.98609,108.43909,2020-08-27 20:00:01
87.98809,108.44166,2020-08-27 21:00:00
87.99134,108.44591,2020-08-27 22:00:07
87.99590,108.45534,2020-08-27 23:00:25
88.00119,108.47296,2020-08-28 00:00:13
88.00665,108.50195,2020-08-28 01:00:02
88.01205,108.54491,2020-08-28 02:00:06
88.01691,108.59766,2020-08-28 03:00:08
88.02105,108.66441,2020-08-28 04:00:02
88.02409,108.74014,2020-08-28 05:00:25
88.02658,108.80663,2020-08-28 06:00:29
88.02850,108.85784,2020-08-28 06:59:59
88.03002,108.89392,2020-08-28 08:00:01
88.03184,108.91405,2020-08-28 09:00:00
88.03432,108.92675,2020-08-28 10:00:02
88.03724,108.93735,2020-08-28 11:00:06
88.04063,108.95090,2020-08-28 12:00:05
88.04444,108.96533,2020-08-28 13:00:02
88.04830,108.98469,2020-08-28 14:00:01
88.05183,109.02168,2020-08-28 15:00:00
88.05437,109.06912,2020-08-28 15:59:59
88.05689,109.10044,2020-08-28 17:00:01
88.05846,109.13337,2020-08-28 18:00:00
88.05984,109.15505,2020-08-28 19:00:07
88.06100,109.16111,2020-08-28 20:00:01
88.06263,109.15814,2020-08-28 21:00:00
88.06485,109.15347,2020-08-28 22:00:02
88.06784,109.14817,2020-08-28 23:00:06
88.07158,109.14574,2020-08-29 00:00:00
88.07589,109.15009,2020-08-29 01:00:02
88.08048,109.17113,2020-08-29 02:00:06
88.08481,109.20237,2020-08-29 03:00:00
88.08884,109.25424,2020-08-29 04:00:07
88.09231,109.31730,2020-08-29 05:00:01
88.09544,109.37881,2020-08-29 06:00:00
88.09827,109.43398,2020-08-29 07:00:02
88.10108,109.47898,2020-08-29 08:00:01
88.10403,109.50992,2020-08-29 09:00:00
88.10768,109.53066,2020-08-29 09:59:59
88.11215,109.54306,2020-08-29 11:00:06
88.11742,109.55579,2020-08-29 12:00:00
88.12326,109.57901,2020-08-29 13:00:15
88.12923,109.62143,2020-08-29 14:00:14
88.13515,109.69268,2020-08-29 15:00:05
88.14079,109.78748,2020-08-29 16:00:02
88.14552,109.90336,2020-08-29 17:00:01
88.14931,110.02015,2020-08-29 18:00:00
88.15262,110.13857,2020-08-29 19:00:02
88.15575,110.25185,2020-08-29 20:00:04
88.15903,110.34318,2020-08-29 21:00:00
88.16264,110.43112,2020-08-29 21:59:59
88.16702,110.51765,2020-08-29 23:00:01
88.17209,110.61604,2020-08-30 00:00:05
88.17798,110.72346,2020-08-30 00:59:59
88.18458,110.83750,2020-08-30 02:00:01
88.19147,110.95944,2020-08-30 03:00:03
88.19819,111.11173,2020-08-30 04:00:07
88.20439,111.29295,2020-08-30 05:00:01
88.20986,111.49366,2020-08-30 06:00:00
88.21432,111.69647,2020-08-30 07:00:31
88.21803,111.87673,2020-08-30 08:00:01
88.22135,112.03963,2020-08-30 09:00:00
88.22453,112.17715,2020-08-30 09:59:59
88.22775,112.28696,2020-08-30 11:00:01
88.23140,112.39458,2020-08-30 12:00:00
88.23544,112.50520,2020-08-30 13:00:02
88.23975,112.61720,2020-08-30 14:00:01
88.24433,112.72254,2020-08-30 15:00:00
88.24878,112.83701,2020-08-30 16:00:02
88.25251,112.97038,2020-08-30 17:00:01
88.25561,113.11212,2020-08-30 18:00:00
88.25813,113.24802,2020-08-30 18:59:59
88.26035,113.36006,2020-08-30 20:00:01
88.26205,113.45499,2020-08-30 21:00:00
88.26358,113.52425,2020-08-30 22:00:02
88.26534,113.56597,2020-08-30 23:00:06
88.26743,113.59391,2020-08-31 00:00:00
88.27012,113.61199,2020-08-31 01:00:36
88.27348,113.63821,2020-08-31 02:00:01
88.27697,113.67912,2020-08-31 03:00:00
88.28028,113.74002,2020-08-31 04:00:02
88.28310,113.81872,2020-08-31 05:00:01
88.28535,113.90864,2020-08-31 06:00:00
88.28703,113.99344,2020-08-31 07:00:02
88.28838,114.06549,2020-08-31 08:00:06
88.28964,114.12074,2020-08-31 09:00:37
88.29106,114.15380,2020-08-31 09:59:59
88.29263,114.17027,2020-08-31 11:00:01
88.29488,114.17832,2020-08-31 12:00:05
88.29771,114.18619,2020-08-31 13:00:02
88.30116,114.19753,2020-08-31 14:00:01
88.30486,114.22567,2020-08-31 15:00:00
88.30847,114.27217,2020-08-31 16:00:02
88.31179,114.33525,2020-08-31 17:00:35
88.31463,114.40687,2020-08-31 18:00:00
88.31704,114.48047,2020-08-31 19:00:23
88.31909,114.54546,2020-08-31 20:00:09
88.32101,114.60129,2020-08-31 21:00:00
88.32281,114.64687,2020-08-31 21:59:59
88.32477,114.68774,2020-08-31 23:00:01
88.32690,114.71568,2020-09-01 00:00:05
88.32948,114.75083,2020-09-01 01:00:02
88.33183,114.80367,2020-09-01 02:00:01
88.33433,114.85818,2020-09-01 03:00:03
88.33683,114.92337,2020-09-01 04:00:02
88.33920,115.00060,2020-09-01 05:00:01
88.34157,115.09936,2020-09-01 06:00:00
88.34393,115.23055,2020-09-01 07:00:02
88.34631,115.36916,2020-09-01 08:00:01
88.34852,115.50498,2020-09-01 09:00:00
88.35071,115.62283,2020-09-01 09:59:59
88.35342,115.73283,2020-09-01 11:00:06
88.35641,115.84810,2020-09-01 12:00:00
88.35971,115.95438,2020-09-01 13:00:36
88.36308,116.04843,2020-09-01 14:00:01
88.36670,116.14672,2020-09-01 15:00:00
88.37055,116.25271,2020-09-01 16:00:02
88.37443,116.37380,2020-09-01 17:00:01
88.37788,116.50883,2020-09-01 18:00:05
88.38091,116.64204,2020-09-01 19:00:02
88.38346,116.75381,2020-09-01 20:00:01
88.38574,116.84505,2020-09-01 21:00:00
88.38813,116.91640,2020-09-01 21:59:59
88.39088,116.97075,2020-09-01 23:00:01
88.39392,117.00915,2020-09-02 00:00:05
88.39747,117.04118,2020-09-02 00:59:59
88.40154,117.07587,2020-09-02 02:00:01
88.40609,117.11604,2020-09-02 03:00:00
88.41114,117.18314,2020-09-02 03:59:59
88.41584,117.25704,2020-09-02 05:00:01
88.42053,117.34920,2020-09-02 06:00:00
88.42497,117.44560,2020-09-02 07:00:02
88.42906,117.53954,2020-09-02 08:00:04
88.43301,117.62894,2020-09-02 09:00:00
88.43686,117.70675,2020-09-02 09:59:59
88.44093,117.77505,2020-09-02 11:00:01
88.44552,117.83720,2020-09-02 12:00:05
88.45074,117.90072,2020-09-02 13:00:15
88.45654,117.97940,2020-09-02 14:00:04
88.46257,118.08261,2020-09-02 15:00:00
88.46879,118.20773,2020-09-02 16:00:07
88.47462,118.34863,2020-09-02 17:00:01
88.48042,118.49245,2020-09-02 18:00:00
88.48595,118.63003,2020-09-02 19:00:02
88.49149,118.74248,2020-09-02 20:00:06
88.49707,118.82360,2020-09-02 21:00:05
88.50318,118.88541,2020-09-02 22:00:02
88.50972,118.94635,2020-09-02 23:00:06
88.51661,119.00272,2020-09-03 00:00:00
88.52383,119.06879,2020-09-03 01:00:02
88.53123,119.15338,2020-09-03 02:00:01
88.53874,119.25613,2020-09-03 03:00:03
88.54617,119.38538,2020-09-03 04:00:07
88.55335,119.53088,2020-09-03 05:00:01
88.56019,119.67594,2020-09-03 06:00:00
88.56676,119.81231,2020-09-03 07:00:02
88.57301,119.92723,2020-09-03 08:00:01
88.57894,120.01729,2020-09-03 09:00:00
88.58502,120.07496,2020-09-03 10:00:07
88.59134,120.10881,2020-09-03 11:00:01
88.59807,120.13387,2020-09-03 12:00:00
88.60517,120.15977,2020-09-03 13:00:23
88.61241,120.18092,2020-09-03 14:00:01
88.61975,120.21280,2020-09-03 15:00:00
88.62724,120.25945,2020-09-03 16:00:02
88.63494,120.33398,2020-09-03 17:00:01
88.64241,120.43309,2020-09-03 18:00:00
88.64920,120.53355,2020-09-03 19:00:02
88.65527,120.61765,2020-09-03 20:00:06
88.66068,120.67574,2020-09-03 21:00:05
88.66541,120.70921,2020-09-03 21:59:59
88.66968,120.70878,2020-09-03 23:00:01
88.67403,120.67252,2020-09-04 00:00:05
88.67860,120.63351,2020-09-04 01:00:07
88.68344,120.61344,2020-09-04 02:00:01
88.68879,120.62366,2020-09-04 03:00:03
88.69399,120.66878,2020-09-04 04:00:07
88.69875,120.74113,2020-09-04 05:00:01
88.70245,120.81084,2020-09-04 06:00:00
88.70585,120.86032,2020-09-04 07:00:02
88.70926,120.87511,2020-09-04 08:00:06
88.71252,120.86597,2020-09-04 09:00:37
88.71601,120.81865,2020-09-04 09:59:59
88.71955,120.74648,2020-09-04 11:00:09
88.72299,120.66121,2020-09-04 12:00:05
88.72668,120.56047,2020-09-04 12:59:59
88.73053,120.46804,2020-09-04 14:00:01
88.73440,120.39164,2020-09-04 15:00:00
88.73815,120.31850,2020-09-04 16:00:07
