latitude,longitude,datetime
88.03748,108.89407,2020-08-28 11:00:01
88.03802,108.89566,2020-08-28 11:09:59
88.03851,108.89767,2020-08-28 11:20:01
88.03888,108.89400,2020-08-28 11:29:59
88.03966,108.89975,2020-08-28 11:40:00
88.04019,108.90589,2020-08-28 11:49:59
88.04109,108.90234,2020-08-28 12:00:00
88.04123,108.91155,2020-08-28 12:10:01
88.04183,108.91513,2020-08-28 12:20:00
88.04239,108.91701,2020-08-28 12:30:01
88.04327,108.90739,2020-08-28 12:39:59
88.04391,108.92376,2020-08-28 12:50:01
88.04450,108.92253,2020-08-28 12:59:59
88.04519,108.92568,2020-08-28 13:10:00
88.04587,108.92893,2020-08-28 13:19:59
88.04654,108.93208,2020-08-28 13:30:00
88.04719,108.93507,2020-08-28 13:40:01
88.04784,108.94073,2020-08-28 13:50:00
88.04852,108.94291,2020-08-28 14:00:59
88.04911,108.94759,2020-08-28 14:09:59
88.04973,108.95346,2020-08-28 14:20:01
88.05033,108.95951,2020-08-28 14:29:59
88.05093,108.96523,2020-08-28 14:40:00
88.05148,108.97195,2020-08-28 14:49:59
88.05202,108.97826,2020-08-28 15:00:00
88.05254,108.98462,2020-08-28 15:10:01
88.05303,108.99125,2020-08-28 15:20:00
88.05351,108.99770,2020-08-28 15:30:01
88.05396,109.00469,2020-08-28 15:39:59
88.05442,109.01104,2020-08-28 15:50:01
88.05485,109.01767,2020-08-28 15:59:59
88.05525,109.02438,2020-08-28 16:10:00
88.05563,109.03088,2020-08-28 16:19:59
88.05601,109.03760,2020-08-28 16:30:00
88.05637,109.04452,2020-08-28 16:40:01
88.05671,109.05083,2020-08-28 16:50:00
88.05704,109.05744,2020-08-28 17:00:01
88.05734,109.06258,2020-08-28 17:09:59
88.05763,109.07211,2020-08-28 17:20:01
88.05791,109.07523,2020-08-28 17:31:00
88.05814,109.08041,2020-08-28 17:40:00
88.05838,109.08532,2020-08-28 17:49:59
88.05861,109.09027,2020-08-28 18:00:00
88.05885,109.09486,2020-08-28 18:10:01
88.05907,109.09889,2020-08-28 18:20:00
88.05932,109.10242,2020-08-28 18:30:01
88.05953,109.10576,2020-08-28 18:39:59
88.05975,109.10870,2020-08-28 18:50:01
88.05997,109.11081,2020-08-28 18:59:59
88.06017,109.11309,2020-08-28 19:10:00
88.06037,109.11464,2020-08-28 19:19:59
88.06054,109.11613,2020-08-28 19:30:00
88.06075,109.11674,2020-08-28 19:40:01
88.06093,109.11777,2020-08-28 19:50:00
88.06113,109.11813,2020-08-28 20:00:59
88.06136,109.11752,2020-08-28 20:09:59
88.06161,109.11713,2020-08-28 20:20:01
88.06188,109.11654,2020-08-28 20:29:59
88.06217,109.11592,2020-08-28 20:40:00
88.06248,109.11536,2020-08-28 20:49:59
88.06280,109.11471,2020-08-28 21:00:00
88.06313,109.11407,2020-08-28 21:10:01
88.06347,109.11335,2020-08-28 21:20:00
88.06383,109.11283,2020-08-28 21:30:01
88.06419,109.11217,2020-08-28 21:39:59
88.06460,109.11118,2020-08-28 21:50:01
88.06503,109.11020,2020-08-28 21:59:59
88.06548,109.10927,2020-08-28 22:10:00
88.06596,109.10840,2020-08-28 22:19:59
88.06645,109.10744,2020-08-28 22:30:00
88.06696,109.10638,2020-08-28 22:40:01
88.06749,109.10566,2020-08-28 22:50:00
88.06805,109.10466,2020-08-28 23:00:01
88.06862,109.10414,2020-08-28 23:09:59
88.06922,109.10342,2020-08-28 23:20:01
88.06987,109.10321,2020-08-28 23:29:59
88.07049,109.10286,2020-08-28 23:40:00
88.07114,109.10282,2020-08-28 23:49:59
88.07182,109.10268,2020-08-29 00:00:00
88.07253,109.10239,2020-08-29 00:10:01
88.07322,109.10248,2020-08-29 00:20:00
88.07396,109.10313,2020-08-29 00:30:01
88.07466,109.10403,2020-08-29 00:39:59
88.07539,109.10550,2020-08-29 00:50:01
88.07606,109.10762,2020-08-29 00:59:59
88.07683,109.10917,2020-08-29 01:10:00
88.07761,109.11130,2020-08-29 01:19:59
88.07837,109.11411,2020-08-29 01:30:00
88.07911,109.11687,2020-08-29 01:40:01
88.07986,109.12019,2020-08-29 01:50:00
88.08066,109.12459,2020-08-29 02:00:01
88.08136,109.12897,2020-08-29 02:09:59
88.08210,109.13409,2020-08-29 02:20:01
88.08285,109.13973,2020-08-29 02:29:59
88.08356,109.14577,2020-08-29 02:40:00
88.08430,109.15232,2020-08-29 02:49:59
88.08501,109.15926,2020-08-29 03:00:00
88.08572,109.16699,2020-08-29 03:10:01
88.08641,109.17474,2020-08-29 03:20:00
88.08710,109.18338,2020-08-29 03:30:01
88.08776,109.19217,2020-08-29 03:39:59
88.08841,109.20153,2020-08-29 03:50:01
88.08904,109.21128,2020-08-29 03:59:59
88.08967,109.22099,2020-08-29 04:10:00
88.09025,109.22784,2020-08-29 04:19:59
88.09087,109.24097,2020-08-29 04:30:00
88.09145,109.25160,2020-08-29 04:40:01
88.09202,109.25907,2020-08-29 04:50:00
88.09256,109.27005,2020-08-29 05:00:01
88.09310,109.27809,2020-08-29 05:09:59
88.09364,109.29453,2020-08-29 05:20:01
88.09415,109.30443,2020-08-29 05:29:59
88.09467,109.31459,2020-08-29 05:40:00
88.09518,109.32451,2020-08-29 05:49:59
88.09569,109.33429,2020-08-29 06:00:00
88.09616,109.34408,2020-08-29 06:10:01
88.09664,109.35361,2020-08-29 06:20:00
88.09710,109.36311,2020-08-29 06:30:01
88.09757,109.37218,2020-08-29 06:39:59
88.09803,109.38165,2020-08-29 06:50:01
