latitude,longitude,datetime
87.94649,107.58397,2020-08-27 10:19:59
87.94707,107.59458,2020-08-27 10:30:00
87.94767,107.60531,2020-08-27 10:40:01
87.94831,107.61607,2020-08-27 10:50:00
87.94898,107.62679,2020-08-27 11:00:01
87.94969,107.63767,2020-08-27 11:09:59
87.95043,107.64897,2020-08-27 11:20:01
87.95119,107.66087,2020-08-27 11:29:59
87.95199,107.67309,2020-08-27 11:40:00
87.95280,107.68498,2020-08-27 11:49:59
87.95364,107.69680,2020-08-27 12:00:00
87.95450,107.70891,2020-08-27 12:10:01
87.95539,107.72138,2020-08-27 12:20:00
87.95629,107.73414,2020-08-27 12:30:01
87.95721,107.74712,2020-08-27 12:39:59
87.95812,107.76042,2020-08-27 12:50:01
87.95904,107.77396,2020-08-27 12:59:59
87.95995,107.78768,2020-08-27 13:10:00
87.96087,107.80148,2020-08-27 13:19:59
87.96179,107.81522,2020-08-27 13:30:00
87.96272,107.82892,2020-08-27 13:40:01
87.96364,107.84268,2020-08-27 13:50:00
87.96455,107.85645,2020-08-27 14:00:01
87.96548,107.87007,2020-08-27 14:09:59
87.96640,107.88375,2020-08-27 14:20:01
87.96732,107.89767,2020-08-27 14:29:59
87.96822,107.91190,2020-08-27 14:40:00
87.96911,107.92654,2020-08-27 14:49:59
87.96999,107.94156,2020-08-27 15:00:00
87.97087,107.95683,2020-08-27 15:10:01
87.97173,107.97258,2020-08-27 15:20:00
87.97255,107.98891,2020-08-27 15:30:01
87.97335,108.00581,2020-08-27 15:39:59
87.97412,108.02301,2020-08-27 15:50:01
87.97485,108.04069,2020-08-27 15:59:59
87.97557,108.05876,2020-08-27 16:10:00
87.97626,108.07706,2020-08-27 16:19:59
87.97691,108.09550,2020-08-27 16:30:00
87.97754,108.11379,2020-08-27 16:40:01
87.97813,108.13190,2020-08-27 16:50:00
87.97868,108.15025,2020-08-27 17:00:01
87.97919,108.16867,2020-08-27 17:09:59
87.97968,108.18712,2020-08-27 17:20:01
87.98014,108.20542,2020-08-27 17:29:59
87.98056,108.22335,2020-08-27 17:40:00
87.98095,108.24052,2020-08-27 17:49:59
87.98131,108.25688,2020-08-27 18:00:00
87.98164,108.27229,2020-08-27 18:10:01
87.98196,108.28667,2020-08-27 18:20:00
87.98226,108.30002,2020-08-27 18:30:01
87.98254,108.31221,2020-08-27 18:39:59
87.98282,108.32324,2020-08-27 18:50:01
87.98309,108.33344,2020-08-27 18:59:59
87.98335,108.34253,2020-08-27 19:10:00
87.98360,108.35030,2020-08-27 19:19:59
87.98386,108.35670,2020-08-27 19:30:00
87.98410,108.36163,2020-08-27 19:40:01
87.98437,108.36537,2020-08-27 19:50:00
87.98466,108.36814,2020-08-27 20:00:01
87.98495,108.36994,2020-08-27 20:09:59
87.98526,108.37105,2020-08-27 20:20:01
87.98558,108.37128,2020-08-27 20:29:59
87.98593,108.37096,2020-08-27 20:40:00
87.98631,108.37052,2020-08-27 20:49:59
87.98673,108.37009,2020-08-27 21:00:00
87.98719,108.36954,2020-08-27 21:10:01
87.98769,108.36929,2020-08-27 21:20:00
87.98825,108.37025,2020-08-27 21:30:01
87.98884,108.37173,2020-08-27 21:39:59
87.98946,108.37341,2020-08-27 21:50:01
87.99012,108.37499,2020-08-27 21:59:59
87.99082,108.37642,2020-08-27 22:10:00
87.99155,108.37780,2020-08-27 22:19:59
87.99230,108.37927,2020-08-27 22:30:00
87.99309,108.38078,2020-08-27 22:40:01
87.99390,108.38251,2020-08-27 22:50:00
87.99474,108.38433,2020-08-27 23:00:01
87.99561,108.38661,2020-08-27 23:09:59
87.99648,108.38920,2020-08-27 23:20:01
87.99737,108.39210,2020-08-27 23:29:59
87.99826,108.39538,2020-08-27 23:40:00
87.99916,108.39902,2020-08-27 23:49:59
88.00005,108.40298,2020-08-28 00:00:00
88.00096,108.40705,2020-08-28 00:10:01
88.00188,108.41133,2020-08-28 00:20:00
88.00279,108.41592,2020-08-28 00:30:01
88.00371,108.42091,2020-08-28 00:39:59
88.00463,108.42628,2020-08-28 00:50:01
88.00555,108.43207,2020-08-28 00:59:59
88.00647,108.43823,2020-08-28 01:10:00
88.00739,108.44482,2020-08-28 01:19:59
88.00829,108.45183,2020-08-28 01:30:00
88.00917,108.45927,2020-08-28 01:40:01
88.01004,108.46716,2020-08-28 01:50:00
88.01089,108.47536,2020-08-28 02:00:01
88.01173,108.48387,2020-08-28 02:09:59
88.01257,108.49253,2020-08-28 02:20:01
88.01338,108.50123,2020-08-28 02:29:59
88.01418,108.51040,2020-08-28 02:40:00
88.01497,108.52010,2020-08-28 02:49:59
88.01573,108.53021,2020-08-28 03:00:00
88.01646,108.54075,2020-08-28 03:10:01
88.01718,108.55161,2020-08-28 03:20:00
