DN Station ID,Sensor ID,Buoy Type,Deployment Date,Deployment Latitude,Deployment Longitude,Drift Distance (km),Mean Speed (m/s),Total Duration (d),IMEI,Sampling Frequency (hh:mm)
CO1,2019F4,Flux Buoy,2019-10-14,84.7811,134.4962,1438.2,0.1111,149,300025060016190,03:00
CO1,2019I4,Seasonal IMB,2019-10-21,85.0532,132.7085,2178.3,0.1223,207,300434063382860,04:00
CO1,2019P153,SVP,2019-10-10,84.9184,135.4576,192.5,0.1173,19,300234068210190,01:00
CO1,2019P161,SVP,2019-10-21,85.0922,132.7676,239.0,0.1114,25,300234068118580,01:00
CO1,ASFSTUCB1,Atmospheric Surface Flux Station,2019-10-24,85.3716,129.3668,2057.3,0.1157,199,ASFSTUCB,00:10
CO1,2020E1,LITO/Envipope,2020-02-14,88.1276,76.5636,2147.7,0.1415,176,300234064132630,01:00
CO1,2020E2,LITO/Envipope,2020-02-14,88.1303,76.5853,1492.1,0.1278,135,300234062321110,01:00
CO1,2020M29,IMBFlex,2020-02-16,88.0651,79.1987,2020.2,0.1405,166,300025010644540,01:00
CO1,2020T60,Thermistor,2020-01-08,86.6627,114.0874,7840.2,0.9158,105,300234066299840,12:00
CO1,2020T61,Thermistor,2020-02-05,87.5571,94.5169,1972.5,0.1323,173,300234065768480,02:00
CO1,2020P212,SVP,2020-03-17,86.6938,12.1608,76.6,0.1346,7,300234010303850,01:00
CO1,2020P224,SVP,2020-03-12,87.5066,21.2118,3.2,0.2993,0,300234068210190,01:00
CO1,2020P225,SVP,2020-04-23,84.0684,16.014,5173.9,0.2978,202,300234068210310,01:00
CO1,2020P226,SVP,2020-04-24,84.042,15.851,1337.2,0.1462,106,300234068118580,01:00
CO1,2020P227,SVP,2020-03-12,87.4828,20.8356,2672.5,0.177,175,300234068210190,01:00
CO1,2020P228,SVP,2020-05-12,83.4202,12.7742,3212.6,0.2195,168,300234010303850,01:00
CO1,2020R10,Radiation Station,2020-03-08,88.0043,24.7745,1504.3,0.1293,135,300025060612750,01:00
CO1,2020S97,Snow Buoy,2020-04-29,83.99,17.196,1520.6,0.1418,119,300234066083130,01:00
CO1,2020T75,Thermistor,2020-04-23,84.0632,16.0199,1271.3,0.1385,106,300234068325170,00:30
CO1,2020T79,Thermistor,2020-04-16,84.3226,13.1034,1268.3,0.1383,106,300234068527600,00:30
CO1,ASFS30UCB2,Atmospheric Surface Flux Station,2020-04-15,84.3224,13.8662,737.0,0.1154,76,ASFS30UCB,00:10
CO1,ASFS50UCB2,Atmospheric Surface Flux Station,2020-04-14,84.3384,14.6078,220.2,0.1112,23,ASFS50UCB,00:10
CO2,2020M26,IMBFlex,2020-06-26,82.02,10.1876,1092.3,0.2318,54,300025010649550,01:00
CO2,2020M27,IMBFlex,2020-06-26,80.1976,-0.5558,1103.3,0.2789,46,300025060102020,01:00
CO2,ASFS50UCB3,Atmospheric Surface Flux Station,2020-06-29,81.821,9.1007,485.7,0.1812,31,ASFS50UCB,00:10
CO2,ASFSTUCB2,Atmospheric Surface Flux Station,2020-06-27,81.9652,9.9047,493.2,0.1809,32,ASFSTUCB,00:10
CO3,2020M23,IMBFlex,2020-09-18,89.0803,106.7676,371.8,0.1179,37,300025060609430,01:00
CO3,2020R21,Radiation Station,2020-08-27,87.9502,107.6916,856.0,0.1252,79,300025060613750,01:00
CO3,2020T78,Thermistor,2020-08-23,87.7724,106.2772,1936.9,0.1222,186,300234068529570,00:30
CO3,2020T81,Thermistor,2020-08-30,88.2314,112.3957,1765.5,0.1245,164,300234068708320,02:00
CO3,ASFS30UCB4,Atmospheric Surface Flux Station,2020-08-21,87.7392,105.408,144.6,0.1351,12,ASFS30UCB,00:10
CO3,ASFS30UCB5,Atmospheric Surface Flux Station,2020-09-04,88.7206,120.5717,183.5,0.1398,16,ASFS30UCB,00:10
CO3,ASFS50UCB4,Atmospheric Surface Flux Station,2020-08-21,87.7408,105.4647,335.5,0.1376,28,ASFS50UCB,00:10
CO3,ASFSTUCB3,Atmospheric Surface Flux Station,2020-08-25,87.9465,107.584,265.0,0.1406,22,ASFSTUCB,00:10
CO3,2020O10,CTD,2020-08-28,88.0375,108.8941,2952.3,0.1282,269,300234068066320,00:10
CO3,2020S106,Snow Buoy,2020-08-26,87.8642,105.3906,2794.6,0.12,270,300234066083120,01:00
CO3,2020S107,Snow Buoy,2020-08-23,87.7666,106.2386,2822.6,0.1199,273,300234066081140,01:00
CO3,2020S108,Snow Buoy,2020-08-30,88.2322,112.3914,2745.2,0.1196,266,300234066081170,01:00
CO3,2020S98,Snow Buoy,2020-09-17,89.0248,108.2174,2528.3,0.1179,249,300234066087160,01:00
CO3,2020T84,Thermistor,2020-08-26,87.8494,105.1567,2773.7,0.1173,270,300234068707340,02:00
CO3,2020T85,Thermistor,2020-09-19,89.137,110.3414,2496.9,0.1164,246,300234068704730,00:30
LM,2019S96,Snow Buoy,2019-10-29,85.6474,125.4624,3046.8,0.1272,277,300234066083120,00:10
LM,2019T62,Thermistor,2019-10-19,85.6464,125.4734,3047.1,0.1272,277,300234068706290,00:30
LM,2019T66,Thermistor,2019-10-29,85.6484,125.5089,3287.8,0.1311,290,300234068706330,00:30
LM,2020E3,LITO/Envipope,2020-02-16,88.1248,76.1206,2251.1,0.1507,173,300234064233210,01:00
LM,2020R11,Radiation Station,2020-03-26,85.9627,12.9829,1525.7,0.1387,128,300025060613750,01:00
