Deployment Leg,Sensor ID,DN Station ID,IMEI,Deployment Date,Deployment Datetime,First Data Datetime,Last Data Datetime,Active,Sampling Frequency (hh:mm),Re-deployed As,Formerly Deployed As,Buoy Type,Manufacturer,Model,PI,Data Authors
1,2019F4,CO1,300025060016190,2019-10-14,2019-10-14 06:08:00,2019-10-14 06:08:24,2020-03-11 02:12:28,0,03:00,,,Flux Buoy,Naval Postgraduate School,Autonomous Ocean Flux Buoy,Stanton,Tim Stanton; Bill Shaw
1,2019I4,CO1,300434063382860,2019-10-21,2019-10-21 00:47:00,2019-10-21 00:51:24,2020-05-14 16:01:49,0,04:00,,,Seasonal IMB,CryoInn,SIMB3,Perovich,Ryleigh Moore; Don Perovich
1,2019P153,CO1,300234068210190,2019-10-10,2019-10-10 02:00:00,2019-10-10 02:00:00,2019-10-29 02:00:00,0,01:00,2020P224; 2020P227,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P161,CO1,300234068118580,2019-10-21,2019-10-21 06:18:00,2019-10-21 07:00:00,2019-11-15 03:00:00,0,01:00,2020P226,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,ASFSTUCB1,CO1,ASFSTUCB,2019-10-24,2019-10-24 00:06:00,2019-10-24 00:10:00,2020-05-10 08:20:01,0,00:10,ASFSTUCB2; ASFSTUCB3,,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
1,2019F1,L1,300025060203170,2019-10-05,2019-10-05 05:15:00,2019-10-05 09:34:29,2020-03-15 16:27:28,0,03:00,,,Flux Buoy,Naval Postgraduate School,Autonomous Ocean Flux Buoy,Stanton,Tim Stanton; Bill Shaw
1,2019I1,L1,300434063386850,2019-10-05,2019-10-05 05:10:00,2019-10-07 08:02:27,2020-03-16 00:03:11,0,04:00,,,Seasonal IMB,CryoInn,SIMB3,Perovich,Ryleigh Moore; Don Perovich
1,2019R8,L1,300025060111910,2019-10-07,2019-10-07 04:40:00,2019-10-07 05:01:37,2020-08-03 03:01:22,0,01:00,,,Radiation Station,Bruncin,Radiation Station,Hoppmann,Marcel Nicolaus; Hans Jakob Belter; Jan Rohde; Mario Hoppmann; Ran Tao; Christian Katlein
1,2019S92,L1,300234066080170,2019-10-05,2019-10-05 05:09:00,2019-10-14 07:00:00,2019-11-26 17:00:00,0,01:00,,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Hans Jakob Belter; Jan Rohde; Mario Hoppmann
1,2019T67,L1,300234068704730,2019-10-05,2019-10-05 01:00:00,2019-10-05 05:31:34,2020-08-06 09:00:16,0,00:30,2020T85,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Mario Hoppmann; Guangyu Zuo
1,2019W4,L1,300125060219720,2019-10-10,2019-10-05 05:02:00,2019-10-05 08:00:47,2019-11-27 13:31:12,0,00:30,,,ITP,Woods Hole Oceanographic Institution,Ice-Tethered Profiler,Krishfield,John Toole; Rick Krishfield
1,ASFS40UCB1,L1,ASFS40UCB,2019-10-05,2019-10-05 08:27:00,2019-10-05 23:40:00,2020-02-27 03:30:00,0,00:10,,,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
1,2019F2,L2,300025060013160,2019-10-07,2019-10-07 05:16:00,2019-10-10 04:50:23,2020-08-04 05:40:06,0,02:00,2019F5,,Flux Buoy,Naval Postgraduate School,Autonomous Ocean Flux Buoy,Stanton,Tim Stanton; Bill Shaw
1,2019I2,L2,300434063384820,2019-10-07,2019-10-07 05:43:00,2019-10-10 08:01:18,2020-02-03 12:07:34,0,04:00,,,Seasonal IMB,CryoInn,SIMB3,Perovich,Ryleigh Moore; Don Perovich
1,2019R9,L2,300025060015720,2019-10-07,2019-10-07 05:24:00,2019-10-07 06:01:42,2020-06-17 14:06:52,0,01:00,,,Radiation Station,Bruncin,Radiation Station,Hoppmann,Marcel Nicolaus; Hans Jakob Belter; Jan Rohde; Mario Hoppmann; Ran Tao; Christian Katlein
1,2019S93,L2,300234066081140,2019-10-07,2019-10-07 05:21:00,2019-10-14 07:01:00,2020-08-02 15:02:01,0,01:00,2020S107,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Hans Jakob Belter; Mario Hoppmann
1,2019T63,L2,300234068709320,2019-10-07,2019-10-07 01:00:00,2019-10-07 01:00:14,2020-08-09 16:30:16,0,00:30,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Mario Hoppmann; Guangyu Zuo
1,2019T65,L2,300234068705730,2019-10-07,2019-10-07 03:00:00,2019-10-07 03:00:14,2020-08-03 00:00:13,0,00:30,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Mario Hoppmann; Guangyu Zuo
1,2019W2,L2,300025010524990,2019-10-07,2019-10-07 05:20:00,2019-10-07 06:00:29,2020-08-18 05:01:46,0,01:00,,,ITP,Woods Hole Oceanographic Institution,Ice-Tethered Profiler,Krishfield,Benjamin Rabe; Mario Hoppmann; John Toole; Rick Krishfield
1,ASFS30UCB1,L2,ASFS30UCB,2019-10-07,2019-10-07 09:33:00,2019-10-07 09:40:00,2020-02-24 09:00:00,0,00:10,ASFS30UCB2; ASFS30UCB3; ASFS30UCB4; ASFS30UCB5,,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
1,2019F3,L3,300025060016600,2019-10-10,2019-10-10 04:48:00,2019-10-10 04:50:23,2020-02-03 07:53:43,0,02:00,,,Flux Buoy,Naval Postgraduate School,Autonomous Ocean Flux Buoy,Stanton,Tim Stanton; Bill Shaw
1,2019I3,L3,300434063387850,2019-10-10,2019-10-10 04:54:00,2019-10-10 08:02:25,2020-07-30 12:39:46,0,04:00,,,Seasonal IMB,CryoInn,SIMB3,Perovich,Ryleigh Moore; Don Perovich
1,2019M30,L3,300025060314090,2019-10-10,2019-10-10 06:00:00,2019-10-10 06:00:29,2020-04-10 14:07:36,0,01:00,,,IMBFlex,Bruncin,IMBFlex,Hoppmann,Mario Hoppmann
1,2019S94,L3,300234066081170,2019-10-10,2019-10-10 06:00:00,2019-10-14 07:00:00,2020-08-07 14:00:01,0,01:00,2020S108,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Mario Hoppmann
1,2019T70,L3,300234068705280,2019-10-09,2019-10-09 01:00:00,2019-10-09 05:48:03,2020-08-08 10:00:15,0,02:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Bin Cheng; Ruibo Lei; Mario Hoppmann; Guangyu Zuo
1,2019W3,L3,300025010247950,2019-10-10,2019-10-10 04:41:00,2019-10-10 05:01:01,2020-08-07 12:45:47,0,00:15,,,ITP,Woods Hole Oceanographic Institution,Ice-Tethered Profiler,Krishfield,Sylvia Cole; John Toole; Rick Krishfield
1,ASFS50UCB1,L3,ASFS50UCB,2019-10-10,2019-10-10 08:21:00,2019-10-10 08:30:00,2020-02-05 03:00:00,0,00:10,ASFS50UCB2; ASFS50UCB3; ASFS50UCB4,,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
1,2019S96,LM,300234066083120,2019-10-29,2019-10-29 01:45:00,2019-10-29 02:00:00,2020-08-01 09:59:59,0,00:10,2020S106,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Mario Hoppmann; Ruibo Lei
1,2019T62,LM,300234068706290,2019-10-19,2019-10-29 00:45:00,2019-10-29 01:43:34,2020-08-01 09:30:14,0,00:30,2020T82,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Mario Hoppmann; Guangyu Zuo
1,2019T66,LM,300234068706330,2019-10-29,2019-10-29 01:45:00,2019-10-29 02:11:33,2020-08-14 09:00:13,0,00:30,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Mario Hoppmann; Guangyu Zuo
1,2019O1,M1,300234068066320,2019-10-05,2019-10-05 04:40:00,2019-10-05 04:40:00,2020-08-05 07:50:00,0,00:10,2020O10,,CTD,PacificGyre IT,SVP5S,Fang,Mario Hoppmann; Ivan Kuznetsov; Benjamin Rabe; Ying-Chih Fang
1,2019S84,M1,300234065725000,2019-10-05,2019-10-05 04:00:00,2019-10-05 04:11:00,2020-05-27 02:00:00,0,01:00,,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Ying-Chih Fang; Mario Hoppmann
1,2019T68,M1,300234068708330,2019-10-05,2019-10-05 05:30:00,2019-10-05 06:00:12,2020-08-05 12:00:13,0,02:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Bin Cheng; Ruibo Lei; Mario Hoppmann; Guangyu Zuo
