latitude,longitude,datetime
85.02892,132.72205,2019-10-05 23:40:00
85.02896,132.72241,2019-10-05 23:50:00
85.02901,132.72304,2019-10-06 00:00:00
85.02905,132.72383,2019-10-06 00:10:00
85.02911,132.72466,2019-10-06 00:20:00
85.02917,132.72548,2019-10-06 00:30:00
85.02924,132.72641,2019-10-06 00:40:00
85.02930,132.72752,2019-10-06 00:50:00
85.02932,132.72885,2019-10-06 01:00:00
85.02934,132.73022,2019-10-06 01:10:00
85.02936,132.73180,2019-10-06 01:20:00
85.02939,132.73343,2019-10-06 01:30:00
85.02941,132.73517,2019-10-06 01:40:00
85.02943,132.73698,2019-10-06 01:50:00
85.02944,132.73888,2019-10-06 02:00:00
85.02944,132.74095,2019-10-06 02:10:00
85.02945,132.74315,2019-10-06 02:20:00
85.02946,132.74544,2019-10-06 02:30:00
85.02949,132.74751,2019-10-06 02:40:00
85.02952,132.74944,2019-10-06 02:50:00
85.02954,132.75143,2019-10-06 03:00:00
85.02956,132.75336,2019-10-06 03:10:00
85.02956,132.75540,2019-10-06 03:20:00
85.02953,132.75763,2019-10-06 03:30:00
85.02947,132.75978,2019-10-06 03:40:00
85.02942,132.76181,2019-10-06 03:50:00
85.02935,132.76387,2019-10-06 04:00:00
85.02927,132.76590,2019-10-06 04:10:00
85.02917,132.76778,2019-10-06 04:20:00
85.02908,132.76953,2019-10-06 04:30:00
85.02896,132.77121,2019-10-06 04:40:00
85.02885,132.77280,2019-10-06 04:50:00
85.02873,132.77428,2019-10-06 05:00:00
85.02860,132.77571,2019-10-06 05:10:00
85.02847,132.77704,2019-10-06 05:20:00
85.02834,132.77824,2019-10-06 05:30:00
85.02821,132.77937,2019-10-06 05:40:00
85.02807,132.78044,2019-10-06 05:50:00
85.02792,132.78140,2019-10-06 06:00:00
85.02777,132.78232,2019-10-06 06:10:00
85.02761,132.78316,2019-10-06 06:20:00
85.02745,132.78384,2019-10-06 06:30:00
85.02728,132.78445,2019-10-06 06:40:00
85.02710,132.78499,2019-10-06 06:50:00
85.02692,132.78540,2019-10-06 07:00:00
85.02673,132.78574,2019-10-06 07:10:00
85.02656,132.78609,2019-10-06 07:20:00
85.02639,132.78647,2019-10-06 07:30:00
85.02623,132.78683,2019-10-06 07:40:00
85.02605,132.78706,2019-10-06 07:50:00
85.02586,132.78734,2019-10-06 08:00:00
85.02570,132.78766,2019-10-06 08:10:00
85.02555,132.78806,2019-10-06 08:20:00
85.02541,132.78845,2019-10-06 08:30:00
85.02527,132.78889,2019-10-06 08:40:00
85.02513,132.78937,2019-10-06 08:50:00
85.02500,132.78993,2019-10-06 09:00:00
85.02489,132.79057,2019-10-06 09:10:00
85.02476,132.79123,2019-10-06 09:20:00
85.02464,132.79202,2019-10-06 09:30:00
85.02451,132.79286,2019-10-06 09:40:00
85.02438,132.79369,2019-10-06 09:50:00
85.02428,132.79454,2019-10-06 10:00:00
85.02419,132.79550,2019-10-06 10:10:00
85.02411,132.79648,2019-10-06 10:20:00
85.02402,132.79750,2019-10-06 10:30:00
85.02395,132.79857,2019-10-06 10:40:00
85.02386,132.79973,2019-10-06 10:50:00
85.02378,132.80098,2019-10-06 11:00:00
85.02371,132.80228,2019-10-06 11:10:00
85.02365,132.80365,2019-10-06 11:20:00
85.02359,132.80507,2019-10-06 11:30:00
85.02354,132.80652,2019-10-06 11:40:00
85.02349,132.80807,2019-10-06 11:50:00
85.02345,132.80966,2019-10-06 12:00:00
85.02343,132.81131,2019-10-06 12:10:00
85.02341,132.81299,2019-10-06 12:20:00
85.02340,132.81473,2019-10-06 12:30:00
85.02340,132.81656,2019-10-06 12:40:00
85.02341,132.81845,2019-10-06 12:50:00
85.02341,132.82045,2019-10-06 13:00:00
85.02341,132.82259,2019-10-06 13:10:00
85.02341,132.82486,2019-10-06 13:20:00
85.02341,132.82722,2019-10-06 13:30:00
85.02341,132.82968,2019-10-06 13:40:00
85.02341,132.83226,2019-10-06 13:50:00
85.02341,132.83488,2019-10-06 14:00:00
85.02341,132.83763,2019-10-06 14:10:00
85.02340,132.84045,2019-10-06 14:20:00
85.02339,132.84340,2019-10-06 14:30:00
85.02339,132.84645,2019-10-06 14:40:00
85.02338,132.84959,2019-10-06 14:50:00
85.02338,132.85280,2019-10-06 15:00:00
85.02336,132.85608,2019-10-06 15:10:00
85.02335,132.85944,2019-10-06 15:20:00
85.02332,132.86288,2019-10-06 15:30:00
85.02329,132.86641,2019-10-06 15:40:00
85.02326,132.87006,2019-10-06 15:50:00
85.02322,132.87383,2019-10-06 16:00:00
85.02318,132.87769,2019-10-06 16:10:00
85.02312,132.88161,2019-10-06 16:20:00
85.02307,132.88564,2019-10-06 16:30:00
