latitude,longitude,datetime
84.83471,136.24628,2019-10-10 04:50:23
84.83601,136.15881,2019-10-10 07:50:26
84.83196,136.08582,2019-10-10 10:50:45
84.82796,136.01460,2019-10-10 13:50:37
84.82539,136.00644,2019-10-10 16:50:45
84.82027,136.08047,2019-10-10 19:50:37
84.80947,136.18736,2019-10-10 22:50:47
84.79555,136.26697,2019-10-11 01:50:37
84.78472,136.31853,2019-10-11 04:50:51
84.77294,136.40442,2019-10-11 07:50:36
84.75892,136.44043,2019-10-11 10:50:47
84.75123,136.45605,2019-10-11 13:50:36
84.74734,136.52301,2019-10-11 16:50:46
84.74271,136.59737,2019-10-11 19:50:38
84.74041,136.61629,2019-10-11 22:50:46
84.74749,136.60323,2019-10-12 01:50:38
84.75956,136.61540,2019-10-12 04:50:49
84.76727,136.59135,2019-10-12 07:50:38
84.77013,136.49713,2019-10-12 10:50:46
84.77439,136.35240,2019-10-12 13:50:38
84.77816,136.25600,2019-10-12 16:50:46
84.77684,136.18526,2019-10-12 19:50:37
84.77429,136.05733,2019-10-12 22:50:46
84.77441,135.91356,2019-10-13 01:50:37
84.77298,135.81859,2019-10-13 04:50:50
84.76794,135.73820,2019-10-13 07:50:38
84.76218,135.64017,2019-10-13 10:50:46
84.75726,135.58739,2019-10-13 13:50:38
84.74936,135.61456,2019-10-13 16:50:46
84.73419,135.63211,2019-10-13 19:50:38
84.72002,135.55013,2019-10-13 22:50:46
84.71050,135.44901,2019-10-14 01:50:38
84.70217,135.39203,2019-10-14 04:50:50
84.69331,135.35345,2019-10-14 07:50:38
84.68966,135.30151,2019-10-14 10:50:48
84.68920,135.24925,2019-10-14 13:50:38
84.68875,135.19688,2019-10-14 16:50:47
84.68830,135.14497,2019-10-14 19:49:21
84.68785,135.09267,2019-10-14 22:49:21
84.68739,135.04034,2019-10-15 01:49:21
84.68694,134.98802,2019-10-15 04:49:21
84.68649,134.93570,2019-10-15 07:49:21
84.68603,134.88338,2019-10-15 10:49:21
84.68558,134.83105,2019-10-15 13:49:21
84.68513,134.77875,2019-10-15 16:49:21
84.68467,134.72643,2019-10-15 19:49:21
84.68422,134.67410,2019-10-15 22:49:21
85.35320,129.60458,2019-10-24 20:39:42
85.35963,129.42905,2019-10-24 23:39:42
85.36641,129.27927,2019-10-25 02:39:42
85.37080,129.19347,2019-10-25 05:39:42
85.37210,129.12329,2019-10-25 08:39:42
85.37336,129.02847,2019-10-25 11:39:42
85.37542,128.94598,2019-10-25 14:39:42
85.37750,128.88300,2019-10-25 17:39:42
85.37759,128.81815,2019-10-25 20:39:42
85.37753,128.74303,2019-10-25 23:39:42
85.37893,128.67703,2019-10-26 02:39:42
85.38071,128.63779,2019-10-26 05:39:42
85.38143,128.59180,2019-10-26 08:39:42
85.38275,128.51674,2019-10-26 11:39:42
85.38588,128.44389,2019-10-26 14:39:42
85.38946,128.39690,2019-10-26 17:39:42
85.39260,128.34773,2019-10-26 20:39:42
85.39671,128.26962,2019-10-26 23:39:42
85.40286,128.19077,2019-10-27 02:39:42
85.41011,128.13599,2019-10-27 05:39:42
85.41651,128.07635,2019-10-27 08:39:42
85.42352,127.99909,2019-10-27 11:39:42
85.43212,127.92531,2019-10-27 14:39:42
85.44175,127.86760,2019-10-27 17:39:42
85.45153,127.79637,2019-10-27 20:39:42
85.46267,127.68049,2019-10-27 23:39:42
85.47580,127.56417,2019-10-28 02:39:42
85.48948,127.48290,2019-10-28 05:39:42
85.50227,127.40709,2019-10-28 08:39:42
85.51511,127.31455,2019-10-28 11:39:42
85.52675,127.22817,2019-10-28 14:39:42
85.53742,127.14862,2019-10-28 17:39:42
85.54661,127.04022,2019-10-28 20:39:42
85.55632,126.89911,2019-10-28 23:39:42
85.56664,126.76410,2019-10-29 02:39:42
85.57523,126.66219,2019-10-29 05:39:42
85.58282,126.53902,2019-10-29 08:39:42
85.59192,126.38796,2019-10-29 11:39:42
85.60185,126.25873,2019-10-29 14:39:42
85.60951,126.16234,2019-10-29 17:39:42
85.61639,126.05219,2019-10-29 20:39:42
85.62432,125.91978,2019-10-29 23:39:42
85.63323,125.79886,2019-10-30 02:39:42
85.64021,125.70551,2019-10-30 05:39:42
85.64622,125.59286,2019-10-30 08:39:42
85.65361,125.45843,2019-10-30 11:39:42
85.66105,125.35114,2019-10-30 14:39:42
85.66587,125.26234,2019-10-30 17:39:42
85.67037,125.15217,2019-10-30 20:39:42
85.67719,125.01997,2019-10-30 23:39:42
85.68450,124.90918,2019-10-31 02:39:42
85.68954,124.82607,2019-10-31 05:39:42
85.69423,124.73401,2019-10-31 08:39:42
85.70085,124.62855,2019-10-31 11:39:42
85.70760,124.54216,2019-10-31 14:39:42
85.71217,124.47424,2019-10-31 17:39:42
85.71656,124.39155,2019-10-31 20:39:42
85.72306,124.29274,2019-10-31 23:39:42
85.73050,124.21548,2019-11-01 02:39:42
85.73597,124.16413,2019-11-01 05:39:42
85.74085,124.10414,2019-11-01 08:39:42
85.74763,124.03710,2019-11-01 11:39:42
85.75426,123.99592,2019-11-01 14:39:42
85.75799,123.97441,2019-11-01 17:39:42
85.76068,123.93326,2019-11-01 20:39:42
85.76178,123.91547,2019-11-01 21:39:42
85.76532,123.87469,2019-11-01 23:39:42
85.76950,123.84146,2019-11-02 01:39:42
85.77294,123.81927,2019-11-02 03:39:42
85.77506,123.79537,2019-11-02 05:39:42
85.77663,123.75683,2019-11-02 07:39:42
85.77911,123.70451,2019-11-02 09:39:42
85.78311,123.64413,2019-11-02 11:39:42
85.78779,123.58917,2019-11-02 13:39:42
85.79191,123.53857,2019-11-02 15:39:42
85.79498,123.48404,2019-11-02 17:39:42
85.79763,123.41767,2019-11-02 19:39:42
85.80106,123.33231,2019-11-02 21:39:42
85.80569,123.23855,2019-11-02 23:39:42
85.81113,123.15089,2019-11-03 01:39:42
85.81663,123.06717,2019-11-03 03:39:42
85.82169,122.96802,2019-11-03 05:39:49
85.82474,122.81887,2019-11-03 07:39:42
85.82817,122.64550,2019-11-03 09:39:42
85.83307,122.46853,2019-11-03 11:39:42
85.83954,122.31045,2019-11-03 13:39:42
85.84504,122.18748,2019-11-03 15:39:42
85.84895,122.07474,2019-11-03 17:39:42
85.85200,121.95645,2019-11-03 19:39:42
85.85559,121.83069,2019-11-03 21:39:42
85.86019,121.69344,2019-11-03 23:39:42
85.86547,121.56201,2019-11-04 01:39:42
85.87007,121.44993,2019-11-04 03:39:42
85.87331,121.33766,2019-11-04 05:39:46
85.87545,121.21842,2019-11-04 07:39:42
85.87794,121.08068,2019-11-04 09:39:42
85.88106,120.94670,2019-11-04 11:39:42
85.88426,120.82512,2019-11-04 13:39:42
85.88641,120.71530,2019-11-04 15:39:42
85.88701,120.61091,2019-11-04 17:39:42
85.88670,120.50421,2019-11-04 19:39:42
85.88629,120.39390,2019-11-04 21:39:42
85.88631,120.28730,2019-11-04 23:39:42
85.88636,120.18982,2019-11-05 01:39:42
85.88502,120.09129,2019-11-05 03:39:42
85.88281,119.98455,2019-11-05 05:39:46
85.87932,119.86949,2019-11-05 07:39:42
85.87551,119.74770,2019-11-05 09:39:42
85.87246,119.63226,2019-11-05 11:39:42
85.87027,119.53132,2019-11-05 13:39:42
85.86764,119.44264,2019-11-05 15:39:42
85.86417,119.36043,2019-11-05 17:39:42
85.86054,119.27915,2019-11-05 19:39:42
85.85769,119.19225,2019-11-05 21:39:42
85.85618,119.10598,2019-11-05 23:39:42
85.85542,119.02996,2019-11-06 01:39:42
85.85452,118.96224,2019-11-06 03:39:42
85.85310,118.89168,2019-11-06 05:39:45
85.85154,118.81035,2019-11-06 07:39:42
85.85061,118.72111,2019-11-06 09:39:42
