latitude,longitude,datetime
85.13290,135.51410,2019-10-10 05:01:01
85.13340,135.49670,2019-10-10 05:31:03
85.13370,135.48309,2019-10-10 06:01:02
85.13390,135.47150,2019-10-10 06:31:01
85.13380,135.46060,2019-10-10 07:01:01
85.13370,135.44930,2019-10-10 07:30:16
85.13330,135.43610,2019-10-10 08:00:29
85.13270,135.42270,2019-10-10 08:30:32
85.13210,135.40961,2019-10-10 09:01:02
85.13150,135.39720,2019-10-10 09:30:15
85.13070,135.38420,2019-10-10 10:01:03
85.12990,135.37100,2019-10-10 10:30:46
85.12910,135.35741,2019-10-10 11:00:47
85.12830,135.34380,2019-10-10 11:30:47
85.12750,135.33070,2019-10-10 12:01:02
85.12690,135.31889,2019-10-10 12:30:30
85.12620,135.30791,2019-10-10 13:01:03
85.12570,135.29919,2019-10-10 13:30:14
85.12520,135.29250,2019-10-10 14:00:48
85.12470,135.28810,2019-10-10 14:30:59
85.12430,135.28590,2019-10-10 15:00:52
85.12390,135.28619,2019-10-10 15:30:56
85.12360,135.28900,2019-10-10 16:01:01
85.12320,135.29460,2019-10-10 16:31:02
85.12270,135.30380,2019-10-10 17:00:56
85.12220,135.31599,2019-10-10 17:30:14
85.12150,135.33211,2019-10-10 18:01:02
85.12060,135.34950,2019-10-10 18:30:48
85.11970,135.36830,2019-10-10 19:00:46
85.11850,135.38840,2019-10-10 19:30:46
85.11710,135.40930,2019-10-10 20:01:01
85.11560,135.43060,2019-10-10 20:30:47
85.11380,135.45320,2019-10-10 21:01:16
85.11200,135.47501,2019-10-10 21:30:48
85.10990,135.49570,2019-10-10 22:00:46
85.10770,135.51450,2019-10-10 22:30:33
85.10530,135.53120,2019-10-10 23:00:47
85.10300,135.54640,2019-10-10 23:30:46
85.10060,135.55881,2019-10-11 00:00:16
85.09810,135.57030,2019-10-11 00:30:47
85.09580,135.58040,2019-10-11 01:01:03
85.09350,135.58971,2019-10-11 01:30:00
85.09120,135.59869,2019-10-11 02:01:02
85.08900,135.60570,2019-10-11 02:31:01
