latitude,longitude,datetime
85.13380,135.47989,2019-10-10 06:00:29
85.13394,135.45767,2019-10-10 07:00:01
85.13334,135.43263,2019-10-10 08:00:27
85.13224,135.40665,2019-10-10 09:00:00
85.13077,135.38237,2019-10-10 10:00:00
85.12917,135.35408,2019-10-10 11:00:36
85.12769,135.32707,2019-10-10 12:00:08
85.12636,135.30487,2019-10-10 13:00:01
85.12525,135.28973,2019-10-10 14:00:36
85.12442,135.28233,2019-10-10 15:00:36
85.12365,135.28532,2019-10-10 16:00:09
85.12283,135.29979,2019-10-10 17:00:00
85.12157,135.32837,2019-10-10 18:00:32
85.11977,135.36420,2019-10-10 19:00:00
85.11724,135.40504,2019-10-10 20:00:06
85.11401,135.44885,2019-10-10 21:00:01
85.11008,135.49103,2019-10-10 22:00:01
85.10545,135.52731,2019-10-10 23:00:01
85.10060,135.55452,2019-10-11 00:00:36
85.09590,135.57701,2019-10-11 01:00:26
85.09138,135.59537,2019-10-11 02:00:06
85.08721,135.60776,2019-10-11 03:00:00
85.08404,135.62088,2019-10-11 04:00:01
85.08140,135.64020,2019-10-11 05:00:36
85.07831,135.67038,2019-10-11 06:00:30
85.07388,135.70834,2019-10-11 07:00:09
85.06863,135.73747,2019-10-11 08:00:01
85.06344,135.75490,2019-10-11 09:00:36
85.05891,135.76262,2019-10-11 10:00:15
85.05510,135.76572,2019-10-11 11:00:01
85.05193,135.76639,2019-10-11 12:00:36
85.04975,135.76956,2019-10-11 13:00:36
85.04749,135.77902,2019-10-11 14:00:06
85.04601,135.79839,2019-10-11 15:00:32
85.04482,135.82387,2019-10-11 16:00:06
85.04391,135.85370,2019-10-11 17:00:01
85.04247,135.88818,2019-10-11 18:00:36
85.04092,135.91811,2019-10-11 19:00:30
85.03931,135.94151,2019-10-11 20:00:00
85.03800,135.95651,2019-10-11 21:00:31
85.03705,135.96620,2019-10-11 22:00:06
85.03754,135.95975,2019-10-11 23:00:00
85.03909,135.95319,2019-10-12 00:00:31
85.04111,135.94513,2019-10-12 01:00:25
85.04527,135.94711,2019-10-12 02:00:06
85.04938,135.95056,2019-10-12 03:00:01
85.05341,135.95544,2019-10-12 04:00:00
85.05713,135.95859,2019-10-12 05:00:01
85.06015,135.95520,2019-10-12 06:00:01
85.06245,135.94753,2019-10-12 07:00:36
85.06400,135.93501,2019-10-12 08:00:03
85.06499,135.91069,2019-10-12 09:00:27
85.06581,135.87518,2019-10-12 10:00:06
85.06674,135.82875,2019-10-12 11:00:37
85.06775,135.77498,2019-10-12 12:00:04
85.06929,135.72218,2019-10-12 13:00:36
85.07085,135.67332,2019-10-12 14:00:36
85.07240,135.63519,2019-10-12 15:00:00
85.07364,135.60522,2019-10-12 16:00:20
85.07444,135.58087,2019-10-12 17:00:06
85.07449,135.55843,2019-10-12 18:00:06
85.07393,135.53178,2019-10-12 19:00:27
85.07301,135.49596,2019-10-12 20:00:21
85.07203,135.44910,2019-10-12 21:00:01
85.07117,135.39383,2019-10-12 22:00:55
85.07060,135.33665,2019-10-12 23:00:35
85.07023,135.28064,2019-10-13 00:00:35
85.07024,135.22842,2019-10-13 01:00:27
85.07040,135.18170,2019-10-13 02:00:10
85.06997,135.14485,2019-10-13 03:00:01
85.06937,135.11360,2019-10-13 04:00:01
85.06832,135.08733,2019-10-13 05:00:01
85.06679,135.06197,2019-10-13 06:00:36
85.06505,135.03607,2019-10-13 07:00:20
85.06314,135.00821,2019-10-13 08:00:01
85.06106,134.97784,2019-10-13 09:00:31
85.05894,134.94739,2019-10-13 10:00:30
85.05696,134.92107,2019-10-13 11:00:03
85.05563,134.90527,2019-10-13 11:42:30
85.05488,134.89981,2019-10-13 12:02:15
85.05291,134.88606,2019-10-13 13:00:32
85.05064,134.88005,2019-10-13 14:00:14
85.04826,134.88527,2019-10-13 15:00:01
85.04523,134.89648,2019-10-13 16:00:36
85.04120,134.90891,2019-10-13 17:00:23
85.03597,134.90779,2019-10-13 18:00:01
85.03041,134.89108,2019-10-13 19:00:36
85.02525,134.85838,2019-10-13 20:00:03
85.02043,134.81352,2019-10-13 21:00:06
85.01575,134.76540,2019-10-13 22:00:30
85.01154,134.71199,2019-10-13 23:00:08
85.00781,134.66104,2019-10-14 00:00:06
85.00459,134.61926,2019-10-14 01:00:01
85.00173,134.58284,2019-10-14 02:00:00
84.99845,134.55067,2019-10-14 03:00:36
84.99590,134.52469,2019-10-14 04:00:11
84.99307,134.50591,2019-10-14 05:00:01
84.99020,134.48997,2019-10-14 06:00:26
84.98727,134.47734,2019-10-14 07:00:01
84.98397,134.46484,2019-10-14 08:00:28
84.98051,134.44777,2019-10-14 09:00:55
84.97737,134.42470,2019-10-14 10:00:30
84.97492,134.39845,2019-10-14 11:00:02
84.97297,134.37027,2019-10-14 12:00:41
84.97166,134.34508,2019-10-14 13:00:30
84.97084,134.32646,2019-10-14 14:00:00
84.97023,134.31589,2019-10-14 15:00:01
84.96973,134.31537,2019-10-14 16:00:32
84.96922,134.32361,2019-10-14 17:00:30
84.96845,134.33711,2019-10-14 18:00:06
84.96752,134.35233,2019-10-14 19:00:06
84.96645,134.36385,2019-10-14 20:00:01
84.96543,134.36835,2019-10-14 21:00:44
84.96477,134.36421,2019-10-14 22:00:36
84.96455,134.35286,2019-10-14 23:00:00
84.96484,134.33789,2019-10-15 00:00:38
84.96558,134.32320,2019-10-15 01:00:38
84.96669,134.31221,2019-10-15 02:00:36
84.96792,134.30675,2019-10-15 03:00:02
84.96915,134.30743,2019-10-15 04:00:01
84.97011,134.31224,2019-10-15 05:00:03
84.97064,134.31783,2019-10-15 06:00:33
84.97077,134.32120,2019-10-15 07:00:15
84.97053,134.31906,2019-10-15 08:00:01
84.97026,134.30872,2019-10-15 09:01:01
84.97000,134.29128,2019-10-15 10:00:27
84.97005,134.26750,2019-10-15 11:00:10
84.97041,134.24033,2019-10-15 12:00:05
84.97118,134.21327,2019-10-15 13:00:01
84.97209,134.19101,2019-10-15 14:00:39
84.97319,134.17375,2019-10-15 15:00:36
84.97413,134.16296,2019-10-15 16:00:15
84.97456,134.15593,2019-10-15 17:00:01
84.97463,134.14775,2019-10-15 18:00:36
84.97403,134.13737,2019-10-15 19:00:30
84.97324,134.12132,2019-10-15 20:00:24
84.97250,134.09222,2019-10-15 21:00:06
84.97167,134.04982,2019-10-15 22:00:01
84.97136,133.99875,2019-10-15 23:00:26
84.97131,133.94684,2019-10-16 00:00:06
84.97177,133.89333,2019-10-16 01:00:36
84.97264,133.84648,2019-10-16 02:00:00
84.97355,133.80623,2019-10-16 03:00:31
84.97407,133.78011,2019-10-16 04:00:15
84.97419,133.76111,2019-10-16 05:00:01
84.97366,133.74654,2019-10-16 06:00:36
84.97296,133.73578,2019-10-16 06:43:02
84.97255,133.73036,2019-10-16 07:04:57
84.97127,133.71278,2019-10-16 08:00:25
84.96990,133.68886,2019-10-16 09:00:03
84.96872,133.65717,2019-10-16 10:00:06
84.96798,133.61816,2019-10-16 11:00:00
