latitude,longitude,datetime
83.92628,14.75954,2020-04-24 14:04:29
83.92496,14.75495,2020-04-24 15:00:01
83.92377,14.74921,2020-04-24 16:00:00
83.92264,14.74375,2020-04-24 17:00:01
83.92110,14.73487,2020-04-24 18:00:00
83.91920,14.72209,2020-04-24 19:00:33
83.91750,14.70718,2020-04-24 20:00:01
83.91578,14.68981,2020-04-24 21:00:01
83.91393,14.67094,2020-04-24 22:00:02
83.91201,14.65223,2020-04-24 23:00:30
83.91020,14.63398,2020-04-25 00:00:01
83.90845,14.61566,2020-04-25 01:00:00
83.90681,14.59990,2020-04-25 02:00:02
83.90522,14.58659,2020-04-25 03:02:25
83.90353,14.57786,2020-04-25 04:00:00
83.90157,14.56981,2020-04-25 05:00:01
83.89933,14.56113,2020-04-25 06:00:24
83.89655,14.55197,2020-04-25 07:00:00
83.89310,14.54237,2020-04-25 08:00:07
83.88889,14.53216,2020-04-25 09:00:00
83.88455,14.52035,2020-04-25 10:00:06
83.88002,14.50834,2020-04-25 11:00:07
83.87563,14.49954,2020-04-25 12:00:03
83.87254,14.49520,2020-04-25 12:42:14
83.87098,14.49311,2020-04-25 13:03:33
83.86690,14.48934,2020-04-25 14:00:01
83.86290,14.48760,2020-04-25 15:00:09
83.85905,14.48661,2020-04-25 16:00:36
83.85542,14.48548,2020-04-25 17:00:14
83.85199,14.48259,2020-04-25 18:00:13
83.84868,14.47762,2020-04-25 19:00:00
83.84525,14.47101,2020-04-25 20:00:02
83.84173,14.46233,2020-04-25 21:00:03
83.83813,14.45180,2020-04-25 22:00:29
83.83470,14.44130,2020-04-25 23:00:00
83.83154,14.43229,2020-04-26 00:00:29
83.82882,14.42694,2020-04-26 01:00:08
83.82632,14.42430,2020-04-26 02:00:30
83.82440,14.42716,2020-04-26 03:00:01
83.82252,14.42995,2020-04-26 04:00:02
83.82140,14.43589,2020-04-26 05:00:01
83.82040,14.43841,2020-04-26 06:00:30
83.81859,14.44111,2020-04-26 07:03:04
83.81674,14.44162,2020-04-26 08:00:01
83.80861,14.43389,2020-04-26 11:03:28
83.80611,14.43084,2020-04-26 12:00:01
