latitude,longitude,datetime
84.98740,134.47681,2019-10-14 07:00:00
84.98400,134.46381,2019-10-14 08:00:00
84.98060,134.44679,2019-10-14 09:00:00
84.97740,134.42380,2019-10-14 10:00:00
84.97480,134.39700,2019-10-14 11:00:00
84.97300,134.36940,2019-10-14 12:00:00
84.97180,134.34441,2019-10-14 13:00:00
84.97080,134.32539,2019-10-14 14:00:00
84.97020,134.31480,2019-10-14 15:00:00
84.96980,134.31441,2019-10-14 16:00:00
84.96920,134.32280,2019-10-14 17:00:00
84.96860,134.33659,2019-10-14 18:00:00
84.96760,134.35181,2019-10-14 19:00:00
84.96640,134.36340,2019-10-14 20:00:00
84.96540,134.36780,2019-10-14 21:00:00
84.96480,134.36360,2019-10-14 22:00:00
84.96460,134.35220,2019-10-14 23:00:00
84.96480,134.33740,2019-10-15 00:00:00
84.96560,134.32260,2019-10-15 01:00:00
84.96680,134.31140,2019-10-15 02:00:00
84.96800,134.30560,2019-10-15 03:00:00
84.96920,134.30679,2019-10-15 04:00:00
84.97020,134.31180,2019-10-15 05:00:00
84.97060,134.31720,2019-10-15 06:00:00
84.97080,134.32021,2019-10-15 07:00:00
84.97060,134.31821,2019-10-15 08:00:00
84.97040,134.30800,2019-10-15 09:00:00
84.97000,134.28999,2019-10-15 10:00:00
84.97000,134.26640,2019-10-15 11:00:00
84.97040,134.23920,2019-10-15 12:00:00
84.97120,134.21220,2019-10-15 13:00:00
84.97220,134.18961,2019-10-15 14:00:00
84.97320,134.17281,2019-10-15 15:00:00
84.97420,134.16200,2019-10-15 16:00:00
84.97460,134.15520,2019-10-15 17:00:00
84.97460,134.14720,2019-10-15 18:00:00
84.97400,134.13721,2019-10-15 19:00:00
84.97320,134.12061,2019-10-15 20:00:00
84.97260,134.09160,2019-10-15 21:00:00
84.97180,134.04900,2019-10-15 22:00:00
84.97140,133.99800,2019-10-15 23:00:00
84.97140,133.94580,2019-10-16 00:00:00
84.97180,133.89281,2019-10-16 01:00:00
84.97260,133.84500,2019-10-16 02:00:00
84.97360,133.80560,2019-10-16 03:00:00
84.97420,133.77960,2019-10-16 04:00:00
84.97420,133.76080,2019-10-16 05:00:00
84.97380,133.74580,2019-10-16 06:00:00
84.97280,133.73080,2019-10-16 07:00:00
84.97140,133.71220,2019-10-16 08:00:00
84.97000,133.68820,2019-10-16 09:00:00
84.96880,133.65581,2019-10-16 10:00:00
84.96800,133.61700,2019-10-16 11:00:00
84.96780,133.57581,2019-10-16 12:00:00
84.96800,133.53580,2019-10-16 13:00:00
84.96860,133.49899,2019-10-16 14:00:00
84.96960,133.47020,2019-10-16 15:00:00
84.97020,133.44839,2019-10-16 16:00:00
84.97060,133.43260,2019-10-16 17:00:00
84.97040,133.41960,2019-10-16 18:00:00
84.96960,133.40660,2019-10-16 19:00:00
84.96840,133.39059,2019-10-16 20:00:00
84.96700,133.36760,2019-10-16 21:00:00
84.96600,133.33640,2019-10-16 22:00:00
84.96500,133.29781,2019-10-16 23:00:00
84.96420,133.25180,2019-10-17 00:00:00
84.96380,133.20641,2019-10-17 01:00:00
84.96380,133.16740,2019-10-17 02:00:00
84.96380,133.13600,2019-10-17 03:00:00
84.96420,133.11420,2019-10-17 04:00:00
84.96440,133.10460,2019-10-17 05:00:00
84.96420,133.10361,2019-10-17 06:00:00
84.96380,133.10620,2019-10-17 07:00:00
84.96300,133.10580,2019-10-17 08:00:00
84.96180,133.10361,2019-10-17 09:00:00
84.96080,133.09200,2019-10-17 10:00:00
84.95980,133.07800,2019-10-17 11:00:00
84.95940,133.06340,2019-10-17 12:00:00
84.95940,133.04961,2019-10-17 13:00:00
84.96000,133.04080,2019-10-17 14:00:00
84.96100,133.04100,2019-10-17 15:00:00
84.96200,133.05060,2019-10-17 16:00:00
84.96320,133.06960,2019-10-17 17:00:00
84.96420,133.09680,2019-10-17 18:00:00
84.96500,133.12379,2019-10-17 19:00:00
84.96600,133.14680,2019-10-17 20:00:00
84.96680,133.16280,2019-10-17 21:00:00
84.96820,133.17059,2019-10-17 22:00:00
84.97020,133.17261,2019-10-17 23:00:00
84.97340,133.17200,2019-10-18 00:00:00
84.97720,133.17239,2019-10-18 01:00:00
84.98180,133.17760,2019-10-18 02:00:00
84.98660,133.18800,2019-10-18 03:00:00
84.99180,133.20580,2019-10-18 04:00:00
84.99680,133.22780,2019-10-18 05:00:00
85.00180,133.25121,2019-10-18 06:00:00
85.00620,133.27361,2019-10-18 07:00:00
85.01060,133.28960,2019-10-18 08:00:00
85.01460,133.29840,2019-10-18 09:00:00
85.01900,133.30119,2019-10-18 10:00:00
85.02380,133.29620,2019-10-18 11:00:00
85.02980,133.28799,2019-10-18 12:00:00
85.03620,133.28300,2019-10-18 13:00:00
85.04320,133.28360,2019-10-18 14:00:00
85.05080,133.29201,2019-10-18 15:00:00
85.05840,133.30679,2019-10-18 16:00:00
85.06560,133.32800,2019-10-18 17:00:00
85.07200,133.35040,2019-10-18 18:00:00
85.07760,133.37480,2019-10-18 19:00:00
85.08280,133.39240,2019-10-18 20:00:00
85.08780,133.40379,2019-10-18 21:00:00
85.09320,133.40601,2019-10-18 22:00:00
