latitude,longitude,datetime
85.96272,12.98294,2020-03-26 14:55:36
85.95646,12.98840,2020-03-26 16:00:00
85.95066,12.99436,2020-03-26 17:00:01
85.94484,13.00075,2020-03-26 18:00:36
85.93884,13.00741,2020-03-26 19:00:36
85.93267,13.01353,2020-03-26 20:00:02
85.92620,13.02151,2020-03-26 21:00:01
85.91924,13.03225,2020-03-26 22:00:32
85.91205,13.04294,2020-03-26 23:00:09
85.90468,13.05447,2020-03-27 00:00:01
85.89706,13.06780,2020-03-27 01:00:36
85.88968,13.08030,2020-03-27 02:00:29
85.88259,13.09401,2020-03-27 03:00:03
85.87547,13.10832,2020-03-27 04:00:25
85.86864,13.12425,2020-03-27 05:00:06
85.86208,13.14427,2020-03-27 06:00:32
85.85529,13.16715,2020-03-27 07:00:00
85.84792,13.19361,2020-03-27 08:00:35
85.83970,13.21973,2020-03-27 09:00:24
85.83076,13.24246,2020-03-27 10:00:06
85.82116,13.25998,2020-03-27 11:00:33
85.81127,13.27290,2020-03-27 12:00:00
85.80111,13.28279,2020-03-27 13:00:00
85.79092,13.29143,2020-03-27 14:00:29
85.78075,13.30089,2020-03-27 15:00:36
85.77068,13.31557,2020-03-27 16:00:24
85.76039,13.33159,2020-03-27 17:00:07
85.74944,13.34206,2020-03-27 18:00:40
85.73867,13.35566,2020-03-27 19:00:36
85.72800,13.36098,2020-03-27 20:00:01
85.71706,13.36231,2020-03-27 21:00:00
85.70579,13.35879,2020-03-27 22:00:32
85.69473,13.35427,2020-03-27 23:00:14
85.68375,13.34722,2020-03-28 00:00:07
85.67318,13.33808,2020-03-28 01:00:00
85.66332,13.33086,2020-03-28 02:00:33
85.65424,13.32345,2020-03-28 03:00:24
85.64559,13.31514,2020-03-28 04:00:00
85.63670,13.30339,2020-03-28 05:00:06
85.62775,13.28900,2020-03-28 06:00:32
85.61842,13.27155,2020-03-28 07:00:15
85.60925,13.25567,2020-03-28 08:00:01
85.59964,13.23631,2020-03-28 09:00:54
85.59013,13.21547,2020-03-28 10:00:20
85.58034,13.19294,2020-03-28 11:00:26
85.57088,13.17152,2020-03-28 12:00:01
85.56171,13.15223,2020-03-28 13:00:06
85.55281,13.13939,2020-03-28 14:00:58
85.54446,13.13365,2020-03-28 15:00:38
85.53673,13.13442,2020-03-28 16:00:00
85.52920,13.13753,2020-03-28 17:00:25
85.52185,13.14170,2020-03-28 18:00:00
85.51449,13.14480,2020-03-28 19:00:32
85.50717,13.14646,2020-03-28 20:00:02
85.49940,13.14680,2020-03-28 21:00:54
85.49182,13.14752,2020-03-28 22:00:25
85.48457,13.14600,2020-03-28 23:00:04
85.47760,13.14554,2020-03-29 00:00:07
85.47091,13.14518,2020-03-29 01:00:08
85.46449,13.14415,2020-03-29 02:00:00
85.45833,13.14550,2020-03-29 03:00:25
85.45220,13.14893,2020-03-29 04:00:00
85.44567,13.15077,2020-03-29 05:02:54
85.43979,13.15469,2020-03-29 06:00:04
85.43375,13.15455,2020-03-29 07:00:33
85.42789,13.15124,2020-03-29 08:00:01
85.42209,13.14468,2020-03-29 09:00:54
85.41656,13.13687,2020-03-29 10:00:35
85.41114,13.13256,2020-03-29 11:00:14
85.40568,13.12509,2020-03-29 12:00:01
85.40019,13.11873,2020-03-29 13:00:06
85.39322,13.10941,2020-03-29 14:21:32
85.39029,13.10522,2020-03-29 15:00:21
85.38608,13.10169,2020-03-29 16:00:51
85.38216,13.09631,2020-03-29 17:00:33
85.37824,13.09095,2020-03-29 18:00:01
85.37479,13.08774,2020-03-29 19:02:10
85.37201,13.08564,2020-03-29 20:00:01
85.36956,13.08317,2020-03-29 21:00:03
85.36749,13.08029,2020-03-29 22:00:54
85.36587,13.07864,2020-03-29 23:00:38
85.36460,13.07829,2020-03-30 00:00:08
85.36337,13.07783,2020-03-30 01:00:36
85.36216,13.07761,2020-03-30 02:00:04
85.36119,13.07751,2020-03-30 03:00:01
85.36069,13.07938,2020-03-30 04:00:32
85.36021,13.08292,2020-03-30 05:00:25
85.35993,13.08633,2020-03-30 06:00:00
85.35963,13.09071,2020-03-30 07:00:00
85.35933,13.09575,2020-03-30 08:00:26
85.35879,13.10301,2020-03-30 09:00:08
85.35820,13.10962,2020-03-30 10:00:47
85.35744,13.11826,2020-03-30 11:00:25
85.35645,13.12638,2020-03-30 12:00:01
85.35546,13.13678,2020-03-30 13:00:02
85.35463,13.15169,2020-03-30 14:00:58
85.35345,13.16800,2020-03-30 15:00:32
85.35199,13.18847,2020-03-30 16:00:14
85.35065,13.20929,2020-03-30 17:00:06
85.34923,13.23318,2020-03-30 18:00:32
85.34750,13.25862,2020-03-30 19:00:00
85.34564,13.28544,2020-03-30 20:00:36
85.34313,13.31087,2020-03-30 21:00:33
85.33994,13.33389,2020-03-30 22:00:06
85.33670,13.35786,2020-03-30 23:00:21
85.33322,13.38716,2020-03-31 00:00:40
85.32953,13.41877,2020-03-31 01:00:32
85.32574,13.45470,2020-03-31 02:00:06
85.32178,13.49359,2020-03-31 03:00:15
85.31762,13.53386,2020-03-31 04:00:25
85.31363,13.57608,2020-03-31 05:00:30
85.30977,13.62514,2020-03-31 06:00:01
85.30561,13.68032,2020-03-31 07:00:31
85.30128,13.73731,2020-03-31 08:00:06
85.29646,13.79775,2020-03-31 09:00:54
85.29105,13.85689,2020-03-31 10:00:03
85.28481,13.91537,2020-03-31 11:00:38
85.27818,13.97380,2020-03-31 12:00:07
85.27079,14.03253,2020-03-31 13:00:22
85.26353,14.09311,2020-03-31 14:00:31
85.25657,14.15499,2020-03-31 15:00:24
85.24953,14.22021,2020-03-31 16:00:54
85.24264,14.28811,2020-03-31 17:00:01
85.23567,14.36113,2020-03-31 18:00:32
85.22137,14.52050,2020-03-31 20:00:27
85.21622,14.57936,2020-03-31 20:42:04
85.21366,14.60872,2020-03-31 21:02:24
85.20610,14.69369,2020-03-31 22:00:00
