latitude,longitude,datetime
85.64740,125.46240,2019-10-29 02:00:00
85.65060,125.42320,2019-10-29 03:00:00
85.65360,125.38800,2019-10-29 04:00:00
85.65640,125.35400,2019-10-29 05:00:00
85.65900,125.31880,2019-10-29 06:00:00
85.66140,125.28000,2019-10-29 07:00:00
85.66400,125.23660,2019-10-29 08:00:00
85.66660,125.18860,2019-10-29 09:00:00
85.66940,125.13860,2019-10-29 10:00:00
85.67240,125.08520,2019-10-29 11:00:00
85.67580,125.03260,2019-10-29 12:00:00
85.67920,124.98480,2019-10-29 13:00:00
85.68240,124.94280,2019-10-29 14:00:00
85.68540,124.90500,2019-10-29 15:00:00
85.68820,124.87120,2019-10-29 16:00:00
85.69080,124.83940,2019-10-29 17:00:00
85.69300,124.80680,2019-10-29 18:00:00
85.69540,124.77200,2019-10-29 19:00:00
85.69760,124.73280,2019-10-29 20:00:00
85.70000,124.69200,2019-10-29 21:00:00
85.70240,124.64840,2019-10-29 22:00:00
85.70520,124.60180,2019-10-29 23:02:00
85.70800,124.55620,2019-10-30 00:00:00
85.71120,124.51240,2019-10-30 01:01:00
85.71400,124.47320,2019-10-30 02:00:00
85.71680,124.43780,2019-10-30 03:01:00
85.71920,124.40600,2019-10-30 04:00:00
85.72160,124.37560,2019-10-30 05:00:00
85.72360,124.34400,2019-10-30 06:00:00
85.72560,124.30960,2019-10-30 07:00:00
85.72760,124.26900,2019-10-30 08:00:00
85.72960,124.22480,2019-10-30 09:00:00
85.73200,124.17860,2019-10-30 10:00:00
85.73460,124.13180,2019-10-30 11:01:00
85.73720,124.08960,2019-10-30 12:00:00
85.74000,124.05100,2019-10-30 13:00:00
85.74240,124.01560,2019-10-30 14:00:00
85.74460,123.98440,2019-10-30 15:00:00
85.74620,123.95480,2019-10-30 16:00:00
85.74780,123.92540,2019-10-30 17:00:00
85.74920,123.89420,2019-10-30 18:00:00
85.75060,123.85960,2019-10-30 19:00:00
85.75200,123.82120,2019-10-30 20:00:00
85.75380,123.77920,2019-10-30 21:00:00
85.75600,123.73360,2019-10-30 22:01:00
85.75840,123.68740,2019-10-30 23:02:00
85.76100,123.64420,2019-10-31 00:01:00
85.76360,123.60300,2019-10-31 01:02:00
85.76600,123.56720,2019-10-31 02:02:00
85.76800,123.53620,2019-10-31 03:02:00
85.77000,123.50780,2019-10-31 04:02:00
85.77140,123.48040,2019-10-31 05:02:00
85.77280,123.45320,2019-10-31 06:01:00
85.77440,123.42420,2019-10-31 07:00:00
85.77600,123.39220,2019-10-31 08:01:00
85.77780,123.35760,2019-10-31 09:00:00
85.77980,123.32140,2019-10-31 10:00:00
85.78220,123.28380,2019-10-31 11:02:00
85.78460,123.25000,2019-10-31 12:01:00
85.78700,123.21780,2019-10-31 13:02:00
85.78920,123.18960,2019-10-31 14:02:00
85.79120,123.16460,2019-10-31 15:03:00
85.79280,123.14200,2019-10-31 16:03:00
85.79420,123.11940,2019-10-31 17:03:00
85.79560,123.09580,2019-10-31 18:02:00
85.79700,123.06980,2019-10-31 19:03:00
85.79840,123.04080,2019-10-31 20:03:00
85.80020,123.00960,2019-10-31 21:01:00
85.80220,122.97540,2019-10-31 22:02:00
85.80440,122.94120,2019-10-31 23:02:00
85.80700,122.90840,2019-11-01 00:02:00
85.80960,122.88000,2019-11-01 01:02:00
85.81200,122.85500,2019-11-01 02:02:00
85.81440,122.83500,2019-11-01 03:02:00
85.81640,122.81720,2019-11-01 04:02:00
85.81800,122.80100,2019-11-01 05:02:00
85.81960,122.78340,2019-11-01 06:03:00
85.82120,122.76400,2019-11-01 07:03:00
85.82280,122.74360,2019-11-01 08:02:00
85.82460,122.72040,2019-11-01 09:02:00
85.82680,122.69660,2019-11-01 10:02:00
85.82920,122.67340,2019-11-01 11:03:00
85.83160,122.65260,2019-11-01 12:03:00
85.83420,122.63640,2019-11-01 13:03:00
85.83640,122.62440,2019-11-01 14:03:00
85.83840,122.61660,2019-11-01 15:03:00
85.84000,122.61040,2019-11-01 16:04:00
85.84100,122.60480,2019-11-01 17:03:00
85.84200,122.59760,2019-11-01 18:03:00
85.84280,122.58640,2019-11-01 19:02:00
85.84380,122.57120,2019-11-01 20:03:00
85.84480,122.55380,2019-11-01 21:03:00
85.84620,122.53500,2019-11-01 22:03:00
85.84800,122.51400,2019-11-01 23:03:00
85.85000,122.49420,2019-11-02 00:04:00
85.85220,122.47740,2019-11-02 01:03:00
85.85420,122.46340,2019-11-02 02:02:00
85.85600,122.45220,2019-11-02 03:03:00
85.85740,122.44200,2019-11-02 04:03:00
85.85860,122.43060,2019-11-02 05:03:00
85.85940,122.41640,2019-11-02 06:03:00
85.86020,122.39800,2019-11-02 07:03:00
85.86100,122.37400,2019-11-02 08:03:00
85.86220,122.34900,2019-11-02 09:02:00
85.86360,122.31940,2019-11-02 10:02:00
85.86560,122.28720,2019-11-02 11:02:00
85.86780,122.25660,2019-11-02 12:03:00
85.87000,122.22960,2019-11-02 13:01:00
85.87240,122.20240,2019-11-02 14:02:00
85.87460,122.17640,2019-11-02 15:03:00
85.87620,122.15120,2019-11-02 16:02:00
85.87780,122.12320,2019-11-02 17:03:00
85.87920,122.09360,2019-11-02 18:02:00
85.88040,122.06020,2019-11-02 19:02:00
85.88180,122.02200,2019-11-02 20:03:00
85.88320,121.98020,2019-11-02 21:00:00
85.88520,121.93220,2019-11-02 22:02:00
85.88740,121.88420,2019-11-02 23:01:00
85.89000,121.83620,2019-11-03 00:02:00
85.89260,121.79220,2019-11-03 01:02:00
85.89520,121.75040,2019-11-03 02:02:00
85.89760,121.70980,2019-11-03 03:02:00
85.90000,121.66980,2019-11-03 04:02:00
85.90220,121.62640,2019-11-03 05:02:00
85.90380,121.57040,2019-11-03 06:03:00
85.90520,121.49920,2019-11-03 07:02:00
85.90620,121.41880,2019-11-03 08:00:00
85.90760,121.33220,2019-11-03 09:01:00
85.90920,121.24240,2019-11-03 10:02:00
85.91160,121.15240,2019-11-03 11:03:00
85.91420,121.06860,2019-11-03 12:03:00
85.91700,120.99520,2019-11-03 13:03:00
85.91980,120.92660,2019-11-03 14:02:00
85.92240,120.86600,2019-11-03 15:03:00
85.92460,120.81120,2019-11-03 16:02:00
85.92640,120.75500,2019-11-03 17:02:00
85.92820,120.69860,2019-11-03 18:03:00
85.92960,120.63860,2019-11-03 19:02:00
85.93100,120.57900,2019-11-03 20:02:00
85.93260,120.51580,2019-11-03 21:01:00
85.93460,120.44740,2019-11-03 22:02:00
85.93680,120.37700,2019-11-03 23:02:00
85.93900,120.30800,2019-11-04 00:02:00
85.94140,120.24320,2019-11-04 01:01:00
85.94400,120.17680,2019-11-04 02:01:00
85.94620,120.11880,2019-11-04 03:02:00
85.94820,120.06600,2019-11-04 04:01:00
85.94940,120.01400,2019-11-04 05:01:00
85.95060,119.96140,2019-11-04 06:01:00
85.95140,119.90460,2019-11-04 07:01:00
85.95260,119.83660,2019-11-04 08:00:00
85.95360,119.76620,2019-11-04 09:01:00
85.95500,119.69520,2019-11-04 10:01:00
85.95640,119.62660,2019-11-04 11:01:00
85.95800,119.56180,2019-11-04 12:00:00
85.95960,119.49820,2019-11-04 13:01:00
85.96100,119.43900,2019-11-04 14:02:00
85.96200,119.38460,2019-11-04 15:00:00
85.96280,119.33000,2019-11-04 16:01:00
85.96320,119.27800,2019-11-04 17:00:00
85.96320,119.22460,2019-11-04 18:01:00
85.96300,119.17040,2019-11-04 19:02:00
