latitude,longitude,datetime
85.64637,125.47337,2019-10-29 01:43:34
85.64732,125.46160,2019-10-29 02:00:14
85.64897,125.44154,2019-10-29 02:30:14
85.65059,125.42273,2019-10-29 03:00:14
85.65212,125.40455,2019-10-29 03:30:14
85.65356,125.38697,2019-10-29 04:00:14
85.65498,125.36992,2019-10-29 04:30:15
85.65635,125.35310,2019-10-29 05:00:14
85.65767,125.33582,2019-10-29 05:30:14
85.65897,125.31823,2019-10-29 06:00:14
85.66020,125.29940,2019-10-29 06:30:14
85.66144,125.27925,2019-10-29 07:00:14
85.66268,125.25801,2019-10-29 07:30:14
85.66393,125.23554,2019-10-29 08:00:14
85.66524,125.21221,2019-10-29 08:30:14
85.66657,125.18812,2019-10-29 09:00:14
85.66793,125.16320,2019-10-29 09:30:15
85.66939,125.13770,2019-10-29 10:00:14
85.67089,125.11134,2019-10-29 10:30:14
85.67248,125.08439,2019-10-29 11:00:14
85.67410,125.05803,2019-10-29 11:30:14
85.67580,125.03207,2019-10-29 12:00:14
85.67749,125.00723,2019-10-29 12:30:14
85.67915,124.98397,2019-10-29 13:00:14
85.68082,124.96224,2019-10-29 13:30:14
85.68244,124.94167,2019-10-29 14:00:15
85.68398,124.92228,2019-10-29 14:30:14
85.68548,124.90414,2019-10-29 15:00:14
85.68688,124.88686,2019-10-29 15:30:14
85.68821,124.87041,2019-10-29 16:00:14
85.68948,124.85451,2019-10-29 16:30:14
85.69072,124.83842,2019-10-29 17:00:14
85.69189,124.82228,2019-10-29 17:30:14
85.69305,124.80596,2019-10-29 18:00:14
85.69418,124.78881,2019-10-29 18:30:15
85.69530,124.77094,2019-10-29 19:00:14
85.69645,124.75209,2019-10-29 19:30:14
85.69762,124.73236,2019-10-29 20:00:14
85.69876,124.71194,2019-10-29 20:30:14
85.69992,124.69120,2019-10-29 21:00:14
85.70112,124.66960,2019-10-29 21:30:14
85.70237,124.64744,2019-10-29 22:00:14
85.70368,124.62492,2019-10-29 22:30:14
85.70506,124.60197,2019-10-29 23:00:15
85.70654,124.57869,2019-10-29 23:30:14
85.70804,124.55555,2019-10-30 00:00:14
85.70956,124.53360,2019-10-30 00:30:14
85.71108,124.51211,2019-10-30 01:00:14
85.71259,124.49164,2019-10-30 01:30:14
85.71403,124.47229,2019-10-30 02:00:14
85.71544,124.45411,2019-10-30 02:30:14
85.71679,124.43731,2019-10-30 03:00:14
85.71804,124.42097,2019-10-30 03:30:15
85.71925,124.40530,2019-10-30 04:00:14
85.72043,124.39014,2019-10-30 04:30:14
85.72152,124.37497,2019-10-30 05:00:14
85.72255,124.35928,2019-10-30 05:30:14
85.72357,124.34313,2019-10-30 06:00:14
85.72456,124.32656,2019-10-30 06:30:14
85.72556,124.30862,2019-10-30 07:00:14
85.72655,124.28904,2019-10-30 07:30:14
85.72756,124.26839,2019-10-30 08:00:15
85.72858,124.24677,2019-10-30 08:30:14
85.72965,124.22398,2019-10-30 09:00:14
85.73077,124.20067,2019-10-30 09:30:14
85.73196,124.17735,2019-10-30 10:00:14
85.73322,124.15450,2019-10-30 10:30:14
85.73452,124.13149,2019-10-30 11:00:14
85.73586,124.10965,2019-10-30 11:30:14
85.73723,124.08887,2019-10-30 12:00:14
85.73857,124.06896,2019-10-30 12:30:14
85.73989,124.05001,2019-10-30 13:00:15
85.74114,124.03230,2019-10-30 13:30:14
85.74236,124.01489,2019-10-30 14:00:14
85.74347,123.99865,2019-10-30 14:30:14
85.74449,123.98331,2019-10-30 15:00:14
85.74544,123.96822,2019-10-30 15:30:14
85.74629,123.95374,2019-10-30 16:00:14
85.74706,123.93933,2019-10-30 16:30:14
85.74777,123.92461,2019-10-30 17:00:14
85.74845,123.90926,2019-10-30 17:30:15
85.74913,123.89321,2019-10-30 18:00:14
85.74980,123.87637,2019-10-30 18:30:14
85.75052,123.85857,2019-10-30 19:00:14
85.75125,123.84010,2019-10-30 19:30:14
85.75204,123.82057,2019-10-30 20:00:14
85.75288,123.79976,2019-10-30 20:30:14
85.75381,123.77824,2019-10-30 21:00:14
85.75481,123.75600,2019-10-30 21:30:14
85.75591,123.73340,2019-10-30 22:00:15
85.75706,123.71068,2019-10-30 22:30:14
85.75831,123.68812,2019-10-30 23:00:14
85.75957,123.66563,2019-10-30 23:30:14
85.76086,123.64385,2019-10-31 00:00:14
85.76218,123.62305,2019-10-31 00:30:14
85.76348,123.60315,2019-10-31 01:00:14
85.76469,123.58503,2019-10-31 01:30:14
85.76587,123.56764,2019-10-31 02:00:14
85.76696,123.55127,2019-10-31 02:30:15
85.76798,123.53610,2019-10-31 03:00:14
85.76891,123.52153,2019-10-31 03:30:14
85.76978,123.50755,2019-10-31 04:00:14
85.77058,123.49396,2019-10-31 04:30:14
85.77139,123.48037,2019-10-31 05:00:14
85.77213,123.46674,2019-10-31 05:30:14
85.77285,123.45274,2019-10-31 06:00:14
85.77358,123.43842,2019-10-31 06:30:15
85.77432,123.42351,2019-10-31 07:00:14
85.77509,123.40792,2019-10-31 07:30:14
85.77591,123.39164,2019-10-31 08:00:14
85.77679,123.37457,2019-10-31 08:30:14
85.77773,123.35680,2019-10-31 09:00:14
85.77873,123.33869,2019-10-31 09:30:14
85.77980,123.32050,2019-10-31 10:00:14
85.78092,123.30238,2019-10-31 10:30:14
85.78209,123.28426,2019-10-31 11:00:15
85.78330,123.26666,2019-10-31 11:30:14
85.78452,123.24964,2019-10-31 12:00:14
85.78572,123.23322,2019-10-31 12:30:14
85.78692,123.21770,2019-10-31 13:00:14
85.78806,123.20317,2019-10-31 13:30:14
85.78915,123.18951,2019-10-31 14:00:14
85.79018,123.17684,2019-10-31 14:30:14
85.79111,123.16492,2019-10-31 15:00:15
85.79197,123.15337,2019-10-31 15:30:14
85.79277,123.14193,2019-10-31 16:00:14
85.79350,123.13076,2019-10-31 16:30:14
85.79420,123.11935,2019-10-31 17:00:14
85.79487,123.10784,2019-10-31 17:30:14
85.79555,123.09584,2019-10-31 18:00:14
85.79621,123.08327,2019-10-31 18:30:14
85.79689,123.07001,2019-10-31 19:00:14
85.79762,123.05607,2019-10-31 19:30:15
85.79836,123.04120,2019-10-31 20:00:14
85.79919,123.02559,2019-10-31 20:30:14
85.80006,123.00935,2019-10-31 21:00:14
85.80103,122.99260,2019-10-31 21:30:14
85.80206,122.97544,2019-10-31 22:00:14
85.80317,122.95820,2019-10-31 22:30:14
85.80436,122.94097,2019-10-31 23:00:14
85.80559,122.92420,2019-10-31 23:30:15
85.80687,122.90849,2019-11-01 00:00:14
85.80816,122.89375,2019-11-01 00:30:14
85.80943,122.88010,2019-11-01 01:00:14
85.81069,122.86720,2019-11-01 01:30:14
85.81192,122.85487,2019-11-01 02:00:14
85.81308,122.84361,2019-11-01 02:30:14
85.81422,122.83466,2019-11-01 03:00:14
85.81527,122.82556,2019-11-01 03:30:14
85.81622,122.81689,2019-11-01 04:00:15
85.81712,122.80877,2019-11-01 04:30:14
85.81793,122.80042,2019-11-01 05:00:14
85.81873,122.79205,2019-11-01 05:30:14
85.81950,122.78339,2019-11-01 06:00:14
85.82027,122.77397,2019-11-01 06:30:14
85.82104,122.76407,2019-11-01 07:00:14
85.82185,122.75378,2019-11-01 07:30:14
85.82269,122.74323,2019-11-01 08:00:14
85.82360,122.73203,2019-11-01 08:30:15
85.82458,122.72029,2019-11-01 09:00:14
85.82565,122.70840,2019-11-01 09:30:14
85.82672,122.69636,2019-11-01 10:00:14
85.82783,122.68462,2019-11-01 10:30:14
85.82906,122.67339,2019-11-01 11:00:14
85.83031,122.66254,2019-11-01 11:30:14
85.83156,122.65257,2019-11-01 12:00:14
85.83280,122.64380,2019-11-01 12:30:14
85.83401,122.63629,2019-11-01 13:00:15
85.83517,122.62964,2019-11-01 13:30:14
85.83628,122.62397,2019-11-01 14:00:14
85.83732,122.61961,2019-11-01 14:30:14
85.83828,122.61610,2019-11-01 15:00:14
85.83908,122.61276,2019-11-01 15:30:14
85.83981,122.60983,2019-11-01 16:00:14
85.84042,122.60706,2019-11-01 16:30:14
85.84097,122.60416,2019-11-01 17:00:14
85.84144,122.60073,2019-11-01 17:30:15
85.84188,122.59681,2019-11-01 18:00:14
85.84233,122.59197,2019-11-01 18:30:14
85.84277,122.58587,2019-11-01 19:00:14
85.84322,122.57881,2019-11-01 19:30:14
85.84368,122.57109,2019-11-01 20:00:14
85.84418,122.56244,2019-11-01 20:30:14
85.84472,122.55360,2019-11-01 21:00:14
85.84531,122.54477,2019-11-01 21:30:14
85.84604,122.53508,2019-11-01 22:00:15
85.84689,122.52486,2019-11-01 22:30:14
85.84784,122.51425,2019-11-01 23:00:14
85.84882,122.50405,2019-11-01 23:30:14
85.84987,122.49433,2019-11-02 00:00:14
85.85093,122.48539,2019-11-02 00:30:14
85.85199,122.47710,2019-11-02 01:00:14
85.85305,122.46954,2019-11-02 01:30:14
85.85406,122.46289,2019-11-02 02:00:14
85.85503,122.45718,2019-11-02 02:30:14
85.85590,122.45163,2019-11-02 03:00:15
85.85665,122.44659,2019-11-02 03:30:14
85.85735,122.44165,2019-11-02 04:00:14
85.85792,122.43633,2019-11-02 04:30:14
85.85847,122.43024,2019-11-02 05:00:14
85.85892,122.42367,2019-11-02 05:30:14
85.85931,122.41625,2019-11-02 06:00:14
85.85968,122.40773,2019-11-02 06:30:14
85.86008,122.39777,2019-11-02 07:00:14
85.86048,122.38670,2019-11-02 07:30:15
85.86096,122.37456,2019-11-02 08:00:14
85.86150,122.36209,2019-11-02 08:30:14
85.86212,122.34891,2019-11-02 09:00:14
85.86279,122.33476,2019-11-02 09:30:14
85.86361,122.31918,2019-11-02 10:00:14
85.86453,122.30304,2019-11-02 10:30:14
85.86555,122.28701,2019-11-02 11:00:14
85.86662,122.27254,2019-11-02 11:30:15
85.86772,122.25724,2019-11-02 12:00:14
85.86890,122.24261,2019-11-02 12:30:14
85.87006,122.22883,2019-11-02 13:00:14
85.87122,122.21536,2019-11-02 13:30:14
85.87233,122.20222,2019-11-02 14:00:14
85.87343,122.18919,2019-11-02 14:30:14
85.87443,122.17643,2019-11-02 15:00:15
85.87534,122.16328,2019-11-02 15:30:14
85.87616,122.15120,2019-11-02 16:00:14
85.87698,122.13776,2019-11-02 16:30:14
85.87772,122.12366,2019-11-02 17:00:14
85.87840,122.10918,2019-11-02 17:30:14
85.87907,122.09383,2019-11-02 18:00:14
85.87969,122.07756,2019-11-02 18:30:14
85.88032,122.06046,2019-11-02 19:00:15
85.88096,122.04239,2019-11-02 19:30:14
85.88165,122.02284,2019-11-02 20:00:14
85.88245,122.00160,2019-11-02 20:30:14
85.88326,121.97972,2019-11-02 21:00:14
85.88417,121.95670,2019-11-02 21:30:14
85.88516,121.93266,2019-11-02 22:00:14
85.88625,121.90839,2019-11-02 22:30:14
85.88741,121.88390,2019-11-02 23:00:15
85.88863,121.86034,2019-11-02 23:30:14
85.88988,121.83724,2019-11-03 00:00:14
85.89120,121.81463,2019-11-03 00:30:14
85.89251,121.79260,2019-11-03 01:00:14
85.89380,121.77140,2019-11-03 01:30:14
85.89507,121.75098,2019-11-03 02:00:14
85.89624,121.73181,2019-11-03 02:30:14
85.89747,121.71018,2019-11-03 03:00:15
85.89861,121.69101,2019-11-03 03:30:14
85.89988,121.67012,2019-11-03 04:00:14
85.90102,121.64806,2019-11-03 04:30:14
85.90209,121.62692,2019-11-03 05:00:14
85.90302,121.60191,2019-11-03 05:30:14
85.90382,121.57232,2019-11-03 06:00:14
85.90450,121.53909,2019-11-03 06:30:14
85.90504,121.50146,2019-11-03 07:00:14
85.90571,121.45966,2019-11-03 07:30:14
85.90630,121.41818,2019-11-03 08:00:15
85.90694,121.37536,2019-11-03 08:30:14
85.90759,121.33213,2019-11-03 09:00:14
85.90842,121.28770,2019-11-03 09:30:14
85.90921,121.24410,2019-11-03 10:00:14
85.91024,121.20046,2019-11-03 10:30:14
85.91142,121.15594,2019-11-03 11:00:14
85.91273,121.11298,2019-11-03 11:30:14
85.91402,121.07217,2019-11-03 12:00:15
85.91544,121.03336,2019-11-03 12:30:14
85.91682,120.99786,2019-11-03 13:00:14
85.91830,120.96239,2019-11-03 13:30:14
85.91976,120.92824,2019-11-03 14:00:14
85.92110,120.89754,2019-11-03 14:30:14
85.92233,120.86812,2019-11-03 15:00:14
85.92344,120.83981,2019-11-03 15:30:14
85.92444,120.81233,2019-11-03 16:00:15
85.92544,120.78453,2019-11-03 16:30:14
85.92635,120.75594,2019-11-03 17:00:14
85.92720,120.72837,2019-11-03 17:30:14
85.92802,120.70061,2019-11-03 18:00:14
85.92879,120.67110,2019-11-03 18:30:14
85.92945,120.64014,2019-11-03 19:00:14
85.93018,120.61081,2019-11-03 19:30:14
85.93098,120.58083,2019-11-03 20:00:14
85.93180,120.54965,2019-11-03 20:30:15
85.93264,120.51660,2019-11-03 21:00:14
85.93349,120.48418,2019-11-03 21:30:14
85.93446,120.44883,2019-11-03 22:00:14
85.93552,120.41381,2019-11-03 22:30:14
85.93664,120.37796,2019-11-03 23:00:14
85.93778,120.34228,2019-11-03 23:30:14
85.93895,120.30928,2019-11-04 00:00:14
85.94013,120.27670,2019-11-04 00:30:14
85.94140,120.24353,2019-11-04 01:00:15
85.94270,120.20975,2019-11-04 01:30:14
85.94396,120.17751,2019-11-04 02:00:14
85.94511,120.14865,2019-11-04 02:30:14
85.94623,120.11972,2019-11-04 03:00:14
85.94719,120.09249,2019-11-04 03:30:14
85.94805,120.06631,2019-11-04 04:00:14
85.94881,120.03995,2019-11-04 04:30:14
85.94944,120.01392,2019-11-04 05:00:14
85.95000,119.98782,2019-11-04 05:30:15
85.95049,119.96136,2019-11-04 06:00:14
85.95094,119.93387,2019-11-04 06:30:14
85.95142,119.90434,2019-11-04 07:00:14
85.95194,119.87101,2019-11-04 07:30:14
85.95249,119.83651,2019-11-04 08:00:14
85.95304,119.80135,2019-11-04 08:30:14
85.95361,119.76623,2019-11-04 09:00:14
