latitude,longitude,datetime
84.91877,131.26248,2019-10-05 13:07:11
84.91952,131.25072,2019-10-05 13:58:08
84.92027,131.23479,2019-10-05 14:58:07
84.92110,131.21663,2019-10-05 15:58:07
84.92185,131.19637,2019-10-05 16:58:07
84.92295,131.17807,2019-10-05 17:58:08
84.92440,131.16168,2019-10-05 18:58:07
84.92617,131.14708,2019-10-05 19:58:07
84.92848,131.13985,2019-10-05 20:58:07
84.93087,131.13492,2019-10-05 21:58:08
84.93345,131.13489,2019-10-05 22:58:07
84.93584,131.13831,2019-10-05 23:58:07
84.93761,131.14299,2019-10-06 00:58:07
84.93906,131.14668,2019-10-06 01:58:08
84.93998,131.14867,2019-10-06 02:58:07
84.94013,131.14893,2019-10-06 03:58:07
84.94028,131.14651,2019-10-06 04:58:07
84.94064,131.14307,2019-10-06 05:58:08
84.94117,131.14160,2019-10-06 06:58:07
84.94148,131.14241,2019-10-06 07:58:07
84.94218,131.14661,2019-10-06 08:58:07
84.94268,131.15382,2019-10-06 09:58:07
84.94307,131.16391,2019-10-06 10:58:08
84.94315,131.17429,2019-10-06 11:58:08
84.94282,131.18333,2019-10-06 12:58:07
84.94215,131.18941,2019-10-06 13:58:08
84.94128,131.19426,2019-10-06 14:58:07
84.94033,131.19661,2019-10-06 15:58:08
84.93957,131.19908,2019-10-06 16:58:07
84.93925,131.20245,2019-10-06 17:58:08
84.93858,131.20934,2019-10-06 18:58:07
84.93845,131.21671,2019-10-06 19:58:08
84.93843,131.22688,2019-10-06 20:58:07
84.93872,131.24019,2019-10-06 21:58:08
84.93882,131.25661,2019-10-06 22:58:07
84.93877,131.27661,2019-10-06 23:58:07
84.93847,131.30029,2019-10-07 00:58:07
84.93777,131.32480,2019-10-07 01:58:07
84.93710,131.35162,2019-10-07 02:58:07
84.93607,131.37566,2019-10-07 03:58:08
84.93478,131.39758,2019-10-07 04:58:07
84.93346,131.41687,2019-10-07 05:58:07
84.93230,131.43491,2019-10-07 06:58:07
84.93147,131.45364,2019-10-07 07:58:07
84.93098,131.47522,2019-10-07 08:58:07
84.93065,131.50139,2019-10-07 09:58:08
84.93027,131.53238,2019-10-07 10:58:07
84.92948,131.56731,2019-10-07 11:58:07
84.92831,131.60320,2019-10-07 12:58:07
84.92690,131.63902,2019-10-07 13:58:08
84.92523,131.67438,2019-10-07 14:58:08
84.92320,131.70840,2019-10-07 15:58:07
84.92087,131.74443,2019-10-07 16:58:07
84.91867,131.78183,2019-10-07 17:58:08
84.91660,131.82037,2019-10-07 18:58:07
84.91460,131.86493,2019-10-07 19:58:08
84.91267,131.91399,2019-10-07 20:58:08
84.91047,131.96570,2019-10-07 21:58:08
84.90818,132.02110,2019-10-07 22:58:07
84.90563,132.07819,2019-10-07 23:58:08
84.90287,132.13480,2019-10-08 00:58:07
84.89990,132.19304,2019-10-08 01:58:07
84.89695,132.25053,2019-10-08 02:58:07
84.89404,132.30931,2019-10-08 03:58:07
84.89145,132.37508,2019-10-08 04:58:07
84.88876,132.45164,2019-10-08 05:58:07
84.88558,132.53970,2019-10-08 06:58:07
84.88242,132.63448,2019-10-08 07:58:08
84.87910,132.73363,2019-10-08 08:58:08
84.87532,132.83667,2019-10-08 09:58:07
84.87105,132.93872,2019-10-08 10:58:07
84.86628,133.03412,2019-10-08 11:58:07
84.86090,133.12566,2019-10-08 12:58:08
84.85505,133.21155,2019-10-08 13:58:08
84.84887,133.28632,2019-10-08 14:58:07
84.84223,133.34787,2019-10-08 15:58:07
84.83545,133.39601,2019-10-08 16:58:08
84.82882,133.43237,2019-10-08 17:58:07
84.82201,133.45758,2019-10-08 18:58:08
84.81527,133.46748,2019-10-08 19:58:07
84.80912,133.47052,2019-10-08 20:58:07
84.80383,133.46843,2019-10-08 21:58:08
84.79930,133.46437,2019-10-08 22:58:07
84.79527,133.45726,2019-10-08 23:58:08
84.79197,133.45688,2019-10-09 00:58:07
84.78867,133.45833,2019-10-09 01:58:07
84.78477,133.46118,2019-10-09 02:58:07
84.78060,133.46083,2019-10-09 03:58:07
84.77640,133.45334,2019-10-09 04:58:08
84.77222,133.44138,2019-10-09 05:58:07
84.76828,133.42320,2019-10-09 06:58:07
84.76510,133.40036,2019-10-09 07:58:07
84.76272,133.37691,2019-10-09 08:58:08
84.76090,133.35349,2019-10-09 09:58:07
84.75992,133.33257,2019-10-09 10:58:07
84.75964,133.31557,2019-10-09 11:58:07
84.75912,133.30376,2019-10-09 12:58:07
84.75857,133.29558,2019-10-09 13:58:07
84.75795,133.29048,2019-10-09 14:58:07
84.75718,133.28577,2019-10-09 15:58:07
84.75580,133.27658,2019-10-09 16:58:07
84.75432,133.26457,2019-10-09 17:58:07
84.75317,133.24857,2019-10-09 18:58:07
84.75225,133.23499,2019-10-09 19:58:07
84.75150,133.22304,2019-10-09 20:58:07
84.75108,133.21245,2019-10-09 21:58:07
84.75118,133.20435,2019-10-09 22:58:07
84.75179,133.19791,2019-10-09 23:58:08
