latitude,longitude,datetime
85.12775,133.21672,2019-10-10 03:31:11
85.12840,133.19257,2019-10-10 04:00:14
85.12897,133.17087,2019-10-10 04:30:14
85.12926,133.15256,2019-10-10 05:00:14
85.12949,133.13443,2019-10-10 05:30:14
85.12967,133.11778,2019-10-10 06:00:15
85.12972,133.10522,2019-10-10 06:30:14
85.12948,133.09505,2019-10-10 07:00:14
85.12912,133.08394,2019-10-10 07:30:14
85.12860,133.07219,2019-10-10 08:00:14
85.12803,133.05939,2019-10-10 08:30:14
85.12741,133.04688,2019-10-10 09:00:14
85.12666,133.03436,2019-10-10 09:30:14
85.12579,133.02165,2019-10-10 10:00:14
85.12495,133.00841,2019-10-10 10:30:15
85.12418,132.99530,2019-10-10 11:00:14
85.12338,132.98239,2019-10-10 11:30:14
85.12265,132.96997,2019-10-10 12:00:14
85.12197,132.95869,2019-10-10 12:30:14
85.12133,132.94855,2019-10-10 13:00:14
85.12079,132.94049,2019-10-10 13:30:14
85.12028,132.93428,2019-10-10 14:00:14
85.11983,132.93047,2019-10-10 14:30:14
85.11940,132.92906,2019-10-10 15:00:15
85.11906,132.92978,2019-10-10 15:30:14
85.11874,132.93266,2019-10-10 16:00:14
85.11842,132.93880,2019-10-10 16:30:14
85.11806,132.94843,2019-10-10 17:00:14
85.11769,132.96121,2019-10-10 17:30:14
85.11712,132.97736,2019-10-10 18:00:14
85.11644,132.99519,2019-10-10 18:30:14
85.11569,133.01462,2019-10-10 19:00:15
85.11468,133.03542,2019-10-10 19:30:14
85.11349,133.05721,2019-10-10 20:00:14
85.11214,133.07945,2019-10-10 20:30:14
85.11048,133.10310,2019-10-10 21:00:14
85.10864,133.12599,2019-10-10 21:30:14
85.10647,133.14832,2019-10-10 22:00:14
85.10408,133.16879,2019-10-10 22:30:14
85.10162,133.18660,2019-10-10 23:00:15
85.09917,133.20250,2019-10-10 23:30:14
85.09661,133.21634,2019-10-11 00:00:14
85.09408,133.22868,2019-10-11 00:30:14
85.09165,133.23982,2019-10-11 01:00:14
85.08945,133.24944,2019-10-11 01:30:14
85.08740,133.25679,2019-10-11 02:00:14
85.08549,133.26224,2019-10-11 02:30:14
85.08369,133.26782,2019-10-11 03:00:14
85.08208,133.27498,2019-10-11 03:30:15
85.08065,133.28325,2019-10-11 04:00:14
85.07922,133.29213,2019-10-11 04:30:14
85.07783,133.30397,2019-10-11 05:00:14
