latitude,longitude,datetime
84.64280,134.95560,2019-10-14 07:00:00
84.63960,134.94180,2019-10-14 08:01:00
84.63620,134.92419,2019-10-14 09:01:00
84.63300,134.90120,2019-10-14 10:01:00
84.63040,134.87480,2019-10-14 11:01:00
84.62860,134.84641,2019-10-14 12:01:00
84.62720,134.82100,2019-10-14 13:00:00
84.62640,134.80161,2019-10-14 14:01:00
84.62580,134.78999,2019-10-14 15:00:00
84.62540,134.78700,2019-10-14 16:00:00
84.62480,134.79179,2019-10-14 17:00:00
84.62400,134.80099,2019-10-14 18:00:00
84.62320,134.81081,2019-10-14 19:00:00
84.62200,134.81841,2019-10-14 20:00:00
84.62100,134.82120,2019-10-14 21:01:00
84.62040,134.81700,2019-10-14 22:01:00
84.62020,134.80600,2019-10-14 23:01:00
84.62040,134.79140,2019-10-15 00:01:00
84.62120,134.77699,2019-10-15 01:01:00
84.62240,134.76559,2019-10-15 02:01:00
84.62360,134.75880,2019-10-15 03:01:00
84.62480,134.75861,2019-10-15 04:01:00
84.62580,134.76160,2019-10-15 05:01:00
84.62620,134.76640,2019-10-15 06:01:00
84.62640,134.76880,2019-10-15 07:01:00
84.62620,134.76579,2019-10-15 08:01:00
84.62580,134.75560,2019-10-15 09:01:00
84.62560,134.73820,2019-10-15 10:01:00
84.62560,134.71480,2019-10-15 11:01:00
84.62600,134.68800,2019-10-15 12:01:00
84.62680,134.66161,2019-10-15 13:01:00
84.62780,134.63860,2019-10-15 14:01:00
84.62880,134.62120,2019-10-15 15:01:00
84.62960,134.60960,2019-10-15 16:00:00
84.63020,134.60100,2019-10-15 17:01:00
84.63020,134.58960,2019-10-15 18:01:00
84.63020,134.56700,2019-10-15 19:01:00
84.62980,134.53740,2019-10-15 20:02:00
84.62940,134.49820,2019-10-15 21:02:00
84.62900,134.44220,2019-10-15 22:01:00
84.62840,134.37880,2019-10-15 23:01:00
84.62840,134.31700,2019-10-16 00:01:00
84.62900,134.25940,2019-10-16 01:00:00
84.62980,134.20880,2019-10-16 02:01:00
84.63080,134.16800,2019-10-16 03:01:00
84.63140,134.13680,2019-10-16 04:01:00
84.63140,134.11060,2019-10-16 05:01:00
84.63100,134.08780,2019-10-16 06:01:00
84.63000,134.06219,2019-10-16 07:01:00
84.62860,134.03340,2019-10-16 08:01:00
84.62720,133.99780,2019-10-16 09:01:00
84.62620,133.95580,2019-10-16 10:00:00
84.62560,133.90800,2019-10-16 11:01:00
84.62540,133.85899,2019-10-16 12:01:00
84.62580,133.81140,2019-10-16 13:01:00
84.62660,133.76900,2019-10-16 14:00:00
84.62760,133.73100,2019-10-16 15:02:00
84.62840,133.70180,2019-10-16 16:02:00
84.62880,133.67799,2019-10-16 17:01:00
84.62860,133.65781,2019-10-16 18:02:00
84.62800,133.64020,2019-10-16 19:01:00
84.62680,133.61980,2019-10-16 20:02:00
84.62540,133.59480,2019-10-16 21:02:00
84.62440,133.56039,2019-10-16 22:03:00
84.62340,133.51920,2019-10-16 23:02:00
84.62280,133.47180,2019-10-17 00:02:00
84.62240,133.42680,2019-10-17 01:03:00
84.62200,133.38840,2019-10-17 02:03:00
84.62200,133.35640,2019-10-17 03:01:00
84.62220,133.33060,2019-10-17 04:01:00
84.62240,133.31619,2019-10-17 05:01:00
84.62220,133.31300,2019-10-17 06:00:00
84.62180,133.31239,2019-10-17 07:00:00
84.62080,133.31000,2019-10-17 08:01:00
84.61960,133.30360,2019-10-17 09:00:00
84.61840,133.29340,2019-10-17 10:01:00
