latitude,longitude,datetime
84.74073,135.83458,2019-10-11 02:20:00
84.74003,135.83765,2019-10-11 02:30:00
84.73933,135.84042,2019-10-11 02:40:00
84.73867,135.84300,2019-10-11 02:50:00
84.73805,135.84540,2019-10-11 03:00:00
84.73746,135.84789,2019-10-11 03:10:00
84.73688,135.85048,2019-10-11 03:20:00
84.73631,135.85312,2019-10-11 03:30:00
84.73574,135.85594,2019-10-11 03:40:00
84.73520,135.85869,2019-10-11 03:50:00
84.73466,135.86153,2019-10-11 04:00:00
84.73415,135.86447,2019-10-11 04:10:00
84.73367,135.86749,2019-10-11 04:20:00
84.73321,135.87044,2019-10-11 04:30:00
84.73278,135.87340,2019-10-11 04:40:00
84.73237,135.87653,2019-10-11 04:50:00
84.73198,135.87975,2019-10-11 05:00:00
84.73161,135.88333,2019-10-11 05:10:00
84.73122,135.88704,2019-10-11 05:20:00
84.73083,135.89108,2019-10-11 05:30:00
84.73039,135.89491,2019-10-11 05:40:00
84.72987,135.89938,2019-10-11 05:50:00
84.72929,135.90393,2019-10-11 06:00:00
84.72864,135.90889,2019-10-11 06:10:00
84.72797,135.91428,2019-10-11 06:20:00
84.72726,135.92003,2019-10-11 06:30:00
84.72651,135.92595,2019-10-11 06:40:00
84.72570,135.93188,2019-10-11 06:50:00
84.72486,135.93782,2019-10-11 07:00:00
84.72402,135.94371,2019-10-11 07:10:00
84.72317,135.94939,2019-10-11 07:20:00
84.72229,135.95470,2019-10-11 07:30:00
84.72140,135.95973,2019-10-11 07:40:00
84.72050,135.96451,2019-10-11 07:50:00
84.71958,135.96913,2019-10-11 08:00:00
84.71877,135.97307,2019-10-11 08:10:00
84.71792,135.97687,2019-10-11 08:20:00
84.71706,135.98029,2019-10-11 08:30:00
84.71620,135.98341,2019-10-11 08:40:00
84.71535,135.98621,2019-10-11 08:50:00
84.71451,135.98866,2019-10-11 09:00:00
84.71369,135.99092,2019-10-11 09:10:00
84.71289,135.99278,2019-10-11 09:20:00
84.71212,135.99451,2019-10-11 09:30:00
84.71136,135.99612,2019-10-11 09:40:00
84.71062,135.99757,2019-10-11 09:50:00
84.70989,135.99876,2019-10-11 10:00:00
84.70919,135.99986,2019-10-11 10:10:00
84.70851,136.00076,2019-10-11 10:20:00
84.70787,136.00168,2019-10-11 10:30:00
84.70724,136.00247,2019-10-11 10:40:00
84.70663,136.00316,2019-10-11 10:50:00
84.70605,136.00377,2019-10-11 11:00:00
84.70546,136.00421,2019-10-11 11:10:00
84.70493,136.00471,2019-10-11 11:20:00
84.70441,136.00507,2019-10-11 11:30:00
84.70390,136.00548,2019-10-11 11:40:00
84.70339,136.00601,2019-10-11 11:50:00
84.70292,136.00655,2019-10-11 12:00:00
84.70246,136.00720,2019-10-11 12:10:00
84.70201,136.00793,2019-10-11 12:20:00
84.70158,136.00873,2019-10-11 12:30:00
84.70118,136.00972,2019-10-11 12:40:00
84.70080,136.01080,2019-10-11 12:50:00
84.70044,136.01193,2019-10-11 13:00:00
84.70010,136.01312,2019-10-11 13:10:00
84.69977,136.01468,2019-10-11 13:20:00
84.69946,136.01645,2019-10-11 13:30:00
84.69916,136.01834,2019-10-11 13:40:00
84.69886,136.02051,2019-10-11 13:50:00
84.69855,136.02296,2019-10-11 14:00:00
84.69830,136.02536,2019-10-11 14:10:00
84.69803,136.02814,2019-10-11 14:20:00
84.69777,136.03110,2019-10-11 14:30:00
84.69752,136.03429,2019-10-11 14:40:00
84.69727,136.03763,2019-10-11 14:50:00
84.69704,136.04114,2019-10-11 15:00:00
84.69682,136.04472,2019-10-11 15:10:00
84.69661,136.04837,2019-10-11 15:20:00
84.69641,136.05220,2019-10-11 15:30:00
84.69622,136.05612,2019-10-11 15:40:00
84.69604,136.05995,2019-10-11 15:50:00
84.69588,136.06387,2019-10-11 16:00:00
84.69573,136.06789,2019-10-11 16:10:00
84.69558,136.07193,2019-10-11 16:20:00
84.69543,136.07616,2019-10-11 16:30:00
84.69526,136.08064,2019-10-11 16:40:00
84.69508,136.08517,2019-10-11 16:50:00
84.69489,136.08992,2019-10-11 17:00:00
84.69468,136.09477,2019-10-11 17:10:00
84.69447,136.09979,2019-10-11 17:21:00
84.69424,136.10434,2019-10-11 17:30:00
84.69399,136.10919,2019-10-11 17:40:00
84.69374,136.11386,2019-10-11 17:50:00
84.69349,136.11839,2019-10-11 18:00:00
84.69324,136.12286,2019-10-11 18:10:00
84.69299,136.12715,2019-10-11 18:20:00
84.69273,136.13135,2019-10-11 18:30:00
84.69247,136.13538,2019-10-11 18:40:00
84.69219,136.13921,2019-10-11 18:50:00
84.69192,136.14291,2019-10-11 19:00:00
84.69164,136.14645,2019-10-11 19:10:00
84.69138,136.14989,2019-10-11 19:20:00
84.69112,136.15306,2019-10-11 19:30:00
84.69083,136.15611,2019-10-11 19:40:00
