DN Station ID,Sensor ID,Buoy Type,Deployment Date,Deployment Latitude,Deployment Longitude,Drift Distance (km),Mean Speed (m/s),Total Duration (d),IMEI,Sampling Frequency (hh:mm)
M1,2019O1,CTD,2019-10-05,84.9178,131.2792,3290.3,0.1245,305,300234068066320,00:10
M1,2019S84,Snow Buoy,2019-10-05,84.917,131.2876,1822.2,0.1372,235,300234065725000,01:00
M1,2019T68,Thermistor,2019-10-05,84.919,131.2612,3283.9,0.1245,305,300234068708330,02:00
M1,2019V1,DTOP Ocean Profiler,2019-10-05,84.9188,131.2625,2245.2,0.1192,217,300234067068380,01:00
M2,2019O2,CTD,2019-10-07,84.8708,135.7577,466.8,0.1135,47,300234068160720,00:10
M2,2019S79,Snow Buoy,2019-10-07,84.5772,136.1666,471.8,0.1212,45,300234066344810,01:00
M2,2019T57,Thermistor,2019-10-07,84.8693,135.8056,1008.6,0.1126,103,300234065177750,02:00
M2,2019V2,DTOP Ocean Profiler,2019-10-07,84.8715,135.7742,3298.5,0.1231,307,300234067064490,01:00
M3,2019O3,CTD,2019-10-07,85.053,137.8191,3272.4,0.1256,301,300234068164710,00:10
M3,2019S81,Snow Buoy,2019-10-07,84.7716,137.8064,3200.2,0.1259,294,300234066444880,01:00
M3,2019T59,Thermistor,2019-10-07,85.0517,137.8346,3459.7,0.128,312,300234065170760,02:00
M3,2019V3,DTOP Ocean Profiler,2019-10-07,85.0522,137.8411,3251.7,0.1254,301,300234067064370,01:00
M4,2019O4,CTD,2019-10-08,85.1093,136.2406,3453.0,0.1293,311,300234068166760,00:10
M4,2019S80,Snow Buoy,2019-10-08,84.8682,135.0014,190.1,0.1135,19,300234066346540,01:00
M4,2019T58,Thermistor,2019-10-08,85.1108,136.2035,3454.8,0.1287,311,300234065171790,02:00
M5,2019O5,CTD,2019-10-09,85.0526,139.0499,2810.0,0.1173,278,300234068169760,00:10
M5,2019S87,Snow Buoy,2019-10-09,84.9386,137.3856,1879.8,0.1196,182,300234067009210,01:00
M5,2019T72,Thermistor,2019-10-09,85.0535,139.0287,2078.9,0.1192,202,300234068700290,02:00
M5,2019V4,DTOP Ocean Profiler,2019-10-09,85.0534,139.0381,3456.9,0.1269,313,300234067066520,01:00
M6,2019O6,CTD,2019-10-10,85.1272,133.2346,3458.3,0.1293,308,300234068514740,00:10
M6,2019S86,Snow Buoy,2019-10-10,84.9764,132.123,3414.7,0.1299,304,300234066995900,01:00
M6,2019T64,Thermistor,2019-10-10,85.1278,133.2167,3452.8,0.1296,308,300234068701300,00:30
M7,2019O7,CTD,2019-10-11,84.7407,135.8346,154.3,0.1158,15,300234068519770,00:10
M7,2019S95,Snow Buoy,2019-10-11,84.6428,134.9556,20.7,0.0768,3,300234066081180,01:00
M7,2019T71,Thermistor,2019-10-11,84.7346,135.8628,255.5,0.1167,25,300234068706760,02:00
M8,2019O8,CTD,2019-10-11,84.9872,134.489,157.4,0.1219,15,300234068713430,00:10
M8,2019S90,Snow Buoy,2019-10-11,84.988,134.4848,155.5,0.122,15,300234062788470,01:00
M8,2019T69,Thermistor,2019-10-11,84.9834,134.5019,4524.6,0.1457,354,300234068700320,02:00
M8,2019V5,DTOP Ocean Profiler,2019-10-11,84.9873,134.4873,154.7,0.1229,15,300234067061400,01:00
