latitude,longitude,datetime
85.82796,122.45840,2019-11-02 01:44:47
85.83031,122.44372,2019-11-02 03:00:12
85.83288,122.42196,2019-11-02 05:00:10
85.83447,122.38945,2019-11-02 07:00:12
85.83652,122.34053,2019-11-02 09:00:12
85.83994,122.27885,2019-11-02 11:00:12
85.84447,122.22065,2019-11-02 13:00:12
85.84884,122.16857,2019-11-02 15:00:12
85.85213,122.11583,2019-11-02 17:00:12
85.85472,122.05280,2019-11-02 19:00:12
85.85768,121.97240,2019-11-02 21:00:12
85.86182,121.87687,2019-11-02 23:00:12
85.86691,121.78584,2019-11-03 01:00:12
85.87188,121.70360,2019-11-03 03:00:12
85.87650,121.62081,2019-11-03 05:00:12
85.87944,121.49592,2019-11-03 07:00:12
85.88199,121.32736,2019-11-03 09:00:12
85.88584,121.15202,2019-11-03 11:00:12
85.89124,120.99497,2019-11-03 13:00:12
85.89674,120.86636,2019-11-03 15:00:12
85.90075,120.75489,2019-11-03 17:00:12
85.90388,120.63959,2019-11-03 19:00:12
85.90703,120.51676,2019-11-03 21:00:11
85.91101,120.37917,2019-11-03 23:00:12
85.91580,120.24557,2019-11-04 01:00:12
85.92060,120.12267,2019-11-04 03:00:12
85.92384,120.01740,2019-11-04 05:00:12
85.92583,119.90842,2019-11-04 07:00:12
85.92802,119.77097,2019-11-04 09:00:12
85.93077,119.63252,2019-11-04 11:00:12
85.93398,119.50414,2019-11-04 13:00:12
85.93648,119.38966,2019-11-04 15:00:12
85.93752,119.28357,2019-11-04 17:00:12
85.93733,119.17775,2019-11-04 19:00:12
85.93681,119.06770,2019-11-04 21:00:12
85.93658,118.95864,2019-11-04 23:00:12
85.93672,118.85722,2019-11-05 01:00:12
85.93576,118.76337,2019-11-05 03:00:12
85.93405,118.65672,2019-11-05 05:00:12
85.93105,118.55145,2019-11-05 07:00:12
85.92741,118.44202,2019-11-05 09:00:12
85.92397,118.32809,2019-11-05 11:00:12
85.92148,118.22109,2019-11-05 13:00:12
85.91904,118.13060,2019-11-05 15:00:12
85.91577,118.04805,2019-11-05 17:00:12
85.91200,117.96940,2019-11-05 19:00:12
85.90874,117.88461,2019-11-05 21:00:12
85.90671,117.79705,2019-11-05 23:00:12
85.90575,117.71687,2019-11-06 01:00:12
85.90493,117.64717,2019-11-06 03:00:12
85.90360,117.57824,2019-11-06 05:00:12
85.90193,117.50161,2019-11-06 07:00:12
85.90061,117.41393,2019-11-06 09:00:12
85.90038,117.31969,2019-11-06 11:00:12
85.90118,117.23153,2019-11-06 13:00:12
85.90223,117.15961,2019-11-06 15:00:12
85.90250,117.09720,2019-11-06 17:00:12
85.90207,117.02959,2019-11-06 19:00:12
85.90163,116.95224,2019-11-06 21:00:12
85.90191,116.87192,2019-11-06 23:00:12
85.90302,116.79932,2019-11-07 01:00:12
85.90405,116.74064,2019-11-07 03:00:12
85.90428,116.68869,2019-11-07 05:00:12
85.90350,116.63276,2019-11-07 07:00:12
85.90234,116.56380,2019-11-07 09:00:12
85.90149,116.49014,2019-11-07 11:00:12
85.90124,116.42756,2019-11-07 13:00:12
85.90096,116.37923,2019-11-07 15:00:12
85.90034,116.34208,2019-11-07 17:00:12
85.89899,116.30212,2019-11-07 19:00:12
85.89735,116.25176,2019-11-07 21:00:12
85.89610,116.19309,2019-11-07 23:00:12
85.89544,116.14149,2019-11-08 01:00:12
85.89472,116.10156,2019-11-08 03:00:12
85.89314,116.06675,2019-11-08 05:00:12
85.89034,116.02338,2019-11-08 07:00:12
85.88665,115.97414,2019-11-08 09:00:12
85.88284,115.91536,2019-11-08 11:00:12
85.87907,115.85656,2019-11-08 13:00:12
85.87491,115.80267,2019-11-08 15:00:12
85.87008,115.75720,2019-11-08 17:00:12
85.86439,115.71592,2019-11-08 19:00:12
85.85818,115.67396,2019-11-08 21:00:12
85.85223,115.63921,2019-11-08 23:00:12
85.84668,115.61801,2019-11-09 01:00:12
85.84155,115.61601,2019-11-09 03:00:12
85.83646,115.62550,2019-11-09 05:00:12
85.83115,115.63181,2019-11-09 07:00:12
85.82648,115.62881,2019-11-09 09:00:12
85.82249,115.62509,2019-11-09 11:00:12
85.81905,115.63538,2019-11-09 13:00:12
85.81600,115.66304,2019-11-09 15:00:12
85.81293,115.69698,2019-11-09 17:00:12
85.81016,115.72678,2019-11-09 19:00:12
85.80798,115.75068,2019-11-09 21:00:12
85.80663,115.77464,2019-11-09 23:00:12
85.80604,115.80509,2019-11-10 01:00:12
85.80595,115.84316,2019-11-10 03:00:12
85.80597,115.88547,2019-11-10 05:00:12
85.80605,115.92287,2019-11-10 07:00:12
85.80684,115.95017,2019-11-10 09:00:12
85.80862,115.97195,2019-11-10 11:00:12
85.81133,115.99988,2019-11-10 13:00:12
85.81437,116.03991,2019-11-10 15:00:12
85.81724,116.08376,2019-11-10 17:00:12
85.82050,116.12072,2019-11-10 19:00:13
85.82494,116.14462,2019-11-10 21:00:12
85.83084,116.16402,2019-11-10 23:00:12
85.83791,116.19090,2019-11-11 01:00:12
85.84565,116.23158,2019-11-11 03:00:12
85.85442,116.27661,2019-11-11 05:00:12
85.86498,116.31802,2019-11-11 07:00:12
85.87739,116.35711,2019-11-11 09:00:12
85.89153,116.40359,2019-11-11 11:00:12
85.90611,116.46616,2019-11-11 13:00:12
85.91982,116.54680,2019-11-11 15:00:12
85.93164,116.64021,2019-11-11 17:00:12
85.94152,116.73475,2019-11-11 19:00:12
85.95068,116.82853,2019-11-11 21:00:12
85.95982,116.92337,2019-11-11 23:00:12
85.96916,117.02760,2019-11-12 01:00:11
85.97805,117.13299,2019-11-12 03:00:12
85.98641,117.22323,2019-11-12 05:00:12
85.99490,117.29191,2019-11-12 07:00:12
86.00391,117.33113,2019-11-12 09:00:12
86.01404,117.36610,2019-11-12 11:00:12
86.02432,117.41364,2019-11-12 13:00:12
86.03387,117.47528,2019-11-12 15:00:12
86.04243,117.53727,2019-11-12 17:00:12
86.04999,117.58420,2019-11-12 19:00:12
86.05723,117.61553,2019-11-12 21:00:12
86.06527,117.64230,2019-11-12 23:00:12
86.07359,117.68526,2019-11-13 01:00:12
86.08015,117.74374,2019-11-13 03:00:11
86.08460,117.78636,2019-11-13 05:00:12
86.08884,117.80486,2019-11-13 07:00:12
86.09285,117.79824,2019-11-13 09:00:12
86.09771,117.78790,2019-11-13 11:00:12
86.10289,117.78437,2019-11-13 13:00:12
86.10722,117.78938,2019-11-13 15:00:12
86.11072,117.81255,2019-11-13 17:00:12
86.11425,117.83479,2019-11-13 19:00:12
86.11949,117.85915,2019-11-13 21:00:12
86.12698,117.88094,2019-11-13 23:00:12
86.13442,117.90951,2019-11-14 01:00:12
86.14091,117.95297,2019-11-14 03:00:12
86.14536,118.00041,2019-11-14 05:00:12
86.14857,118.03432,2019-11-14 07:00:12
86.15205,118.05026,2019-11-14 09:00:12
86.15625,118.05648,2019-11-14 11:00:11
86.16048,118.06843,2019-11-14 13:00:12
86.16377,118.09248,2019-11-14 15:00:12
86.16584,118.11990,2019-11-14 17:00:12
86.16659,118.13665,2019-11-14 19:00:12
86.16739,118.13360,2019-11-14 21:00:12
86.16946,118.12165,2019-11-14 23:00:12
86.17221,118.12308,2019-11-15 01:00:11
