latitude,longitude,datetime
85.87160,121.88820,2019-12-12 00:00:00
85.87460,121.81980,2019-12-12 03:00:00
85.87540,121.79760,2019-12-12 04:00:02
85.87600,121.72240,2019-12-12 07:00:02
85.87520,121.69100,2019-12-12 07:59:57
85.87420,121.65460,2019-12-12 09:00:00
85.87280,121.61560,2019-12-12 10:00:02
85.86760,121.48020,2019-12-12 13:00:02
85.86580,121.43540,2019-12-12 13:59:57
85.86180,121.35540,2019-12-12 16:00:02
85.85700,121.28240,2019-12-12 18:00:00
85.85460,121.24120,2019-12-12 19:00:02
85.85240,121.19340,2019-12-12 19:59:57
85.84880,121.03020,2019-12-12 22:59:57
85.84820,120.98080,2019-12-13 00:00:00
85.84700,120.88100,2019-12-13 01:59:57
85.84660,120.79000,2019-12-13 04:00:02
85.84680,120.74600,2019-12-13 04:59:57
85.84780,120.65320,2019-12-13 07:00:02
85.84840,120.60820,2019-12-13 07:59:57
85.85000,120.52180,2019-12-13 10:00:02
85.85160,120.43920,2019-12-13 12:00:00
85.85240,120.40140,2019-12-13 13:00:02
85.85320,120.36660,2019-12-13 13:59:57
85.85380,120.33560,2019-12-13 15:00:00
85.85660,120.22020,2019-12-13 19:00:02
85.85820,120.16520,2019-12-13 21:00:00
85.85900,120.14060,2019-12-13 22:00:02
85.86320,120.05040,2019-12-14 01:59:57
85.86420,120.03200,2019-12-14 03:00:00
85.86800,119.97220,2019-12-14 07:00:02
85.88060,119.65340,2019-12-15 03:00:00
85.88060,119.55000,2019-12-15 09:00:00
85.88040,119.40920,2019-12-15 13:59:57
85.87820,119.26420,2019-12-15 18:00:00
85.87600,119.16660,2019-12-15 19:59:57
85.87160,118.99280,2019-12-15 22:59:57
85.86740,118.84740,2019-12-16 01:00:02
85.84400,117.94840,2019-12-16 10:59:57
85.84680,117.50080,2019-12-16 16:00:02
85.84840,117.35100,2019-12-16 18:00:00
85.85220,117.08700,2019-12-16 22:00:02
85.85360,117.02200,2019-12-16 22:59:57
85.85500,116.95680,2019-12-17 00:00:00
85.86900,116.57620,2019-12-17 06:00:00
85.87480,116.47800,2019-12-17 07:59:57
85.87760,116.43720,2019-12-17 09:00:00
85.88440,116.34900,2019-12-17 10:59:57
85.89820,116.15500,2019-12-17 15:00:00
85.90160,116.10960,2019-12-17 16:00:02
85.91120,115.99180,2019-12-17 19:00:02
85.91360,115.95300,2019-12-17 19:59:57
85.91600,115.91440,2019-12-17 21:00:00
85.92040,115.83440,2019-12-17 22:59:57
85.92480,115.75480,2019-12-18 01:00:02
85.92700,115.71520,2019-12-18 01:59:57
85.93260,115.57840,2019-12-18 06:00:00
85.93420,115.38280,2019-12-18 13:00:02
85.93420,115.35180,2019-12-18 13:59:57
85.93440,115.32220,2019-12-18 15:00:00
85.93440,115.29320,2019-12-18 16:00:02
85.93420,115.26580,2019-12-18 16:59:57
85.93420,115.24120,2019-12-18 18:00:00
85.93420,115.21760,2019-12-18 19:00:02
85.93400,115.19460,2019-12-18 19:59:57
85.93400,115.17080,2019-12-18 21:00:00
85.93400,115.14600,2019-12-18 22:00:02
85.93420,115.12040,2019-12-18 22:59:57
85.93440,115.09400,2019-12-19 00:00:00
85.93480,115.06780,2019-12-19 01:00:02
85.93500,115.04360,2019-12-19 01:59:57
85.93520,115.02240,2019-12-19 03:00:00
85.93500,115.00420,2019-12-19 04:00:02
85.93480,114.98800,2019-12-19 04:59:57
85.93440,114.97300,2019-12-19 06:00:00
85.93420,114.95760,2019-12-19 07:00:02
85.93380,114.94140,2019-12-19 07:59:57
85.93340,114.92480,2019-12-19 09:00:00
85.93300,114.90640,2019-12-19 10:00:02
85.93280,114.88700,2019-12-19 10:59:57
85.93240,114.86860,2019-12-19 12:00:00
85.93220,114.84900,2019-12-19 13:00:02
85.93200,114.82880,2019-12-19 13:59:57
85.93200,114.80900,2019-12-19 15:00:00
85.93200,114.79000,2019-12-19 16:00:02
85.93180,114.77260,2019-12-19 16:59:57
85.93160,114.75680,2019-12-19 18:00:00
85.93140,114.74180,2019-12-19 19:00:02
85.93100,114.72500,2019-12-19 19:59:57
85.93060,114.70520,2019-12-19 21:00:00
85.93040,114.68380,2019-12-19 22:00:02
85.93020,114.66200,2019-12-19 22:59:57
85.93020,114.64000,2019-12-20 00:00:00
85.93040,114.61820,2019-12-20 01:00:02
85.93080,114.59820,2019-12-20 01:59:57
85.93120,114.58020,2019-12-20 03:00:00
85.93180,114.56420,2019-12-20 04:00:02
85.93240,114.54940,2019-12-20 04:59:57
85.93280,114.53580,2019-12-20 06:00:00
85.93300,114.52240,2019-12-20 07:00:02
85.93320,114.50880,2019-12-20 07:59:57
85.93320,114.49380,2019-12-20 09:00:00
85.93340,114.47700,2019-12-20 10:00:02
85.93360,114.45980,2019-12-20 10:59:57
85.93400,114.44320,2019-12-20 12:00:00
85.93440,114.42680,2019-12-20 13:00:02
85.93520,114.41220,2019-12-20 13:59:57
85.93600,114.39840,2019-12-20 15:00:00
85.93680,114.38700,2019-12-20 16:00:02
85.93740,114.37700,2019-12-20 16:59:57
85.93800,114.36840,2019-12-20 18:00:00
85.93840,114.35940,2019-12-20 19:00:02
85.93860,114.34960,2019-12-20 19:59:57
85.93880,114.33880,2019-12-20 21:00:00
85.93900,114.32720,2019-12-20 22:00:02
85.93900,114.31420,2019-12-20 22:59:57
85.93940,114.30120,2019-12-21 00:00:00
85.93980,114.28820,2019-12-21 01:00:02
85.94040,114.27620,2019-12-21 01:59:57
85.94100,114.26600,2019-12-21 03:00:00
85.94140,114.25840,2019-12-21 04:00:02
85.94180,114.25180,2019-12-21 04:59:57
85.94200,114.24720,2019-12-21 06:00:00
85.94200,114.24220,2019-12-21 07:00:02
85.94200,114.23800,2019-12-21 07:59:57
85.94160,114.23280,2019-12-21 09:00:00
85.94120,114.22680,2019-12-21 10:00:02
85.94080,114.21980,2019-12-21 10:59:57
85.94040,114.21300,2019-12-21 12:00:00
85.94020,114.20660,2019-12-21 13:00:02
85.93980,114.20080,2019-12-21 13:59:57
85.93980,114.19680,2019-12-21 15:00:00
85.93960,114.19400,2019-12-21 16:00:02
85.93920,114.19320,2019-12-21 16:59:57
85.93900,114.19400,2019-12-21 18:00:00
85.93840,114.19620,2019-12-21 19:00:02
85.93760,114.20040,2019-12-21 19:59:57
85.93680,114.20500,2019-12-21 21:00:00
85.93580,114.20980,2019-12-21 22:00:02
85.93460,114.21400,2019-12-21 22:59:57
85.93360,114.21740,2019-12-22 00:00:00
85.93260,114.22040,2019-12-22 01:00:02
85.93200,114.22500,2019-12-22 01:59:57
85.93140,114.23220,2019-12-22 03:00:00
85.93080,114.24240,2019-12-22 04:00:02
85.93020,114.25540,2019-12-22 04:59:57
85.92920,114.27180,2019-12-22 06:00:00
85.92800,114.29000,2019-12-22 07:00:02
85.92620,114.30680,2019-12-22 07:59:57
85.92440,114.32180,2019-12-22 09:00:00
85.92240,114.33440,2019-12-22 10:00:02
85.92040,114.34440,2019-12-22 10:59:57
85.91880,114.35040,2019-12-22 12:00:00
85.91740,114.35480,2019-12-22 13:00:02
85.91660,114.36000,2019-12-22 13:59:57
85.91580,114.36780,2019-12-22 15:00:00
85.91500,114.37860,2019-12-22 16:00:02
85.91420,114.39240,2019-12-22 16:59:57
85.91340,114.40860,2019-12-22 18:00:00
85.91220,114.42560,2019-12-22 19:00:02
85.91080,114.44160,2019-12-22 19:59:57
85.90920,114.45840,2019-12-22 21:00:00
85.90740,114.47340,2019-12-22 22:00:02
85.90560,114.48640,2019-12-22 22:59:57
85.90380,114.49800,2019-12-23 00:00:00
85.90220,114.50980,2019-12-23 01:00:02
85.90060,114.52260,2019-12-23 01:59:57
85.89920,114.53620,2019-12-23 03:00:00
85.89820,114.55200,2019-12-23 04:00:02
85.89700,114.56940,2019-12-23 04:59:57
85.89580,114.58820,2019-12-23 06:00:00
85.89460,114.60660,2019-12-23 07:00:02
85.89340,114.62540,2019-12-23 07:59:57
85.89220,114.64320,2019-12-23 09:00:00
85.89100,114.65780,2019-12-23 10:00:02
85.88960,114.66880,2019-12-23 10:59:57
85.88840,114.67720,2019-12-23 12:00:00
85.88720,114.68480,2019-12-23 13:00:02
85.88620,114.69340,2019-12-23 13:59:57
85.88520,114.70400,2019-12-23 15:00:00
85.88460,114.71680,2019-12-23 16:00:02
85.88380,114.73180,2019-12-23 16:59:57
85.88320,114.74900,2019-12-23 18:00:00
85.88260,114.76860,2019-12-23 19:00:02
85.88200,114.78840,2019-12-23 19:59:57
85.88100,114.80760,2019-12-23 21:00:00
85.88020,114.82700,2019-12-23 22:00:02
85.87940,114.84660,2019-12-23 22:59:57
85.87860,114.86640,2019-12-24 00:00:00
85.87800,114.88520,2019-12-24 01:00:02
85.87740,114.90380,2019-12-24 01:59:57
85.87700,114.92400,2019-12-24 03:00:00
85.87660,114.94540,2019-12-24 04:00:02
85.87620,114.96740,2019-12-24 04:59:57
85.87580,114.99280,2019-12-24 06:00:00
85.87520,115.02180,2019-12-24 07:00:02
85.87480,115.05080,2019-12-24 07:59:57
85.87420,115.08020,2019-12-24 09:00:00
85.87340,115.10940,2019-12-24 10:00:02
85.87280,115.13900,2019-12-24 10:59:57
85.87200,115.16720,2019-12-24 12:00:00
85.87140,115.19260,2019-12-24 13:00:02
85.87080,115.21840,2019-12-24 13:59:57
85.87020,115.24500,2019-12-24 15:00:00
85.86980,115.27260,2019-12-24 16:00:02
85.86980,115.30160,2019-12-24 16:59:57
85.86960,115.33260,2019-12-24 18:00:00
85.86960,115.36480,2019-12-24 19:00:02
85.86940,115.39840,2019-12-24 19:59:57
85.86900,115.43200,2019-12-24 21:00:00
85.86880,115.46600,2019-12-24 22:00:02
85.86860,115.50060,2019-12-24 22:59:57
85.86840,115.53520,2019-12-25 00:00:00
85.86820,115.56740,2019-12-25 01:00:02
85.86820,115.59880,2019-12-25 01:59:57
85.86820,115.63120,2019-12-25 03:00:00
85.86860,115.66440,2019-12-25 04:00:02
85.86880,115.69820,2019-12-25 04:59:57
85.86920,115.73300,2019-12-25 06:00:00
85.86980,115.76800,2019-12-25 07:00:02
85.87040,115.80360,2019-12-25 07:59:57
85.87100,115.83920,2019-12-25 09:00:00
85.87160,115.87560,2019-12-25 10:00:02
85.87220,115.90960,2019-12-25 10:59:57
85.87280,115.94220,2019-12-25 12:00:00
85.87300,115.97180,2019-12-25 13:00:02
85.87360,116.00020,2019-12-25 13:59:57
85.87420,116.02760,2019-12-25 15:00:00
85.87520,116.05400,2019-12-25 16:00:02
85.87620,116.07940,2019-12-25 16:59:57
85.87740,116.10820,2019-12-25 18:00:00
85.87900,116.13820,2019-12-25 19:00:02
85.88060,116.17000,2019-12-25 19:59:57
85.88240,116.20220,2019-12-25 21:00:00
85.88400,116.23500,2019-12-25 22:00:02
85.88540,116.26680,2019-12-25 22:59:57
85.88680,116.29900,2019-12-26 00:00:00
85.88840,116.33220,2019-12-26 01:00:02
85.88960,116.36340,2019-12-26 01:59:57
85.89100,116.39540,2019-12-26 03:00:00
85.89220,116.42940,2019-12-26 04:00:02
85.89360,116.46360,2019-12-26 04:59:57
85.89480,116.49960,2019-12-26 06:00:00
85.89620,116.53380,2019-12-26 07:00:02
85.89740,116.56460,2019-12-26 07:59:57
85.89860,116.59260,2019-12-26 09:00:00
85.90000,116.61880,2019-12-26 10:00:02
85.90120,116.64160,2019-12-26 10:59:57
85.90240,116.66180,2019-12-26 12:00:00
85.90340,116.67980,2019-12-26 13:00:02
85.90460,116.69340,2019-12-26 13:59:57
85.90580,116.70360,2019-12-26 15:00:00
85.90740,116.71120,2019-12-26 16:00:02
85.90900,116.71900,2019-12-26 16:59:57
85.91080,116.72740,2019-12-26 18:00:00
85.91280,116.73620,2019-12-26 19:00:02
85.91460,116.74540,2019-12-26 19:59:57
85.91640,116.75500,2019-12-26 21:00:00
85.91800,116.76600,2019-12-26 22:00:02
85.91960,116.77580,2019-12-26 22:59:57
85.92100,116.78460,2019-12-27 00:00:00
85.92220,116.79200,2019-12-27 01:00:02
85.92280,116.79620,2019-12-27 01:59:57
85.92340,116.79900,2019-12-27 03:00:00
85.92380,116.80120,2019-12-27 04:00:02
85.92440,116.80260,2019-12-27 04:59:57
85.92480,116.80080,2019-12-27 06:00:00
85.92520,116.79620,2019-12-27 07:00:02
85.92560,116.79200,2019-12-27 07:59:57
85.92620,116.78480,2019-12-27 09:00:00
85.92680,116.77900,2019-12-27 10:00:02
85.92740,116.77400,2019-12-27 10:59:57
85.92780,116.76820,2019-12-27 12:00:00
85.92820,116.76420,2019-12-27 13:00:02
85.92780,116.75440,2019-12-27 16:59:57
85.92780,116.74880,2019-12-27 18:00:00
85.92780,116.74160,2019-12-27 19:00:02
85.92780,116.73500,2019-12-27 19:59:57
85.92800,116.72800,2019-12-27 21:00:00
85.92840,116.72160,2019-12-27 22:00:02
85.92860,116.71640,2019-12-27 22:59:57
85.92900,116.71120,2019-12-28 00:00:00
85.92880,116.70680,2019-12-28 01:00:02
85.92840,116.70080,2019-12-28 01:59:57
85.92760,116.69280,2019-12-28 03:00:00
85.92680,116.68380,2019-12-28 04:00:02
85.92580,116.67200,2019-12-28 04:59:57
85.92500,116.66000,2019-12-28 06:00:00
85.92440,116.64820,2019-12-28 07:00:02
85.92380,116.63740,2019-12-28 07:59:57
85.92340,116.62640,2019-12-28 09:00:00
85.92320,116.61700,2019-12-28 10:00:02
85.92280,116.60960,2019-12-28 10:59:57
85.92240,116.60320,2019-12-28 12:00:00
85.92160,116.59720,2019-12-28 13:00:02
85.92060,116.59000,2019-12-28 13:59:57
85.91940,116.58320,2019-12-28 15:00:00
85.91820,116.57560,2019-12-28 16:00:02
85.91680,116.56680,2019-12-28 16:59:57
85.91560,116.55760,2019-12-28 18:00:00
85.91440,116.54720,2019-12-28 19:00:02
85.91340,116.53820,2019-12-28 19:59:57
85.91240,116.53080,2019-12-28 21:00:00
85.91160,116.52520,2019-12-28 22:00:02
85.91080,116.52280,2019-12-28 22:59:57
85.91000,116.52280,2019-12-29 00:00:00
85.90900,116.52520,2019-12-29 01:00:02
85.90780,116.53000,2019-12-29 01:59:57
85.90660,116.53680,2019-12-29 03:00:00
85.90520,116.54360,2019-12-29 04:00:02
85.90380,116.55020,2019-12-29 04:59:57
85.90200,116.55740,2019-12-29 06:00:00
85.90040,116.56560,2019-12-29 07:00:02
85.89880,116.57540,2019-12-29 07:59:57
85.89740,116.58640,2019-12-29 09:00:00
85.89600,116.59920,2019-12-29 10:00:02
85.89460,116.61420,2019-12-29 10:59:57
85.89320,116.63100,2019-12-29 12:00:00
85.89180,116.64700,2019-12-29 13:00:02
85.89020,116.66500,2019-12-29 13:59:57
85.88820,116.68320,2019-12-29 15:00:00
85.88600,116.70140,2019-12-29 16:00:02
85.88400,116.71800,2019-12-29 16:59:57
85.88200,116.73460,2019-12-29 18:00:00
85.87980,116.75200,2019-12-29 19:00:02
85.87780,116.76760,2019-12-29 19:59:57
85.87620,116.78140,2019-12-29 21:00:00
85.87520,116.79320,2019-12-29 22:00:02
85.87380,116.80720,2019-12-29 22:59:57
85.87240,116.82520,2019-12-30 00:00:00
85.87160,116.84640,2019-12-30 01:00:02
85.87040,116.87260,2019-12-30 01:59:57
85.86920,116.90220,2019-12-30 03:00:00
85.86760,116.92900,2019-12-30 04:00:02
85.86600,116.95340,2019-12-30 04:59:57
85.86460,116.97420,2019-12-30 06:00:00
85.86380,116.99340,2019-12-30 07:00:02
85.86300,117.01540,2019-12-30 07:59:57
85.86240,117.04000,2019-12-30 09:00:00
85.86140,117.06440,2019-12-30 10:00:02
85.86060,117.09460,2019-12-30 10:59:57
85.85940,117.12680,2019-12-30 12:00:00
85.85800,117.16060,2019-12-30 13:00:02
85.85600,117.19680,2019-12-30 13:59:57
85.85420,117.23440,2019-12-30 15:00:00
85.85180,117.27040,2019-12-30 16:00:02
85.84960,117.30560,2019-12-30 16:59:57
85.84780,117.34100,2019-12-30 18:00:00
85.84560,117.37040,2019-12-30 19:00:02
85.84400,117.39400,2019-12-30 19:59:57
85.84260,117.41520,2019-12-30 21:00:00
85.84180,117.43540,2019-12-30 22:00:02
85.84180,117.45620,2019-12-30 22:59:57
85.84220,117.47640,2019-12-31 00:00:00
85.84260,117.49620,2019-12-31 01:00:02
85.84320,117.51540,2019-12-31 01:59:57
85.84380,117.53280,2019-12-31 03:00:00
85.84440,117.54980,2019-12-31 04:00:02
85.84500,117.56640,2019-12-31 04:59:57
85.84580,117.58100,2019-12-31 06:00:00
85.84680,117.59320,2019-12-31 07:00:02
85.84800,117.60240,2019-12-31 07:59:57
85.84960,117.60700,2019-12-31 09:00:00
85.85160,117.60860,2019-12-31 10:00:02
85.85400,117.60840,2019-12-31 10:59:57
85.85700,117.61080,2019-12-31 12:00:00
85.86020,117.61520,2019-12-31 13:00:02
85.86360,117.62340,2019-12-31 13:59:57
85.86720,117.63560,2019-12-31 15:00:00
85.87060,117.65240,2019-12-31 16:00:02
85.87380,117.66960,2019-12-31 16:59:57
85.87700,117.68300,2019-12-31 18:00:00
85.88040,117.69300,2019-12-31 19:00:02
85.88400,117.69680,2019-12-31 19:59:57
85.88800,117.69700,2019-12-31 21:00:00
85.89280,117.69380,2019-12-31 22:00:02
85.89800,117.68840,2019-12-31 22:59:57
85.90360,117.68080,2020-01-01 00:00:00
85.90920,117.67420,2020-01-01 01:00:02
85.91480,117.66800,2020-01-01 01:59:57
85.92020,117.66400,2020-01-01 03:00:00
85.92560,117.65800,2020-01-01 04:00:02
85.93100,117.65180,2020-01-01 04:59:57
85.93640,117.64240,2020-01-01 06:00:00
85.94240,117.62760,2020-01-01 07:00:02
85.94860,117.60940,2020-01-01 07:59:57
85.95460,117.58540,2020-01-01 09:00:00
85.96060,117.55720,2020-01-01 10:00:02
85.96680,117.52740,2020-01-01 10:59:57
85.97280,117.49600,2020-01-01 12:00:00
85.97840,117.46420,2020-01-01 13:00:02
85.98420,117.43280,2020-01-01 13:59:57
85.98940,117.40000,2020-01-01 15:00:00
85.99440,117.36560,2020-01-01 16:00:02
85.99900,117.32860,2020-01-01 16:59:57
86.00360,117.28860,2020-01-01 18:00:00
86.00820,117.24580,2020-01-01 19:00:02
86.01280,117.20280,2020-01-01 19:59:57
86.01800,117.15700,2020-01-01 21:00:00
86.02320,117.10900,2020-01-01 22:00:02
86.02900,117.06260,2020-01-01 22:59:57
86.03500,117.01660,2020-01-02 00:00:00
86.04120,116.97320,2020-01-02 01:00:02
86.04700,116.93120,2020-01-02 01:59:57
86.05260,116.88960,2020-01-02 03:00:00
86.05760,116.84900,2020-01-02 04:00:02
86.06240,116.80760,2020-01-02 04:59:57
86.06720,116.76340,2020-01-02 06:00:00
86.07200,116.71620,2020-01-02 07:00:02
86.07700,116.66880,2020-01-02 07:59:57
86.08200,116.61960,2020-01-02 09:00:00
86.08720,116.57020,2020-01-02 10:00:02
86.09240,116.52160,2020-01-02 10:59:57
86.09760,116.47520,2020-01-02 12:00:00
86.10300,116.43180,2020-01-02 13:00:02
86.10820,116.39300,2020-01-02 13:59:57
86.11300,116.35800,2020-01-02 15:00:00
86.11740,116.32560,2020-01-02 16:00:02
86.12140,116.29500,2020-01-02 16:59:57
86.12520,116.26180,2020-01-02 18:00:00
86.12900,116.22700,2020-01-02 19:00:02
86.13260,116.19140,2020-01-02 19:59:57
86.13620,116.16100,2020-01-02 21:00:00
86.13980,116.13600,2020-01-02 22:00:02
86.14360,116.11380,2020-01-02 22:59:57
86.14740,116.09800,2020-01-03 00:00:00
86.15140,116.08920,2020-01-03 01:00:02
86.15500,116.08280,2020-01-03 01:59:57
86.15860,116.08260,2020-01-03 03:00:00
86.16200,116.08280,2020-01-03 04:00:02
86.16520,116.08540,2020-01-03 04:59:57
86.16800,116.08700,2020-01-03 06:00:00
86.17080,116.08600,2020-01-03 07:00:02
86.17340,116.08200,2020-01-03 07:59:57
86.17640,116.07380,2020-01-03 09:00:00
86.17940,116.06400,2020-01-03 10:00:02
86.18280,116.05320,2020-01-03 10:59:57
86.18620,116.04300,2020-01-03 12:00:00
86.19000,116.03340,2020-01-03 13:00:02
86.19380,116.02600,2020-01-03 13:59:57
86.19760,116.02040,2020-01-03 15:00:00
86.20120,116.01660,2020-01-03 16:00:02
86.20500,116.01200,2020-01-03 16:59:57
86.20860,116.00380,2020-01-03 18:00:00
86.21240,115.99100,2020-01-03 19:00:02
