latitude,longitude,datetime
88.51500,106.15440,2020-09-21 09:02:01
88.51400,106.09060,2020-09-21 10:02:00
88.51420,105.99300,2020-09-21 11:02:00
88.51540,105.87880,2020-09-21 12:02:01
88.51780,105.77120,2020-09-21 13:02:00
88.52080,105.68700,2020-09-21 14:02:00
88.52420,105.64360,2020-09-21 15:02:01
88.52720,105.64220,2020-09-21 16:02:00
88.52920,105.66940,2020-09-21 17:02:00
88.53020,105.70360,2020-09-21 18:02:01
88.52980,105.72140,2020-09-21 19:02:00
88.52880,105.70460,2020-09-21 20:02:00
88.52760,105.64200,2020-09-21 21:02:01
88.52720,105.53080,2020-09-21 22:02:00
88.52760,105.38000,2020-09-21 23:02:00
88.52940,105.21560,2020-09-22 00:02:01
88.53240,105.06060,2020-09-22 01:02:00
88.53600,104.93500,2020-09-22 02:02:00
88.53960,104.85320,2020-09-22 03:02:01
88.54260,104.80920,2020-09-22 04:02:00
88.54460,104.79260,2020-09-22 05:02:00
88.54540,104.78520,2020-09-22 06:02:01
88.54520,104.75820,2020-09-22 07:02:00
88.54440,104.68660,2020-09-22 08:02:00
88.54380,104.56200,2020-09-22 09:02:01
88.54400,104.37880,2020-09-22 10:02:00
88.54500,104.15000,2020-09-22 11:02:00
88.54740,103.90520,2020-09-22 12:02:01
88.55100,103.66680,2020-09-22 13:02:00
88.55520,103.46360,2020-09-22 14:02:00
88.55960,103.29940,2020-09-22 15:02:01
88.56380,103.16660,2020-09-22 16:02:00
88.56740,103.03880,2020-09-22 17:02:00
88.57020,102.89940,2020-09-22 18:02:01
88.57220,102.71900,2020-09-22 19:02:00
88.57420,102.49920,2020-09-22 20:02:00
88.57640,102.24580,2020-09-22 21:02:01
88.57960,101.93920,2020-09-22 22:02:00
88.58400,101.59460,2020-09-22 23:02:00
88.58920,101.23560,2020-09-23 00:02:01
88.59560,100.87060,2020-09-23 01:02:00
88.60320,100.50420,2020-09-23 02:02:00
88.61180,100.15760,2020-09-23 03:02:01
88.62040,99.81280,2020-09-23 04:02:00
88.62900,99.46040,2020-09-23 05:02:00
88.63740,99.10660,2020-09-23 06:02:01
