DN Station ID,Sensor ID,Buoy Type,Deployment Date,Deployment Latitude,Deployment Longitude,Drift Distance (km),Mean Speed (m/s),Total Duration (d),IMEI,Sampling Frequency (hh:mm)
P001,2019P207,SVP,2019-10-10,84.9498,135.4033,2198.9,0.12,212,300234068918790,00:30
P002,2019P204,SVP,2019-10-10,84.8774,135.1826,3897.3,0.139,325,300234068916790,00:30
P003,2019P205,SVP,2019-10-09,84.8795,134.9515,6106.6,0.1659,402,300234068916810,00:30
P004,2019P197,SVP,2019-10-04,85.1173,133.0476,3492.5,0.126,314,300234068911820,00:30
P005,2019P201,SVP,2019-10-10,84.868,135.7091,6069.4,0.182,380,300234068912800,00:30
P006,2019P208,SVP,2019-10-09,84.8381,135.4382,2303.6,0.1213,220,300234068918800,00:30
P007,2019P202,SVP,2019-10-09,84.795,135.1731,4239.4,0.1437,341,300234068912810,00:30
P008,2019P142,SVP,2019-10-05,84.97,132.0677,4377.2,0.156,334,300234065981590,01:00
P009,2019P209,SVP,2019-10-09,84.8524,134.5394,3936.4,0.1404,324,300234068919740,00:30
P010,2019P199,SVP,2019-10-06,85.0364,134.12,4025.7,0.1414,328,300234068911790,00:30
P011,2019P193,SVP,2019-10-07,85.0331,135.4157,2347.6,0.1182,228,300234068125990,00:30
P012,2019P195,SVP,2019-10-06,85.0227,134.5927,3577.5,0.1319,314,300234068225020,00:30
P013,2019P138,SVP,2019-10-05,85.0541,134.8631,3697.2,0.1356,320,300234065980580,01:00
P014,2019P188,SVP,2019-10-07,84.9686,135.4181,2177.4,0.1188,212,300234068121990,00:30
P015,2019P190,SVP,2019-10-07,84.9539,134.6679,6005.6,0.1767,433,300234068220020,00:30
P016,2019P206,SVP,2019-10-07,85.2396,134.1245,3834.8,0.1356,327,300234068917830,00:30
P017,2019P196,SVP,2019-10-07,85.2742,133.6524,2766.1,0.1181,287,300234068226020,00:30
P018,2019P198,SVP,2019-10-07,85.3379,134.0651,6963.8,0.1887,427,300234068910810,00:30
P019,2019P203,SVP,2019-10-07,85.338,134.6466,2581.8,0.118,259,300234068915790,00:30
P020,2019P145,SVP,2019-10-09,84.7962,135.2469,183.4,0.1125,19,300234065982560,01:00
P021,2019P140,SVP,2019-10-07,85.1022,137.3101,3963.6,0.139,339,300234065984580,01:00
P023,2019P200,SVP,2019-10-07,85.2653,134.7544,3215.3,0.1226,303,300234068910590,00:30
P025,2019P136,SVP,2019-10-07,85.0084,136.9068,4955.5,0.1629,368,300234065980590,01:00
P026,2019P137,SVP,2019-10-09,84.6718,135.3006,4388.7,0.156,348,300234065090840,01:00
P027,2019P189,SVP,2019-10-05,84.9403,131.7188,756.5,0.1221,72,300234068221000,00:30
P028,2019P192,SVP,2019-10-05,84.8875,131.6892,4498.3,0.1465,351,300234068129990,00:30
P029,2019P191,SVP,2019-10-05,84.9052,130.7996,4720.4,0.1568,348,300234068123990,00:30
P030,2019P194,SVP,2019-10-05,84.9599,131.1766,4327.2,0.1511,330,300234068222000,00:30
