datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-05 12:00:00,132.69458,85.01709,21726.7,539674.6,90.0,1024.4,0.38,2.2,98.0,0.069,0.004
2019-10-05 15:00:00,132.68724,85.02363,21767.3,538963.0,180.0,1024.6,0.93,2.62,99.9,0.059,0.008
2019-10-05 18:00:00,132.71083,85.0277,21527.7,538530.6,180.0,1025.1,1.92,2.46,99.8,0.058,0.012
2019-10-05 21:00:00,132.71536,85.02842,21482.0,538454.5,180.0,1025.5,2.18,2.38,100.0,0.049,0.026
2019-10-06 00:00:00,132.72081,85.02903,21428.1,538389.9,180.0,1025.6,2.58,1.17,99.0,0.025,0.028
2019-10-06 03:00:00,132.7499,85.02968,21152.0,538330.8,180.0,1025.7,2.36,0.14,99.4,0.03,0.015
2019-10-06 06:00:00,132.77968,85.02805,20879.0,538518.5,180.0,1026.0,1.78,-0.31,97.6,0.032,0.013
2019-10-06 09:00:00,132.78938,85.02514,20800.1,538837.0,180.0,1026.6,1.65,0.2,99.3,0.036,0.016
2019-10-06 12:00:00,132.8077,85.02353,20634.4,539017.9,180.0,1026.6,2.64,0.54,99.8,0.048,0.02
2019-10-06 15:00:00,132.85018,85.02342,20235.2,539045.9,180.0,1026.0,3.01,0.66,98.4,0.013,0.016
2019-10-06 18:00:00,132.92312,85.02222,19553.7,539201.2,180.0,1025.0,3.53,0.61,94.1,0.022,0.006
2019-10-06 21:00:00,133.00478,85.01762,18802.6,539726.8,180.0,1024.8,4.3,0.21,97.4,0.052,0.014
2019-10-07 00:00:00,133.07468,85.01315,18160.5,540234.1,180.0,1023.8,4.23,-0.38,97.2,0.038,0.011
2019-10-07 03:00:00,133.17059,85.01037,17265.7,540565.4,180.0,1022.9,4.62,-0.38,95.6,0.001,0.01
2019-10-07 06:00:00,133.28892,85.00567,16164.5,541110.4,180.0,1021.9,5.24,-0.09,100.0,0.025,0.023
2019-10-07 09:00:00,133.3935,84.99868,15198.0,541896.6,180.0,1021.2,6.29,-1.28,100.0,0.024,0.032
2019-10-07 12:00:00,133.5322,84.99156,13906.1,542704.3,180.0,1019.2,7.29,-0.84,100.0,0.01,0.007
2019-10-07 15:00:00,133.71016,84.98299,12241.2,543674.4,180.0,1018.1,7.57,-1.88,100.0,0.035,0.021
2019-10-07 18:00:00,133.89714,84.97205,10489.8,544899.5,180.0,1016.4,9.31,-1.33,100.0,0.018,0.037
2019-10-07 21:00:00,134.08241,84.96231,8744.8,545987.5,180.0,1014.8,10.53,-1.1,100.0,0.063,0.063
2019-10-08 00:00:00,134.34415,84.95249,6262.6,547086.9,180.0,1011.7,11.53,-0.37,100.0,0.052,0.037
2019-10-08 03:00:00,134.65282,84.93977,3323.6,548493.5,180.0,1008.7,12.81,0.14,100.0,0.241,0.058
2019-10-08 06:00:00,134.92671,84.92311,703.9,550310.8,180.0,1005.4,11.81,-1.99,100.0,0.116,0.054
2019-10-08 09:00:00,135.09949,84.9041,-959.1,552373.9,180.0,1003.9,9.08,-4.32,100.0,0.106,0.045
2019-10-08 12:00:00,135.14821,84.88473,-1434.3,554474.9,180.0,1003.0,5.66,-6.64,100.0,0.115,0.041
2019-10-08 15:00:00,135.13706,84.86939,-1330.4,556140.2,180.0,1003.8,4.16,-6.44,100.0,0.029,0.013
2019-10-08 18:00:00,135.13227,84.85859,-1286.6,557312.9,180.0,1004.5,3.48,-5.59,99.4,0.01,0.036
2019-10-08 21:00:00,135.11538,84.84705,-1124.9,558565.7,180.0,1005.6,1.4,-6.23,99.6,0.034,0.031
2019-10-09 00:00:00,135.05122,84.83732,-500.3,559622.4,180.0,1006.0,0.22,-4.93,100.0,0.051,0.02
2019-10-09 03:00:00,134.97623,84.83334,232.4,560055.0,180.0,1007.0,-0.27,-4.71,99.9,0.053,0.009
2019-10-09 06:00:00,134.94129,84.83258,573.9,560137.4,180.0,1007.6,-0.01,-4.77,100.0,0.063,0.025
2019-10-09 09:00:00,134.91517,84.82945,829.8,560476.8,180.0,1008.2,0.28,-4.18,100.0,0.046,0.035
2019-10-09 12:00:00,134.87135,84.82631,1259.2,560816.6,180.0,1008.2,1.23,-2.85,100.0,0.035,0.024
2019-10-09 15:00:00,134.83763,84.82591,1589.4,560858.9,180.0,1007.8,-0.11,-2.18,100.0,0.039,0.064
2019-10-09 18:00:00,134.81586,84.82895,1801.4,560528.2,180.0,1007.2,-2.32,-0.92,100.0,0.003,0.116
2019-10-09 21:00:00,134.76304,84.83207,2316.8,560187.9,180.0,1007.5,-3.95,-1.1,100.0,0.009,0.056
2019-10-10 00:00:00,134.65144,84.83403,3406.6,559969.5,180.0,1007.7,-5.08,-2.52,99.6,0.019,0.024
