datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-10 12:00:00,136.05724,84.83027,-10339.8,560292.0,120.0,1015.1,-1.29,-4.34,95.5,0.019,0.012
2019-10-10 16:00:00,136.00256,84.82615,-9813.0,560748.8,239.5,1015.9,2.29,-2.72,59.6,0.0,0.0
2019-10-10 20:00:00,136.0861,84.81997,-10643.3,561405.2,239.5,1015.4,5.56,-2.38,93.6,0.014,0.006
2019-10-11 00:00:00,136.22471,84.80425,-12037.8,563083.2,240.0,1013.9,6.89,-3.53,100.0,0.059,0.01
2019-10-11 04:00:00,136.30445,84.7871,-12863.9,564926.8,239.5,1013.4,5.91,-5.12,100.0,0.034,0.008
2019-10-11 08:00:00,136.41,84.77222,-13944.3,566516.7,240.0,1013.1,5.72,-5.82,97.6,0.07,0.009
2019-10-11 12:00:00,136.44439,84.75534,-14330.6,568340.4,240.0,1012.6,4.49,-4.44,99.9,0.038,0.018
2019-10-11 16:00:00,136.50209,84.74831,-14922.9,569088.6,239.5,1011.5,4.91,-2.36,96.1,0.021,0.013
2019-10-11 20:00:00,136.60115,84.74251,-15924.4,569691.1,240.0,1010.1,4.78,-0.05,96.1,0.042,0.005
2019-10-12 00:00:00,136.60963,84.74192,-16010.5,569752.7,240.5,1007.4,1.42,2.41,100.0,0.039,0.019
2019-10-12 04:00:00,136.6158,84.7562,-16028.2,568201.7,240.5,1003.5,-1.39,4.32,100.0,0.001,0.115
2019-10-12 08:00:00,136.59071,84.76747,-15745.3,566985.3,240.0,999.2,-5.38,2.1,99.7,0.001,0.093
2019-10-12 12:00:00,136.44396,84.77151,-14282.0,566586.0,239.5,997.6,-6.52,-2.09,99.5,0.006,0.014
2019-10-12 16:00:00,136.27858,84.77751,-12632.1,565973.4,239.5,997.6,-5.1,-3.41,99.9,0.012,0.002
2019-10-12 20:00:00,136.18238,84.77671,-11683.6,566080.5,239.5,998.8,-4.54,-4.01,99.8,0.034,0.006
2019-10-13 00:00:00,136.0025,84.77409,-9911.3,566399.5,240.5,1000.4,-4.35,-4.03,100.0,0.026,0.007
2019-10-13 04:00:00,135.84294,84.77386,-8334.3,566449.0,240.0,1001.4,-2.95,-4.43,99.4,0.043,0.005
2019-10-13 08:00:00,135.73592,84.76767,-7284.8,567135.4,240.0,1001.8,-1.66,-4.94,58.6,0.024,0.003
2019-10-13 12:00:00,135.61199,84.76041,-6066.6,567938.3,240.0,1002.3,0.75,-5.96,100.0,0.031,0.004
2019-10-13 16:00:00,135.60201,84.75235,-5976.7,568813.6,240.0,1000.7,3.74,-5.44,99.8,0.001,0.008
