datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-11 02:00:00,134.50453,84.98354,4702.1,543732.7,10.0,1013.5,5.71,-5.35,99.4,0.043,0.008
2019-10-11 03:00:00,134.51755,84.97964,4582.1,544157.0,10.0,1013.7,5.73,-5.24,100.0,0.038,0.008
2019-10-11 04:00:00,134.53409,84.97632,4427.9,544518.6,10.0,1013.5,6.03,-5.11,100.0,0.037,0.008
2019-10-11 05:00:00,134.55405,84.97359,4240.6,544816.4,10.0,1013.3,6.38,-5.37,98.1,0.049,0.007
2019-10-11 06:00:00,134.58316,84.97054,3966.2,545149.5,10.0,1013.3,6.4,-5.75,99.1,0.062,0.006
2019-10-11 07:00:00,134.62123,84.96621,3607.0,545621.9,10.0,1013.2,6.05,-5.82,98.3,0.066,0.007
2019-10-11 08:00:00,134.65146,84.96102,3322.6,546187.0,10.0,1013.1,5.71,-5.78,97.5,0.069,0.01
2019-10-11 09:00:00,134.67065,84.95603,3142.8,546729.6,10.0,1013.2,5.44,-5.53,97.5,0.07,0.012
2019-10-11 10:00:00,134.68075,84.95156,3049.1,547215.3,10.5,1012.9,4.35,-5.58,99.0,0.055,0.014
2019-10-11 11:00:00,134.68507,84.94762,3010.2,547643.1,10.0,1012.9,4.32,-4.78,99.3,0.045,0.018
2019-10-11 12:00:00,134.68709,84.94439,2992.8,547993.8,10.0,1012.7,4.61,-4.13,99.9,0.036,0.02
2019-10-11 13:00:00,134.69162,84.94183,2951.0,548271.8,10.0,1012.4,5.11,-3.67,99.0,0.032,0.023
2019-10-11 14:00:00,134.70251,84.93986,2847.9,548486.2,10.0,1012.2,5.2,-3.21,99.8,0.022,0.021
2019-10-11 15:00:00,134.72171,84.93837,2664.9,548648.8,10.0,1011.9,5.11,-2.62,96.7,0.017,0.014
2019-10-11 16:00:00,134.74521,84.93734,2440.3,548761.6,10.0,1011.4,4.96,-2.04,93.1,0.018,0.01
2019-10-11 17:00:00,134.77466,84.93649,2158.6,548855.1,10.0,1011.1,4.77,-1.4,86.0,0.02,0.006
2019-10-11 18:00:00,134.8071,84.93522,1848.3,548994.0,10.0,1010.8,4.62,-0.71,80.1,0.023,0.004
2019-10-11 19:00:00,134.8358,84.93373,1573.8,549156.6,10.0,1010.3,4.62,-0.11,91.6,0.034,0.004
2019-10-11 20:00:00,134.858,84.93221,1361.4,549322.1,10.0,1009.9,4.53,0.26,94.9,0.044,0.004
2019-10-11 21:00:00,134.87239,84.93102,1223.7,549451.6,10.0,1009.3,4.17,0.59,97.3,0.051,0.007
2019-10-11 22:00:00,134.87675,84.9305,1182.1,549508.1,10.0,1008.6,2.22,1.07,98.2,0.047,0.009
