datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-19 06:00:00,134.98219,83.3459,224.3,721599.3,30.0,1009.6,-3.53,-0.67,100.0,0.015,0.031
2019-10-19 07:00:00,134.9769,83.3464,290.9,721544.9,60.0,1009.4,-3.51,-0.63,100.0,0.022,0.032
2019-10-19 08:00:00,134.9702,83.3468,375.3,721501.4,60.0,1009.2,-3.4,-0.74,100.0,0.025,0.026
2019-10-19 09:00:00,134.96091,83.3472,492.2,721457.9,60.0,1009.2,-3.27,-1.05,100.0,0.028,0.013
2019-10-19 10:00:00,134.94901,83.3479,642.0,721381.7,60.0,1008.6,-2.9,-1.33,99.9,0.022,0.009
2019-10-19 11:00:00,134.93359,83.3492,836.0,721240.2,60.0,1008.3,-2.81,-1.36,100.0,0.021,0.007
2019-10-19 12:00:00,134.91589,83.3512,1058.5,721022.6,60.0,1008.2,-2.64,-1.22,99.4,0.024,0.007
2019-10-19 13:00:00,134.8979,83.3537,1284.4,720750.5,60.0,1007.9,-2.4,-1.26,99.4,0.031,0.016
2019-10-19 14:00:00,134.88251,83.3564,1477.4,720456.7,60.0,1007.3,-2.45,-1.18,100.0,0.022,0.038
2019-10-19 15:00:00,134.87219,83.3591,1606.5,720163.0,60.0,1007.3,-2.4,-0.83,100.0,0.008,0.05
2019-10-19 16:00:00,134.867,83.3616,1671.1,719891.2,60.0,1006.8,-2.27,-0.47,100.0,0.003,0.064
2019-10-19 17:00:00,134.8653,83.3635,1692.0,719684.6,60.0,1006.6,-1.93,-0.05,100.0,0.002,0.069
2019-10-19 18:00:00,134.86571,83.3648,1686.5,719543.4,60.0,1006.4,-1.54,0.41,100.0,0.01,0.071
2019-10-19 19:00:00,134.8667,83.3658,1673.8,719434.7,60.0,1006.2,-1.19,0.86,100.0,0.012,0.07
