datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-14 07:00:00,133.5464,84.7042,14562.7,573887.3,30.0,1004.1,0.41,-7.27,98.5,0.021,0.003
2019-10-14 08:00:00,133.5336,84.701,14699.8,574231.3,60.0,1004.4,0.37,-7.05,98.0,0.025,0.003
2019-10-14 09:00:00,133.517,84.6976,14875.7,574596.0,60.0,1005.2,0.3,-6.76,100.0,0.021,0.003
2019-10-14 10:00:00,133.4944,84.6944,15111.5,574937.3,60.5,1005.6,0.77,-5.85,99.4,0.01,0.004
2019-10-14 11:00:00,133.46865,84.69184,15377.3,575208.7,60.5,1005.9,0.86,-5.7,99.2,0.005,0.003
2019-10-14 12:00:00,133.44144,84.69002,15655.9,575397.9,60.5,1006.0,0.81,-5.45,98.5,0.003,0.002
2019-10-14 13:00:00,133.41635,84.68883,15911.4,575520.4,60.5,1006.2,0.54,-5.21,99.5,0.003,0.002
2019-10-14 14:00:00,133.39713,84.68802,16106.9,575602.7,60.5,1006.5,0.42,-4.62,99.5,0.004,0.002
2019-10-14 15:00:00,133.38563,84.68742,16224.2,575665.5,60.0,1006.5,0.63,-4.06,99.0,0.004,0.005
2019-10-14 16:00:00,133.38341,84.687,16247.9,575709.9,59.0,1006.8,1.03,-3.55,100.0,0.009,0.006
2019-10-14 17:00:00,133.38879,84.6864,16195.6,575776.5,60.0,1006.8,1.47,-2.97,100.0,0.012,0.007
2019-10-14 18:00:00,133.3988,84.6858,16096.9,575844.5,60.0,1007.0,1.82,-2.54,100.0,0.012,0.009
2019-10-14 19:00:00,133.40981,84.6848,15989.2,575956.1,60.5,1007.3,1.85,-2.5,100.0,0.012,0.012
2019-10-14 20:00:00,133.4181,84.68382,15908.9,576065.0,60.5,1007.2,1.57,-2.92,100.0,0.008,0.016
2019-10-14 21:00:00,133.4216,84.6828,15876.7,576176.4,60.0,1007.7,0.85,-3.15,100.0,0.005,0.018
2019-10-14 22:00:00,133.41773,84.68221,15917.4,576239.4,60.0,1007.8,0.65,-2.15,100.0,0.004,0.019
2019-10-14 23:00:00,133.40682,84.6818,16028.3,576280.7,60.5,1007.7,0.81,-2.14,100.0,0.002,0.021
2019-10-15 00:00:00,133.39226,84.68219,16173.6,576234.5,60.0,1008.2,0.56,-2.34,100.0,0.001,0.022
2019-10-15 01:00:00,133.37742,84.68299,16320.3,576143.8,60.0,1008.5,0.06,-2.13,100.0,0.001,0.019
2019-10-15 02:00:00,133.36596,84.68398,16432.6,576032.7,60.0,1008.7,-0.34,-1.75,98.8,0.001,0.015
2019-10-15 03:00:00,133.35905,84.68538,16497.7,575879.0,60.0,1008.8,-0.54,-1.66,98.4,0.0,0.01
2019-10-15 04:00:00,133.35895,84.68658,16495.0,575748.4,60.0,1008.9,-0.64,-1.67,90.3,0.0,0.005
2019-10-15 05:00:00,133.36246,84.68758,16456.6,575641.4,60.5,1009.3,-0.73,-1.81,63.4,0.0,0.002
2019-10-15 06:00:00,133.36731,84.688,16406.5,575597.3,29.5,1009.5,-1.02,-1.94,46.5,0.0,0.001
2019-10-15 07:00:00,133.37018,84.6882,16377.0,575575.9,49.5,1010.3,-1.41,-2.19,50.0,0.0,0.001
2019-10-15 08:00:00,133.3673,84.688,16406.6,575596.4,60.0,1010.5,-1.84,-2.38,63.3,0.0,0.0
2019-10-15 09:00:00,133.35742,84.68781,16506.5,575615.1,59.5,1011.0,-2.28,-2.45,59.7,0.001,0.0
2019-10-15 10:00:00,133.33995,84.6874,16683.3,575653.5,60.0,1011.6,-2.48,-2.16,73.8,0.001,0.0
2019-10-15 11:00:00,133.31642,84.6874,16919.7,575647.5,60.0,1011.6,-2.39,-2.3,60.5,0.001,0.0
2019-10-15 12:00:00,133.28946,84.68779,17189.3,575596.8,60.0,1012.0,-2.65,-2.42,45.7,0.002,0.0
2019-10-15 13:00:00,133.26241,84.68858,17458.4,575502.4,60.0,1012.3,-2.84,-2.41,35.3,0.002,0.0
2019-10-15 14:00:00,133.23962,84.68955,17684.1,575390.7,61.0,1012.5,-3.32,-2.54,25.6,0.003,0.0
2019-10-15 15:00:00,133.22165,84.69058,17861.1,575273.1,60.0,1012.7,-3.51,-2.65,28.4,0.005,0.0
2019-10-15 16:00:00,133.21009,84.69157,17973.8,575162.1,59.5,1012.9,-3.62,-2.71,51.7,0.009,0.0
2019-10-15 17:00:00,133.20163,84.69219,18056.7,575092.9,61.0,1013.2,-3.85,-2.7,85.3,0.014,0.001
2019-10-15 18:00:00,133.1907,84.69221,18166.2,575087.2,60.0,1013.3,-4.15,-2.6,100.0,0.016,0.001
2019-10-15 19:00:00,133.1708,84.69182,18367.3,575122.3,59.5,1013.5,-4.41,-2.59,99.4,0.014,0.002
2019-10-15 20:00:00,133.14331,84.69087,18646.7,575217.3,61.0,1013.7,-4.26,-2.77,100.0,0.013,0.002
2019-10-15 21:00:00,133.10676,84.69004,19016.6,575295.5,60.5,1013.7,-3.87,-3.05,100.0,0.011,0.003
2019-10-15 22:00:00,133.05656,84.68941,19522.9,575346.5,58.5,1013.9,-3.3,-3.65,88.8,0.011,0.003
2019-10-15 23:00:00,132.99519,84.689,20140.7,575369.6,59.5,1014.0,-3.61,-3.91,97.3,0.009,0.004
2019-10-16 00:00:00,132.935,84.689,20745.1,575348.2,60.0,1014.0,-4.03,-3.62,97.4,0.007,0.004
2019-10-16 01:00:00,132.8792,84.6896,21303.0,575262.6,60.5,1014.2,-4.18,-3.16,100.0,0.006,0.003
2019-10-16 02:00:00,132.82956,84.69038,21798.2,575158.9,60.5,1014.3,-4.07,-2.74,98.0,0.004,0.003
2019-10-16 03:00:00,132.78878,84.69139,22203.3,575034.6,60.5,1014.2,-3.87,-2.66,100.0,0.004,0.003
2019-10-16 04:00:00,132.7576,84.692,22513.7,574955.8,59.5,1014.2,-3.59,-2.81,100.0,0.003,0.003
2019-10-16 05:00:00,132.7328,84.6922,22761.7,574924.3,61.0,1014.1,-3.46,-3.15,100.0,0.003,0.002
2019-10-16 06:00:00,132.70999,84.69162,22993.1,574977.7,61.0,1014.2,-3.39,-3.41,100.0,0.003,0.002
2019-10-16 07:00:00,132.68484,84.69082,23249.0,575054.9,60.5,1014.4,-3.59,-3.45,100.0,0.004,0.003
2019-10-16 08:00:00,132.65672,84.68943,23537.4,575194.5,59.5,1014.2,-3.71,-3.37,98.2,0.005,0.003
2019-10-16 09:00:00,132.62185,84.68802,23893.8,575332.5,60.0,1014.3,-3.81,-3.34,89.3,0.006,0.003
2019-10-16 10:00:00,132.57949,84.68703,24323.7,575422.3,60.5,1014.0,-4.84,-2.91,74.9,0.007,0.002
2019-10-16 11:00:00,132.53321,84.68641,24791.4,575469.4,60.5,1014.1,-4.74,-2.4,72.8,0.01,0.002
2019-10-16 12:00:00,132.48399,84.6864,25285.8,575449.0,59.5,1014.2,-4.32,-2.34,64.1,0.01,0.002
2019-10-16 13:00:00,132.43635,84.68679,25762.3,575385.5,59.5,1014.0,-4.03,-2.66,77.1,0.008,0.002
2019-10-16 14:00:00,132.39347,84.68758,26189.0,575279.9,60.5,1013.6,-3.96,-3.14,86.7,0.009,0.002
2019-10-16 15:00:00,132.35715,84.68858,26548.7,575154.9,60.0,1013.2,-4.03,-3.34,92.4,0.009,0.003
2019-10-16 16:00:00,132.3278,84.68959,26838.2,575032.6,60.0,1013.2,-4.15,-3.37,99.8,0.009,0.003
2019-10-16 17:00:00,132.30652,84.6902,27048.7,574956.2,60.0,1012.7,-4.18,-3.35,99.9,0.009,0.004
2019-10-16 18:00:00,132.28826,84.69001,27232.8,574968.2,60.0,1012.6,-4.15,-3.3,99.2,0.011,0.004
2019-10-16 19:00:00,132.27292,84.68943,27389.8,575023.5,60.5,1012.3,-3.96,-3.33,100.0,0.014,0.005
2019-10-16 20:00:00,132.25515,84.68822,27574.4,575145.7,60.0,1012.0,-3.83,-3.31,99.9,0.013,0.008
2019-10-16 21:00:00,132.23094,84.68684,27824.7,575284.0,60.0,1012.1,-3.73,-3.48,100.0,0.014,0.011
2019-10-16 22:00:00,132.19918,84.68582,28149.0,575379.5,60.0,1011.3,-3.82,-3.57,100.0,0.016,0.016
2019-10-16 23:00:00,132.15935,84.68482,28554.4,575468.2,59.5,1011.1,-3.65,-3.74,100.0,0.02,0.021
2019-10-17 00:00:00,132.11159,84.68402,29038.4,575530.6,60.5,1010.9,-3.52,-3.92,100.0,0.022,0.026
2019-10-17 01:00:00,132.06688,84.6836,29489.8,575552.7,60.0,1010.8,-3.5,-3.92,100.0,0.02,0.025
2019-10-17 02:00:00,132.02879,84.6834,29873.6,575555.0,59.5,1010.3,-3.46,-3.51,100.0,0.015,0.021
2019-10-17 03:00:00,131.99667,84.6834,30196.2,575538.3,60.0,1010.2,-3.41,-3.06,100.0,0.007,0.015
2019-10-17 04:00:00,131.9733,84.6834,30431.0,575526.2,60.0,1009.7,-3.01,-2.73,100.0,0.003,0.011
2019-10-17 05:00:00,131.96142,84.68359,30549.2,575498.6,60.5,1009.6,-2.41,-2.82,100.0,0.001,0.011
2019-10-17 06:00:00,131.95822,84.68361,30581.2,575495.6,60.5,1009.2,-1.82,-3.02,100.0,0.001,0.014
2019-10-17 07:00:00,131.9586,84.68321,30579.8,575538.7,59.5,1009.5,-1.37,-3.3,99.1,0.001,0.013
2019-10-17 08:00:00,131.95731,84.68243,30597.2,575622.6,60.0,1009.2,-1.14,-3.23,97.3,0.003,0.013
2019-10-17 09:00:00,131.95229,84.68142,30653.4,575729.5,60.0,1009.6,-1.07,-3.04,97.4,0.006,0.011
2019-10-17 10:00:00,131.94455,84.68024,30738.1,575853.4,60.0,1009.3,-0.21,-2.12,88.0,0.005,0.008
2019-10-17 11:00:00,131.93187,84.67924,30871.3,575954.5,61.0,1009.1,-0.19,-2.04,87.7,0.003,0.005
2019-10-17 12:00:00,131.91957,84.67861,30998.6,576016.3,60.0,1009.0,-0.29,-1.62,88.0,0.002,0.002
2019-10-17 13:00:00,131.90986,84.67859,31096.3,576013.0,59.5,1009.1,-0.21,-1.02,88.9,0.002,0.002
2019-10-17 14:00:00,131.90523,84.67898,31140.6,575968.6,60.0,1008.9,0.3,-0.45,91.7,0.003,0.002
2019-10-17 15:00:00,131.90817,84.67977,31106.4,575884.2,60.0,1009.0,0.79,0.01,94.0,0.004,0.002
2019-10-17 16:00:00,131.91871,84.68057,30995.8,575803.3,60.0,1009.0,1.24,0.6,95.0,0.003,0.003
2019-10-17 17:00:00,131.9369,84.68156,30807.2,575705.8,60.0,1009.0,1.57,1.13,90.8,0.006,0.008
2019-10-17 18:00:00,131.9598,84.68276,30570.3,575588.0,60.0,1009.2,1.4,1.61,93.8,0.008,0.015
