datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-05 06:00:00,131.25026,84.91954,36014.9,549519.6,55.5,1022.8,-2.56,1.67,100.0,0.086,0.002
2019-10-05 07:00:00,131.23426,84.9203,36163.0,549428.1,60.0,1023.2,-2.34,1.61,100.0,0.088,0.002
2019-10-05 08:00:00,131.21601,84.92112,36332.1,549326.8,60.0,1023.7,-2.08,1.47,99.6,0.078,0.002
2019-10-05 09:00:00,131.19575,84.92188,36520.9,549232.3,60.0,1023.8,-1.92,1.42,99.6,0.074,0.002
2019-10-05 10:00:00,131.17754,84.92299,36687.4,549100.2,60.0,1024.0,-1.41,2.18,99.5,0.062,0.002
2019-10-05 11:00:00,131.16117,84.92445,36833.7,548931.7,60.0,1024.4,-0.71,2.21,100.0,0.065,0.003
2019-10-05 12:00:00,131.14674,84.92624,36958.9,548729.0,60.0,1024.3,-0.11,2.3,98.4,0.067,0.005
2019-10-05 13:00:00,131.13967,84.92855,37009.7,548473.3,60.0,1024.6,0.17,2.41,98.7,0.068,0.007
2019-10-05 14:00:00,131.13484,84.93095,37038.4,548211.1,60.0,1024.7,0.38,2.6,100.0,0.064,0.009
2019-10-05 15:00:00,131.13496,84.93353,37018.4,547931.4,60.0,1024.6,0.59,2.86,100.0,0.055,0.007
2019-10-05 16:00:00,131.13845,84.9359,36967.6,547676.6,60.0,1024.8,0.93,2.84,99.8,0.056,0.005
2019-10-05 17:00:00,131.14313,84.93766,36910.1,547489.6,60.0,1024.8,1.31,2.78,99.8,0.06,0.007
2019-10-05 18:00:00,131.14677,84.9391,36864.8,547336.1,60.0,1025.1,1.66,2.63,99.8,0.056,0.012
2019-10-05 19:00:00,131.14871,84.93999,36839.7,547240.4,60.0,1025.0,1.82,2.6,100.0,0.046,0.018
2019-10-05 20:00:00,131.14889,84.94013,36837.0,547225.6,60.0,1025.4,1.89,2.47,100.0,0.046,0.022
2019-10-05 21:00:00,131.1464,84.94029,36859.6,547207.1,60.0,1025.5,1.84,2.52,100.0,0.052,0.023
2019-10-05 22:00:00,131.14299,84.94066,36889.6,547165.0,60.0,1025.4,1.67,2.17,99.7,0.061,0.029
2019-10-05 23:00:00,131.14159,84.94118,36899.1,547107.2,60.0,1025.5,2.12,1.86,99.4,0.048,0.029
2019-10-06 00:00:00,131.14249,84.9415,36888.2,547073.8,60.0,1025.6,2.3,1.54,99.5,0.028,0.025
2019-10-06 01:00:00,131.14679,84.9422,36842.0,547000.2,60.0,1025.8,2.39,1.19,99.4,0.027,0.021
2019-10-06 02:00:00,131.1541,84.94269,36768.6,546951.6,60.0,1025.8,2.43,0.9,99.3,0.028,0.02
2019-10-06 03:00:00,131.16424,84.94308,36669.0,546916.4,60.0,1025.8,2.35,0.58,98.7,0.024,0.016
2019-10-06 04:00:00,131.1746,84.94315,36569.6,546915.7,60.0,1025.7,2.28,0.46,98.2,0.022,0.013
2019-10-06 05:00:00,131.18356,84.9428,36486.6,546958.5,60.0,1025.8,2.21,0.26,97.6,0.024,0.012
2019-10-06 06:00:00,131.18958,84.94213,36434.0,547035.8,60.0,1026.1,2.0,0.1,98.6,0.026,0.015
2019-10-06 07:00:00,131.19437,84.94125,36394.6,547133.5,60.0,1026.4,1.72,0.12,99.4,0.031,0.017
2019-10-06 08:00:00,131.19668,84.9403,36379.4,547237.8,60.0,1026.4,1.7,0.34,99.7,0.033,0.018
2019-10-06 09:00:00,131.19916,84.93956,36361.0,547320.0,60.0,1026.6,1.84,0.47,99.1,0.035,0.02
2019-10-06 10:00:00,131.20262,84.93923,36330.3,547357.2,60.0,1026.4,2.39,1.17,98.7,0.029,0.021
2019-10-06 11:00:00,131.20957,84.93857,36268.7,547433.9,60.0,1026.4,2.56,1.05,97.4,0.033,0.017
2019-10-06 12:00:00,131.21697,84.93845,36198.8,547451.3,60.0,1026.7,2.8,0.95,99.5,0.046,0.022
2019-10-06 13:00:00,131.22725,84.93843,36100.7,547459.2,60.0,1026.3,2.96,1.06,99.1,0.046,0.024
2019-10-06 14:00:00,131.24065,84.93873,35970.5,547436.0,60.0,1026.0,2.99,1.1,99.2,0.028,0.023
2019-10-06 15:00:00,131.25718,84.93882,35812.0,547436.3,60.0,1026.1,3.22,1.01,98.9,0.014,0.019
2019-10-06 16:00:00,131.27731,84.93877,35620.0,547454.7,60.0,1025.5,3.5,0.81,97.4,0.015,0.014
2019-10-06 17:00:00,131.30105,84.93845,35395.4,547503.4,60.0,1025.7,3.63,0.66,98.1,0.017,0.007
2019-10-06 18:00:00,131.32562,84.93775,35165.5,547594.8,60.0,1025.1,3.69,0.75,94.3,0.024,0.006
2019-10-06 19:00:00,131.35243,84.93707,34913.9,547684.1,60.0,1025.1,3.93,0.69,94.7,0.038,0.01
2019-10-06 20:00:00,131.37637,84.93603,34692.2,547811.6,60.0,1025.1,4.1,0.54,97.4,0.058,0.013
2019-10-06 21:00:00,131.39823,84.93474,34492.1,547965.0,60.0,1025.0,4.3,0.42,99.5,0.058,0.015
2019-10-06 22:00:00,131.41744,84.93342,34317.2,548119.3,60.0,1024.3,3.77,0.38,99.5,0.064,0.017
2019-10-06 23:00:00,131.43548,84.93227,34152.5,548254.8,60.0,1024.0,4.04,0.34,99.6,0.042,0.014
2019-10-07 00:00:00,131.45426,84.93145,33978.2,548354.6,60.0,1024.0,4.18,-0.1,98.1,0.039,0.014
2019-10-07 01:00:00,131.47597,84.93097,33773.7,548419.6,60.0,1023.6,4.26,-0.23,97.4,0.023,0.011
2019-10-07 02:00:00,131.50228,84.93064,33524.0,548470.6,60.0,1023.1,4.34,-0.03,89.7,0.004,0.005
2019-10-07 03:00:00,131.53343,84.93025,33228.4,548530.8,60.0,1023.0,4.38,-0.25,93.9,0.001,0.008
2019-10-07 04:00:00,131.56843,84.92945,32898.4,548638.1,60.0,1022.6,4.33,-0.08,98.3,0.003,0.013
2019-10-07 05:00:00,131.60433,84.92827,32562.3,548786.3,60.0,1022.2,4.63,0.23,100.0,0.014,0.017
2019-10-07 06:00:00,131.64013,84.92685,32228.4,548960.1,60.0,1022.1,5.04,0.11,100.0,0.029,0.022
2019-10-07 07:00:00,131.67545,84.92517,31900.6,549161.8,60.0,1022.0,5.48,-0.16,100.0,0.033,0.025
2019-10-07 08:00:00,131.70949,84.92313,31587.0,549402.1,60.0,1021.5,6.08,-0.5,100.0,0.026,0.029
2019-10-07 09:00:00,131.74559,84.9208,31255.2,549674.5,60.0,1021.5,6.11,-1.19,100.0,0.026,0.032
2019-10-07 10:00:00,131.78299,84.9186,30909.7,549932.5,60.0,1020.6,6.22,-0.21,99.9,0.016,0.022
2019-10-07 11:00:00,131.82167,84.91654,30551.0,550177.4,60.0,1020.2,6.8,-0.43,100.0,0.01,0.015
2019-10-07 12:00:00,131.8664,84.91454,30133.2,550417.3,60.0,1019.6,7.14,-0.77,100.0,0.009,0.007
