datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-07 07:00:00,135.20204,84.9895,-1915.1,543102.4,30.0,1021.5,5.82,-0.3,100.0,0.024,0.027
2019-10-07 08:00:00,135.23642,84.98712,-2242.1,543359.9,60.0,1021.0,6.38,-0.71,100.0,0.021,0.034
2019-10-07 09:00:00,135.27015,84.9847,-2563.2,543620.8,60.0,1021.1,6.37,-1.37,100.0,0.023,0.032
2019-10-07 10:00:00,135.3062,84.98242,-2906.6,543866.9,60.0,1020.1,6.4,-0.39,99.4,0.012,0.019
2019-10-07 11:00:00,135.34983,84.9798,-3322.4,544148.4,60.0,1019.7,6.99,-0.58,100.0,0.007,0.012
2019-10-07 12:00:00,135.40603,84.97722,-3858.2,544425.1,60.0,1019.1,7.3,-1.01,99.9,0.008,0.006
2019-10-07 13:00:00,135.46219,84.97441,-4394.2,544726.7,60.0,1018.7,7.46,-1.39,100.0,0.019,0.01
2019-10-07 14:00:00,135.5218,84.97172,-4963.6,545012.9,60.0,1018.4,7.44,-1.89,100.0,0.038,0.018
2019-10-07 15:00:00,135.58314,84.9686,-5550.6,545345.8,60.0,1017.9,7.47,-2.03,100.0,0.036,0.02
2019-10-07 16:00:00,135.64618,84.96496,-6155.1,545734.3,60.0,1017.2,7.61,-1.49,100.0,0.02,0.026
2019-10-07 17:00:00,135.70635,84.9609,-6733.5,546168.1,60.0,1016.6,8.21,-1.2,100.0,0.013,0.034
2019-10-07 18:00:00,135.76463,84.95693,-7294.9,546592.0,60.0,1016.2,9.04,-1.29,100.0,0.017,0.039
2019-10-07 19:00:00,135.82484,84.9528,-7875.7,547032.0,60.0,1015.7,9.79,-1.51,100.0,0.05,0.046
2019-10-07 20:00:00,135.88333,84.94891,-8440.6,547446.8,60.0,1015.2,10.07,-1.56,100.0,0.063,0.059
2019-10-07 21:00:00,135.94507,84.94562,-9036.4,547793.4,60.0,1014.6,10.42,-1.34,100.0,0.065,0.067
2019-10-07 22:00:00,136.01767,84.94262,-9736.4,548107.1,60.0,1013.3,10.76,-1.36,100.0,0.066,0.044
2019-10-07 23:00:00,136.10477,84.93921,-10576.7,548462.7,60.0,1012.5,10.93,-1.23,100.0,0.046,0.043
2019-10-08 00:00:00,136.19882,84.93543,-11485.5,548854.0,60.0,1011.5,11.35,-0.65,100.0,0.051,0.041
2019-10-08 01:00:00,136.29799,84.93137,-12445.5,549273.8,65.0,1010.6,11.85,-0.3,100.0,0.098,0.039
2019-10-08 02:00:00,136.39908,84.92704,-13426.1,549721.3,60.0,1009.6,12.26,0.06,100.0,0.187,0.049
2019-10-08 03:00:00,136.50056,84.92221,-14413.4,550220.7,55.0,1008.6,12.67,0.01,100.0,0.228,0.059
2019-10-08 04:00:00,136.59633,84.91705,-15348.7,550755.6,61.0,1007.4,12.77,-0.37,100.0,0.175,0.067
2019-10-08 05:00:00,136.68615,84.91151,-16229.8,551331.6,60.0,1006.2,12.45,-1.07,100.0,0.113,0.066
2019-10-08 06:00:00,136.76138,84.90555,-16973.5,551956.5,59.0,1005.2,11.71,-1.95,100.0,0.121,0.054
2019-10-08 07:00:00,136.83675,84.89951,-17720.7,552589.3,60.0,1004.6,10.7,-2.91,100.0,0.127,0.055
2019-10-08 08:00:00,136.89132,84.89325,-18269.3,553250.6,60.0,1003.7,9.78,-3.58,100.0,0.122,0.052
2019-10-08 09:00:00,136.93263,84.88711,-18690.7,553903.4,60.0,1003.6,8.85,-4.24,100.0,0.107,0.042
2019-10-08 10:00:00,136.96015,84.88125,-18978.5,554530.4,60.0,1003.1,8.01,-4.94,100.0,0.139,0.042
2019-10-08 11:00:00,136.97264,84.87505,-19122.5,555198.3,60.0,1003.1,6.64,-5.86,100.0,0.142,0.039
2019-10-08 12:00:00,136.97569,84.86891,-19175.1,555863.4,60.0,1002.7,5.45,-6.57,100.0,0.109,0.04
2019-10-08 13:00:00,136.97193,84.86354,-19158.6,556447.1,60.0,1003.1,4.69,-6.85,100.0,0.047,0.031
2019-10-08 14:00:00,136.96711,84.85861,-19130.2,556984.0,60.0,1003.1,4.44,-6.77,100.0,0.034,0.02
2019-10-08 15:00:00,136.95984,84.85423,-19075.8,557460.8,60.0,1003.4,4.11,-6.45,100.0,0.033,0.014
2019-10-08 16:00:00,136.95526,84.85065,-19044.4,557850.4,60.5,1003.5,3.82,-6.01,100.0,0.039,0.017
2019-10-08 17:00:00,136.9524,84.84733,-19028.9,558212.3,60.0,1003.6,3.45,-5.78,100.0,0.045,0.031
2019-10-08 18:00:00,136.9516,84.84391,-19033.8,558583.6,59.5,1004.1,3.19,-5.69,99.8,0.02,0.042
2019-10-08 19:00:00,136.94933,84.84023,-19025.2,558983.2,60.0,1004.3,3.02,-5.92,99.7,0.019,0.043
2019-10-08 20:00:00,136.94251,84.8363,-18973.1,559411.3,60.0,1005.0,2.18,-6.32,99.7,0.031,0.04
2019-10-08 21:00:00,136.92972,84.83253,-18862.0,559825.1,60.0,1005.3,1.18,-6.3,99.5,0.042,0.036
2019-10-08 22:00:00,136.91299,84.82918,-18710.7,560193.8,60.5,1005.2,0.38,-5.32,100.0,0.04,0.028
2019-10-08 23:00:00,136.89034,84.8262,-18499.9,560524.0,60.0,1005.3,0.18,-4.99,100.0,0.045,0.011
2019-10-09 00:00:00,136.86342,84.82421,-18243.6,560748.6,59.5,1005.8,0.02,-5.0,100.0,0.056,0.016
2019-10-09 01:00:00,136.83624,84.8227,-17982.8,560921.1,60.0,1006.2,-0.05,-5.01,100.0,0.059,0.031
2019-10-09 02:00:00,136.81,84.82161,-17729.7,561048.2,60.0,1006.3,-0.29,-4.92,100.0,0.057,0.015
2019-10-09 03:00:00,136.78773,84.8213,-17512.6,561088.3,60.0,1006.8,-0.32,-4.67,100.0,0.053,0.01
2019-10-09 04:00:00,136.77201,84.82159,-17357.7,561061.1,60.0,1006.9,-0.45,-4.55,100.0,0.058,0.015
2019-10-09 05:00:00,136.76171,84.8218,-17256.1,561041.9,60.0,1007.3,-0.35,-4.52,99.9,0.065,0.023
2019-10-09 06:00:00,136.75426,84.8217,-17183.5,561054.7,60.0,1007.4,-0.22,-4.69,100.0,0.07,0.027
2019-10-09 07:00:00,136.74716,84.82105,-17116.2,561127.9,61.5,1007.6,-0.01,-4.65,100.0,0.072,0.035
2019-10-09 08:00:00,136.73831,84.8198,-17033.6,561265.7,60.0,1008.1,0.04,-4.43,100.0,0.058,0.035
2019-10-09 09:00:00,136.72709,84.81831,-16928.5,561430.8,59.0,1007.9,0.18,-4.06,100.0,0.049,0.035
2019-10-09 10:00:00,136.71678,84.81713,-16831.4,561562.3,60.5,1008.2,0.29,-3.4,100.0,0.056,0.034
2019-10-09 11:00:00,136.69607,84.81611,-16631.6,561679.0,60.0,1008.0,0.83,-2.91,100.0,0.045,0.028
2019-10-09 12:00:00,136.68132,84.8155,-16489.0,561749.0,59.5,1008.1,1.05,-2.85,100.0,0.041,0.023
2019-10-09 13:00:00,136.66779,84.81511,-16357.6,561795.4,61.0,1008.0,0.84,-2.73,100.0,0.044,0.014
2019-10-09 14:00:00,136.65648,84.8151,-16246.7,561799.8,60.0,1007.8,0.26,-2.53,100.0,0.048,0.023
2019-10-09 15:00:00,136.64811,84.8156,-16163.1,561747.8,59.0,1007.7,-0.33,-2.14,100.0,0.047,0.045
2019-10-09 16:00:00,136.64132,84.81653,-16093.6,561648.5,61.5,1007.7,-0.89,-1.64,100.0,0.033,0.067
2019-10-09 17:00:00,136.63452,84.8177,-16023.4,561523.9,60.0,1007.4,-1.58,-1.18,100.0,0.02,0.09
2019-10-09 18:00:00,136.62747,84.81899,-15950.3,561385.8,58.5,1007.2,-2.41,-0.78,100.0,0.012,0.094
2019-10-09 19:00:00,136.6168,84.82039,-15841.5,561236.8,60.0,1007.2,-3.01,-0.5,100.0,0.011,0.082
2019-10-09 20:00:00,136.60043,84.8216,-15677.5,561110.1,60.0,1007.2,-3.57,-0.42,100.0,0.014,0.062
2019-10-09 21:00:00,136.57682,84.82259,-15443.3,561008.7,60.0,1007.5,-4.12,-0.52,100.0,0.019,0.046
2019-10-09 22:00:00,136.54576,84.8236,-15136.1,560907.8,60.0,1007.0,-4.92,0.25,99.8,0.018,0.038
2019-10-09 23:00:00,136.50874,84.82459,-14770.9,560809.8,60.0,1007.4,-5.05,-0.71,99.6,0.019,0.03
2019-10-10 00:00:00,136.46476,84.82589,-14336.8,560680.1,60.0,1007.7,-5.29,-1.93,98.3,0.022,0.024
2019-10-10 01:00:00,136.42084,84.82729,-13903.3,560539.1,60.0,1008.3,-6.0,-2.54,98.9,0.023,0.018
2019-10-10 02:00:00,136.37567,84.829,-13456.9,560364.5,60.0,1008.8,-6.4,-2.59,99.8,0.017,0.017
2019-10-10 03:00:00,136.32799,84.83098,-12985.6,560160.0,60.0,1009.3,-6.54,-2.45,99.4,0.012,0.014
2019-10-10 04:00:00,136.2829,84.83307,-12539.8,559944.0,60.5,1010.0,-6.31,-2.45,99.7,0.014,0.011
2019-10-10 05:00:00,136.24266,84.8349,-12142.1,559753.9,60.0,1010.8,-5.84,-2.53,99.9,0.015,0.01
2019-10-10 06:00:00,136.20876,84.8359,-11808.7,559652.8,60.0,1011.8,-5.22,-2.72,100.0,0.014,0.008
2019-10-10 07:00:00,136.17882,84.8362,-11515.5,559625.8,60.0,1012.3,-4.84,-2.79,99.7,0.013,0.006
2019-10-10 08:00:00,136.15806,84.83581,-11313.7,559672.6,60.0,1013.1,-4.13,-2.99,99.3,0.012,0.005
2019-10-10 09:00:00,136.13538,84.83471,-11094.5,559796.0,60.0,1013.6,-3.53,-3.21,99.7,0.012,0.006
