datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-03-26 15:00:00,12.98327,85.96229,371010.7,-231983.9,32.0,992.1,4.76,-8.23,100.0,0.008,0.017
2020-03-26 16:00:00,12.9884,85.95646,371568.0,-232286.1,62.0,992.3,4.61,-8.3,100.0,0.006,0.022
2020-03-26 17:00:00,12.99436,85.95066,372125.4,-232580.7,62.0,992.5,4.67,-8.18,100.0,0.001,0.023
2020-03-26 18:00:00,13.00068,85.9449,372681.2,-232870.9,60.5,992.7,5.08,-7.89,100.0,0.0,0.015
2020-03-26 19:00:00,13.00735,85.9389,373259.9,-233172.1,60.5,993.0,5.49,-7.87,99.9,0.0,0.014
2020-03-26 20:00:00,13.01353,85.93267,373858.0,-233489.7,59.5,993.6,5.84,-7.83,100.0,0.0,0.014
2020-03-26 21:00:00,13.02151,85.9262,374485.9,-233809.3,59.5,994.1,6.15,-8.16,100.0,0.0,0.014
2020-03-26 22:00:00,13.03215,85.9193,375164.1,-234135.9,60.0,994.8,6.07,-8.52,100.0,0.004,0.017
2020-03-26 23:00:00,13.04291,85.91207,375873.8,-234480.8,60.0,994.9,6.4,-8.39,100.0,0.002,0.025
2020-03-27 00:00:00,13.05447,85.90468,376600.8,-234828.8,59.5,995.4,6.61,-8.7,100.0,0.0,0.025
2020-03-27 01:00:00,13.06767,85.89714,377349.6,-235175.0,60.0,995.6,6.61,-8.96,100.0,0.001,0.025
2020-03-27 02:00:00,13.0802,85.88974,378082.0,-235516.7,60.0,996.1,6.53,-8.99,99.8,0.002,0.02
2020-03-27 03:00:00,13.094,85.8826,378796.3,-235835.0,59.5,996.2,6.31,-8.85,100.0,0.006,0.019
2020-03-27 04:00:00,13.10822,85.87552,379506.6,-236146.5,60.0,996.5,6.27,-8.6,100.0,0.009,0.021
2020-03-27 05:00:00,13.12422,85.86865,380205.1,-236433.9,60.0,996.6,6.66,-8.27,100.0,0.007,0.025
2020-03-27 06:00:00,13.14408,85.86214,380887.0,-236674.9,60.0,996.5,7.22,-8.2,100.0,0.003,0.025
2020-03-27 07:00:00,13.16715,85.85529,381613.3,-236913.3,60.0,996.8,7.67,-8.48,100.0,0.001,0.027
2020-03-27 08:00:00,13.19335,85.848,382394.0,-237155.8,60.0,997.0,7.83,-8.77,100.0,0.0,0.027
2020-03-27 09:00:00,13.21956,85.83976,383262.0,-237451.4,60.0,997.0,7.83,-9.21,100.0,0.001,0.031
2020-03-27 10:00:00,13.24243,85.83078,384185.1,-237811.2,60.0,997.9,8.12,-10.28,100.0,0.005,0.046
2020-03-27 11:00:00,13.25984,85.82125,385136.1,-238238.0,60.0,997.5,7.83,-10.37,100.0,0.0,0.059
2020-03-27 12:00:00,13.2729,85.81127,386111.1,-238719.4,59.5,997.8,7.87,-10.45,100.0,0.0,0.086
2020-03-27 13:00:00,13.28279,85.80111,387089.7,-239232.1,60.0,997.9,7.89,-10.49,100.0,0.0,0.112
2020-03-27 14:00:00,13.29136,85.791,388058.3,-239750.5,60.0,997.5,7.93,-10.46,100.0,0.0,0.105
2020-03-27 15:00:00,13.30077,85.78085,389034.4,-240265.3,60.5,997.3,8.03,-10.3,100.0,0.0,0.096
2020-03-27 16:00:00,13.31546,85.77075,390028.5,-240741.2,60.0,997.3,8.18,-10.11,100.0,0.0,0.103
2020-03-27 17:00:00,13.33157,85.76041,391050.5,-241220.2,60.0,997.0,8.2,-10.24,100.0,0.0,0.118
2020-03-27 18:00:00,13.34192,85.74956,392095.8,-241767.2,60.0,997.2,8.12,-10.19,100.0,0.0,0.124
2020-03-27 19:00:00,13.35555,85.73878,393149.1,-242287.6,60.0,997.0,8.05,-10.01,100.0,0.0,0.126
2020-03-27 20:00:00,13.36098,85.728,394167.1,-242863.4,59.5,997.1,7.82,-10.06,100.0,0.0,0.111
2020-03-27 21:00:00,13.36231,85.71706,395183.3,-243476.9,60.5,996.9,7.58,-10.29,100.0,0.0,0.096
2020-03-27 22:00:00,13.35883,85.70589,396200.1,-244136.6,60.5,997.1,7.48,-10.09,100.0,0.0,0.092
2020-03-27 23:00:00,13.35429,85.69477,397207.3,-244800.6,60.0,996.8,7.26,-10.24,100.0,0.0,0.085
2020-03-28 00:00:00,13.34724,85.68377,398193.1,-245475.8,60.0,997.3,7.04,-10.88,100.0,0.0,0.11
2020-03-28 01:00:00,13.33808,85.67318,399131.7,-246142.5,60.0,997.3,6.85,-10.86,100.0,0.0,0.122
2020-03-28 02:00:00,13.33092,85.66341,400003.3,-246748.9,60.0,997.6,6.53,-10.93,100.0,0.0,0.117
2020-03-28 03:00:00,13.3235,85.6543,400812.1,-247319.6,60.0,997.5,5.88,-10.88,100.0,0.0,0.099
2020-03-28 04:00:00,13.31514,85.64559,401579.9,-247874.2,60.0,997.6,5.32,-10.63,100.0,0.0,0.094
