datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-04-04 13:00:00,12.91167,84.65611,490793.6,-307735.0,45.0,1022.5,4.37,-8.9,98.0,0.002,0.003
2020-04-04 14:00:00,12.92351,84.64999,491420.7,-307986.7,45.0,1022.1,4.47,-9.18,90.6,0.002,0.003
2020-04-04 15:00:00,12.92021,84.68864,487847.7,-305786.6,75.0,1021.9,4.45,-9.29,98.9,0.003,0.003
2020-04-04 16:00:00,12.91599,84.72739,484261.6,-303588.4,75.0,1021.6,4.36,-9.29,97.2,0.006,0.003
2020-04-04 17:00:00,12.92692,84.72222,484795.1,-303794.1,30.0,1021.0,4.34,-9.07,98.1,0.007,0.003
2020-04-04 18:00:00,12.93582,84.71686,485334.9,-304027.3,30.0,1020.4,4.43,-8.78,99.0,0.008,0.005
2020-04-04 19:00:00,12.94706,84.71164,485875.0,-304233.0,30.0,1020.0,4.35,-7.89,100.0,0.004,0.01
2020-04-04 20:00:00,12.96188,84.70688,486391.8,-304381.5,30.0,1019.7,4.32,-6.93,100.0,0.001,0.02
2020-04-04 21:00:00,12.97936,84.70238,486898.8,-304492.1,30.0,1019.1,4.39,-6.55,100.0,0.0,0.022
2020-04-04 22:00:00,12.9967,84.69812,487383.3,-304589.9,30.0,1018.8,3.97,-7.36,100.0,0.008,0.023
2020-04-04 23:00:00,13.01531,84.69426,487836.8,-304653.1,30.0,1018.2,3.7,-7.31,99.9,0.004,0.014
2020-04-05 00:00:00,13.03513,84.69078,488262.6,-304684.2,30.0,1017.7,3.8,-6.54,98.1,0.005,0.007
2020-04-05 01:00:00,13.05368,84.68737,488675.5,-304722.1,30.0,1017.3,4.14,-5.58,98.3,0.005,0.006
2020-04-05 02:00:00,13.07159,84.68422,489061.0,-304750.2,30.0,1016.7,4.61,-4.58,100.0,0.005,0.01
2020-04-05 03:00:00,13.09007,84.6813,489428.4,-304760.1,30.0,1016.2,5.14,-4.01,100.0,0.005,0.016
2020-04-05 04:00:00,13.1114,84.67864,489787.1,-304730.5,30.0,1015.6,5.51,-3.49,100.0,0.005,0.024
2020-04-05 05:00:00,13.1377,84.67634,490139.1,-304637.5,30.0,1014.8,5.6,-2.99,100.0,0.002,0.025
2020-04-05 06:00:00,13.16762,84.67413,490501.9,-304508.0,30.0,1014.2,5.75,-2.43,100.0,0.001,0.025
2020-04-05 07:00:00,13.20003,84.67216,490856.0,-304343.3,30.0,1013.6,5.97,-2.03,100.0,0.0,0.022
2020-04-05 08:00:00,13.23582,84.67058,491191.9,-304127.0,30.0,1012.8,6.14,-1.54,100.0,0.0,0.019
2020-04-05 09:00:00,13.27462,84.66899,491544.5,-303885.0,30.0,1012.4,6.39,-1.05,100.0,0.0,0.022
2020-04-05 10:00:00,13.31611,84.66741,491910.4,-303619.1,30.0,1011.3,6.62,0.27,100.0,0.0,0.046
2020-04-05 11:00:00,13.36084,84.66602,492275.0,-303313.6,30.0,1010.6,6.73,1.0,100.0,0.001,0.075
2020-04-05 12:00:00,13.40765,84.66481,492634.5,-302980.1,30.0,1009.8,6.72,1.37,100.0,0.002,0.101
2020-04-05 13:00:00,13.45695,84.66384,492984.9,-302611.3,30.0,1009.0,6.78,1.57,100.0,0.001,0.108
2020-04-05 14:00:00,13.50801,84.66296,493335.8,-302221.7,30.0,1007.9,6.7,2.08,100.0,0.001,0.081
