datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-06-30 17:00:00,9.56459,81.81131,723931.5,-515145.1,10.0,1015.4,2.1,-2.69,96.8,0.032,0.0
2020-06-30 18:00:00,9.54091,81.80772,724037.0,-515671.0,10.0,1015.0,1.85,-2.18,97.8,0.05,0.0
2020-06-30 19:00:00,9.51766,81.80503,724066.2,-516134.7,10.0,1014.4,2.03,-1.81,99.6,0.067,0.0
2020-06-30 20:00:00,9.4959,81.80383,723976.3,-516485.6,10.0,1014.2,2.61,-1.65,100.0,0.079,0.0
2020-06-30 21:00:00,9.47893,81.80412,723797.7,-516681.6,10.0,1013.6,3.11,-1.81,98.9,0.089,0.0
2020-06-30 22:00:00,9.47064,81.80552,723598.9,-516697.7,10.0,1013.4,2.32,-2.25,99.4,0.077,0.0
2020-06-30 23:00:00,9.47075,81.8075,723424.5,-516571.1,10.0,1012.8,2.05,-1.94,99.1,0.078,0.0
2020-07-01 00:00:00,9.4781,81.80965,723300.3,-516342.3,10.0,1012.6,1.67,-1.48,96.1,0.07,0.0
2020-07-01 01:00:00,9.49123,81.81151,723253.7,-516058.8,10.0,1011.9,1.55,-1.21,97.9,0.07,0.0
2020-07-01 02:00:00,9.50727,81.81256,723305.1,-515790.1,10.0,1011.5,1.67,-1.33,98.7,0.066,0.0
2020-07-01 03:00:00,9.52299,81.81239,723461.7,-515602.3,10.0,1011.3,1.66,-1.58,98.4,0.069,0.0
2020-07-01 04:00:00,9.53563,81.81117,723683.6,-515519.8,10.0,1010.9,1.53,-1.92,98.2,0.06,0.0
2020-07-01 05:00:00,9.54527,81.80901,723961.8,-515534.4,10.0,1010.6,1.34,-2.18,98.2,0.049,0.0
2020-07-01 06:00:00,9.54959,81.80664,724210.9,-515629.5,10.0,1010.2,0.82,-2.32,97.7,0.053,0.0
2020-07-01 07:00:00,9.54776,81.80489,724349.6,-515763.1,10.0,1010.0,0.07,-2.19,96.8,0.058,0.0
2020-07-01 08:00:00,9.54313,81.80337,724442.7,-515917.6,10.0,1010.3,-0.53,-1.85,96.5,0.07,0.001
2020-07-01 09:00:00,9.53837,81.80235,724490.3,-516042.2,10.0,1009.9,-0.81,-1.36,93.9,0.074,0.002
2020-07-01 10:00:00,9.53426,81.80185,724497.6,-516125.8,10.0,1009.6,-0.23,-1.23,86.7,0.058,0.0
2020-07-01 11:00:00,9.531,81.80147,724501.9,-516191.0,10.0,1009.4,0.1,-1.46,76.7,0.046,0.0
2020-07-01 12:00:00,9.5278,81.80112,724504.1,-516253.6,10.0,1009.6,0.28,-1.95,71.5,0.048,0.0
2020-07-01 13:00:00,9.52342,81.80038,724530.2,-516355.7,10.0,1009.7,-0.1,-1.93,60.5,0.052,0.0
2020-07-01 14:00:00,9.51598,81.79905,724581.1,-516533.7,10.0,1009.5,-0.7,-2.08,63.0,0.058,0.0
2020-07-01 15:00:00,9.50275,81.79709,724635.5,-516825.0,10.0,1009.7,-0.84,-2.14,59.6,0.06,0.0
2020-07-01 16:00:00,9.48365,81.79478,724668.0,-517212.6,10.0,1009.4,-0.85,-2.28,56.6,0.055,0.0
2020-07-01 17:00:00,9.4606,81.79242,724668.7,-517653.5,10.0,1009.6,-0.94,-2.32,59.7,0.052,0.0
2020-07-01 18:00:00,9.43549,81.79047,724614.5,-518094.5,10.0,1009.2,-0.89,-2.36,64.4,0.051,0.0
2020-07-01 19:00:00,9.41151,81.78934,724497.7,-518469.2,10.0,1009.5,-0.85,-2.53,50.1,0.051,0.0
2020-07-01 20:00:00,9.3904,81.78922,724317.2,-518743.8,10.0,1009.5,-1.02,-2.78,60.2,0.053,0.0
2020-07-01 21:00:00,9.37439,81.79006,724097.9,-518892.9,10.0,1009.6,-1.41,-2.92,54.4,0.05,0.0
2020-07-01 22:00:00,9.36298,81.7915,723867.1,-518945.7,10.0,1009.6,-1.4,-3.18,52.4,0.049,0.0
2020-07-01 23:00:00,9.35524,81.79321,723645.8,-518935.0,10.0,1009.5,-1.73,-3.38,66.1,0.054,0.0
2020-07-02 00:00:00,9.34904,81.79507,723425.1,-518895.3,10.0,1009.4,-2.13,-3.74,77.0,0.066,0.0
2020-07-02 01:00:00,9.34457,81.79665,723244.8,-518851.5,10.0,1009.2,-2.59,-4.0,99.1,0.077,0.0
2020-07-02 02:00:00,9.34068,81.79746,723138.0,-518849.2,10.0,1009.1,-2.68,-4.25,100.0,0.084,0.0
2020-07-02 03:00:00,9.33309,81.79694,723115.2,-518978.0,10.0,1008.8,-2.43,-4.73,100.0,0.081,0.0
2020-07-02 04:00:00,9.32214,81.79482,723203.5,-519250.9,10.0,1008.8,-2.16,-5.37,100.0,0.082,0.0
2020-07-02 05:00:00,9.30752,81.79152,723362.7,-519644.8,10.0,1008.4,-2.01,-6.1,100.0,0.081,0.002
2020-07-02 06:00:00,9.28881,81.78706,723587.2,-520164.5,10.0,1008.8,-2.28,-6.69,100.0,0.095,0.006
2020-07-02 07:00:00,9.2663,81.78189,723839.9,-520777.5,10.0,1008.4,-2.48,-7.11,100.0,0.083,0.02
2020-07-02 08:00:00,9.23887,81.77625,724088.4,-521482.6,10.0,1008.4,-2.19,-7.25,100.0,0.059,0.046
2020-07-02 09:00:00,9.20832,81.77065,724304.9,-522225.3,10.0,1008.0,-1.53,-7.49,100.0,0.042,0.088
2020-07-02 10:00:00,9.17768,81.76533,724495.2,-522951.6,10.0,1007.7,-0.37,-6.97,100.0,0.081,0.099
2020-07-02 11:00:00,9.14739,81.76042,724651.7,-523647.5,10.0,1007.2,0.02,-7.31,100.0,0.124,0.064
2020-07-02 12:00:00,9.1174,81.75562,724801.0,-524333.0,10.0,1007.0,0.46,-7.58,100.0,0.183,0.044
2020-07-02 13:00:00,9.08755,81.75085,724948.5,-525015.2,10.0,1006.6,0.2,-7.81,100.0,0.153,0.041
2020-07-02 14:00:00,9.05625,81.74568,725116.9,-525741.4,10.0,1006.2,-0.3,-8.11,100.0,0.206,0.05
2020-07-02 15:00:00,9.02314,81.74039,725279.2,-526498.8,10.0,1005.8,-0.4,-8.26,100.0,0.354,0.089
2020-07-02 16:00:00,8.98616,81.73493,725420.2,-527316.4,10.0,1005.5,-1.0,-7.75,100.0,0.447,0.129
2020-07-02 17:00:00,8.94452,81.72943,725520.6,-528195.7,10.0,1005.2,-1.28,-7.42,100.0,0.417,0.098
