datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-10 06:00:00,135.48641,85.13431,-4477.2,527371.9,90.0,1012.5,-4.52,-3.0,100.0,0.012,0.007
2019-10-10 08:00:00,135.43339,85.13371,-3989.7,527441.7,180.0,1013.7,-3.16,-3.3,99.1,0.014,0.007
2019-10-10 10:00:00,135.38142,85.13108,-3513.2,527730.2,180.0,1014.5,-1.15,-4.13,89.6,0.023,0.008
2019-10-10 12:00:00,135.3296,85.12793,-3037.8,528074.6,180.0,1015.4,-0.51,-4.24,85.6,0.007,0.005
2019-10-10 14:00:00,135.2905,85.12546,-2678.8,528344.6,180.0,1015.9,0.92,-2.9,11.6,0.0,0.0
2019-10-10 16:00:00,135.28548,85.12399,-2633.3,528504.9,180.0,1015.8,3.57,-2.34,88.7,0.001,0.001
2019-10-10 18:00:00,135.32771,85.12186,-3024.1,528733.3,180.0,1015.5,5.16,-2.34,95.4,0.005,0.002
2019-10-10 20:00:00,135.40618,85.11755,-3751.6,529197.1,180.0,1014.9,6.11,-2.75,99.8,0.032,0.014
2019-10-10 22:00:00,135.49177,85.11032,-4548.9,529975.1,180.0,1013.8,6.48,-2.43,100.0,0.066,0.014
2019-10-11 00:00:00,135.55763,85.10089,-5168.1,530992.8,180.0,1013.5,6.47,-4.23,100.0,0.06,0.01
2019-10-11 02:00:00,135.59517,85.09173,-5526.3,531983.6,180.0,1013.1,5.7,-5.4,99.0,0.041,0.007
2019-10-11 04:00:00,135.61988,85.08495,-5763.7,532716.8,180.0,1013.1,6.05,-5.25,100.0,0.035,0.007
2019-10-11 06:00:00,135.67363,85.07785,-6272.5,533481.1,180.0,1013.0,6.33,-5.98,98.8,0.063,0.005
2019-10-11 08:00:00,135.73826,85.06901,-6886.6,534432.7,180.0,1012.7,5.52,-5.97,96.5,0.07,0.008
2019-10-11 10:00:00,135.76368,85.05948,-7137.5,535464.1,180.0,1012.6,4.18,-5.72,99.0,0.057,0.011
2019-10-11 12:00:00,135.76703,85.05213,-7179.5,536261.3,180.0,1012.4,4.39,-4.31,100.0,0.039,0.016
2019-10-11 14:00:00,135.77977,85.04785,-7305.0,536723.9,180.0,1011.9,5.01,-3.43,99.8,0.028,0.018
2019-10-11 16:00:00,135.82373,85.04537,-7720.6,536987.2,180.0,1011.1,4.84,-2.3,93.2,0.02,0.01
2019-10-11 18:00:00,135.88745,85.04273,-8322.3,537264.9,180.0,1010.6,4.63,-1.03,81.2,0.023,0.005
2019-10-11 20:00:00,135.94226,85.03962,-8841.8,537594.7,180.0,1009.7,4.62,-0.09,93.8,0.04,0.005
2019-10-11 22:00:00,135.96193,85.0376,-9030.0,537810.0,180.0,1008.5,2.6,0.59,96.9,0.048,0.007
2019-10-12 00:00:00,135.95582,85.03946,-8969.4,537609.9,180.0,1007.1,1.43,2.08,99.8,0.046,0.012
2019-10-12 02:00:00,135.94786,85.04555,-8883.7,536950.3,180.0,1005.4,-0.35,3.26,98.5,0.017,0.033
2019-10-12 04:00:00,135.95577,85.05368,-8943.2,536066.3,180.0,1003.5,-1.68,3.73,100.0,0.004,0.059
2019-10-12 06:00:00,135.95848,85.06047,-8956.1,535329.9,180.0,1001.4,-3.66,2.83,99.6,0.002,0.051
2019-10-12 08:00:00,135.93525,85.06438,-8732.2,534909.1,180.0,999.6,-5.15,1.53,98.3,0.003,0.035
2019-10-12 10:00:00,135.87496,85.06616,-8166.3,534724.2,180.0,998.7,-5.77,-0.58,97.6,0.006,0.016
2019-10-12 12:00:00,135.77735,85.06818,-7252.4,534518.9,180.0,998.3,-5.88,-2.17,99.3,0.015,0.003
2019-10-12 14:00:00,135.67445,85.07116,-6288.6,534207.3,180.0,998.1,-5.27,-2.99,100.0,0.018,0.002
2019-10-12 16:00:00,135.6063,85.07399,-5650.0,533906.7,180.0,998.2,-4.32,-3.44,100.0,0.016,0.004
2019-10-12 18:00:00,135.55881,85.07471,-5206.7,533833.3,180.0,998.6,-3.81,-4.02,98.3,0.026,0.008
2019-10-12 20:00:00,135.49726,85.07333,-4634.5,533989.0,180.0,999.2,-5.07,-3.79,99.4,0.031,0.006
2019-10-12 22:00:00,135.39579,85.07153,-3690.2,534191.1,180.0,1000.0,-3.86,-3.1,99.6,0.02,0.003
2019-10-13 00:00:00,135.28175,85.0707,-2627.3,534287.7,180.0,1000.8,-4.76,-4.36,97.5,0.023,0.004
2019-10-13 02:00:00,135.18394,85.07055,-1715.4,534308.1,180.0,1001.3,-3.71,-4.09,100.0,0.04,0.004
2019-10-13 04:00:00,135.11539,85.06966,-1076.2,534406.2,180.0,1001.7,-2.95,-4.83,91.6,0.036,0.004
2019-10-13 06:00:00,135.06228,85.06722,-581.2,534671.9,180.0,1001.9,-1.97,-5.22,69.5,0.017,0.002
2019-10-13 08:00:00,135.00891,85.06346,-83.2,535079.5,180.0,1002.0,-1.34,-5.62,86.0,0.019,0.004
2019-10-13 10:00:00,134.94924,85.0593,474.5,535531.1,180.0,1002.4,-0.79,-6.02,100.0,0.039,0.004
