datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-10 12:00:00,135.33006,85.12793,-3042.1,528075.2,120.5,1015.4,-0.51,-4.24,85.6,0.007,0.005
2019-10-10 16:00:00,135.28722,85.12405,-2649.4,528498.2,240.0,1015.8,3.57,-2.34,88.7,0.001,0.001
2019-10-10 20:00:00,135.40655,85.11761,-3755.0,529190.2,239.5,1014.9,6.11,-2.75,99.8,0.032,0.014
2019-10-11 00:00:00,135.55679,85.10111,-5160.0,530968.5,240.5,1013.5,6.47,-4.23,100.0,0.06,0.01
2019-10-11 04:00:00,135.62236,85.08444,-5787.3,532771.6,240.0,1013.1,6.05,-5.25,100.0,0.035,0.007
2019-10-11 08:00:00,135.73942,85.06898,-6897.4,534436.1,239.5,1012.7,5.52,-5.97,96.5,0.07,0.008
2019-10-11 12:00:00,135.7677,85.05226,-7185.6,536247.2,240.0,1012.4,4.39,-4.31,100.0,0.039,0.016
2019-10-11 16:00:00,135.82298,85.04528,-7713.8,536997.1,240.0,1011.1,4.84,-2.3,93.2,0.02,0.01
2019-10-11 20:00:00,135.9436,85.03976,-8854.1,537578.7,240.0,1009.7,4.62,-0.09,93.8,0.04,0.005
2019-10-12 00:00:00,135.97579,85.0431,-9150.0,537211.5,359.5,1007.1,1.44,2.07,99.8,0.046,0.012
2019-10-12 04:00:00,135.95969,85.0537,-8979.8,536064.2,359.5,1003.5,-1.68,3.73,100.0,0.004,0.059
2019-10-12 08:00:00,135.93707,85.06438,-8749.2,534908.4,360.0,999.6,-5.14,1.53,98.3,0.003,0.035
2019-10-12 12:00:00,135.77888,85.06814,-7266.7,534522.9,240.5,998.3,-5.88,-2.17,99.3,0.015,0.003
2019-10-12 16:00:00,135.60776,85.07401,-5663.6,533904.9,240.5,998.2,-4.32,-3.44,100.0,0.016,0.004
2019-10-12 20:00:00,135.49832,85.07337,-4644.3,533983.9,239.5,999.2,-5.07,-3.79,99.4,0.031,0.006
2019-10-13 00:00:00,135.2844,85.07056,-2652.1,534302.8,240.0,1000.8,-4.76,-4.36,97.5,0.023,0.004
2019-10-13 04:00:00,135.1159,85.0697,-1081.0,534402.0,240.0,1001.7,-2.95,-4.83,91.6,0.036,0.004
2019-10-13 08:00:00,135.00957,85.06352,-89.4,535073.5,239.5,1002.0,-1.34,-5.62,86.0,0.019,0.004
2019-10-13 12:00:00,134.93436,85.05702,613.8,535778.3,360.0,1002.4,0.76,-6.38,100.0,0.031,0.005
2019-10-13 16:00:00,134.89843,85.04568,952.0,537008.8,360.0,1000.5,3.03,-6.9,100.0,0.001,0.011
2019-10-13 20:00:00,134.86022,85.02566,1315.4,539180.4,360.0,1000.0,-0.13,-7.63,100.0,0.006,0.009
2019-10-14 00:00:00,134.66387,85.00822,3174.3,541065.3,240.0,1000.8,-0.59,-8.73,100.0,0.001,0.002
2019-10-14 04:00:00,134.5274,84.99616,4473.8,542365.3,240.0,1002.4,-0.18,-8.41,100.0,0.005,0.004
