datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-07 08:00:00,137.84769,85.05077,-26651.8,535794.5,10.0,1020.6,6.66,-0.98,100.0,0.017,0.038
2019-10-07 09:00:00,137.88104,85.04829,-26977.2,536047.7,10.0,1020.7,6.66,-1.56,100.0,0.018,0.03
2019-10-07 10:00:00,137.91607,85.0459,-27318.1,536290.1,10.5,1019.7,6.63,-0.58,99.4,0.011,0.018
2019-10-07 11:00:00,137.95967,85.04343,-27740.0,536536.9,10.0,1019.2,7.14,-0.75,100.0,0.006,0.011
2019-10-07 12:00:00,138.01448,85.04076,-28268.5,536799.5,10.0,1018.7,7.42,-1.22,99.1,0.009,0.007
2019-10-07 13:00:00,138.07916,85.03748,-28893.6,537122.6,10.0,1018.3,7.55,-1.69,100.0,0.019,0.011
2019-10-07 14:00:00,138.14618,85.03393,-29543.0,537473.2,10.0,1018.0,7.52,-2.24,100.0,0.039,0.02
2019-10-07 15:00:00,138.21465,85.03013,-30208.4,537849.2,10.0,1017.5,7.53,-2.22,100.0,0.035,0.023
2019-10-07 16:00:00,138.27862,85.02605,-30834.2,538256.9,10.5,1016.7,7.68,-1.61,100.0,0.02,0.028
2019-10-07 17:00:00,138.33894,85.02143,-31430.1,538725.0,10.0,1016.1,8.16,-1.27,100.0,0.012,0.037
2019-10-07 18:00:00,138.39899,85.01668,-32025.2,539206.3,10.0,1015.6,8.88,-1.33,100.0,0.021,0.048
2019-10-07 19:00:00,138.45839,85.01195,-32615.2,539685.2,10.5,1015.1,9.71,-1.59,100.0,0.054,0.055
2019-10-07 20:00:00,138.51674,85.00731,-33195.7,540154.3,10.0,1014.5,10.18,-1.79,100.0,0.065,0.065
2019-10-07 21:00:00,138.57895,85.00311,-33810.6,540572.9,10.0,1014.0,10.43,-1.64,100.0,0.064,0.072
2019-10-07 22:00:00,138.65291,84.99893,-34537.2,540981.5,10.0,1012.7,10.56,-1.52,100.0,0.063,0.046
2019-10-07 23:00:00,138.74211,84.99476,-35409.0,541378.6,10.0,1011.9,10.79,-1.43,100.0,0.044,0.048
2019-10-08 00:00:00,138.84126,84.99033,-36378.0,541796.3,10.0,1010.9,11.15,-0.96,100.0,0.052,0.047
2019-10-08 01:00:00,138.94141,84.98578,-37358.9,542224.5,10.0,1010.0,11.64,-0.63,100.0,0.102,0.043
2019-10-08 02:00:00,139.04242,84.98103,-38351.1,542672.0,10.0,1009.0,12.07,-0.26,100.0,0.178,0.052
2019-10-08 03:00:00,139.1413,84.97616,-39325.7,543132.1,10.0,1008.0,12.45,-0.21,100.0,0.208,0.061
2019-10-08 04:00:00,139.23447,84.97089,-40251.1,543637.8,10.0,1006.8,12.53,-0.54,100.0,0.161,0.072
2019-10-08 05:00:00,139.321,84.96534,-41117.5,544177.1,10.5,1005.6,12.13,-1.21,100.0,0.111,0.067
2019-10-08 06:00:00,139.39758,84.95954,-41893.0,544749.2,10.0,1004.6,11.33,-2.03,100.0,0.128,0.052
