datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-07 06:00:00,135.87839,84.86534,-8532.5,556516.3,60.0,1021.9,5.28,-0.1,100.0,0.016,0.022
2019-10-07 08:00:00,135.94658,84.86065,-9203.3,557014.7,120.0,1021.1,6.3,-0.57,100.0,0.023,0.034
2019-10-07 10:00:00,136.0144,84.85596,-9871.6,557512.4,120.0,1020.2,6.35,-0.46,99.5,0.015,0.019
2019-10-07 12:00:00,136.10596,84.85113,-10772.6,558020.1,120.0,1019.2,7.13,-1.17,99.6,0.006,0.006
2019-10-07 14:00:00,136.21215,84.84565,-11819.4,558593.5,120.0,1018.6,7.15,-1.92,99.9,0.031,0.015
2019-10-07 16:00:00,136.32977,84.83885,-12983.2,559305.7,120.0,1017.5,7.31,-1.54,100.0,0.026,0.022
2019-10-07 18:00:00,136.44355,84.83071,-14116.0,560161.8,120.0,1016.5,8.59,-1.04,100.0,0.013,0.038
2019-10-07 20:00:00,136.55471,84.82256,-15226.9,561017.9,120.0,1015.5,9.95,-1.5,100.0,0.06,0.064
2019-10-07 22:00:00,136.68101,84.81589,-16484.8,561706.7,120.0,1013.6,10.61,-1.59,100.0,0.068,0.048
2019-10-08 00:00:00,136.85191,84.8085,-18186.0,562456.5,120.0,1011.9,11.11,-0.88,100.0,0.049,0.047
2019-10-08 02:00:00,137.04567,84.79989,-20121.3,563325.7,120.0,1010.1,12.12,-0.08,100.0,0.154,0.048
2019-10-08 04:00:00,137.23971,84.78994,-22071.2,564334.1,120.0,1007.8,12.81,-0.34,100.0,0.178,0.069
2019-10-08 06:00:00,137.41133,84.77857,-23813.4,565498.3,120.0,1005.6,12.01,-1.76,100.0,0.116,0.059
2019-10-08 08:00:00,137.53728,84.76626,-25115.6,566779.5,120.0,1004.0,10.08,-3.42,100.0,0.12,0.058
2019-10-08 10:00:00,137.61345,84.75458,-25926.9,568012.1,120.0,1003.3,8.36,-4.61,100.0,0.142,0.049
2019-10-08 12:00:00,137.63877,84.74257,-26238.0,569303.1,120.0,1002.8,5.74,-6.34,100.0,0.124,0.042
2019-10-08 14:00:00,137.63303,84.73236,-26231.8,570412.0,120.0,1003.0,4.47,-6.88,100.0,0.032,0.021
2019-10-08 16:00:00,137.62196,84.72456,-26160.3,571263.2,120.0,1003.4,3.9,-6.05,100.0,0.034,0.015
2019-10-08 18:00:00,137.61763,84.71791,-26150.2,571986.2,120.0,1004.0,3.42,-5.74,99.9,0.026,0.039
2019-10-08 20:00:00,137.61149,84.71033,-26126.3,572810.9,120.0,1004.8,2.41,-6.41,99.6,0.027,0.042
2019-10-08 22:00:00,137.58747,84.70346,-25919.9,573567.1,120.0,1005.0,0.45,-5.45,100.0,0.037,0.033
2019-10-09 00:00:00,137.54421,84.69879,-25509.3,574093.3,120.0,1005.6,0.15,-4.98,100.0,0.056,0.016
2019-10-09 02:00:00,137.49754,84.69655,-25052.2,574356.2,120.0,1006.2,-0.19,-4.89,100.0,0.059,0.019
2019-10-09 04:00:00,137.46468,84.6968,-24721.7,574343.7,120.0,1006.8,-0.53,-4.6,100.0,0.057,0.015
2019-10-09 06:00:00,137.45147,84.69714,-24587.7,574312.2,120.0,1007.3,-0.39,-4.61,100.0,0.072,0.027
2019-10-09 08:00:00,137.43345,84.69525,-24415.7,574524.5,120.0,1008.0,-0.0,-4.43,100.0,0.064,0.037
2019-10-09 10:00:00,137.40693,84.6924,-24162.8,574845.0,120.0,1008.2,0.26,-3.42,100.0,0.059,0.034
2019-10-09 12:00:00,137.37751,84.69097,-23874.1,575012.6,120.0,1008.0,1.12,-2.85,100.0,0.044,0.024
2019-10-09 14:00:00,137.35595,84.69068,-23659.0,575053.3,120.0,1007.7,0.46,-2.6,100.0,0.049,0.021
2019-10-09 16:00:00,137.34415,84.69228,-23533.4,574884.9,120.0,1007.7,-0.68,-1.73,100.0,0.033,0.067
2019-10-09 18:00:00,137.33186,84.69484,-23398.8,574612.4,120.0,1007.1,-2.18,-0.75,100.0,0.008,0.102
2019-10-09 20:00:00,137.30685,84.69743,-23136.7,574341.6,120.0,1007.1,-3.38,-0.22,100.0,0.009,0.071
2019-10-09 22:00:00,137.25741,84.69971,-22631.4,574114.0,120.0,1006.8,-4.62,0.58,99.9,0.012,0.048
2019-10-10 00:00:00,137.18572,84.70225,-21902.5,573865.4,120.0,1007.4,-5.16,-1.6,98.7,0.016,0.031
2019-10-10 02:00:00,137.10355,84.70595,-21064.7,573495.1,120.0,1008.4,-6.48,-2.25,99.9,0.013,0.017
2019-10-10 04:00:00,137.01989,84.71033,-20210.5,573050.0,120.0,1009.7,-6.64,-2.1,99.5,0.015,0.012
2019-10-10 06:00:00,136.94984,84.71341,-19498.5,572740.8,120.0,1011.5,-5.54,-2.47,100.0,0.015,0.009
2019-10-10 08:00:00,136.90045,84.71336,-19005.0,572762.3,120.0,1012.9,-4.58,-2.73,99.9,0.013,0.005
2019-10-10 10:00:00,136.85688,84.71104,-18577.6,573028.0,120.0,1013.9,-2.25,-3.72,90.8,0.027,0.007
2019-10-10 12:00:00,136.80366,84.70796,-18055.8,573379.2,120.0,1014.9,-1.55,-4.29,95.6,0.022,0.015
2019-10-10 14:00:00,136.76004,84.70551,-17627.5,573658.7,120.0,1015.8,-0.65,-3.72,85.0,0.001,0.002
2019-10-10 16:00:00,136.74304,84.70353,-17463.8,573878.8,120.0,1015.8,1.69,-2.81,44.8,0.0,0.0
2019-10-10 18:00:00,136.76082,84.70109,-17650.1,574138.9,120.0,1015.9,3.95,-2.78,84.0,0.0,0.001
2019-10-10 20:00:00,136.81124,84.69661,-18170.6,574608.8,120.0,1015.5,5.26,-2.21,87.0,0.008,0.003
2019-10-10 22:00:00,136.87698,84.68969,-18854.5,575337.9,120.0,1014.4,6.28,-1.9,100.0,0.04,0.016
2019-10-11 00:00:00,136.94227,84.68084,-19542.7,576277.1,120.0,1014.0,7.06,-3.24,100.0,0.058,0.011
2019-10-11 02:00:00,136.99364,84.67179,-20093.5,577240.1,120.0,1013.5,5.88,-4.64,100.0,0.045,0.008
2019-10-11 04:00:00,137.02864,84.66417,-20475.4,578054.9,120.0,1013.4,5.88,-5.09,100.0,0.035,0.008
2019-10-11 06:00:00,137.0681,84.6589,-20894.1,578612.1,120.0,1013.3,6.25,-5.44,98.4,0.055,0.006
2019-10-11 08:00:00,137.13138,84.64921,-21572.4,579640.3,120.0,1013.1,5.77,-5.81,97.4,0.07,0.009
2019-10-11 10:00:00,137.16038,84.63941,-21905.8,580691.7,120.0,1012.8,4.56,-5.68,99.8,0.062,0.012
2019-10-11 12:00:00,137.16713,84.63256,-22002.3,581432.8,120.0,1012.7,4.47,-4.57,100.0,0.04,0.018
2019-10-11 14:00:00,137.18315,84.62833,-22182.5,581885.8,120.0,1012.3,4.95,-3.75,100.0,0.026,0.023
2019-10-11 16:00:00,137.22346,84.6255,-22603.7,582176.1,120.0,1011.6,4.92,-2.53,97.6,0.021,0.014
2019-10-11 18:00:00,137.27525,84.62281,-23141.5,582447.2,120.0,1011.1,4.83,-1.22,88.9,0.026,0.006
2019-10-11 20:00:00,137.31694,84.61945,-23580.1,582795.6,120.0,1010.3,4.89,-0.2,96.1,0.041,0.005
2019-10-11 22:00:00,137.3335,84.61726,-23758.2,583025.7,120.0,1009.0,2.8,0.82,98.7,0.044,0.009
