datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-09 04:00:00,139.02349,85.05408,-37615.5,534776.6,54.0,1006.8,-0.49,-4.36,100.0,0.062,0.02
2019-10-09 05:00:00,139.01107,85.05415,-37499.1,534777.2,60.0,1007.2,-0.37,-4.4,99.8,0.068,0.027
2019-10-09 06:00:00,139.00171,85.05398,-37413.1,534802.0,60.0,1007.3,-0.4,-4.6,100.0,0.071,0.031
2019-10-09 07:00:00,138.99516,85.05311,-37358.4,534899.7,60.0,1007.5,-0.17,-4.42,100.0,0.072,0.04
2019-10-09 08:00:00,138.98734,85.05167,-37296.4,535061.3,60.0,1007.9,-0.08,-4.21,100.0,0.058,0.039
2019-10-09 09:00:00,138.97563,85.04995,-37199.9,535254.7,60.0,1007.8,0.03,-3.77,100.0,0.048,0.033
2019-10-09 10:00:00,138.95931,85.04873,-37056.7,535398.0,60.0,1008.0,-0.07,-3.12,100.0,0.054,0.026
2019-10-09 11:00:00,138.9403,85.04796,-36884.7,535492.8,60.0,1007.8,0.41,-2.73,100.0,0.052,0.021
2019-10-09 12:00:00,138.92172,85.04762,-36713.5,535542.4,60.0,1007.9,0.46,-2.74,100.0,0.054,0.019
2019-10-09 13:00:00,138.9036,85.04762,-36544.2,535553.0,60.0,1007.9,0.05,-2.6,100.0,0.056,0.011
2019-10-09 14:00:00,138.88852,85.04792,-36401.1,535530.9,60.0,1007.7,-0.62,-2.25,100.0,0.061,0.012
2019-10-09 15:00:00,138.87682,85.04871,-36285.9,535452.5,60.0,1007.7,-1.25,-1.69,100.0,0.064,0.018
2019-10-09 16:00:00,138.86885,85.04975,-36203.8,535344.8,60.0,1007.7,-1.64,-1.12,100.0,0.059,0.028
2019-10-09 17:00:00,138.86031,85.05109,-36114.2,535204.8,60.0,1007.5,-2.18,-0.73,100.0,0.054,0.037
