datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2019-10-10 06:00:00,135.48352,85.13369,-4451.1,527439.8,30.0,1012.5,-4.52,-3.0,100.0,0.012,0.007
2019-10-10 07:00:00,135.46097,85.1338,-4243.5,527429.2,30.0,1012.9,-3.94,-3.07,99.9,0.013,0.007
2019-10-10 08:00:00,135.43632,85.13331,-4017.0,527484.7,29.5,1013.7,-3.16,-3.3,99.1,0.014,0.007
2019-10-10 09:00:00,135.41005,85.13212,-3776.1,527615.5,30.5,1014.0,-2.53,-3.46,99.8,0.013,0.006
2019-10-10 10:00:00,135.38465,85.13073,-3543.2,527768.1,30.0,1014.5,-1.15,-4.13,89.6,0.023,0.008
2019-10-10 11:00:00,135.35777,85.12912,-3296.6,527944.2,30.0,1015.2,-0.81,-4.46,89.4,0.014,0.006
2019-10-10 12:00:00,135.33113,85.12752,-3052.2,528118.9,30.0,1015.4,-0.51,-4.24,85.6,0.007,0.005
2019-10-10 13:00:00,135.30826,85.12622,-2842.2,528261.4,30.0,1015.8,-0.06,-3.59,51.2,0.001,0.001
2019-10-10 14:00:00,135.29265,85.12521,-2698.7,528371.6,30.0,1015.9,0.92,-2.9,11.6,0.0,0.0
2019-10-10 15:00:00,135.28593,85.12431,-2637.3,528469.7,30.0,1016.0,2.23,-2.4,28.3,0.0,0.0
2019-10-10 16:00:00,135.28886,85.12361,-2664.7,528545.7,30.0,1015.8,3.57,-2.34,88.7,0.001,0.001
2019-10-10 17:00:00,135.30346,85.12272,-2799.9,528642.1,30.0,1015.8,4.52,-2.39,98.6,0.002,0.001
2019-10-10 18:00:00,135.33153,85.12153,-3059.7,528769.5,30.0,1015.5,5.16,-2.34,95.4,0.005,0.002
2019-10-10 19:00:00,135.3678,85.11973,-3395.6,528963.1,30.0,1015.1,5.64,-2.38,97.1,0.014,0.004
2019-10-10 20:00:00,135.40859,85.11715,-3774.2,529240.2,30.0,1014.9,6.11,-2.75,99.8,0.032,0.014
2019-10-10 21:00:00,135.45225,85.11388,-4180.3,529592.3,30.0,1014.8,6.27,-3.03,100.0,0.061,0.024
2019-10-10 22:00:00,135.49519,85.10996,-4580.9,530014.4,30.0,1013.8,6.48,-2.43,100.0,0.066,0.014
2019-10-10 23:00:00,135.53078,85.10536,-4914.7,530510.0,30.0,1013.7,7.04,-3.28,100.0,0.065,0.011
2019-10-11 00:00:00,135.5587,85.10062,-5178.3,531021.8,29.5,1013.5,6.47,-4.23,100.0,0.06,0.01
2019-10-11 01:00:00,135.58006,85.09588,-5381.4,531534.2,30.5,1013.6,5.94,-5.06,98.2,0.047,0.009
2019-10-11 02:00:00,135.59842,85.09128,-5556.9,532032.2,30.0,1013.1,5.7,-5.4,99.0,0.041,0.007
2019-10-11 03:00:00,135.61135,85.08715,-5681.8,532479.0,30.0,1013.3,5.76,-5.32,100.0,0.035,0.007
2019-10-11 04:00:00,135.62454,85.08395,-5808.2,532824.8,30.0,1013.1,6.05,-5.25,100.0,0.035,0.007
2019-10-11 05:00:00,135.64358,85.08135,-5988.4,533105.0,30.0,1012.9,6.36,-5.61,97.2,0.049,0.006
2019-10-11 06:00:00,135.67356,85.07826,-6271.3,533436.5,30.0,1013.0,6.33,-5.98,98.8,0.063,0.005
2019-10-11 07:00:00,135.712,85.07378,-6635.2,533918.3,30.0,1012.9,5.92,-6.02,98.4,0.067,0.006
2019-10-11 08:00:00,135.7411,85.06852,-6913.8,534485.8,29.5,1012.7,5.52,-5.97,96.5,0.07,0.008
2019-10-11 09:00:00,135.75821,85.06339,-7080.7,535041.1,30.5,1012.8,5.23,-5.66,96.8,0.071,0.01
2019-10-11 10:00:00,135.76604,85.05885,-7160.4,535531.8,30.0,1012.6,4.18,-5.72,99.0,0.057,0.011
2019-10-11 11:00:00,135.769,85.05501,-7193.7,535948.1,29.5,1012.6,4.13,-4.9,98.9,0.047,0.014
2019-10-11 12:00:00,135.7693,85.05181,-7201.2,536295.6,30.0,1012.4,4.39,-4.31,100.0,0.039,0.016
2019-10-11 13:00:00,135.77237,85.04931,-7233.6,536566.8,30.0,1012.1,4.87,-3.86,99.5,0.036,0.019
2019-10-11 14:00:00,135.78239,85.04744,-7330.2,536768.7,30.5,1011.9,5.01,-3.43,99.8,0.028,0.018
2019-10-11 15:00:00,135.80219,85.04592,-7517.9,536930.2,30.0,1011.6,4.94,-2.89,95.9,0.021,0.013
2019-10-11 16:00:00,135.82706,85.04471,-7752.9,537058.2,30.0,1011.1,4.84,-2.3,93.2,0.02,0.01
2019-10-11 17:00:00,135.85735,85.04382,-8038.3,537151.5,30.0,1010.9,4.74,-1.68,88.3,0.021,0.007
2019-10-11 18:00:00,135.89145,85.04243,-8360.3,537297.5,30.0,1010.6,4.63,-1.03,81.2,0.023,0.005
2019-10-11 19:00:00,135.92156,85.04082,-8645.5,537467.2,30.0,1010.1,4.67,-0.46,89.2,0.032,0.005
2019-10-11 20:00:00,135.94496,85.03922,-8867.9,537637.3,30.0,1009.7,4.62,-0.09,93.8,0.04,0.005
2019-10-11 21:00:00,135.96015,85.03791,-9012.8,537777.5,30.0,1009.1,4.39,0.17,96.6,0.047,0.005
2019-10-11 22:00:00,135.96539,85.0372,-9063.2,537853.1,30.0,1008.5,2.6,0.59,96.9,0.048,0.007
2019-10-11 23:00:00,135.96322,85.0374,-9042.6,537832.3,30.0,1007.8,2.19,1.36,97.4,0.051,0.01
2019-10-12 00:00:00,135.95703,85.03899,-8981.5,537660.1,30.0,1007.1,1.43,2.08,99.8,0.046,0.012
2019-10-12 01:00:00,135.95111,85.04159,-8921.3,537379.4,30.0,1006.4,0.55,2.71,97.7,0.035,0.021
2019-10-12 02:00:00,135.95068,85.04524,-8910.7,536983.6,30.5,1005.4,-0.35,3.26,98.5,0.017,0.033
2019-10-12 03:00:00,135.95413,85.04924,-8935.8,536548.2,30.0,1004.7,-0.94,3.66,99.8,0.007,0.048
2019-10-12 04:00:00,135.95897,85.05328,-8973.8,536109.8,30.0,1003.5,-1.68,3.73,100.0,0.004,0.059
2019-10-12 05:00:00,135.962,85.05696,-8995.5,535710.0,30.0,1002.7,-2.63,3.38,100.0,0.003,0.055
2019-10-12 06:00:00,135.95869,85.06006,-8958.8,535373.6,30.0,1001.4,-3.66,2.83,99.6,0.002,0.052
