datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-02-16 13:00:00,79.19163,88.0649,173409.2,117811.7,28.0,1000.8,3.5,4.58,98.1,0.002,0.006
2020-02-16 14:00:00,79.21773,88.06559,173293.7,117848.6,58.0,1001.1,3.45,4.3,90.2,0.002,0.002
2020-02-16 15:00:00,79.22098,88.06572,173275.1,117850.4,60.0,1000.9,2.63,4.21,86.2,0.002,0.001
2020-02-16 16:00:00,79.19717,88.06526,173365.4,117806.5,60.0,1000.5,1.58,4.47,89.5,0.002,0.002
2020-02-16 17:00:00,79.16877,88.06477,173467.5,117750.3,60.0,1000.3,0.57,4.92,82.4,0.001,0.002
2020-02-16 18:00:00,79.15655,88.06468,173501.2,117719.0,60.0,1000.1,-0.14,5.5,68.7,0.0,0.001
2020-02-16 19:00:00,79.1606,88.06532,173435.3,117692.2,60.0,999.9,-0.32,6.2,74.0,0.001,0.001
2020-02-16 20:00:00,79.16966,88.06634,173324.9,117657.3,60.0,999.9,-0.25,6.73,85.1,0.003,0.007
2020-02-16 21:00:00,79.14922,88.06675,173330.5,117570.8,60.0,999.9,-0.06,6.94,95.5,0.0,0.01
2020-02-16 22:00:00,79.11067,88.06709,173379.3,117433.7,60.0,999.6,-0.78,6.67,96.1,0.0,0.004
2020-02-16 23:00:00,79.07254,88.06777,173395.7,117276.5,60.0,999.3,-0.98,6.67,87.0,0.0,0.002
2020-02-17 00:00:00,79.03556,88.06802,173449.1,117149.6,60.0,999.1,-1.21,6.62,62.4,0.0,0.001
2020-02-17 01:00:00,78.99559,88.06769,173560.9,117048.9,60.0,998.8,-1.63,6.48,27.1,0.0,0.0
2020-02-17 02:00:00,78.95545,88.06752,173658.0,116937.5,60.0,998.2,-2.32,6.07,4.1,0.0,0.0
2020-02-17 03:00:00,78.90221,88.06818,173707.0,116736.0,60.0,997.8,-3.26,5.59,1.5,0.0,0.0
2020-02-17 04:00:00,78.85034,88.06885,173752.0,116538.1,60.0,997.4,-4.06,5.3,0.4,0.0,0.0
2020-02-17 05:00:00,78.78881,88.06968,173802.8,116301.7,60.5,996.8,-4.66,5.08,1.2,0.0,0.0
2020-02-17 06:00:00,78.72704,88.07077,173829.6,116048.5,60.0,996.5,-5.05,4.81,0.9,0.0,0.0
2020-02-17 07:00:00,78.6622,88.0711,173931.2,115832.0,60.0,996.2,-5.31,4.4,0.7,0.0,0.0
2020-02-17 08:00:00,78.59608,88.0712,174055.9,115625.3,60.0,995.8,-5.48,3.94,2.7,0.0,0.0
2020-02-17 09:00:00,78.53283,88.07135,174169.8,115424.1,60.0,995.9,-5.53,3.58,2.4,0.0,0.0
2020-02-17 10:00:00,78.45779,88.07143,174313.6,115191.1,60.0,995.0,-6.4,2.93,41.7,0.0,0.001
2020-02-17 11:00:00,78.38128,88.07174,174439.3,114939.8,59.5,994.5,-6.55,2.68,55.5,0.0,0.002
2020-02-17 12:00:00,78.29832,88.07215,174568.6,114662.8,60.0,994.0,-6.68,2.2,74.2,0.0,0.003
2020-02-17 13:00:00,78.22289,88.07254,174683.8,114409.6,60.0,993.1,-6.64,1.71,89.1,0.0,0.003
2020-02-17 14:00:00,78.1378,88.07265,174843.4,114143.4,59.5,993.3,-6.34,1.45,91.0,0.0,0.002
2020-02-17 15:00:00,78.06048,88.07292,174972.8,113891.5,60.0,992.9,-6.1,1.22,98.0,0.0,0.002
2020-02-17 16:00:00,77.99249,88.07308,175093.4,113674.3,60.0,992.7,-5.96,1.0,90.8,0.0,0.003
2020-02-17 17:00:00,77.91825,88.07353,175199.0,113420.5,60.0,992.2,-5.81,0.83,96.6,0.0,0.005
2020-02-17 18:00:00,77.84213,88.07415,175293.4,113151.4,60.0,992.3,-5.67,0.7,98.7,0.0,0.007
2020-02-17 19:00:00,77.77545,88.07468,175376.8,112916.3,60.0,991.9,-5.43,0.64,99.1,0.001,0.01
2020-02-17 20:00:00,77.71509,88.07523,175445.9,112699.5,60.0,992.2,-5.11,0.58,99.8,0.0,0.012
2020-02-17 21:00:00,77.66201,88.07593,175485.8,112495.6,60.5,992.4,-4.88,0.7,99.7,0.0,0.016
2020-02-17 22:00:00,77.60883,88.07679,175511.5,112282.4,60.0,992.3,-4.4,0.24,99.9,0.0,0.014
2020-02-17 23:00:00,77.55864,88.07763,175533.1,112079.6,60.0,992.1,-4.13,0.27,99.8,0.0,0.012
2020-02-18 00:00:00,77.51003,88.07873,175527.9,111866.8,60.0,992.2,-4.23,0.06,99.5,0.0,0.013
2020-02-18 01:00:00,77.4609,88.07986,175520.7,111650.7,60.0,991.8,-4.56,-0.11,99.8,0.0,0.005
2020-02-18 02:00:00,77.41584,88.0812,175486.0,111434.9,60.0,992.1,-4.61,0.27,97.8,0.0,0.007
2020-02-18 03:00:00,77.36544,88.08255,175460.2,111202.0,60.0,992.3,-4.83,0.5,93.3,0.0,0.005
2020-02-18 04:00:00,77.31603,88.08388,175434.3,110973.7,60.0,992.0,-5.1,0.64,83.2,0.0,0.002
2020-02-18 05:00:00,77.25918,88.08556,175390.1,110702.2,60.0,991.9,-5.43,0.52,99.6,0.0,0.001
2020-02-18 06:00:00,77.18989,88.08783,175315.5,110358.8,60.0,991.5,-5.97,0.27,89.4,0.0,0.001
2020-02-18 07:00:00,77.10048,88.09061,175232.4,109925.1,60.0,991.4,-6.58,0.33,83.7,0.0,0.005
2020-02-18 08:00:00,76.99315,88.09402,175124.5,109400.8,60.0,991.3,-7.23,0.71,99.8,0.0,0.013
2020-02-18 09:00:00,76.87352,88.09779,175006.0,108819.5,59.5,991.6,-7.82,1.33,100.0,0.0,0.03
2020-02-18 10:00:00,76.74986,88.10182,174868.8,108211.5,60.0,989.8,-8.2,1.45,100.0,0.0,0.014
2020-02-18 11:00:00,76.62498,88.10621,174699.2,107580.7,60.0,989.5,-8.27,1.7,100.0,0.001,0.044
2020-02-18 12:00:00,76.48913,88.11047,174560.6,106925.3,60.0,989.3,-8.36,2.2,100.0,0.006,0.082
2020-02-18 13:00:00,76.36155,88.11519,174361.2,106270.0,60.0,989.0,-8.3,2.49,100.0,0.004,0.097
2020-02-18 14:00:00,76.23768,88.11987,174156.8,105629.7,60.0,988.6,-8.3,2.52,100.0,0.002,0.091
2020-02-18 15:00:00,76.12012,88.12473,173922.7,105000.2,60.0,988.3,-8.38,2.64,100.0,0.007,0.074
2020-02-18 16:00:00,76.0011,88.12991,173659.3,104349.6,60.0,988.1,-8.37,3.04,100.0,0.006,0.082
2020-02-18 17:00:00,75.87765,88.1354,173373.1,103669.8,60.0,987.6,-8.39,3.25,100.0,0.0,0.098
2020-02-18 18:00:00,75.74972,88.14114,173070.0,102964.7,60.5,987.5,-8.37,3.73,100.0,0.002,0.152
2020-02-18 19:00:00,75.6238,88.14727,172724.1,102245.6,60.0,987.3,-8.36,4.33,100.0,0.007,0.175
2020-02-18 20:00:00,75.49513,88.15325,172395.0,101528.6,60.0,987.4,-8.26,4.77,100.0,0.002,0.138
2020-02-18 21:00:00,75.3649,88.15911,172077.1,100815.4,60.0,987.5,-8.08,5.12,100.0,0.003,0.1
2020-02-18 22:00:00,75.23392,88.16473,171780.9,100115.0,60.0,987.3,-8.96,4.41,100.0,0.002,0.073
2020-02-18 23:00:00,75.09722,88.17037,171491.2,99398.8,60.0,986.9,-9.0,3.9,100.0,0.0,0.078
2020-02-19 00:00:00,74.94916,88.17595,171223.1,98653.2,59.5,986.4,-9.5,3.38,100.0,0.0,0.071
2020-02-19 01:00:00,74.78901,88.18135,170990.5,97883.6,60.0,986.2,-10.23,3.04,100.0,0.0,0.066
2020-02-19 02:00:00,74.62025,88.18699,170746.9,97077.6,60.0,985.4,-10.98,3.36,100.0,0.0,0.084
2020-02-19 03:00:00,74.43215,88.19331,170468.4,96180.1,60.0,985.2,-11.39,3.77,100.0,0.0,0.103
2020-02-19 04:00:00,74.22492,88.20049,170136.1,95183.0,60.0,984.6,-11.64,4.27,100.0,0.001,0.148
2020-02-19 05:00:00,74.00839,88.20795,169787.7,94147.4,60.0,984.1,-11.87,4.51,100.0,0.003,0.172
2020-02-19 06:00:00,73.78375,88.21572,169417.1,93075.3,60.0,983.6,-12.12,4.76,100.0,0.003,0.179
