datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-06-27 10:00:00,9.90162,81.96159,713565.9,-501472.4,10.0,1019.4,1.54,-5.27,100.0,0.102,0.004
2020-06-27 11:00:00,9.89003,81.95635,713930.7,-501944.5,10.0,1019.8,1.35,-5.1,100.0,0.09,0.004
2020-06-27 12:00:00,9.8739,81.95078,714285.3,-502494.4,10.0,1020.3,1.28,-4.9,100.0,0.086,0.004
2020-06-27 13:00:00,9.85518,81.94467,714665.1,-503110.6,10.0,1020.7,1.29,-4.61,100.0,0.079,0.003
2020-06-27 14:00:00,9.83378,81.93803,715067.6,-503793.6,10.0,1020.7,1.5,-4.4,99.7,0.073,0.003
2020-06-27 15:00:00,9.80791,81.93121,715446.9,-504544.3,10.0,1020.8,1.65,-4.36,100.0,0.065,0.003
2020-06-27 16:00:00,9.77798,81.9247,715762.2,-505326.8,10.0,1020.9,1.68,-4.53,100.0,0.065,0.002
2020-06-27 17:00:00,9.74395,81.91889,715978.1,-506116.6,10.0,1021.1,1.63,-4.57,100.0,0.078,0.002
2020-06-27 18:00:00,9.70367,81.91394,716062.0,-506931.3,10.0,1021.2,1.5,-4.57,99.8,0.087,0.003
2020-06-27 19:00:00,9.65808,81.91043,715970.1,-507722.0,10.0,1021.6,1.32,-4.6,100.0,0.087,0.003
2020-06-27 20:00:00,9.61322,81.90883,715714.3,-508383.1,10.0,1021.8,1.26,-4.58,100.0,0.089,0.002
2020-06-27 21:00:00,9.56995,81.90848,715361.2,-508945.6,10.0,1021.9,1.21,-4.76,100.0,0.093,0.003
2020-06-27 22:00:00,9.53019,81.9091,714952.8,-509402.7,10.0,1022.3,1.0,-5.22,100.0,0.101,0.004
2020-06-27 23:00:00,9.49846,81.91021,714572.3,-509728.5,10.0,1022.4,1.07,-5.22,99.5,0.087,0.006
2020-06-28 00:00:00,9.47782,81.91136,714286.7,-509913.1,10.0,1022.6,1.29,-5.37,99.8,0.058,0.01
2020-06-28 01:00:00,9.46841,81.9122,714128.5,-509977.3,10.0,1022.7,1.29,-5.6,99.9,0.048,0.023
2020-06-28 02:00:00,9.47017,81.9125,714117.6,-509936.4,10.0,1022.8,1.08,-5.82,100.0,0.044,0.035
2020-06-28 03:00:00,9.47752,81.91179,714246.0,-509889.6,10.0,1022.7,0.63,-5.96,100.0,0.059,0.039
2020-06-28 04:00:00,9.48609,81.9104,714445.4,-509870.7,10.0,1023.0,0.34,-6.09,100.0,0.054,0.035
2020-06-28 05:00:00,9.49595,81.90851,714700.5,-509867.2,10.0,1023.0,0.23,-6.19,100.0,0.036,0.031
2020-06-28 06:00:00,9.50667,81.9056,715053.9,-509917.4,10.0,1023.2,0.34,-6.36,100.0,0.018,0.024
2020-06-28 07:00:00,9.5112,81.9024,715377.9,-510063.1,10.0,1023.4,0.39,-6.83,100.0,0.026,0.015
2020-06-28 08:00:00,9.51032,81.89908,715664.1,-510283.8,10.0,1023.8,0.63,-6.77,100.0,0.035,0.012
2020-06-28 09:00:00,9.50733,81.89526,715976.1,-510562.6,10.0,1023.9,0.63,-6.85,100.0,0.041,0.019
2020-06-28 10:00:00,9.50066,81.89048,716340.4,-510948.2,10.0,1023.9,0.52,-6.88,100.0,0.049,0.008
2020-06-28 11:00:00,9.48902,81.88464,716753.8,-511462.7,10.0,1024.2,0.75,-6.63,100.0,0.057,0.011
2020-06-28 12:00:00,9.47167,81.87817,717172.1,-512089.1,10.0,1024.3,0.9,-6.58,100.0,0.069,0.011
2020-06-28 13:00:00,9.4494,81.87134,717578.1,-512800.2,10.0,1024.5,1.15,-6.14,99.6,0.075,0.013
2020-06-28 14:00:00,9.42292,81.86427,717966.6,-513579.3,10.0,1024.5,1.15,-6.57,99.7,0.062,0.014
2020-06-28 15:00:00,9.39301,81.85703,718339.3,-514413.0,10.0,1024.4,1.11,-6.06,100.0,0.056,0.009
2020-06-28 16:00:00,9.36109,81.84995,718679.1,-515262.3,10.0,1024.6,1.26,-5.57,99.9,0.054,0.007
2020-06-28 17:00:00,9.32698,81.84343,718948.5,-516103.7,10.0,1024.5,1.5,-4.95,98.9,0.059,0.005
2020-06-28 18:00:00,9.29236,81.83782,719132.5,-516894.6,10.0,1024.6,1.63,-4.85,97.0,0.076,0.003
2020-06-28 19:00:00,9.2571,81.83365,719182.8,-517602.2,10.0,1024.7,1.6,-4.73,97.5,0.1,0.003
2020-06-28 20:00:00,9.22405,81.83159,719065.9,-518148.0,10.0,1024.7,1.51,-4.54,98.1,0.12,0.004
2020-06-28 21:00:00,9.19632,81.83121,718848.7,-518520.2,10.0,1024.6,1.29,-4.33,97.9,0.128,0.005
2020-06-28 22:00:00,9.1745,81.8317,718607.9,-518762.6,10.0,1024.5,0.55,-4.76,99.6,0.141,0.005
2020-06-28 23:00:00,9.15769,81.8329,718349.9,-518897.0,10.0,1024.5,0.33,-4.41,99.2,0.131,0.004
2020-06-29 00:00:00,9.14858,81.83453,718123.4,-518907.3,10.0,1024.3,0.11,-4.29,100.0,0.118,0.006
2020-06-29 01:00:00,9.14621,81.83617,717957.2,-518832.4,10.0,1024.4,0.16,-3.83,99.7,0.131,0.005
2020-06-29 02:00:00,9.14857,81.83736,717873.7,-518727.0,10.0,1024.3,0.15,-3.89,99.4,0.103,0.005
2020-06-29 03:00:00,9.15423,81.83727,717932.8,-518661.8,10.0,1024.5,-0.67,-4.54,98.1,0.084,0.014
2020-06-29 04:00:00,9.16183,81.8365,718069.6,-518615.7,10.0,1024.6,-1.58,-4.45,98.7,0.079,0.019
2020-06-29 05:00:00,9.16858,81.83552,718217.1,-518593.5,10.0,1024.5,-1.97,-3.77,99.6,0.069,0.013
2020-06-29 06:00:00,9.17512,81.83422,718391.1,-518594.4,10.0,1024.6,-2.24,-3.35,99.7,0.063,0.009
2020-06-29 07:00:00,9.17677,81.83278,718533.2,-518665.4,10.0,1024.7,-2.12,-3.09,99.2,0.071,0.006
2020-06-29 08:00:00,9.17548,81.83166,718620.3,-518752.9,10.0,1025.1,-1.96,-3.09,99.7,0.072,0.005
2020-06-29 09:00:00,9.16953,81.83068,718652.9,-518890.0,10.0,1025.0,-1.77,-3.0,99.5,0.086,0.005
2020-06-29 10:00:00,9.16021,81.8299,718637.3,-519056.7,10.0,1025.2,-2.14,-3.07,100.0,0.086,0.002
2020-06-29 11:00:00,9.1499,81.82886,718635.7,-519252.2,10.0,1025.0,-1.78,-2.62,100.0,0.088,0.001
2020-06-29 12:00:00,9.13766,81.82729,718663.3,-519505.9,10.0,1025.2,-1.52,-2.65,100.0,0.101,0.003
2020-06-29 13:00:00,9.12128,81.82481,718733.6,-519869.5,10.0,1025.4,-1.5,-2.95,100.0,0.105,0.004
2020-06-29 14:00:00,9.10152,81.82144,718851.2,-520332.5,10.0,1025.3,-1.46,-2.89,99.6,0.094,0.007
2020-06-29 15:00:00,9.07823,81.81748,718988.8,-520877.6,10.0,1025.1,-1.26,-2.73,99.4,0.076,0.008
2020-06-29 16:00:00,9.05192,81.81328,719119.8,-521476.1,10.0,1024.9,-0.93,-2.6,100.0,0.06,0.01
2020-06-29 17:00:00,9.02313,81.80913,719223.1,-522102.7,10.0,1024.5,-0.57,-2.69,100.0,0.05,0.012
2020-06-29 18:00:00,8.99173,81.80553,719253.9,-522727.2,10.0,1024.3,-0.34,-2.99,99.9,0.058,0.012
2020-06-29 19:00:00,8.9623,81.80322,719188.8,-523244.5,10.0,1024.1,-0.15,-3.28,99.7,0.045,0.012
2020-06-29 20:00:00,8.93676,81.80226,719039.8,-523626.6,10.0,1024.0,-0.05,-3.1,99.0,0.063,0.012
2020-06-29 21:00:00,8.91596,81.80268,718812.8,-523860.7,10.0,1023.5,-0.24,-3.08,97.5,0.051,0.016
2020-06-29 22:00:00,8.90362,81.80409,718575.8,-523925.0,10.0,1023.3,-0.47,-3.03,99.3,0.055,0.007
2020-06-29 23:00:00,8.89993,81.80614,718361.9,-523839.9,10.0,1022.8,-0.02,-2.66,99.2,0.051,0.004
2020-06-30 00:00:00,8.90453,81.80835,718209.5,-523640.4,10.0,1022.4,0.4,-2.44,99.6,0.046,0.002
2020-06-30 01:00:00,8.91612,81.80994,718175.5,-523393.1,10.0,1022.0,0.58,-2.61,100.0,0.055,0.001
2020-06-30 02:00:00,8.93021,81.81065,718241.7,-523171.1,10.0,1021.7,0.38,-2.96,100.0,0.064,0.001
2020-06-30 03:00:00,8.94515,81.8103,718408.9,-523006.2,10.0,1021.3,0.1,-2.91,100.0,0.073,0.001
2020-06-30 04:00:00,8.95729,81.80924,718613.1,-522921.8,10.0,1021.0,0.15,-2.58,100.0,0.079,0.006
2020-06-30 05:00:00,8.96781,81.80746,718865.7,-522903.9,10.0,1020.5,0.62,-2.23,100.0,0.08,0.008
2020-06-30 06:00:00,8.97454,81.80529,719118.2,-522958.4,10.0,1020.1,1.19,-2.15,100.0,0.08,0.005
2020-06-30 07:00:00,8.97648,81.80339,719303.3,-523055.7,10.0,1019.6,1.65,-2.18,100.0,0.078,0.003
2020-06-30 08:00:00,8.97606,81.80174,719444.6,-523166.5,10.0,1019.3,1.99,-2.26,100.0,0.069,0.002
2020-06-30 09:00:00,8.97545,81.80055,719543.8,-523250.4,10.0,1018.6,2.31,-2.53,100.0,0.059,0.001
2020-06-30 10:00:00,8.97503,81.79923,719656.3,-523340.2,10.0,1018.0,1.44,-2.37,99.3,0.054,0.002
2020-06-30 11:00:00,8.97335,81.79784,719763.2,-523450.3,10.0,1018.0,1.7,-2.29,96.1,0.05,0.001
2020-06-30 12:00:00,8.97081,81.79594,719907.3,-523603.9,10.0,1017.5,1.87,-2.06,91.8,0.041,0.0
2020-06-30 13:00:00,8.96496,81.79343,720074.9,-523838.2,10.0,1017.2,1.97,-1.9,81.8,0.029,0.0
2020-06-30 14:00:00,8.95489,81.79026,720261.7,-524167.6,10.0,1016.7,2.5,-1.99,79.5,0.016,0.0
2020-06-30 15:00:00,8.94026,81.78653,720456.2,-524590.6,10.0,1016.2,2.91,-2.2,79.7,0.012,0.0
2020-06-30 16:00:00,8.92089,81.78246,720637.0,-525095.1,10.0,1015.7,2.84,-2.53,94.4,0.015,0.0
2020-06-30 17:00:00,8.8989,81.77849,720784.4,-525626.3,10.0,1015.4,2.27,-2.43,96.1,0.027,0.0
2020-06-30 18:00:00,8.87596,81.77516,720866.8,-526128.5,10.0,1015.1,1.98,-1.97,97.4,0.047,0.0
2020-06-30 19:00:00,8.85229,81.77288,720849.9,-526572.7,10.0,1014.4,2.11,-1.57,98.7,0.065,0.0
2020-06-30 20:00:00,8.83049,81.77193,720732.9,-526908.0,10.0,1014.3,2.67,-1.39,100.0,0.077,0.0
2020-06-30 21:00:00,8.81402,81.77251,720530.5,-527077.9,10.0,1013.6,3.18,-1.55,98.5,0.087,0.0
2020-06-30 22:00:00,8.8063,81.77435,720297.7,-527056.6,10.0,1013.5,2.31,-2.07,99.5,0.076,0.0
2020-06-30 23:00:00,8.80762,81.77664,720108.8,-526892.9,10.0,1012.8,2.04,-1.78,98.9,0.076,0.0
2020-07-01 00:00:00,8.81707,81.77917,719973.3,-526611.5,10.0,1012.6,1.68,-1.34,95.3,0.07,0.0
2020-07-01 01:00:00,8.83124,81.78108,719935.7,-526310.6,10.0,1012.0,1.52,-1.06,97.0,0.069,0.0
2020-07-01 02:00:00,8.84759,81.78197,720007.6,-526048.1,10.0,1011.5,1.57,-1.15,98.6,0.066,0.0
2020-07-01 03:00:00,8.8633,81.78172,720173.8,-525866.7,10.0,1011.3,1.52,-1.42,98.5,0.072,0.0
2020-07-01 04:00:00,8.87599,81.78046,720401.1,-525788.0,10.0,1011.0,1.34,-1.76,99.6,0.061,0.0
2020-07-01 05:00:00,8.88453,81.77842,720658.7,-525811.5,10.0,1010.7,1.21,-2.05,99.6,0.052,0.0
2020-07-01 06:00:00,8.8883,81.77584,720920.3,-525929.7,10.0,1010.3,0.77,-2.2,99.1,0.055,0.0
2020-07-01 07:00:00,8.88642,81.77341,721116.8,-526109.3,10.0,1010.0,0.06,-2.11,99.6,0.06,0.0
2020-07-01 08:00:00,8.88162,81.77169,721223.9,-526280.0,10.0,1010.3,-0.59,-1.81,99.9,0.072,0.0
2020-07-01 09:00:00,8.8766,81.77065,721269.3,-526409.9,10.0,1010.0,-0.9,-1.32,97.6,0.08,0.001
2020-07-01 10:00:00,8.87212,81.77007,721279.1,-526503.6,10.0,1009.7,-0.31,-1.15,89.3,0.06,0.0
2020-07-01 11:00:00,8.86818,81.76962,721282.5,-526582.0,10.0,1009.4,0.12,-1.36,79.9,0.048,0.0
2020-07-01 12:00:00,8.86428,81.76913,721289.7,-526662.6,10.0,1009.6,0.45,-1.9,73.3,0.049,0.0
2020-07-01 13:00:00,8.85969,81.76823,721326.6,-526778.2,10.0,1009.7,0.15,-1.99,61.3,0.053,0.0
2020-07-01 14:00:00,8.8525,81.76678,721388.0,-526961.7,10.0,1009.5,-0.45,-2.23,62.8,0.059,0.0
2020-07-01 15:00:00,8.83937,81.76475,721445.6,-527257.5,10.0,1009.7,-0.71,-2.33,58.2,0.061,0.0
2020-07-01 16:00:00,8.82067,81.76237,721482.8,-527645.9,10.0,1009.4,-0.75,-2.41,55.6,0.056,0.0
2020-07-01 17:00:00,8.79802,81.75998,721483.9,-528084.7,10.0,1009.6,-0.82,-2.44,59.3,0.052,0.0
2020-07-01 18:00:00,8.77359,81.75799,721433.5,-528520.3,10.0,1009.2,-0.76,-2.46,65.0,0.052,0.0
2020-07-01 19:00:00,8.75013,81.75681,721320.7,-528891.6,10.0,1009.5,-0.71,-2.64,51.6,0.052,0.0
2020-07-01 20:00:00,8.72964,81.75669,721142.0,-529157.4,10.0,1009.5,-0.84,-2.9,62.7,0.054,0.0
2020-07-01 21:00:00,8.71359,81.75768,720906.8,-529295.5,10.0,1009.6,-1.22,-3.05,56.6,0.05,0.0
2020-07-01 22:00:00,8.70291,81.75922,720673.0,-529330.6,10.0,1009.6,-1.18,-3.29,50.3,0.047,0.0
2020-07-01 23:00:00,8.69591,81.76098,720454.0,-529305.2,10.0,1009.5,-1.5,-3.42,60.4,0.051,0.0
2020-07-02 00:00:00,8.69104,81.76281,720248.4,-529248.5,10.0,1009.5,-1.87,-3.7,67.9,0.061,0.0
2020-07-02 01:00:00,8.68776,81.76428,720089.1,-529194.9,10.0,1009.2,-2.39,-3.91,93.8,0.073,0.001
2020-07-02 02:00:00,8.6858,81.76482,720023.7,-529184.8,10.0,1009.1,-2.65,-4.15,100.0,0.084,0.0
2020-07-02 03:00:00,8.67954,81.76426,720015.0,-529299.6,10.0,1008.9,-2.46,-4.57,100.0,0.081,0.0
2020-07-02 04:00:00,8.66811,81.76229,720082.2,-529570.3,10.0,1008.9,-2.19,-5.15,100.0,0.082,0.0
2020-07-02 05:00:00,8.65233,81.75892,720231.7,-529986.0,10.0,1008.5,-2.0,-5.89,99.9,0.078,0.001
2020-07-02 06:00:00,8.63118,81.75462,720413.0,-530529.4,10.0,1008.9,-2.29,-6.55,100.0,0.095,0.003
2020-07-02 07:00:00,8.60705,81.74951,720637.5,-531162.9,10.0,1008.5,-2.61,-7.01,100.0,0.089,0.011
2020-07-02 08:00:00,8.579,81.74383,720874.7,-531882.6,10.0,1008.5,-2.37,-7.18,100.0,0.066,0.032
2020-07-02 09:00:00,8.54793,81.73803,721094.2,-532648.7,10.0,1008.2,-1.77,-7.38,100.0,0.046,0.074
2020-07-02 10:00:00,8.51515,81.73284,721243.8,-533397.2,10.0,1007.9,-0.52,-6.86,100.0,0.063,0.101
2020-07-02 11:00:00,8.4834,81.72816,721357.3,-534099.9,10.0,1007.4,-0.03,-7.26,100.0,0.098,0.075
2020-07-02 12:00:00,8.45287,81.72366,721466.3,-534776.0,10.0,1007.2,0.41,-7.59,100.0,0.16,0.06
2020-07-02 13:00:00,8.42121,81.71939,721544.2,-535451.6,10.0,1006.7,0.33,-7.76,100.0,0.134,0.059
2020-07-02 14:00:00,8.38895,81.71482,721641.7,-536154.4,10.0,1006.4,-0.19,-8.25,100.0,0.185,0.066
2020-07-02 15:00:00,8.35553,81.70978,721769.2,-536902.8,10.0,1006.0,-0.19,-8.41,100.0,0.298,0.092
2020-07-02 16:00:00,8.31909,81.70426,721909.7,-537720.9,10.0,1005.7,-0.73,-7.98,100.0,0.453,0.131
2020-07-02 17:00:00,8.27731,81.69868,722004.1,-538610.2,10.0,1005.4,-1.03,-7.73,100.0,0.451,0.104
2020-07-02 18:00:00,8.23126,81.6939,721988.0,-539501.9,10.0,1005.1,-1.57,-7.64,100.0,0.479,0.089
2020-07-02 19:00:00,8.18197,81.69042,721827.0,-540350.0,10.0,1004.7,-2.64,-7.46,100.0,0.426,0.077
2020-07-02 20:00:00,8.13128,81.68883,721487.1,-541092.1,10.0,1004.5,-3.53,-7.0,100.0,0.379,0.05
2020-07-02 21:00:00,8.08686,81.68981,720982.1,-541587.3,10.0,1004.2,-4.51,-6.22,100.0,0.323,0.019
2020-07-02 22:00:00,8.04884,81.69239,720398.0,-541896.6,10.0,1004.0,-5.43,-5.87,100.0,0.244,0.021
2020-07-02 23:00:00,8.02019,81.69613,719801.8,-542012.0,10.0,1003.8,-5.8,-5.57,100.0,0.273,0.016
2020-07-03 00:00:00,8.00093,81.69944,719331.7,-542037.0,10.0,1003.5,-5.78,-5.45,100.0,0.23,0.008
2020-07-03 01:00:00,7.98795,81.70174,719008.8,-542049.2,10.0,1003.3,-5.76,-5.39,100.0,0.21,0.003
2020-07-03 02:00:00,7.97633,81.70285,718802.5,-542122.2,10.0,1003.3,-5.71,-5.45,100.0,0.244,0.005
2020-07-03 03:00:00,7.96318,81.70277,718685.0,-542292.4,10.0,1003.4,-5.66,-5.79,100.0,0.251,0.008
