datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-09-02 12:00:00,117.76277,88.44119,50041.4,161286.5,30.0,1020.6,0.88,7.01,99.8,0.188,0.009
2020-09-02 13:00:00,117.82649,88.44646,49693.7,160797.4,30.0,1020.4,0.99,7.16,99.5,0.207,0.01
2020-09-02 14:00:00,117.90504,88.45224,49289.0,160266.5,30.0,1020.4,1.12,7.38,99.9,0.189,0.01
2020-09-02 15:00:00,118.0056,88.45833,48814.6,159721.2,30.0,1020.2,1.06,7.44,100.0,0.143,0.007
2020-09-02 16:00:00,118.13091,88.4645,48271.4,159188.5,30.0,1019.6,0.85,7.54,98.8,0.124,0.004
2020-09-02 17:00:00,118.27176,88.47032,47698.2,158702.3,30.0,1020.0,0.54,7.62,100.0,0.136,0.003
2020-09-02 18:00:00,118.41578,88.47613,47119.6,158218.5,30.0,1019.4,0.07,7.88,99.9,0.149,0.003
2020-09-02 19:00:00,118.55241,88.48169,46571.6,157752.7,30.0,1019.5,-0.21,8.21,99.0,0.152,0.003
2020-09-02 20:00:00,118.66455,88.48719,46095.2,157272.1,30.0,1019.4,-0.37,8.51,98.2,0.149,0.002
2020-09-02 21:00:00,118.74577,88.49277,45703.0,156756.9,30.0,1019.5,-0.5,8.59,100.0,0.128,0.002
2020-09-02 22:00:00,118.80872,88.49889,45346.0,156170.5,30.0,1018.9,-0.08,7.98,100.0,0.106,0.001
2020-09-02 23:00:00,118.86831,88.50545,44985.9,155534.3,30.0,1019.0,-0.84,7.53,100.0,0.101,0.001
2020-09-03 00:00:00,118.92463,88.51234,44626.4,154861.6,30.0,1018.8,-1.1,7.93,100.0,0.112,0.002
2020-09-03 01:00:00,118.98973,88.51956,44234.6,154159.9,30.0,1018.5,-1.06,8.13,100.0,0.133,0.004
2020-09-03 02:00:00,119.07329,88.52694,43790.1,153454.9,30.0,1018.4,-1.01,8.13,100.0,0.147,0.006
2020-09-03 03:00:00,119.17615,88.53447,43292.3,152749.2,30.0,1018.0,-1.01,8.14,99.5,0.162,0.008
2020-09-03 04:00:00,119.30432,88.54191,42732.4,152069.3,30.0,1017.7,-1.0,8.18,100.0,0.16,0.008
2020-09-03 05:00:00,119.45051,88.54911,42135.0,151426.1,30.0,1017.5,-1.24,8.44,100.0,0.15,0.008
2020-09-03 06:00:00,119.59307,88.55598,41560.4,150812.9,30.0,1017.2,-1.47,8.73,99.7,0.139,0.007
2020-09-03 07:00:00,119.72851,88.56255,41016.5,150224.6,30.0,1016.9,-1.46,9.0,100.0,0.137,0.006
2020-09-03 08:00:00,119.84188,88.56877,40542.7,149654.1,30.0,1016.9,-1.41,9.06,100.0,0.152,0.005
2020-09-03 09:00:00,119.93118,88.57472,40141.9,149095.0,30.0,1016.7,-1.39,9.09,99.9,0.179,0.005
2020-09-03 10:00:00,119.98886,88.58079,39821.5,148500.5,30.0,1016.2,-1.38,8.32,100.0,0.185,0.004
2020-09-03 11:00:00,120.02214,88.58712,39557.8,147860.3,30.0,1016.3,-1.93,8.24,97.2,0.196,0.005
