datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-08-27 12:00:00,107.76104,87.95481,101414.3,197001.3,60.0,1010.4,2.01,6.81,100.0,0.177,0.005
2020-08-27 13:00:00,107.83813,87.96018,100883.3,196619.4,60.0,1011.0,1.6,6.82,100.0,0.109,0.008
2020-08-27 14:00:00,107.91957,87.96568,100332.7,196232.6,60.0,1011.1,1.65,6.76,100.0,0.1,0.009
2020-08-27 15:00:00,108.00552,87.9711,99771.6,195859.4,60.0,1011.6,1.82,6.52,100.0,0.117,0.007
2020-08-27 16:00:00,108.10329,87.97608,99193.0,195548.0,60.0,1012.0,1.92,6.35,100.0,0.149,0.006
2020-08-27 17:00:00,108.21288,87.98,98627.5,195358.4,60.0,1012.6,1.84,6.05,100.0,0.15,0.009
2020-08-27 18:00:00,108.32015,87.98271,98129.7,195280.2,60.0,1012.7,1.48,5.91,100.0,0.157,0.014
2020-08-27 19:00:00,108.40106,87.98454,97765.2,195241.6,60.0,1013.4,1.02,6.02,100.0,0.163,0.017
2020-08-27 20:00:00,108.43909,87.98609,97560.3,195155.9,60.0,1013.9,0.89,6.26,100.0,0.185,0.018
2020-08-27 21:00:00,108.44166,87.98809,97454.7,194966.4,60.0,1014.3,0.97,6.32,100.0,0.218,0.02
2020-08-27 22:00:00,108.4459,87.99133,97283.2,194659.3,60.0,1013.8,-0.02,6.31,100.0,0.097,0.024
2020-08-27 23:00:00,108.45525,87.99587,97031.9,194235.8,60.0,1014.3,0.08,6.27,100.0,0.119,0.014
2020-08-28 00:00:00,108.47288,88.00117,96715.4,193751.3,60.0,1014.6,-0.43,6.53,100.0,0.153,0.009
2020-08-28 01:00:00,108.50193,88.00665,96352.4,193269.2,60.0,1014.9,-0.39,6.82,100.0,0.22,0.007
2020-08-28 02:00:00,108.54483,88.01204,95947.2,192818.0,60.0,1015.6,-0.02,6.99,100.0,0.277,0.005
2020-08-28 03:00:00,108.59753,88.0169,95535.7,192434.6,60.0,1015.5,0.41,6.94,100.0,0.31,0.005
2020-08-28 04:00:00,108.66437,88.02105,95111.8,192143.1,60.0,1016.0,0.81,6.64,100.0,0.31,0.006
2020-08-28 05:00:00,108.73963,88.02407,94714.3,191974.1,60.0,1016.2,1.17,6.28,100.0,0.32,0.007
2020-08-28 06:00:00,108.80615,88.02656,94372.3,191841.8,60.0,1016.5,1.34,5.92,100.0,0.338,0.007
2020-08-28 07:00:00,108.85785,88.0285,94106.6,191738.3,60.0,1017.0,1.26,5.77,100.0,0.335,0.006
2020-08-28 08:00:00,108.89391,88.03002,93913.4,191649.7,60.0,1017.5,1.24,5.68,100.0,0.306,0.005
2020-08-28 09:00:00,108.91405,88.03184,93759.3,191505.5,60.0,1018.1,1.38,5.48,100.0,0.278,0.004
2020-08-28 10:00:00,108.92674,88.03432,93598.9,191285.0,60.0,1018.2,0.41,5.22,100.0,0.262,0.004
2020-08-28 11:00:00,108.93733,88.03723,93424.7,191018.4,60.0,1018.7,0.44,5.25,100.0,0.235,0.004
2020-08-28 12:00:00,108.95088,88.04062,93218.2,190710.5,60.0,1018.9,0.43,5.24,100.0,0.222,0.003
2020-08-28 13:00:00,108.96532,88.04444,92988.8,190362.7,60.0,1019.5,0.51,5.25,100.0,0.212,0.003
2020-08-28 14:00:00,108.98468,88.0483,92740.9,190018.2,60.0,1019.6,0.61,5.03,100.0,0.238,0.003
2020-08-28 15:00:00,109.02168,88.05183,92450.6,189734.1,60.0,1019.8,0.45,4.73,100.0,0.233,0.004
2020-08-28 16:00:00,109.06913,88.05437,92173.1,189563.0,60.0,1020.0,0.4,4.57,100.0,0.236,0.004
2020-08-28 17:00:00,109.10043,88.05689,91950.3,189367.8,60.0,1020.0,0.34,4.56,100.0,0.282,0.006
2020-08-28 18:00:00,109.13337,88.05846,91767.2,189267.5,60.0,1020.3,0.22,4.66,100.0,0.319,0.009
2020-08-28 19:00:00,109.15502,88.05984,91630.6,189167.8,60.0,1020.6,0.05,4.72,100.0,0.346,0.013
2020-08-28 20:00:00,109.16111,88.061,91555.6,189064.2,60.0,1020.7,-0.21,4.76,100.0,0.348,0.016
2020-08-28 21:00:00,109.15814,88.06263,91488.4,188900.5,60.0,1021.0,-0.19,4.9,100.0,0.336,0.021
2020-08-28 22:00:00,109.15347,88.06485,91399.0,188676.7,60.0,1021.1,-0.16,4.99,100.0,0.29,0.017
2020-08-28 23:00:00,109.14818,88.06783,91275.3,188377.1,60.0,1021.3,-0.2,5.31,100.0,0.313,0.016
2020-08-29 00:00:00,109.14574,88.07158,91106.3,188008.0,60.0,1021.3,-0.2,5.5,100.0,0.335,0.011
2020-08-29 01:00:00,109.15008,88.07589,90888.6,187594.8,60.0,1021.4,-0.13,5.65,100.0,0.316,0.005
