datetime,longitude,latitude,x_stere,y_stere,data_gap_minutes,sea_level_pressure_hpa,10m_u_wind_mps,10m_v_wind_mps,total_cloud_cover,total_column_liquid_water,total_column_ice_water
2020-09-17 06:00:00,108.2174,89.0248,47603.5,94310.1,30.0,1012.5,2.65,-1.42,100.0,0.035,0.001
2020-09-17 07:00:00,108.18298,89.0222,47787.3,94533.0,60.0,1013.1,2.98,-0.72,99.9,0.048,0.001
2020-09-17 08:00:00,108.07424,89.0194,48103.9,94712.4,60.0,1013.5,3.31,-0.1,100.0,0.063,0.001
2020-09-17 09:00:00,107.8832,89.0168,48547.9,94802.3,60.0,1014.2,3.45,0.18,100.0,0.071,0.001
2020-09-17 10:00:00,107.63193,89.0152,49042.8,94742.4,60.0,1014.4,2.51,-1.33,99.9,0.048,0.001
2020-09-17 11:00:00,107.37727,89.0148,49483.5,94561.9,60.0,1014.5,1.85,-0.41,99.8,0.047,0.003
2020-09-17 12:00:00,107.1644,89.016,49773.8,94262.4,60.0,1014.8,1.97,0.74,100.0,0.054,0.006
2020-09-17 13:00:00,107.02637,89.0184,49878.7,93912.5,60.0,1014.9,2.53,1.63,100.0,0.062,0.005
2020-09-17 14:00:00,106.978,89.0216,49795.2,93564.5,60.0,1015.1,3.02,2.07,100.0,0.077,0.003
2020-09-17 15:00:00,107.0054,89.0252,49567.4,93243.9,60.0,1015.1,3.1,2.19,100.0,0.078,0.005
2020-09-17 16:00:00,107.10764,89.0284,49238.7,93025.7,60.0,1015.2,2.92,2.17,100.0,0.077,0.007
2020-09-17 17:00:00,107.25596,89.0312,48856.6,92884.5,60.0,1014.6,2.63,2.13,100.0,0.076,0.01
2020-09-17 18:00:00,107.4128,89.033,48511.8,92845.0,60.0,1015.6,2.14,2.46,100.0,0.077,0.009
2020-09-17 19:00:00,107.52402,89.0342,48271.5,92823.6,60.0,1015.0,1.71,3.13,100.0,0.086,0.009
2020-09-17 20:00:00,107.5752,89.035,48148.7,92789.8,60.0,1016.1,1.44,3.83,100.0,0.096,0.007
2020-09-17 21:00:00,107.549,89.0356,48161.1,92710.1,60.0,1015.7,1.38,4.35,100.0,0.098,0.006
2020-09-17 22:00:00,107.45917,89.037,48236.2,92500.0,60.0,1014.8,3.66,2.21,100.0,0.102,0.005
2020-09-17 23:00:00,107.33544,89.0394,48315.2,92165.4,60.0,1014.8,3.6,1.89,100.0,0.087,0.004
2020-09-18 00:00:00,107.2058,89.0426,48362.0,91749.1,60.0,1014.8,3.73,1.87,99.7,0.08,0.003
2020-09-18 01:00:00,107.10458,89.0472,48290.7,91223.0,60.0,1014.7,3.92,1.81,100.0,0.079,0.003
2020-09-18 02:00:00,107.0714,89.0518,48110.3,90754.9,60.0,1014.6,3.68,1.54,100.0,0.079,0.004
2020-09-18 03:00:00,107.0936,89.0566,47831.7,90313.9,60.0,1014.4,2.74,1.4,99.9,0.074,0.005
2020-09-18 04:00:00,107.16603,89.061,47494.9,89952.7,60.0,1014.3,1.72,1.62,100.0,0.07,0.005
2020-09-18 05:00:00,107.27077,89.0644,47159.0,89713.5,60.0,1013.9,0.95,2.19,100.0,0.07,0.005
2020-09-18 06:00:00,107.372,89.0666,46889.9,89585.5,60.0,1014.3,0.8,2.87,99.9,0.068,0.007
2020-09-18 07:00:00,107.43221,89.0682,46715.5,89481.0,60.0,1014.0,0.78,3.28,100.0,0.065,0.011
2020-09-18 08:00:00,107.41762,89.0692,46688.2,89373.1,60.0,1014.0,0.75,3.32,99.1,0.046,0.016
