Date/Time,Latitude,Longitude,PPPP [hPa],TTT [°C],Tilt [deg],Compass bearing [deg]
2020-02-05 14:00:12,87.557146,94.516906,1011,-28.3125,1,249
2020-02-05 16:00:12,87.56452,94.389133,1010,-27.1875,1,241
2020-02-05 18:00:12,87.571173,94.293453,1008,-27.25,1,233
2020-02-05 20:00:12,87.576533,94.22712,1008,-27.625,1,238
2020-02-05 22:00:12,87.580733,94.180293,1008,-29.25,1,226
2020-02-06 00:00:12,87.58452,94.127226,1008,-29.6875,1,244
2020-02-06 02:00:12,87.588946,94.057613,1008,-28.875,1,248
2020-02-06 04:00:12,87.59404,93.98188,1007,-28.5,1,229
2020-02-06 06:00:12,87.599253,93.907146,1006,-27.75,1,225
2020-02-06 08:00:12,87.604306,93.873693,1005,-24.375,1,240
2020-02-06 10:00:12,87.610053,93.83524,1005,-22.375,1,245
2020-02-06 12:00:12,87.614186,93.78984,1005,-22.75,1,249
2020-02-06 14:00:12,87.618506,93.748466,1006,-21.9375,1,248
2020-02-06 16:00:12,87.622253,93.708826,1006,-22.625,1,241
2020-02-06 18:00:12,87.62572,93.667773,1005,-22.875,1,243
2020-02-06 20:00:12,87.628733,93.643346,1006,-22.3125,1,251
2020-02-06 22:00:12,87.630453,93.621186,1006,-23.1875,1,254
2020-02-07 00:00:12,87.632133,93.601786,1006,-25.375,1,244
2020-02-07 02:00:12,87.634613,93.587093,1006,-26.375,1,248
2020-02-07 04:00:12,87.636946,93.573426,1006,-27.3125,1,243
2020-02-07 06:00:12,87.639173,93.57536,1006,-28.1875,1,223
2020-02-07 08:00:12,87.641253,93.585186,1007,-29.125,1,220
2020-02-07 10:00:12,87.64328,93.598306,1008,-29.375,1,234
2020-02-07 12:00:12,87.644986,93.609746,1008,-29.375,1,237
2020-02-07 14:00:12,87.646813,93.621306,1009,-29.4375,1,230
2020-02-07 16:00:12,87.648986,93.641213,1010,-30.1875,1,229
2020-02-07 18:00:12,87.651386,93.662906,1011,-30.375,1,231
2020-02-07 20:00:12,87.65368,93.690693,1012,-30.625,1,244
2020-02-07 22:00:12,87.656106,93.706613,1013,-31.0,1,219
2020-02-08 00:00:12,87.659,93.706946,1014,-31.0625,1,245
2020-02-08 02:00:12,87.662213,93.707893,1014,-31.5625,1,228
2020-02-08 04:00:12,87.665733,93.709373,1015,-31.8125,1,231
2020-02-08 06:00:12,87.6696,93.701306,1015,-31.375,1,237
2020-02-08 08:00:12,87.673573,93.678906,1015,-31.5625,1,245
2020-02-08 10:00:13,87.676706,93.651746,1015,-31.0625,1,239
2020-02-08 12:00:12,87.680173,93.615213,1014,-29.9375,1,257
2020-02-08 14:00:12,87.68472,93.565733,1013,-27.5625,1,261
2020-02-08 16:00:12,87.689466,93.520813,1013,-25.8125,1,261
2020-02-08 18:00:12,87.695186,93.456706,1012,-25.9375,1,235
2020-02-08 20:00:12,87.70008,93.397733,1012,-26.375,1,241
2020-02-08 22:00:12,87.704706,93.336053,1011,-26.125,1,232
2020-02-09 00:00:12,87.70936,93.261266,1011,-25.625,1,263
2020-02-09 02:00:12,87.71276,93.191426,1011,-25.5,1,235
2020-02-09 04:00:12,87.71708,93.1124,1010,-25.375,1,253
2020-02-09 06:00:12,87.7222,93.015933,1010,-25.75,1,262
2020-02-09 08:00:12,87.727293,92.922186,1010,-26.6875,1,248
2020-02-09 10:00:12,87.731773,92.832546,1010,-27.125,1,224
2020-02-09 12:00:12,87.736266,92.739773,1009,-27.1875,1,217
2020-02-09 14:00:12,87.74076,92.653253,1009,-28.0,1,232
2020-02-09 16:00:12,87.745253,92.56108,1009,-28.875,1,228
2020-02-09 18:00:12,87.749906,92.458253,1009,-28.375,1,216
2020-02-09 20:00:12,87.755186,92.34344,1008,-28.0,1,268
2020-02-09 22:00:12,87.76144,92.232,1008,-28.375,1,238
2020-02-10 00:00:12,87.76664,92.12532,1009,-27.6875,1,236
2020-02-10 02:00:12,87.771373,92.03736,1009,-27.0625,1,240
2020-02-10 04:00:12,87.775733,91.949933,1010,-27.375,1,223
2020-02-10 06:00:12,87.77984,91.861133,1011,-26.1875,1,235
2020-02-10 08:00:12,87.784013,91.754773,1012,-26.1875,1,247
2020-02-10 10:00:12,87.788426,91.634506,1013,-26.375,1,247
2020-02-10 12:00:12,87.792613,91.518333,1014,-25.8125,1,263
2020-02-10 14:00:12,87.79616,91.404666,1014,-25.6875,1,236
2020-02-10 16:00:12,87.79896,91.294626,1016,-26.3125,1,272
2020-02-10 18:00:12,87.801466,91.175213,1017,-26.4375,1,222
2020-02-10 20:00:12,87.804453,91.028346,1018,-27.6875,1,250
2020-02-10 22:00:12,87.80828,90.858506,1019,-28.875,1,222
2020-02-11 00:00:12,87.812533,90.684413,1020,-29.5,1,222
2020-02-11 02:00:12,87.815986,90.522666,1020,-30.0625,1,231
2020-02-11 04:00:12,87.81856,90.373546,1021,-30.4375,1,214
2020-02-11 06:00:12,87.8204,90.216973,1021,-30.1875,1,231
2020-02-11 08:00:12,87.822213,90.036586,1021,-30.0,1,237
2020-02-11 10:00:12,87.824426,89.81852,1021,-30.25,1,238
2020-02-11 12:00:12,87.82728,89.59924,1021,-30.375,1,229
2020-02-11 14:00:12,87.83032,89.394373,1020,-30.5625,1,220
2020-02-11 16:00:12,87.832666,89.218866,1020,-31.0625,1,224
2020-02-11 18:00:12,87.834586,89.057466,1020,-31.1875,1,227
2020-02-11 20:00:12,87.837306,88.873613,1020,-30.9375,1,245
2020-02-11 22:00:13,87.841733,88.659026,1020,-30.3125,1,237
2020-02-12 00:00:12,87.84736,88.430093,1019,-30.25,1,224
2020-02-12 02:00:12,87.853373,88.214306,1019,-30.5,1,241
2020-02-12 04:00:12,87.858106,88.03736,1018,-30.6875,1,229
2020-02-12 06:00:12,87.862333,87.873466,1018,-30.75,1,204
2020-02-12 08:00:12,87.868213,87.678706,1017,-30.6875,1,223
2020-02-12 10:00:12,87.875173,87.460013,1017,-30.75,1,228
2020-02-12 12:00:12,87.883706,87.231933,1016,-30.625,1,234
2020-02-12 14:00:12,87.89256,87.023733,1015,-29.625,1,232
2020-02-12 16:00:12,87.900573,86.838466,1015,-29.1875,1,246
2020-02-12 18:00:12,87.908053,86.65008,1014,-28.6875,1,222
2020-02-12 20:00:13,87.915026,86.41032,1014,-28.0,1,244
2020-02-12 22:00:12,87.921906,86.114146,1013,-27.875,1,229
2020-02-13 00:00:12,87.929586,85.806533,1013,-27.5625,1,243
2020-02-13 02:00:12,87.936786,85.510746,1012,-27.25,1,244
2020-02-13 04:00:12,87.943533,85.229253,1010,-27.0625,1,239
2020-02-13 06:00:12,87.95096,84.929,1010,-26.6875,1,273
2020-02-13 08:00:12,87.95872,84.579346,1009,-26.375,1,239
2020-02-13 10:00:12,87.965346,84.182653,1008,-26.1875,1,242
2020-02-13 12:00:12,87.97096,83.762226,1006,-25.9375,1,228
2020-02-13 14:00:12,87.975413,83.349706,1005,-25.25,1,265
2020-02-13 16:00:12,87.978746,82.965706,1003,-25.375,1,257
2020-02-13 18:00:12,87.98392,82.56708,1001,-25.25,1,247
2020-02-13 20:00:12,87.989,82.175373,1000,-25.125,1,225
2020-02-13 22:00:12,87.994173,81.805106,999,-24.9375,1,251
2020-02-14 00:00:12,88.000293,81.461853,998,-24.8125,1,272
