/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Cheng, Bin; Hoppmann, Mario; Haapala, Jari; Lan, Musheng (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2019T56 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940347, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2019T56, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940360
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; Heating rise; MOSAiC-ICE; Sea ice mass balance; SIMBA; Temperature
Project(s):	Integrated Arctic observation system (INTAROS) (URI: https://doi.org/10.3030/727890)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 727890: Integrated Arctic observation system (INTAROS) (URI: doi:10.3030/727890)
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 85.811892 * MEDIAN LONGITUDE: 61.179055 * SOUTH-BOUND LATITUDE: 81.818960 * WEST-BOUND LONGITUDE: 7.417143 * NORTH-BOUND LATITUDE: 88.581186 * EAST-BOUND LONGITUDE: 122.458400
	DATE/TIME START: 2019-11-02T01:44:47 * DATE/TIME END: 2020-06-29T13:00:13
Event(s):	PS122/1_1-272 (2019T56, FMI_05_06) * LATITUDE START: 85.827960 * LONGITUDE START: 122.458400 * LATITUDE END: 81.811800 * LONGITUDE END: 9.293900 * DATE/TIME START: 2019-11-02T01:44:00 * DATE/TIME END: 2020-06-29T15:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2019t56 * CAMPAIGN: PS122/1 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: combined with the FMI ice stress buoy; IRIDIUM number: 300234065176750
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	13690 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2019-11-02T01:44	85.827960	122.458400	1032	-12.0625	1	272	0
2019-11-02T03:00	85.830306	122.443720	1032	-12.0625	1	279	0
2019-11-02T05:00	85.832880	122.421960	1032	-13.8750	1	283	0
2019-11-02T07:00	85.834466	122.389453	1032	-17.0000	1	271	0
2019-11-02T09:00	85.836520	122.340533	1032	-18.1875	1	282	0
2019-11-02T11:00	85.839946	122.278853	1033	-20.6250	1	275	0
2019-11-02T13:00	85.844466	122.220653	1032	-22.5625	1	277	0
2019-11-02T15:00	85.848840	122.168573	1032	-21.9375	1	268	0
2019-11-02T17:00	85.852133	122.115826	1032	-21.5000	1	275	0
2019-11-02T19:00	85.854720	122.052800	1032	-21.3125	1	272	0
2019-11-02T21:00	85.857680	121.972400	1032	-21.8125	1	274	0
2019-11-02T23:00	85.861813	121.876866	1031	-21.3750	1	269	0
2019-11-03T01:00	85.866906	121.785840	1031	-20.0000	1	280	0
2019-11-03T03:00	85.871880	121.703600	1030	-18.6250	1	279	0
2019-11-03T05:00	85.876493	121.620813	1030	-17.6250	1	283	0
2019-11-03T07:00	85.879440	121.495920	1030	-18.1875	1	280	0
2019-11-03T09:00	85.881986	121.327360	1030	-20.9375	1	273	0
2019-11-03T11:00	85.885840	121.152013	1030	-21.3750	1	273	0
2019-11-03T13:00	85.891240	120.994973	1029	-20.0000	1	278	0
2019-11-03T15:00	85.896733	120.866360	1028	-19.0625	1	267	0
2019-11-03T17:00	85.900746	120.754893	1028	-18.4375	1	283	0
2019-11-03T19:00	85.903880	120.639586	1028	-17.8750	1	279	0
2019-11-03T21:00	85.907026	120.516760	1028	-18.0000	1	276	0
2019-11-03T23:00	85.911013	120.379173	1028	-18.2500	1	277	0
2019-11-04T01:00	85.915800	120.245573	1027	-18.3750	1	288	0
2019-11-04T03:00	85.920600	120.122666	1027	-18.6250	1	276	0
2019-11-04T05:00	85.923840	120.017400	1027	-17.6250	1	277	0
2019-11-04T07:00	85.925826	119.908413	1027	-17.1250	1	279	0
2019-11-04T09:00	85.928013	119.770973	1027	-16.1875	1	280	0
2019-11-04T11:00	85.930773	119.632520	1027	-16.3125	1	274	0
2019-11-04T13:00	85.933973	119.504133	1027	-16.3125	1	266	0
2019-11-04T15:00	85.936480	119.389666	1027	-16.6875	1	274	0
2019-11-04T17:00	85.937520	119.283573	1027	-17.5000	1	277	0
2019-11-04T19:00	85.937333	119.177746	1027	-20.3750	1	274	0
2019-11-04T21:00	85.936813	119.067706	1027	-21.6250	1	275	0
2019-11-04T23:00	85.936586	118.958640	1027	-22.1875	1	274	0
2019-11-05T01:00	85.936720	118.857226	1026	-21.6875	1	269	0
2019-11-05T03:00	85.935760	118.763373	1026	-20.5000	1	271	0
2019-11-05T05:00	85.934053	118.656720	1026	-19.3750	1	275	0
2019-11-05T07:00	85.931053	118.551453	1025	-20.6875	1	274	0
2019-11-05T09:00	85.927413	118.442026	1026	-21.5625	1	276	0
2019-11-05T11:00	85.923973	118.328093	1026	-22.1875	1	272	0
2019-11-05T13:00	85.921480	118.221093	1026	-22.6250	1	281	0
2019-11-05T15:00	85.919040	118.130600	1026	-22.7500	1	276	0
2019-11-05T17:00	85.915773	118.048053	1025	-22.6250	1	274	0
2019-11-05T19:00	85.912000	117.969400	1025	-20.6250	1	278	0
2019-11-05T21:00	85.908746	117.884613	1026	-19.5000	1	276	0
2019-11-05T23:00	85.906706	117.797053	1026	-19.6875	1	279	0
2019-11-06T01:00	85.905746	117.716866	1027	-19.9375	1	269	0
2019-11-06T03:00	85.904933	117.647173	1027	-20.1250	1	274	0
2019-11-06T05:00	85.903600	117.578240	1028	-22.5625	1	272	0
2019-11-06T07:00	85.901933	117.501613	1029	-23.7500	1	267	0
2019-11-06T09:00	85.900613	117.413933	1029	-23.8750	1	275	0
2019-11-06T11:00	85.900373	117.319693	1030	-23.5625	1	271	0
2019-11-06T13:00	85.901173	117.231533	1030	-21.7500	1	269	0
2019-11-06T15:00	85.902226	117.159613	1031	-19.5625	1	273	0
2019-11-06T17:00	85.902506	117.097200	1031	-18.5625	1	277	0
2019-11-06T19:00	85.902066	117.029586	1032	-18.7500	1	281	0
2019-11-06T21:00	85.901626	116.952240	1032	-19.2500	1	279	0
2019-11-06T23:00	85.901906	116.871920	1033	-18.8125	1	280	0
2019-11-07T01:00	85.903013	116.799320	1033	-18.7500	1	282	0
2019-11-07T03:00	85.904053	116.740640	1033	-19.1250	1	275	0
2019-11-07T05:00	85.904280	116.688693	1033	-21.1250	1	273	0
2019-11-07T07:00	85.903493	116.632760	1033	-21.8125	1	275	0
2019-11-07T09:00	85.902346	116.563800	1033	-21.1250	1	269	0
2019-11-07T11:00	85.901493	116.490146	1033	-21.2500	1	273	0
2019-11-07T13:00	85.901240	116.427560	1032	-21.1875	1	277	0
2019-11-07T15:00	85.900960	116.379226	1031	-21.1250	1	275	0
2019-11-07T17:00	85.900346	116.342080	1031	-22.0625	1	276	0
2019-11-07T19:00	85.898986	116.302120	1031	-23.1875	1	273	0
2019-11-07T21:00	85.897346	116.251760	1030	-23.7500	1	265	0
2019-11-07T23:00	85.896093	116.193093	1030	-24.3750	1	272	0
2019-11-08T01:00	85.895440	116.141493	1029	-23.5000	1	272	0
2019-11-08T03:00	85.894720	116.101560	1028	-22.1250	1	276	0
2019-11-08T05:00	85.893133	116.066746	1027	-21.0000	1	274	0
2019-11-08T07:00	85.890333	116.023373	1026	-20.9375	1	274	0
2019-11-08T09:00	85.886653	115.974133	1025	-20.7500	1	276	0
2019-11-08T11:00	85.882840	115.915360	1024	-20.7500	1	273	0
2019-11-08T13:00	85.879066	115.856560	1022	-19.8750	1	275	0
