/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Cheng, Bin; Hoppmann, Mario; Zuo, Guangyu; Lan, Musheng (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2019T62 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940227, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2019T62, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940231
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; Coring site; Heating rise; MOSAiC_ICE; Sea ice mass balance; SIMBA; Temperature
Project(s):	Integrated Arctic observation system (INTAROS) (URI: https://doi.org/10.3030/727890)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 727890: Integrated Arctic observation system (INTAROS) (URI: doi:10.3030/727890)
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 85.068169 * MEDIAN LONGITUDE: 52.735459 * SOUTH-BOUND LATITUDE: 78.777426 * WEST-BOUND LONGITUDE: -2.424333 * NORTH-BOUND LATITUDE: 88.591080 * EAST-BOUND LONGITUDE: 125.461600
	DATE/TIME START: 2019-10-29T02:00:00 * DATE/TIME END: 2020-08-01T13:00:00
Event(s):	PS122/1_1-125 (2019T62, PRIC_09_01) * LATITUDE START: 85.646460 * LONGITUDE START: 125.472180 * LATITUDE END: 78.802415 * LONGITUDE END: -2.393845 * DATE/TIME START: 2019-10-29T00:45:00 * DATE/TIME END: 2020-08-01T10:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2019t62 * CAMPAIGN: PS122/1 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: LM site, recovery: PS122/4_43-156; IRIDIUM number: 300234068706290
	PS122/4_43-156 (2019T62) * LATITUDE: 78.802415 * LONGITUDE: -2.393845 * DATE/TIME: 2020-08-01T10:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2019t62 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/4 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: Recovery
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 3 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_3)
Size:	66595 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2019-10-29T02:00:00	85.647320	125.461600	1029	-12.9375	3	183	0
2019-10-29T02:30:00	85.648973	125.441546	1029	-13.5000	3	183	0
2019-10-29T03:00:00	85.650586	125.422733	1029	-13.6875	3	185	0
2019-10-29T03:30:00	85.652120	125.404546	1029	-13.8750	2	182	0
2019-10-29T04:00:00	85.653560	125.386973	1029	-14.0625	3	185	0
2019-10-29T04:30:00	85.654986	125.369920	1029	-14.3750	3	184	0
2019-10-29T05:00:00	85.656346	125.353093	1029	-14.7500	3	184	0
2019-10-29T05:30:00	85.657666	125.335826	1029	-15.3125	3	184	0
2019-10-29T06:00:00	85.658973	125.318226	1029	-16.1875	3	184	0
2019-10-29T06:30:00	85.660200	125.299400	1029	-17.0000	3	185	0
2019-10-29T07:00:00	85.661440	125.279253	1029	-17.6875	3	183	0
2019-10-29T07:30:00	85.662680	125.258013	1029	-18.1875	3	186	0
2019-10-29T08:00:00	85.663933	125.235546	1029	-18.5625	3	185	0
2019-10-29T08:30:00	85.665240	125.212213	1029	-18.6875	3	185	0
2019-10-29T09:00:00	85.666573	125.188120	1029	-17.3125	3	183	0
2019-10-29T09:30:00	85.667933	125.163200	1029	-18.3125	3	185	0
2019-10-29T10:00:00	85.669386	125.137693	1029	-18.8125	3	185	0
2019-10-29T10:30:00	85.670893	125.111346	1029	-19.1250	3	186	0
2019-10-29T11:00:00	85.672480	125.084386	1029	-19.1875	3	184	0
2019-10-29T11:30:00	85.674106	125.058026	1029	-19.5625	3	186	0
2019-10-29T12:00:00	85.675800	125.032066	1029	-19.8125	3	187	0
2019-10-29T12:30:00	85.677493	125.007226	1029	-20.1250	3	186	0
2019-10-29T13:00:00	85.679146	124.983973	1029	-20.3750	3	185	0
2019-10-29T13:30:00	85.680826	124.962240	1029	-20.4375	3	186	0
2019-10-29T14:00:00	85.682440	124.941666	1029	-20.5625	3	187	0
2019-10-29T14:30:00	85.683986	124.922280	1029	-20.8750	3	186	0
2019-10-29T15:00:00	85.685480	124.904133	1029	-20.6250	3	187	0
2019-10-29T15:30:00	85.686880	124.886853	1029	-20.4375	3	186	0
2019-10-29T16:00:00	85.688213	124.870413	1029	-20.0000	3	187	0
2019-10-29T16:30:00	85.689480	124.854506	1029	-19.5625	2	186	0
2019-10-29T17:00:00	85.690720	124.838426	1029	-19.5000	3	186	0
2019-10-29T17:30:00	85.691893	124.822280	1029	-19.5000	3	186	0
2019-10-29T18:00:00	85.693053	124.805960	1029	-19.6250	3	186	0
2019-10-29T18:30:00	85.694186	124.788813	1029	-19.7500	3	187	0
2019-10-29T19:00:00	85.695306	124.770933	1029	-19.8125	3	186	0
2019-10-29T19:30:00	85.696453	124.752093	1029	-19.7500	3	186	0
2019-10-29T20:00:00	85.697613	124.732360	1029	-19.7500	3	185	0
2019-10-29T20:30:00	85.698760	124.711946	1029	-19.8125	3	184	0
2019-10-29T21:00:00	85.699920	124.691200	1029	-19.7500	3	185	0
2019-10-29T21:30:00	85.701120	124.669600	1029	-19.8750	3	185	0
2019-10-29T22:00:00	85.702373	124.647440	1029	-20.3750	3	186	0
2019-10-29T22:30:00	85.703680	124.624920	1030	-20.6250	3	186	0
2019-10-29T23:00:00	85.705066	124.601973	1029	-21.2500	3	187	0
2019-10-29T23:30:00	85.706533	124.578693	1029	-21.5625	3	187	0
2019-10-30T00:00:00	85.708040	124.555546	1029	-21.3750	3	188	0
2019-10-30T00:30:00	85.709560	124.533600	1029	-21.1875	3	188	0
2019-10-30T01:00:00	85.711080	124.512106	1029	-20.9375	3	188	0
2019-10-30T01:30:00	85.712586	124.491640	1029	-20.1250	3	186	0
2019-10-30T02:00:00	85.714026	124.472293	1029	-19.1875	2	186	0
2019-10-30T02:30:00	85.715440	124.454106	1029	-18.6875	3	184	0
2019-10-30T03:00:00	85.716786	124.437306	1029	-18.3125	3	186	0
2019-10-30T03:30:00	85.718040	124.420973	1029	-18.2500	3	185	0
2019-10-30T04:00:00	85.719253	124.405306	1029	-18.0625	3	186	0
2019-10-30T04:30:00	85.720426	124.390146	1029	-17.8750	3	184	0
2019-10-30T05:00:00	85.721520	124.374973	1029	-17.6875	3	186	0
2019-10-30T05:30:00	85.722546	124.359280	1029	-17.5000	2	186	0
2019-10-30T06:00:00	85.723573	124.343133	1029	-17.4375	3	185	0
2019-10-30T06:30:00	85.724560	124.326560	1029	-17.3750	3	185	0
2019-10-30T07:00:00	85.725560	124.308626	1029	-17.3750	3	187	0
2019-10-30T07:30:00	85.726546	124.289040	1029	-17.3125	2	187	0
2019-10-30T08:00:00	85.727560	124.268386	1029	-17.4375	3	184	0
2019-10-30T08:30:00	85.728586	124.246773	1029	-17.4375	3	185	0
2019-10-30T09:00:00	85.729653	124.223986	1029	-15.7500	3	184	0
2019-10-30T09:30:00	85.730773	124.200666	1029	-16.5625	3	185	0
2019-10-30T10:00:00	85.731960	124.177346	1029	-17.0625	3	185	0
2019-10-30T10:30:00	85.733213	124.154506	1029	-17.3125	2	184	0
2019-10-30T11:00:00	85.734520	124.131493	1029	-17.3750	2	185	0
2019-10-30T11:30:00	85.735866	124.109653	1029	-17.3125	3	185	0
2019-10-30T12:00:00	85.737226	124.088866	1029	-17.1875	3	182	0
2019-10-30T12:30:00	85.738573	124.068960	1029	-17.1250	3	185	0
2019-10-30T13:00:00	85.739893	124.050013	1028	-17.0625	3	185	0
2019-10-30T13:30:00	85.741146	124.032293	1029	-16.8750	3	186	0
2019-10-30T14:00:00	85.742360	124.014893	1029	-16.8750	2	185	0
2019-10-30T14:30:00	85.743466	123.998653	1029	-17.0000	3	186	0
2019-10-30T15:00:00	85.744493	123.983306	1029	-16.9375	3	185	0
