/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Cheng, Bin; Zuo, Guangyu; Hoppmann, Mario (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2019T65 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940622, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2019T65, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940634
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; distributed network; Heating rising; MOSAiC-ICE; Sea ice mass balance; snow; Temperature
Project(s):	Integrated Arctic observation system (INTAROS) (URI: https://doi.org/10.3030/727890)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 727890: Integrated Arctic observation system (INTAROS) (URI: doi:10.3030/727890)
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 85.065592 * MEDIAN LONGITUDE: 59.543401 * SOUTH-BOUND LATITUDE: 79.102706 * WEST-BOUND LONGITUDE: -2.514480 * NORTH-BOUND LATITUDE: 88.587520 * EAST-BOUND LONGITUDE: 136.994800
	DATE/TIME START: 2019-10-07T03:00:14 * DATE/TIME END: 2020-08-02T23:30:15
Event(s):	AF-MOSAiC-1_89 (PS122/1_1-226, 2019T65, PRIC_09_04) * LATITUDE START: 84.996400 * LONGITUDE START: 135.031300 * LATITUDE END: 79.101820 * LONGITUDE END: -2.448870 * DATE/TIME START: 2019-10-07T03:00:00 * DATE/TIME END: 2020-08-03T00:00:14 * Sensor URI: https://sensor.awi.de/?urn=buoy:2019t65 * LOCATION: Arctic Ocean * CAMPAIGN: AF-MOSAiC-1 (MOSAiC20192020, AF122/1) (URI: https://doi.org/10.2312/BzPM_0744_2020) * BASIS: Akademik Fedorov * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068705730; Station L2__Measurement:Snow and ice temperature profile__Comment:ice thickness 1.31 m and snow depth 0.15m__Old Labels:L2_SIMBA2_PRIC_20191007,PS122/1_1-226; Total failure 2020-08-03
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	72160 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2019-10-07T03:00:14	84.995253	135.069493	1023	-6.3750	0	107	0
2019-10-07T03:30:14	84.994560	135.088080	1023	-4.8125	0	106	0
2019-10-07T04:00:14	84.993800	135.106826	1023	-5.8125	0	106	0
2019-10-07T04:30:15	84.992933	135.125920	1023	-6.2500	0	108	0
2019-10-07T05:00:14	84.992013	135.145146	1023	-6.5000	0	106	0
2019-10-07T05:30:14	84.991013	135.164853	1023	-6.6875	0	105	0
2019-10-07T06:00:14	84.990000	135.184026	1023	-6.8125	0	106	0
2019-10-07T06:30:14	84.988866	135.202826	1022	-6.9375	0	105	0
2019-10-07T07:00:14	84.987760	135.221386	1022	-7.1250	0	107	0
2019-10-07T07:30:14	84.986586	135.239653	1022	-7.1875	0	107	0
2019-10-07T08:00:14	84.985400	135.256586	1022	-7.4375	0	106	0
2019-10-07T08:30:14	84.984226	135.273546	1022	-7.5000	0	107	0
2019-10-07T09:00:14	84.983040	135.290426	1022	-7.5000	0	108	0
2019-10-07T09:30:14	84.981866	135.307973	1022	-7.3125	0	106	0
2019-10-07T10:00:15	84.980733	135.326720	1021	-7.1875	0	107	0
2019-10-07T10:30:14	84.979520	135.347813	1021	-7.0625	0	108	0
2019-10-07T11:00:14	84.978173	135.371386	1021	-7.0625	0	107	0
2019-10-07T11:30:14	84.976893	135.397786	1020	-7.2500	0	107	0
2019-10-07T12:00:14	84.975533	135.426320	1020	-7.3750	0	107	0
2019-10-07T12:30:14	84.974120	135.455280	1020	-7.5625	0	106	0
2019-10-07T13:00:14	84.972706	135.483520	1020	-7.9375	0	106	0
2019-10-07T13:30:14	84.971440	135.512053	1020	-8.0000	0	107	0
2019-10-07T14:00:14	84.970000	135.541920	1019	-8.1250	0	106	0
2019-10-07T14:30:14	84.968440	135.572400	1019	-8.3125	0	108	0
2019-10-07T15:00:14	84.966840	135.603920	1019	-8.5625	0	107	0
2019-10-07T15:30:15	84.965173	135.635093	1019	-8.5625	0	107	0
2019-10-07T16:00:14	84.963226	135.666240	1019	-8.6250	0	106	0
2019-10-07T16:30:14	84.961226	135.696586	1018	-8.6875	0	108	0
2019-10-07T17:00:14	84.959160	135.726426	1018	-8.8125	0	108	0
2019-10-07T17:30:14	84.957173	135.755120	1017	-8.8750	0	107	0
2019-10-07T18:00:14	84.955226	135.784693	1017	-8.9375	0	105	0
2019-10-07T18:30:14	84.953160	135.814453	1017	-8.8750	0	106	0
2019-10-07T19:00:14	84.951120	135.844293	1017	-8.8750	0	105	0
2019-10-07T19:30:14	84.949173	135.873653	1016	-8.9375	0	106	0
2019-10-07T20:00:14	84.947253	135.902773	1016	-8.8750	0	106	0
2019-10-07T20:30:15	84.945506	135.933093	1015	-8.7500	0	108	0
2019-10-07T21:00:14	84.943946	135.964853	1015	-8.6250	0	107	0
2019-10-07T21:30:14	84.942426	135.999386	1015	-8.3750	0	106	0
2019-10-07T22:00:14	84.940866	136.037386	1014	-8.3125	0	106	0
2019-10-07T22:30:14	84.939226	136.079626	1014	-8.1250	0	106	0
2019-10-07T23:00:14	84.937453	136.124640	1014	-8.0000	0	107	0
2019-10-07T23:30:14	84.935613	136.170666	1013	-7.8125	0	107	0
2019-10-08T00:00:14	84.933653	136.218346	1013	-7.5625	0	104	0
2019-10-08T00:30:14	84.931653	136.267680	1012	-7.2500	0	108	0
2019-10-08T01:00:14	84.929626	136.317786	1011	-6.8125	0	108	0
2019-10-08T01:30:15	84.927480	136.368160	1011	-6.4375	0	106	0
2019-10-08T02:00:14	84.925266	136.418746	1010	-6.1250	0	108	0
2019-10-08T02:30:14	84.923000	136.469280	1010	-5.9375	0	107	0
2019-10-08T03:00:14	84.920520	136.520106	1009	-5.7500	0	106	0
2019-10-08T03:30:14	84.917946	136.568826	1008	-3.6875	0	104	0
2019-10-08T04:00:14	84.915320	136.615946	1008	-4.3750	0	104	0
2019-10-08T04:30:14	84.912560	136.661520	1007	-4.6250	0	107	0
2019-10-08T05:00:14	84.909746	136.705546	1007	-4.7500	0	106	0
2019-10-08T05:30:14	84.906853	136.747626	1006	-4.7500	0	105	0
2019-10-08T06:00:14	84.903880	136.787333	1006	-4.6875	0	106	0
2019-10-08T06:30:14	84.900813	136.823546	1006	-4.6250	0	107	0
2019-10-08T07:00:15	84.897760	136.855706	1005	-4.5000	0	109	0
2019-10-08T07:30:14	84.894666	136.884720	1005	-4.3125	0	108	0
2019-10-08T08:00:14	84.891506	136.910693	1005	-4.1250	0	109	0
2019-10-08T08:30:14	84.888400	136.933120	1004	-3.9375	0	105	0
2019-10-08T09:00:14	84.885333	136.952266	1004	-3.8750	0	107	0
2019-10-08T09:30:14	84.882373	136.968106	1004	-3.6250	0	107	0
2019-10-08T10:00:14	84.879493	136.979893	1003	-3.5000	0	106	0
2019-10-08T10:30:14	84.876426	136.987013	1004	-3.2500	0	107	0
2019-10-08T11:00:14	84.873320	136.991973	1004	-3.4375	0	106	0
2019-10-08T11:30:14	84.870160	136.994480	1004	-3.6875	0	106	0
2019-10-08T12:00:14	84.867186	136.994800	1004	-4.1250	0	108	0
2019-10-08T12:30:14	84.864360	136.993600	1004	-4.5000	0	103	0
2019-10-08T13:00:15	84.861746	136.991333	1004	-5.0000	0	106	0
2019-10-08T13:30:14	84.859240	136.988480	1004	-5.2500	0	106	0
2019-10-08T14:00:14	84.856786	136.985546	1004	-5.7500	0	107	0
2019-10-08T14:30:14	84.854546	136.982426	1004	-6.0000	0	107	0
2019-10-08T15:00:14	84.852533	136.979173	1004	-6.3750	0	104	0
2019-10-08T15:30:14	84.850693	136.976773	1004	-6.7500	0	105	0
2019-10-08T16:00:14	84.848906	136.974586	1004	-7.0625	0	105	0
2019-10-08T16:30:14	84.847226	136.972666	1005	-6.9375	0	105	0
2019-10-08T17:00:14	84.845573	136.971706	1004	-7.3125	0	105	0
2019-10-08T17:30:14	84.843933	136.971440	1005	-7.5000	0	106	0
