/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Cheng, Bin; Hoppmann, Mario; Zuo, Guangyu (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2019T72 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940660, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2019T72, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940668
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; distributed network; Heating rising; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperature
Project(s):	Integrated Arctic observation system (INTAROS) (URI: https://doi.org/10.3030/727890)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	Horizon 2020 (H2020) (URI: https://ec.europa.eu/programmes/horizon2020/), grant/award no. 727890: Integrated Arctic observation system (INTAROS) (URI: doi:10.3030/727890)
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 86.623403 * MEDIAN LONGITUDE: 83.779145 * SOUTH-BOUND LATITUDE: 84.106653 * WEST-BOUND LONGITUDE: 7.566221 * NORTH-BOUND LATITUDE: 88.901453 * EAST-BOUND LONGITUDE: 139.028720
	DATE/TIME START: 2019-10-09T04:00:11 * DATE/TIME END: 2020-04-28T00:00:14
Event(s):	AF-MOSAiC-1_118 (PS122/1_1-175, 2019T72, FMI_06_05) * LATITUDE START: 85.053800 * LONGITUDE START: 139.020600 * LATITUDE END: 84.201400 * LONGITUDE END: 13.300650 * DATE/TIME START: 2019-10-09T01:00:00 * DATE/TIME END: 2020-04-28T02:00:13 * Sensor URI: https://sensor.awi.de/?urn=buoy:2019t72 * LOCATION: Arctic Ocean * CAMPAIGN: AF-MOSAiC-1 (MOSAiC20192020, AF122/1) (URI: https://doi.org/10.2312/BzPM_0744_2020) * BASIS: Akademik Fedorov * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068700290; Station M5__Measurement:Snow and ice temperature profile__Comment:ice thickness 0.97 m and snow depth 0.13 m__Old Labels:M5_SIMBA9_PRIC,FMI_20191009,PS122/1_1-175; total failure:2020-04-28
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	12115 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2019-10-09T04:00:11	85.053520	139.028720	1008	-11.3750	1	89	0
2019-10-09T06:00:14	85.053386	139.007280	1009	-12.8125	1	88	0
2019-10-09T08:00:14	85.051053	138.992773	1009	-12.5625	1	87	0
2019-10-09T10:00:13	85.048106	138.964613	1009	-12.0000	1	87	0
2019-10-09T12:00:14	85.047066	138.926400	1009	-11.8750	1	88	0
2019-10-09T14:00:14	85.047346	138.893866	1009	-12.1875	1	85	0
2019-10-09T16:00:13	85.049266	138.873653	1009	-13.0625	1	87	0
2019-10-09T18:00:14	85.051906	138.856000	1009	-15.8750	1	85	0
2019-10-09T20:00:14	85.054560	138.825200	1009	-17.1250	1	86	0
2019-10-09T22:00:14	85.057280	138.763120	1010	-15.2500	1	84	0
2019-10-10T00:00:13	85.060560	138.670000	1010	-12.9375	1	87	0
2019-10-10T02:00:14	85.065133	138.562000	1011	-11.6875	1	89	0
2019-10-10T04:00:14	85.070106	138.458880	1012	-12.0000	0	89	0
2019-10-10T06:00:14	85.072786	138.394800	1014	-14.8125	1	88	0
2019-10-10T08:00:13	85.072426	138.349573	1016	-16.0625	1	84	0
2019-10-10T10:00:14	85.069626	138.298346	1016	-15.0625	0	84	0
2019-10-10T12:00:14	85.066546	138.242586	1017	-15.5000	1	85	0
2019-10-10T14:00:14	85.064186	138.199280	1018	-17.3125	1	86	0
2019-10-10T16:00:14	85.062320	138.191040	1018	-19.6250	1	86	0
2019-10-10T18:00:13	85.059560	138.228693	1017	-18.6250	1	86	0
2019-10-10T20:00:14	85.054346	138.301120	1017	-16.5000	1	86	0
2019-10-10T22:00:14	85.046613	138.380720	1016	-15.3125	1	85	0
2019-10-11T00:00:14	85.037733	138.440293	1015	-15.3750	1	87	0
2019-10-11T02:00:13	85.028346	138.477653	1015	-15.8125	1	91	0
2019-10-11T04:00:14	85.020773	138.503946	1015	-16.8750	1	86	0
2019-10-11T06:00:14	85.015400	138.545466	1014	-17.3750	1	85	0
2019-10-11T08:00:14	85.005280	138.604613	1014	-16.1875	1	87	0
2019-10-11T10:00:13	84.995653	138.624000	1014	-16.3750	1	87	0
2019-10-11T12:00:14	84.989000	138.623653	1014	-16.3125	1	87	0
2019-10-11T14:00:14	84.984866	138.634933	1013	-14.3125	1	87	0
2019-10-11T16:00:14	84.981693	138.683360	1012	-12.9375	1	88	0
2019-10-11T18:00:13	84.978533	138.745760	1012	-14.6875	1	88	0
2019-10-11T20:00:14	84.974706	138.792186	1011	-15.4375	0	85	0
2019-10-11T22:00:14	84.972186	138.811840	1010	-13.7500	1	91	0
2019-10-12T00:00:14	84.973600	138.803813	1009	-13.5625	1	88	0
2019-10-12T02:00:13	84.979653	138.801733	1007	-13.1250	1	87	0
2019-10-12T04:00:14	84.987773	138.816693	1005	-13.0000	1	89	0
2019-10-12T06:00:14	84.994666	138.824613	1004	-13.7500	0	86	0
2019-10-12T08:00:14	84.998720	138.809813	1002	-15.8750	0	85	0
2019-10-12T10:00:13	85.000786	138.752640	1001	-17.1250	1	85	0
2019-10-12T12:00:14	85.003386	138.656320	1000	-17.1250	0	91	0
2019-10-12T14:00:14	85.006920	138.556080	1000	-16.8750	1	87	0
2019-10-12T16:00:14	85.009800	138.488480	1000	-17.8750	1	85	0
2019-10-12T18:00:14	85.010600	138.442186	1001	-18.3750	1	88	0
2019-10-12T20:00:13	85.009386	138.377360	1001	-17.6250	1	84	0
2019-10-12T22:00:14	85.008133	138.278960	1002	-15.0625	0	89	0
2019-10-13T00:00:14	85.007813	138.173333	1003	-19.4375	1	83	0
2019-10-13T02:00:14	85.008093	138.080960	1004	-21.9375	1	82	0
2019-10-13T04:00:14	85.007573	138.014160	1004	-20.4375	1	86	0
2019-10-13T06:00:13	85.005026	137.961253	1005	-22.9375	0	87	0
2019-10-13T08:00:14	85.001320	137.904453	1005	-25.0625	1	85	0
2019-10-13T10:00:14	84.997226	137.841653	1005	-22.9375	1	85	0
2019-10-13T12:00:14	84.993653	137.792186	1004	-22.5625	0	82	0
2019-10-13T14:00:14	84.990120	137.775786	1004	-23.3125	0	83	0
2019-10-13T16:00:14	84.985040	137.793493	1002	-22.6250	1	85	0
2019-10-13T18:00:14	84.977600	137.807520	1001	-19.6250	1	86	0
2019-10-13T20:00:13	84.969533	137.764853	1000	-18.7500	1	85	0
2019-10-13T22:00:14	84.961893	137.678506	1001	-17.6875	1	86	0
2019-10-14T00:00:14	84.955973	137.574960	1002	-17.9375	1	86	0
2019-10-14T02:00:14	84.951173	137.495173	1003	-16.6875	1	85	0
2019-10-14T04:00:13	84.946653	137.437013	1003	-16.7500	1	87	0
2019-10-14T06:00:14	84.941640	137.400986	1005	-17.4375	1	86	0
2019-10-14T08:00:14	84.935493	137.371466	1006	-18.5625	1	86	0
2019-10-14T10:00:14	84.928960	137.327386	1007	-17.1250	1	85	0
2019-10-14T12:00:14	84.924426	137.270480	1008	-17.6250	0	85	0
2019-10-14T14:00:13	84.922280	137.224906	1008	-20.8750	1	82	0
2019-10-14T16:00:14	84.921106	137.212133	1009	-22.1875	0	85	0
2019-10-14T18:00:14	84.919666	137.231600	1009	-23.4375	1	84	0
2019-10-14T20:00:14	84.917533	137.255626	1009	-22.8125	1	87	0
2019-10-14T22:00:14	84.915920	137.254666	1010	-22.5000	1	84	0
2019-10-15T00:00:14	84.916000	137.228640	1011	-23.6875	1	84	0
2019-10-15T02:00:13	84.917853	137.203653	1011	-24.5000	1	85	0
2019-10-15T04:00:14	84.920186	137.199493	1012	-24.7500	0	88	0
2019-10-15T06:00:14	84.921466	137.209626	1013	-26.1250	1	85	0
2019-10-15T08:00:14	84.921293	137.210426	1014	-26.5000	0	84	0
2019-10-15T10:00:14	84.920786	137.182266	1015	-26.3750	0	85	0
2019-10-15T12:00:14	84.921240	137.131413	1015	-26.0625	1	86	0
2019-10-15T14:00:14	84.922960	137.083040	1016	-25.6250	1	84	0
