/* DATA DESCRIPTION:
Citation:	Granskog, Mats A; Høyland, Knut Vilhelm; De La Torre, Pedro R; Divine, Dmitry V; Katlein, Christian; Itkin, Polona; Raphael, Ian; Olsen, Lasse Mørk (2020): Auxiliary data from the sea ice mass balance SIMBA 2020T60 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.924251, 
	In: Granskog, MA et al. (2020): Temperature and heating induced temperature difference measurements from the sea ice mass balance buoy SIMBA 2020T60 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.924269
Keyword(s):	Autonomous buoy; Ice mass balance; Temperature; Thermistor
Related to:	SIMBA HAVOC0101 (SRSL UI 02943) deployment description (pdf) (URI: https://store.pangaea.de/Projects/MOSAiC/2020T60/SIMBA_HAVOC0101_deployment_description_20200108_updated20200210.pdf)
	SIMBA HAVOC0101 (SRSL UI 02943) deployment record (pdf) (URI: https://store.pangaea.de/Projects/MOSAiC/2020T60/SIMBA_HAVOC0101_deployment_card.pdf)
Project(s):	Coordinated Arctic Acoustic Thermoetry Experiment (CAATEX) (URI: https://caatex.nersc.no/)
	Current sea ice maps for Arctic and Antarctic (meereisportal.de) (URI: https://www.meereisportal.de/en/)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
	Ridges - Safe HAVens for ice-associated Flora and Fauna in a Seasonally ice-covered Arctic OCean (HAVOC) (URI: https://www.npolar.no/en/projects/havoc/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	The Research Council of Norway (RCN) (URI: http://www.forskningsradet.no/en/Home_page/1177315753906), grant/award no. 280292: Ridges - Safe HAVens for ice-associated Flora and Fauna in a Seasonally ice-covered Arctic OCean (URI: https://prosjektbanken.forskningsradet.no/en/project/FORISS/280292)
	The Research Council of Norway (RCN) (URI: http://www.forskningsradet.no/en/Home_page/1177315753906), grant/award no. 280531: Coordinated Arctic Acoustic Thermoetry Experiment (URI: https://prosjektbanken.forskningsradet.no/en/project/FORISS/280531)
Coverage:	MEDIAN LATITUDE: 86.842692 * MEDIAN LONGITUDE: 52.224359 * SOUTH-BOUND LATITUDE: 84.242120 * WEST-BOUND LONGITUDE: 12.025213 * NORTH-BOUND LATITUDE: 88.599653 * EAST-BOUND LONGITUDE: 115.069186
	DATE/TIME START: 2020-01-08T17:00:14 * DATE/TIME END: 2020-04-21T17:00:15
Event(s):	PS122/2_14-319 (2020T60) * LATITUDE START: 87.115407 * LONGITUDE START: 115.212520 * LATITUDE END: 88.591064 * LONGITUDE END: 55.585638 * DATE/TIME START: 2020-01-08T07:44:00 * DATE/TIME END: 2020-02-24T09:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t60 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/2 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: simba havoc0101: simba havoc 10 m tchain ridge crest
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	840 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]
2020-01-08T17:00:14	87.122053	115.069186	1026	-29.9375	3	49
2020-01-09T05:00:15	87.138026	114.617186	1027	-26.1250	3	217
2020-01-09T17:00:14	87.156920	113.938120	1026	-26.5625	3	304
2020-01-10T05:00:15	87.170146	113.195720	1021	-27.8125	3	224
2020-01-10T17:00:14	87.189506	112.365360	1019	-30.1250	3	196
2020-01-11T05:00:14	87.210986	111.509160	1016	-31.4375	3	116
2020-01-11T17:00:15	87.241586	110.740333	1015	-30.0000	3	159
2020-01-12T05:00:15	87.268293	109.896773	1012	-30.0625	3	173
2020-01-12T17:00:14	87.287453	108.988560	1009	-30.3125	3	171
2020-01-13T05:00:14	87.316693	107.821160	1003	-27.7500	3	185
2020-01-13T17:00:14	87.358386	106.527866	1000	-25.0625	3	181
2020-01-14T05:00:15	87.399253	105.456733	1000	-23.1875	3	180
2020-01-14T17:00:15	87.425360	104.628920	1001	-22.6250	3	196
2020-01-15T05:00:14	87.456186	103.828706	1002	-27.0000	3	164
2020-01-15T17:00:14	87.498400	102.835106	1002	-25.1875	3	187
2020-01-16T05:00:15	87.553693	102.112240	1007	-24.6875	3	191
2020-01-16T17:00:15	87.566986	100.990706	1001	-25.0000	3	168
2020-01-17T05:00:14	87.543146	99.718733	991	-22.3750	3	173
2020-01-17T17:00:14	87.476893	98.831920	983	-21.8125	3	191
2020-01-18T05:00:14	87.423866	98.292573	986	-21.7500	3	169
2020-01-18T17:00:14	87.398946	98.298946	995	-21.7500	3	177
2020-01-19T05:00:14	87.397906	98.397480	1006	-25.6875	3	193
2020-01-19T17:00:15	87.411040	98.193613	1012	-26.6250	3	177
2020-01-20T05:00:14	87.439133	97.650066	1012	-24.7500	3	185
2020-01-20T17:00:14	87.466733	97.110013	1015	-25.3750	3	187
2020-01-21T05:00:15	87.487920	96.475973	1019	-25.5000	3	186
2020-01-21T17:00:15	87.494146	95.756546	1023	-25.1875	3	173
2020-01-22T05:00:14	87.487000	95.128493	1023	-25.1250	3	176
2020-01-22T17:00:14	87.473133	94.653986	1024	-25.0000	3	171
2020-01-23T05:00:15	87.454333	94.158693	1025	-24.5625	3	176
2020-01-23T17:00:14	87.437373	93.713893	1027	-25.5000	3	189
2020-01-24T05:00:15	87.428266	93.222800	1028	-25.3750	3	192
2020-01-24T17:00:14	87.418533	92.945546	1026	-25.3750	3	168
2020-01-25T05:00:15	87.409786	92.796946	1021	-24.0625	3	180
2020-01-25T17:00:14	87.405480	92.856840	1020	-25.2500	3	161
2020-01-26T05:00:15	87.412106	93.228146	1019	-24.8750	3	187
2020-01-26T17:00:14	87.424933	94.252960	1017	-24.1250	3	196
2020-01-27T05:00:15	87.446266	95.422360	1013	-21.8750	3	196
2020-01-27T17:00:14	87.451533	95.835306	1016	-25.7500	3	186
2020-01-28T05:00:14	87.455440	95.804426	1017	-31.4375	3	165
2020-01-28T17:00:14	87.464960	95.610013	1013	-29.1875	3	189
2020-01-29T05:00:15	87.474426	95.221893	1011	-24.3750	3	200
2020-01-29T17:00:14	87.476720	95.261000	1005	-21.9375	3	190
2020-01-30T05:00:15	87.482986	96.114080	995	-18.5625	3	168
2020-01-30T17:00:15	87.440920	96.466640	1006	-27.1875	3	170
2020-01-31T05:00:15	87.437546	96.453146	1007	-29.6250	3	170
2020-01-31T17:00:15	87.488066	96.250466	988	-22.0000	3	180
2020-02-01T05:00:15	87.473573	96.199626	983	-18.6875	3	168
2020-02-01T17:00:14	87.368000	95.801680	1003	-29.0625	3	173
2020-02-02T05:00:14	87.348146	95.506106	1004	-30.4375	3	195
2020-02-02T17:00:14	87.361853	94.254666	1006	-30.1875	3	164
2020-02-03T05:00:14	87.407533	93.176933	1003	-26.4375	3	180
2020-02-03T17:00:15	87.441640	93.906066	1006	-20.1250	3	179
2020-02-04T05:00:15	87.469600	94.963133	1014	-22.1875	3	182
2020-02-04T17:00:14	87.497400	95.301920	1018	-25.9375	3	192
2020-02-05T05:00:14	87.530626	95.092640	1015	-25.1875	3	185
2020-02-05T17:00:15	87.568440	94.462413	1009	-24.6250	3	196
2020-02-06T05:00:14	87.597266	94.069146	1006	-25.8750	3	191
2020-02-06T17:00:15	87.624333	93.814546	1005	-21.5625	3	175
2020-02-07T05:00:14	87.638520	93.701560	1006	-24.7500	3	180
2020-02-07T17:00:15	87.650640	93.779626	1010	-26.8125	3	187
2020-02-08T05:00:15	87.668066	93.837586	1014	-28.1250	3	197
2020-02-08T17:00:14	87.692786	93.619320	1012	-24.5000	3	190
2020-02-09T05:00:14	87.720013	93.199280	1010	-24.1250	3	190
2020-02-09T17:00:15	87.748000	92.646066	1008	-24.8750	3	190
2020-02-10T05:00:14	87.778253	92.043666	1010	-24.5000	3	177
2020-02-10T17:00:15	87.800813	91.374933	1016	-23.3125	3	166
2020-02-11T05:00:14	87.820200	90.435706	1020	-24.9375	3	192
2020-02-11T17:00:15	87.834386	89.277440	1019	-25.1250	3	183
2020-02-12T05:00:14	87.861000	88.098986	1017	-25.7500	3	176
2020-02-12T17:00:14	87.905413	86.890840	1014	-25.5625	3	180
2020-02-13T05:00:15	87.948026	85.228853	1010	-25.6250	3	174
2020-02-13T17:00:14	87.982653	82.913133	1002	-24.8750	3	181
2020-02-14T05:00:15	88.014826	80.906386	995	-22.0625	3	180
2020-02-14T17:00:14	88.047853	80.047920	997	-20.6250	3	186
2020-02-15T05:00:15	88.071986	79.844853	1002	-27.6875	3	188
2020-02-15T17:00:15	88.071040	79.678666	1003	-29.2500	3	179
2020-02-16T05:00:15	88.069640	79.619493	1003	-30.1875	3	201
2020-02-16T17:00:14	88.069546	79.633173	1003	-24.9375	3	197
2020-02-17T05:00:14	88.074400	79.254120	999	-26.2500	3	191
2020-02-17T17:00:14	88.078386	78.384280	995	-27.1250	3	191
2020-02-18T05:00:15	88.090466	77.727480	994	-27.2500	3	178
2020-02-18T17:00:14	88.140640	76.355306	989	-21.0000	3	181
