/* DATA DESCRIPTION:
Citation:	Granskog, Mats A; Berge, Jørgen; Cottier, Finlo; Divine, Dmitry V; Katlein, Christian; Itkin, Polona; Olsen, Lasse Mørk; Vogedes, Daniel; De La Torre, Pedro R (2021): Auxiliary data from the sea ice mass balance SIMBA 2020T61 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.926581, 
	In: Granskog, MA et al. (2021): Temperature and heating induced temperature difference measurements from the sea ice mass balance buoy SIMBA 2020T61 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.926580
Keyword(s):	Autonomous buoy; Ice mass balance; Temperature; Thermistor
Further details:	SIMBA HAVOC0101 (UIT0206) deployment description (pdf) (URI: https://store.pangaea.de/Projects/MOSAiC/2020T61/SIMBA_UIT02016deployment%20description_20200205.pdf)
Project(s):	Arctic Ocean ecosystems - Applied technology, Biological interactions and Consequences in an era of abrupt climate change (ArcticABCDevelopment) (URI: https://www.mare-incognitum.no/arctic-abc/)
	Coordinated Arctic Acoustic Thermoetry Experiment (CAATEX) (URI: https://caatex.nersc.no/)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
	Ridges - Safe HAVens for ice-associated Flora and Fauna in a Seasonally ice-covered Arctic OCean (HAVOC) (URI: https://www.npolar.no/en/projects/havoc/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	The Research Council of Norway (RCN) (URI: http://www.forskningsradet.no/en/Home_page/1177315753906), grant/award no. 245923: Arctic Ocean ecosystems - Applied technology, Biological interactions and Consequences in an era of abrupt climate change (Arctic ABC Development) (URI: https://prosjektbanken.forskningsradet.no/en/project/FORISS/245923)
	The Research Council of Norway (RCN) (URI: http://www.forskningsradet.no/en/Home_page/1177315753906), grant/award no. 280292: Ridges - Safe HAVens for ice-associated Flora and Fauna in a Seasonally ice-covered Arctic OCean (URI: https://prosjektbanken.forskningsradet.no/en/project/FORISS/280292)
	The Research Council of Norway (RCN) (URI: http://www.forskningsradet.no/en/Home_page/1177315753906), grant/award no. 280531: Coordinated Arctic Acoustic Thermoetry Experiment (URI: https://prosjektbanken.forskningsradet.no/en/project/FORISS/280531)
Coverage:	MEDIAN LATITUDE: 84.381558 * MEDIAN LONGITUDE: 20.051814 * SOUTH-BOUND LATITUDE: 79.676666 * WEST-BOUND LONGITUDE: -2.110328 * NORTH-BOUND LATITUDE: 88.597573 * EAST-BOUND LONGITUDE: 94.516906
	DATE/TIME START: 2020-02-05T14:00:12 * DATE/TIME END: 2020-07-27T02:00:12
Event(s):	PS122/2_14-333 (2020T61) * LATITUDE START: 87.552958 * LONGITUDE START: 94.596743 * LATITUDE END: 88.591064 * LONGITUDE END: 55.585638 * DATE/TIME START: 2020-02-05T12:46:00 * DATE/TIME END: 2020-02-24T09:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t61 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/2 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: simba_uit0206: simba_uit0206
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Granskog, Mats A (https://orcid.org/0000-0002-5035-4347, mats.granskog@npolar.no, http://www.npolar.no/en/people/mats.granskog/) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	8284 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]
2020-02-05T14:00:12	87.557146	94.516906	1011	-28.3125	1	249
2020-02-05T16:00:12	87.564520	94.389133	1010	-27.1875	1	241
2020-02-05T18:00:12	87.571173	94.293453	1008	-27.2500	1	233
2020-02-05T20:00:12	87.576533	94.227120	1008	-27.6250	1	238
2020-02-05T22:00:12	87.580733	94.180293	1008	-29.2500	1	226
2020-02-06T00:00:12	87.584520	94.127226	1008	-29.6875	1	244
2020-02-06T02:00:12	87.588946	94.057613	1008	-28.8750	1	248
2020-02-06T04:00:12	87.594040	93.981880	1007	-28.5000	1	229
2020-02-06T06:00:12	87.599253	93.907146	1006	-27.7500	1	225
2020-02-06T08:00:12	87.604306	93.873693	1005	-24.3750	1	240
2020-02-06T10:00:12	87.610053	93.835240	1005	-22.3750	1	245
2020-02-06T12:00:12	87.614186	93.789840	1005	-22.7500	1	249
2020-02-06T14:00:12	87.618506	93.748466	1006	-21.9375	1	248
2020-02-06T16:00:12	87.622253	93.708826	1006	-22.6250	1	241
2020-02-06T18:00:12	87.625720	93.667773	1005	-22.8750	1	243
2020-02-06T20:00:12	87.628733	93.643346	1006	-22.3125	1	251
2020-02-06T22:00:12	87.630453	93.621186	1006	-23.1875	1	254
2020-02-07T00:00:12	87.632133	93.601786	1006	-25.3750	1	244
2020-02-07T02:00:12	87.634613	93.587093	1006	-26.3750	1	248
2020-02-07T04:00:12	87.636946	93.573426	1006	-27.3125	1	243
2020-02-07T06:00:12	87.639173	93.575360	1006	-28.1875	1	223
2020-02-07T08:00:12	87.641253	93.585186	1007	-29.1250	1	220
2020-02-07T10:00:12	87.643280	93.598306	1008	-29.3750	1	234
2020-02-07T12:00:12	87.644986	93.609746	1008	-29.3750	1	237
2020-02-07T14:00:12	87.646813	93.621306	1009	-29.4375	1	230
2020-02-07T16:00:12	87.648986	93.641213	1010	-30.1875	1	229
2020-02-07T18:00:12	87.651386	93.662906	1011	-30.3750	1	231
2020-02-07T20:00:12	87.653680	93.690693	1012	-30.6250	1	244
2020-02-07T22:00:12	87.656106	93.706613	1013	-31.0000	1	219
2020-02-08T00:00:12	87.659000	93.706946	1014	-31.0625	1	245
2020-02-08T02:00:12	87.662213	93.707893	1014	-31.5625	1	228
2020-02-08T04:00:12	87.665733	93.709373	1015	-31.8125	1	231
2020-02-08T06:00:12	87.669600	93.701306	1015	-31.3750	1	237
2020-02-08T08:00:12	87.673573	93.678906	1015	-31.5625	1	245
2020-02-08T10:00:13	87.676706	93.651746	1015	-31.0625	1	239
2020-02-08T12:00:12	87.680173	93.615213	1014	-29.9375	1	257
2020-02-08T14:00:12	87.684720	93.565733	1013	-27.5625	1	261
2020-02-08T16:00:12	87.689466	93.520813	1013	-25.8125	1	261
2020-02-08T18:00:12	87.695186	93.456706	1012	-25.9375	1	235
2020-02-08T20:00:12	87.700080	93.397733	1012	-26.3750	1	241
2020-02-08T22:00:12	87.704706	93.336053	1011	-26.1250	1	232
2020-02-09T00:00:12	87.709360	93.261266	1011	-25.6250	1	263
2020-02-09T02:00:12	87.712760	93.191426	1011	-25.5000	1	235
2020-02-09T04:00:12	87.717080	93.112400	1010	-25.3750	1	253
2020-02-09T06:00:12	87.722200	93.015933	1010	-25.7500	1	262
2020-02-09T08:00:12	87.727293	92.922186	1010	-26.6875	1	248
2020-02-09T10:00:12	87.731773	92.832546	1010	-27.1250	1	224
2020-02-09T12:00:12	87.736266	92.739773	1009	-27.1875	1	217
2020-02-09T14:00:12	87.740760	92.653253	1009	-28.0000	1	232
2020-02-09T16:00:12	87.745253	92.561080	1009	-28.8750	1	228
2020-02-09T18:00:12	87.749906	92.458253	1009	-28.3750	1	216
2020-02-09T20:00:12	87.755186	92.343440	1008	-28.0000	1	268
2020-02-09T22:00:12	87.761440	92.232000	1008	-28.3750	1	238
2020-02-10T00:00:12	87.766640	92.125320	1009	-27.6875	1	236
2020-02-10T02:00:12	87.771373	92.037360	1009	-27.0625	1	240
2020-02-10T04:00:12	87.775733	91.949933	1010	-27.3750	1	223
2020-02-10T06:00:12	87.779840	91.861133	1011	-26.1875	1	235
2020-02-10T08:00:12	87.784013	91.754773	1012	-26.1875	1	247
2020-02-10T10:00:12	87.788426	91.634506	1013	-26.3750	1	247
2020-02-10T12:00:12	87.792613	91.518333	1014	-25.8125	1	263
2020-02-10T14:00:12	87.796160	91.404666	1014	-25.6875	1	236
2020-02-10T16:00:12	87.798960	91.294626	1016	-26.3125	1	272
2020-02-10T18:00:12	87.801466	91.175213	1017	-26.4375	1	222
2020-02-10T20:00:12	87.804453	91.028346	1018	-27.6875	1	250
2020-02-10T22:00:12	87.808280	90.858506	1019	-28.8750	1	222
2020-02-11T00:00:12	87.812533	90.684413	1020	-29.5000	1	222
2020-02-11T02:00:12	87.815986	90.522666	1020	-30.0625	1	231
2020-02-11T04:00:12	87.818560	90.373546	1021	-30.4375	1	214
2020-02-11T06:00:12	87.820400	90.216973	1021	-30.1875	1	231
2020-02-11T08:00:12	87.822213	90.036586	1021	-30.0000	1	237
2020-02-11T10:00:12	87.824426	89.818520	1021	-30.2500	1	238
2020-02-11T12:00:12	87.827280	89.599240	1021	-30.3750	1	229
2020-02-11T14:00:12	87.830320	89.394373	1020	-30.5625	1	220
2020-02-11T16:00:12	87.832666	89.218866	1020	-31.0625	1	224
2020-02-11T18:00:12	87.834586	89.057466	1020	-31.1875	1	227
2020-02-11T20:00:12	87.837306	88.873613	1020	-30.9375	1	245
2020-02-11T22:00:13	87.841733	88.659026	1020	-30.3125	1	237
2020-02-12T00:00:12	87.847360	88.430093	1019	-30.2500	1	224
2020-02-12T02:00:12	87.853373	88.214306	1019	-30.5000	1	241
2020-02-12T04:00:12	87.858106	88.037360	1018	-30.6875	1	229
2020-02-12T06:00:12	87.862333	87.873466	1018	-30.7500	1	204
2020-02-12T08:00:12	87.868213	87.678706	1017	-30.6875	1	223
2020-02-12T10:00:12	87.875173	87.460013	1017	-30.7500	1	228
2020-02-12T12:00:12	87.883706	87.231933	1016	-30.6250	1	234
2020-02-12T14:00:12	87.892560	87.023733	1015	-29.6250	1	232
