/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Cheng, Bin; Hoppmann, Mario; Yuan, Zhuoli (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T73 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940669, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T73, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940680
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC_ICE; Sea ice mass balance; SIMBA; snow; Temperature
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 82.405245 * MEDIAN LONGITUDE: 7.834148 * SOUTH-BOUND LATITUDE: 78.555240 * WEST-BOUND LONGITUDE: -3.032553 * NORTH-BOUND LATITUDE: 84.692080 * EAST-BOUND LONGITUDE: 18.208616
	DATE/TIME START: 2020-04-05T00:00:14 * DATE/TIME END: 2020-08-13T15:30:15
Event(s):	PS122/3_28-91 (2020T73, PRIC_10_01) * LATITUDE START: 84.664489 * LONGITUDE START: 12.899714 * LATITUDE END: 78.559130 * LONGITUDE END: -1.498450 * DATE/TIME START: 2020-04-04T11:12:00 * DATE/TIME END: 2020-08-13T16:00:14 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t73 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068328160; Total failure: 2020-08-13
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	31195 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-05T00:00:14	84.690773	13.035221	1020	-22.6875	0	68	0
2020-04-05T00:30:14	84.689026	13.045113	1020	-22.3125	0	68	0
2020-04-05T01:00:14	84.687360	13.053745	1019	-22.0000	0	70	0
2020-04-05T01:30:14	84.685760	13.062908	1019	-21.6250	0	68	0
2020-04-05T02:00:14	84.684213	13.071660	1019	-21.3125	0	69	0
2020-04-05T02:30:14	84.682733	13.080695	1019	-21.0000	0	69	0
2020-04-05T03:00:15	84.681293	13.090151	1019	-20.8125	0	70	0
2020-04-05T03:30:14	84.679960	13.100448	1018	-20.6875	0	68	0
2020-04-05T04:00:14	84.678626	13.111493	1018	-20.4375	0	68	0
2020-04-05T04:30:14	84.677480	13.123920	1017	-20.5000	0	69	0
2020-04-05T05:00:14	84.676333	13.137806	1017	-20.1250	0	69	0
2020-04-05T05:30:14	84.675200	13.152700	1016	-20.0000	0	69	0
2020-04-05T06:00:14	84.674120	13.167746	1016	-19.8125	0	68	0
2020-04-05T06:30:14	84.673106	13.183558	1016	-19.6875	0	69	0
2020-04-05T07:00:14	84.672146	13.200155	1015	-19.6250	0	69	0
2020-04-05T07:30:15	84.671320	13.217618	1015	-19.3750	0	71	0
2020-04-05T08:00:14	84.670573	13.235960	1015	-19.1875	0	72	0
2020-04-05T08:30:14	84.669786	13.254843	1015	-18.9375	0	69	0
2020-04-05T09:00:14	84.668973	13.274785	1014	-19.0000	0	70	0
2020-04-05T09:30:14	84.668186	13.295440	1014	-18.8125	0	70	0
2020-04-05T10:00:14	84.667400	13.316271	1014	-18.3750	0	69	0
2020-04-05T10:30:14	84.666680	13.338013	1013	-18.3750	0	68	0
2020-04-05T11:00:14	84.666026	13.361018	1013	-18.3125	0	69	0
2020-04-05T11:30:14	84.665400	13.384403	1012	-18.3125	0	71	0
2020-04-05T12:00:15	84.664813	13.407853	1012	-18.3125	0	72	0
2020-04-05T12:30:14	84.664320	13.432728	1011	-18.3125	0	70	0
2020-04-05T13:00:14	84.663840	13.457141	1011	-18.1875	0	69	0
2020-04-05T13:30:14	84.663400	13.482355	1010	-18.2500	0	70	0
2020-04-05T14:00:14	84.662960	13.508215	1010	-18.1250	0	71	0
2020-04-05T14:30:14	84.662453	13.533708	1009	-16.6250	0	72	0
2020-04-05T15:00:14	84.661880	13.558853	1009	-17.1875	0	70	0
2020-04-05T15:30:14	84.661266	13.583685	1008	-17.2500	0	70	0
2020-04-05T16:00:14	84.660546	13.608023	1008	-17.0625	0	70	0
2020-04-05T16:30:14	84.659760	13.631630	1007	-16.9375	0	69	0
2020-04-05T17:00:15	84.658906	13.654815	1007	-16.6875	0	71	0
2020-04-05T17:30:14	84.657960	13.676668	1007	-16.4375	0	71	0
2020-04-05T18:00:14	84.656960	13.698491	1007	-16.3750	0	70	0
2020-04-05T18:30:14	84.655880	13.718786	1006	-16.2500	0	70	0
2020-04-05T19:00:14	84.654786	13.737728	1006	-15.8750	0	72	0
2020-04-05T19:30:14	84.653733	13.755838	1006	-15.8125	0	71	0
2020-04-05T20:00:14	84.652640	13.773915	1006	-15.8125	0	70	0
2020-04-05T20:30:14	84.651573	13.791941	1006	-15.6250	0	71	0
2020-04-05T21:00:14	84.650520	13.810323	1007	-15.8125	0	70	0
2020-04-05T21:30:14	84.649466	13.828925	1007	-16.3125	0	69	0
2020-04-05T22:00:15	84.648373	13.847390	1007	-16.7500	0	71	0
2020-04-05T22:30:14	84.647253	13.865818	1006	-17.4375	0	69	0
2020-04-05T23:00:14	84.646106	13.884558	1007	-17.5625	0	69	0
2020-04-05T23:30:14	84.645000	13.904000	1007	-17.8125	0	69	0
2020-04-06T00:00:14	84.643906	13.923965	1007	-18.0625	0	68	0
2020-04-06T00:30:14	84.642800	13.944080	1007	-18.0625	0	72	0
2020-04-06T01:00:14	84.641746	13.964060	1007	-18.2500	0	69	0
2020-04-06T01:30:14	84.640626	13.984040	1008	-18.4375	0	70	0
2020-04-06T02:00:14	84.639546	14.003466	1008	-18.6250	0	71	0
2020-04-06T02:30:15	84.638466	14.022126	1008	-18.8750	0	70	0
2020-04-06T03:00:14	84.637373	14.039605	1009	-18.8750	0	70	0
2020-04-06T03:30:14	84.636293	14.055695	1009	-18.9375	0	68	0
2020-04-06T04:00:14	84.635280	14.070953	1009	-18.8750	0	68	0
2020-04-06T04:30:14	84.634280	14.085288	1009	-19.1250	0	69	0
2020-04-06T05:00:14	84.633333	14.099118	1010	-19.0625	0	70	0
2020-04-06T05:30:14	84.632426	14.111908	1009	-19.3125	0	70	0
2020-04-06T06:00:14	84.631440	14.124471	1010	-19.1875	0	70	0
2020-04-06T06:30:14	84.630466	14.137473	1009	-19.3750	0	68	0
2020-04-06T07:00:15	84.629493	14.150505	1010	-19.3125	0	70	0
2020-04-06T07:30:14	84.628560	14.163556	1010	-19.3125	0	70	0
2020-04-06T08:00:14	84.627626	14.177313	1010	-19.2500	0	70	0
2020-04-06T08:30:14	84.626573	14.192260	1010	-19.3125	0	71	0
2020-04-06T09:00:14	84.625653	14.207608	1010	-19.3750	0	70	0
2020-04-06T09:30:14	84.624693	14.223233	1010	-19.3750	0	71	0
2020-04-06T10:00:14	84.623746	14.239063	1010	-19.2500	0	72	0
2020-04-06T10:30:14	84.622840	14.254961	1010	-19.1875	0	70	0
2020-04-06T11:00:14	84.621960	14.271310	1010	-19.0625	0	70	0
2020-04-06T11:30:15	84.621093	14.287478	1010	-19.0000	0	71	0
