/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Cheng, Bin; Hoppmann, Mario (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T74 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940681, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T74, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940692
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperature
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 82.456311 * MEDIAN LONGITUDE: 8.641314 * SOUTH-BOUND LATITUDE: 78.670893 * WEST-BOUND LONGITUDE: -2.827585 * NORTH-BOUND LATITUDE: 84.649320 * EAST-BOUND LONGITUDE: 18.917123
	DATE/TIME START: 2020-04-04T12:00:14 * DATE/TIME END: 2020-08-10T10:30:14
Event(s):	PS122/3_28-95 (2020T74, PRIC_10_02) * LATITUDE START: 84.661819 * LONGITUDE START: 12.903809 * LATITUDE END: 78.773460 * LONGITUDE END: -2.493890 * DATE/TIME START: 2020-04-04T11:43:00 * DATE/TIME END: 2020-08-10T11:00:14 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t74 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068225520; Total failure: 2020-08-10
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	30680 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-04T12:00:14	84.649320	13.542446	1025	-16.2500	2	49	0
2020-04-04T12:30:14	84.646746	13.546718	1025	-17.3125	2	44	0
2020-04-04T13:00:14	84.644226	13.551735	1024	-17.8125	2	44	0
2020-04-04T13:30:14	84.641693	13.557115	1024	-18.0000	2	41	0
2020-04-04T14:00:15	84.639320	13.562048	1024	-18.4375	2	42	0
2020-04-04T14:30:14	84.636946	13.567653	1024	-17.5000	2	42	0
2020-04-04T15:00:14	84.634520	13.574250	1023	-18.6875	2	43	0
2020-04-04T15:30:14	84.632026	13.580448	1023	-19.4375	2	37	0
2020-04-04T16:00:14	84.629493	13.586321	1023	-20.1250	3	42	0
2020-04-04T16:30:14	84.626946	13.592321	1023	-20.7500	2	49	0
2020-04-04T17:00:14	84.624333	13.597176	1023	-21.2500	2	42	0
2020-04-04T17:30:14	84.621666	13.601573	1023	-21.5625	2	40	0
2020-04-04T18:00:14	84.619000	13.605853	1022	-22.1875	2	41	0
2020-04-04T18:30:15	84.616360	13.610885	1023	-22.6250	2	34	0
2020-04-04T19:00:14	84.613786	13.616495	1022	-23.1875	2	42	0
2020-04-04T19:30:14	84.611346	13.622605	1022	-23.4375	2	36	0
2020-04-04T20:00:14	84.609000	13.629940	1022	-23.6875	2	42	0
2020-04-04T20:30:14	84.606720	13.638378	1022	-23.6875	2	43	0
2020-04-04T21:00:14	84.604493	13.646518	1022	-23.6250	2	38	0
2020-04-04T21:30:14	84.602386	13.654630	1021	-23.8750	2	37	0
2020-04-04T22:00:14	84.600360	13.662838	1021	-24.1875	2	43	0
2020-04-04T22:30:15	84.598466	13.671571	1021	-24.2500	2	38	0
2020-04-04T23:00:14	84.596586	13.680688	1021	-24.2500	2	42	0
2020-04-04T23:30:14	84.594840	13.689805	1020	-24.6250	2	44	0
2020-04-05T00:00:14	84.593133	13.699406	1020	-24.5625	2	42	0
2020-04-05T00:30:14	84.591426	13.708598	1020	-24.1250	2	44	0
2020-04-05T01:00:14	84.589733	13.716693	1020	-23.3125	2	46	0
2020-04-05T01:30:14	84.588106	13.725298	1019	-22.7500	2	46	0
2020-04-05T02:00:14	84.586560	13.733445	1019	-22.3125	2	40	0
2020-04-05T02:30:15	84.585053	13.741916	1019	-21.8125	2	44	0
2020-04-05T03:00:14	84.583600	13.750975	1018	-21.5625	2	35	0
2020-04-05T03:30:14	84.582280	13.761096	1018	-21.3750	3	43	0
2020-04-05T04:00:14	84.580986	13.772408	1018	-21.0625	2	38	0
2020-04-05T04:30:14	84.579840	13.784553	1017	-21.0000	2	45	0
2020-04-05T05:00:14	84.578626	13.797381	1017	-20.6875	2	39	0
2020-04-05T05:30:14	84.577440	13.810963	1017	-20.4375	2	39	0
2020-04-05T06:00:14	84.576306	13.825028	1016	-20.1875	2	34	0
2020-04-05T06:30:14	84.575266	13.839650	1016	-19.9375	2	39	0
2020-04-05T07:00:15	84.574253	13.855446	1016	-19.8125	2	42	0
2020-04-05T07:30:14	84.573386	13.872095	1016	-19.5625	2	39	0
2020-04-05T08:00:14	84.572586	13.889650	1015	-19.4375	2	43	0
2020-04-05T08:30:14	84.571773	13.907871	1015	-19.1875	2	35	0
2020-04-05T09:00:14	84.570933	13.926901	1014	-19.0000	2	34	0
2020-04-05T09:30:14	84.570120	13.946758	1014	-18.7500	2	47	0
2020-04-05T10:00:14	84.569320	13.966731	1014	-18.5625	2	48	0
2020-04-05T10:30:14	84.568506	13.987298	1013	-18.5000	2	46	0
2020-04-05T11:00:14	84.567840	14.009661	1013	-18.6250	2	41	0
2020-04-05T11:30:15	84.567173	14.032126	1012	-18.5625	2	37	0
2020-04-05T12:00:14	84.566533	14.054860	1012	-18.4375	2	33	0
2020-04-05T12:30:14	84.565986	14.078716	1011	-18.3750	2	38	0
2020-04-05T13:00:14	84.565440	14.102520	1011	-18.3750	2	40	0
2020-04-05T13:30:14	84.564960	14.126953	1010	-18.2500	2	38	0
2020-04-05T14:00:14	84.564440	14.151611	1010	-18.1250	2	39	0
2020-04-05T14:30:14	84.563880	14.176515	1009	-16.4375	2	46	0
2020-04-05T15:00:14	84.563333	14.201395	1009	-17.0625	2	34	0
2020-04-05T15:30:14	84.562666	14.225426	1009	-17.1875	2	48	0
2020-04-05T16:00:15	84.561933	14.249481	1008	-16.9375	2	45	0
2020-04-05T16:30:14	84.561133	14.272878	1008	-16.6875	2	38	0
2020-04-05T17:00:14	84.560280	14.295768	1007	-16.4375	2	42	0
2020-04-05T17:30:14	84.559346	14.317483	1007	-16.2500	2	39	0
2020-04-05T18:00:14	84.558333	14.338991	1007	-15.9375	2	34	0
2020-04-05T18:30:14	84.557253	14.359086	1007	-15.6875	2	43	0
2020-04-05T19:00:14	84.556173	14.378100	1006	-15.7500	2	46	0
2020-04-05T19:30:14	84.555106	14.396210	1007	-15.8125	2	44	0
2020-04-05T20:00:14	84.554053	14.414130	1007	-15.7500	2	41	0
2020-04-05T20:30:14	84.553000	14.432186	1007	-15.6250	2	36	0
2020-04-05T21:00:15	84.551933	14.450573	1007	-15.8750	2	42	0
2020-04-05T21:30:14	84.550893	14.469120	1007	-16.3125	2	40	0
2020-04-05T22:00:14	84.549800	14.487553	1007	-16.6875	2	41	0
2020-04-05T22:30:14	84.548720	14.506221	1007	-17.0000	2	40	0
2020-04-05T23:00:14	84.547573	14.525111	1007	-17.3125	2	34	0
2020-04-05T23:30:14	84.546480	14.544631	1007	-17.6875	2	33	0
