/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Cheng, Bin; Hoppmann, Mario (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T75 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940694, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T75, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940740
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperate
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 82.147916 * MEDIAN LONGITUDE: 7.042828 * SOUTH-BOUND LATITUDE: 78.217786 * WEST-BOUND LONGITUDE: -7.846013 * NORTH-BOUND LATITUDE: 84.063200 * EAST-BOUND LONGITUDE: 18.328690
	DATE/TIME START: 2020-04-23T10:00:14 * DATE/TIME END: 2020-08-07T14:30:14
Event(s):	PS122/3_28-107 (2020T75, PRIC_10_03) * LATITUDE START: 84.075110 * LONGITUDE START: 16.043449 * LATITUDE END: 78.216880 * LONGITUDE END: -7.859690 * DATE/TIME START: 2020-04-23T09:30:00 * DATE/TIME END: 2020-08-07T15:00:14 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t75 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068325170; Deployed at the old Heli Pad next to FMI002 stress sensor; Total failure: 2020-08-07
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	25490 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-23T10:00:14	84.063200	16.019885	1026	0.5625	2	94	0
2020-04-23T10:30:14	84.062613	16.016290	1026	-0.5000	2	95	0
2020-04-23T11:00:14	84.062080	16.013538	1026	-1.3750	2	94	0
2020-04-23T11:30:14	84.061573	16.011496	1026	-2.1250	2	95	0
2020-04-23T12:00:14	84.061120	16.010088	1026	-2.7500	2	95	0
2020-04-23T12:30:14	84.060613	16.008968	1026	-3.2500	2	94	0
2020-04-23T13:00:15	84.060226	16.008825	1026	-3.6250	2	92	0
2020-04-23T13:30:14	84.059933	16.009641	1026	-4.1250	2	93	0
2020-04-23T14:00:14	84.059706	16.011008	1026	-4.6250	2	92	0
2020-04-23T14:30:14	84.059506	16.012728	1026	-5.1875	2	91	0
2020-04-23T15:00:14	84.059320	16.014350	1026	-5.7500	2	91	0
2020-04-23T15:30:14	84.059133	16.015538	1026	-6.1875	2	93	0
2020-04-23T16:00:14	84.058946	16.016420	1026	-6.8125	2	92	0
2020-04-23T16:30:14	84.058760	16.017046	1026	-7.4375	2	93	0
2020-04-23T17:00:14	84.058466	16.017115	1026	-8.0000	2	92	0
2020-04-23T17:30:14	84.058120	16.016456	1026	-8.5000	2	91	0
2020-04-23T18:00:14	84.057720	16.015238	1026	-9.0000	2	91	0
2020-04-23T18:30:14	84.057280	16.013141	1026	-9.5000	2	91	0
2020-04-23T19:00:14	84.056786	16.009916	1026	-9.8750	2	89	0
2020-04-23T19:30:15	84.056293	16.005623	1026	-10.3125	2	91	0
2020-04-23T20:00:14	84.055813	16.000618	1026	-10.7500	2	92	0
2020-04-23T20:30:14	84.055306	15.994978	1026	-11.1875	2	91	0
2020-04-23T21:00:14	84.054800	15.989273	1026	-11.6250	2	88	0
2020-04-23T21:30:14	84.054293	15.983681	1026	-11.8125	2	91	0
2020-04-23T22:00:14	84.053813	15.978218	1026	-12.1250	2	89	0
2020-04-23T22:30:14	84.053320	15.973081	1026	-12.5000	2	89	0
2020-04-23T23:00:14	84.052893	15.968280	1026	-12.7500	2	89	0
2020-04-23T23:30:14	84.052506	15.964371	1026	-12.9375	2	91	0
2020-04-24T00:00:14	84.052146	15.961515	1026	-13.1250	2	89	0
2020-04-24T00:30:14	84.051840	15.959133	1026	-13.0625	2	88	0
2020-04-24T01:00:14	84.051666	15.958515	1026	-12.9375	2	91	0
2020-04-24T01:30:15	84.051560	15.958945	1026	-12.8750	2	88	0
2020-04-24T02:00:14	84.051426	15.958971	1026	-12.7500	2	88	0
2020-04-24T02:30:14	84.051400	15.959938	1026	-12.7500	2	89	0
2020-04-24T03:00:14	84.051426	15.961653	1026	-12.6250	2	88	0
2020-04-24T03:30:14	84.051466	15.963231	1026	-12.4375	2	89	0
2020-04-24T04:00:14	84.051466	15.964475	1026	-12.4375	2	89	0
2020-04-24T04:30:14	84.051453	15.965800	1026	-13.1250	2	89	0
2020-04-24T05:00:14	84.051373	15.966563	1026	-13.3125	2	91	0
2020-04-24T05:30:14	84.051226	15.965691	1026	-13.1250	2	91	0
2020-04-24T06:00:14	84.050973	15.963815	1026	-12.8750	2	87	0
2020-04-24T06:30:14	84.050533	15.960535	1026	-12.5625	2	91	0
2020-04-24T07:00:14	84.049973	15.955798	1025	-11.0000	2	91	0
2020-04-24T07:30:15	84.049333	15.949623	1025	-11.6250	2	91	0
2020-04-24T08:00:14	84.048653	15.942541	1025	-11.8750	2	91	0
2020-04-24T08:30:14	84.048000	15.934998	1025	-11.8125	2	91	0
2020-04-24T09:00:14	84.047213	15.926301	1025	-11.8750	2	91	0
2020-04-24T09:30:14	84.046400	15.917580	1025	-11.8125	2	89	0
2020-04-24T10:00:14	84.045453	15.908445	1026	-11.7500	2	92	0
2020-04-24T10:30:14	84.044560	15.899665	1026	-11.7500	2	91	0
2020-04-24T11:00:14	84.043666	15.891913	1026	-11.7500	2	89	0
2020-04-24T11:30:14	84.042760	15.885030	1026	-11.7500	2	88	0
2020-04-24T12:00:14	84.041813	15.878473	1026	-11.8750	2	89	0
2020-04-24T12:30:14	84.040933	15.872288	1026	-11.8750	2	91	0
2020-04-24T13:00:15	84.039946	15.866485	1025	-11.9375	2	91	0
2020-04-24T13:30:14	84.039013	15.861760	1025	-11.8750	2	88	0
2020-04-24T14:00:14	84.038200	15.857271	1025	-11.8750	2	89	0
2020-04-24T14:30:14	84.037480	15.854148	1025	-11.8750	2	92	0
2020-04-24T15:00:14	84.036746	15.850555	1025	-11.9375	2	92	0
2020-04-24T15:30:14	84.036106	15.846711	1025	-12.0000	2	92	0
2020-04-24T16:00:14	84.035480	15.842781	1025	-12.1875	2	91	0
2020-04-24T16:30:14	84.034880	15.839390	1025	-12.3125	2	89	0
2020-04-24T17:00:14	84.034280	15.836068	1025	-12.5000	2	88	0
2020-04-24T17:30:14	84.033600	15.832058	1024	-12.8125	2	88	0
2020-04-24T18:00:14	84.032746	15.826416	1024	-13.0000	2	89	0
2020-04-24T18:30:15	84.031840	15.820071	1024	-13.1875	2	91	0
2020-04-24T19:00:14	84.030893	15.813110	1024	-13.3125	2	89	0
2020-04-24T19:30:14	84.030040	15.805560	1024	-13.5625	2	89	0
2020-04-24T20:00:14	84.029253	15.796808	1024	-13.8125	2	92	0
2020-04-24T20:30:14	84.028400	15.787598	1023	-13.9375	2	89	0
2020-04-24T21:00:14	84.027533	15.777901	1023	-14.0000	2	89	0
2020-04-24T21:30:14	84.026666	15.767358	1023	-14.0625	2	92	0
2020-04-24T22:00:14	84.025760	15.757361	1023	-14.2500	2	89	0
