/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Hoppmann, Mario; Yuan, Zhuoli (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T76 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940698, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T76, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940702
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperate
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 82.977173 * MEDIAN LONGITUDE: 9.322201 * SOUTH-BOUND LATITUDE: 80.383906 * WEST-BOUND LONGITUDE: -1.158300 * NORTH-BOUND LATITUDE: 84.687560 * EAST-BOUND LONGITUDE: 17.395716
	DATE/TIME START: 2020-04-04T15:00:14 * DATE/TIME END: 2020-07-21T11:00:14
Event(s):	PS122/3_28-94 (2020T76, PRIC_10_04) * LATITUDE START: 84.646426 * LONGITUDE START: 12.936459 * LATITUDE END: 80.381020 * LONGITUDE END: -1.008900 * DATE/TIME START: 2020-04-04T14:47:00 * DATE/TIME END: 2020-07-21T11:30:15 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t76 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068528490; Total failure: 2020-07-21
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	25880 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-04T15:00:14	84.687560	12.305416	1023	-10.5625	4	60	0
2020-04-04T15:30:14	84.685040	12.312308	1023	-14.6250	4	58	0
2020-04-04T16:00:14	84.682520	12.319126	1023	-16.6875	4	64	0
2020-04-04T16:30:14	84.679986	12.325663	1023	-18.0625	4	64	0
2020-04-04T17:00:15	84.677333	12.330700	1023	-18.8750	4	62	0
2020-04-04T17:30:14	84.674626	12.335525	1023	-19.4375	4	60	0
2020-04-04T18:00:14	84.671920	12.340493	1023	-20.1875	4	61	0
2020-04-04T18:30:14	84.669253	12.346033	1023	-20.8125	4	63	0
2020-04-04T19:00:14	84.666693	12.352380	1023	-21.2500	4	62	0
2020-04-04T19:30:14	84.664293	12.359156	1022	-21.8125	4	62	0
2020-04-04T20:00:14	84.662000	12.367490	1022	-22.0625	4	57	0
2020-04-04T20:30:14	84.659760	12.376588	1022	-22.1250	4	58	0
2020-04-04T21:00:15	84.657600	12.385416	1022	-22.5000	4	62	0
2020-04-04T21:30:14	84.655466	12.394228	1021	-22.6875	4	57	0
2020-04-04T22:00:14	84.653440	12.403026	1021	-22.8750	4	63	0
2020-04-04T22:30:14	84.651573	12.412150	1021	-23.0000	4	62	0
2020-04-04T23:00:14	84.649640	12.421788	1021	-23.2500	4	60	0
2020-04-04T23:30:14	84.647880	12.431691	1021	-23.0000	4	59	0
2020-04-05T00:00:14	84.646146	12.442156	1020	-22.6250	4	62	0
2020-04-05T00:30:14	84.644440	12.452020	1020	-22.1875	4	61	0
2020-04-05T01:00:15	84.642786	12.460235	1020	-21.6875	4	64	0
2020-04-05T01:30:14	84.641173	12.469471	1019	-21.2500	4	60	0
2020-04-05T02:00:14	84.639626	12.478053	1019	-21.0000	4	60	0
2020-04-05T02:30:14	84.638120	12.487216	1019	-20.6250	4	60	0
2020-04-05T03:00:14	84.636653	12.496475	1019	-20.5000	4	56	0
2020-04-05T03:30:14	84.635306	12.507098	1018	-20.3125	4	59	0
2020-04-05T04:00:14	84.633973	12.518218	1018	-20.1250	4	63	0
2020-04-05T04:30:14	84.632840	12.530538	1017	-19.9375	4	61	0
2020-04-05T05:00:15	84.631733	12.544121	1017	-19.8125	4	63	0
2020-04-05T05:30:14	84.630613	12.557990	1017	-19.5000	4	62	0
2020-04-05T06:00:14	84.629573	12.572348	1017	-19.3125	4	61	0
2020-04-05T06:30:14	84.628626	12.587225	1016	-19.1875	4	61	0
2020-04-05T07:00:14	84.627680	12.603593	1016	-19.0625	4	62	0
2020-04-05T07:30:14	84.626906	12.621153	1015	-19.0000	4	60	0
2020-04-05T08:00:14	84.626200	12.639335	1015	-18.8750	4	59	0
2020-04-05T08:30:14	84.625453	12.658096	1015	-18.5625	4	61	0
2020-04-05T09:00:15	84.624680	12.677848	1014	-18.4375	4	59	0
2020-04-05T09:30:14	84.623906	12.698593	1014	-18.2500	4	62	0
2020-04-05T10:00:14	84.623173	12.719378	1013	-18.1875	4	59	0
2020-04-05T10:30:14	84.622520	12.741011	1013	-18.1875	4	59	0
2020-04-05T11:00:14	84.621960	12.764230	1013	-18.1250	4	62	0
2020-04-05T11:30:14	84.621386	12.787710	1013	-18.1250	4	59	0
2020-04-05T12:00:14	84.620853	12.811330	1012	-18.0625	4	62	0
2020-04-05T12:30:14	84.620426	12.836130	1011	-18.0625	4	63	0
2020-04-05T13:00:14	84.619933	12.860628	1011	-18.0000	4	62	0
2020-04-05T13:30:15	84.619560	12.886556	1010	-17.8750	4	60	0
2020-04-05T14:00:14	84.619173	12.912303	1010	-17.8125	4	60	0
2020-04-05T14:30:14	84.618720	12.937813	1009	-16.0625	4	66	0
2020-04-05T15:00:14	84.618186	12.962876	1009	-16.5625	4	60	0
2020-04-05T15:30:14	84.617613	12.988090	1008	-16.5625	4	58	0
2020-04-05T16:00:14	84.616946	13.012595	1008	-16.4375	4	59	0
2020-04-05T16:30:14	84.616133	13.036305	1008	-16.1250	4	64	0
2020-04-05T17:00:14	84.615280	13.059503	1007	-16.0625	4	60	0
2020-04-05T17:30:14	84.614373	13.081381	1007	-15.8125	4	61	0
2020-04-05T18:00:15	84.613373	13.103356	1006	-15.5625	4	61	0
2020-04-05T18:32:27	84.612240	13.125030	1006	-15.3125	4	61	0
2020-04-05T19:00:14	84.611253	13.142730	1006	-15.3125	4	60	0
2020-04-05T19:30:14	84.610173	13.161083	1006	-15.3125	4	61	0
2020-04-05T20:00:14	84.609093	13.179286	1006	-15.3750	4	59	0
2020-04-05T20:30:14	84.608026	13.197381	1006	-15.5000	4	58	0
2020-04-05T21:00:14	84.606986	13.216036	1007	-16.0000	4	62	0
2020-04-05T21:30:14	84.605893	13.234741	1007	-16.5000	4	61	0
2020-04-05T22:00:14	84.604813	13.253186	1007	-16.8750	4	62	0
2020-04-05T22:30:14	84.603706	13.271421	1007	-17.1875	4	61	0
2020-04-05T23:00:15	84.602586	13.289870	1007	-17.5000	4	61	0
2020-04-05T23:30:14	84.601480	13.309248	1008	-17.6875	4	58	0
2020-04-06T00:00:14	84.600373	13.329368	1008	-17.9375	4	59	0
2020-04-06T00:30:14	84.599306	13.349155	1008	-18.0000	4	60	0
2020-04-06T01:00:14	84.598240	13.369218	1008	-18.1875	4	58	0
2020-04-06T01:30:14	84.597146	13.388698	1009	-18.2500	4	60	0
2020-04-06T02:00:14	84.596080	13.408203	1009	-18.6250	4	58	0
2020-04-06T02:30:14	84.595000	13.426901	1009	-18.6250	4	65	0
2020-04-06T03:00:14	84.593946	13.444341	1009	-18.8125	4	61	0
2020-04-06T03:30:15	84.592906	13.460566	1009	-19.0000	4	61	0
2020-04-06T04:00:14	84.591906	13.475656	1010	-19.0625	4	62	0
2020-04-06T04:30:14	84.590973	13.489795	1010	-19.2500	4	59	0
2020-04-06T05:00:14	84.590066	13.503310	1010	-19.3125	4	61	0
2020-04-06T05:30:14	84.589173	13.515950	1010	-19.2500	4	61	0
2020-04-06T06:00:14	84.588226	13.528183	1010	-19.3750	4	61	0
2020-04-06T06:30:14	84.587306	13.540591	1010	-19.5625	4	59	0
2020-04-06T07:00:14	84.586346	13.553026	1010	-19.5000	4	59	0
2020-04-06T07:30:14	84.585413	13.565958	1010	-19.4375	4	64	0
2020-04-06T08:00:15	84.584520	13.579426	1010	-19.5000	4	63	0
2020-04-06T08:30:14	84.583493	13.594366	1011	-19.4375	4	61	0
2020-04-06T09:00:14	84.582573	13.609770	1011	-19.5000	4	63	0
2020-04-06T09:30:14	84.581613	13.625706	1011	-19.4375	4	63	0
2020-04-06T10:00:14	84.580680	13.641670	1011	-19.1250	4	62	0
2020-04-06T10:30:14	84.579773	13.657846	1011	-18.9375	4	64	0
2020-04-06T11:00:14	84.578880	13.674740	1010	-18.9375	4	61	0
2020-04-06T11:30:14	84.578013	13.691315	1011	-18.7500	4	61	0
2020-04-06T12:00:15	84.577160	13.707410	1010	-18.8125	4	63	0
2020-04-06T12:30:14	84.576346	13.723080	1011	-18.6250	4	61	0
2020-04-06T13:00:14	84.575533	13.738171	1010	-18.6250	4	60	0
2020-04-06T13:30:14	84.574706	13.752708	1010	-18.6875	4	62	0
2020-04-06T14:00:14	84.573893	13.766571	1010	-18.6250	4	59	0
2020-04-06T14:30:14	84.573026	13.779898	1010	-16.8750	4	61	0
2020-04-06T15:00:14	84.572146	13.792340	1010	-17.6250	4	61	0
2020-04-06T15:30:14	84.571213	13.803603	1010	-18.0000	4	62	0
2020-04-06T16:00:14	84.570213	13.813405	1010	-18.2500	4	64	0
2020-04-06T16:30:15	84.569173	13.821631	1010	-18.5000	4	59	0
2020-04-06T17:00:14	84.568013	13.828580	1010	-18.7500	4	62	0
2020-04-06T17:30:14	84.566826	13.834360	1010	-18.8750	4	62	0
2020-04-06T18:00:14	84.565626	13.839143	1010	-19.2500	4	60	0
2020-04-06T18:30:14	84.564426	13.842981	1010	-19.8750	4	62	0
2020-04-06T19:00:14	84.563186	13.846288	1010	-20.5625	4	65	0
2020-04-06T19:30:14	84.562000	13.848803	1010	-21.1250	4	62	0
2020-04-06T20:00:14	84.560813	13.850520	1011	-21.6875	4	61	0
2020-04-06T20:30:15	84.559613	13.851800	1011	-22.0000	4	60	0
2020-04-06T21:00:14	84.558466	13.853373	1011	-22.3750	4	60	0
2020-04-06T21:30:14	84.557306	13.854578	1011	-22.4375	4	57	0
2020-04-06T22:00:14	84.556213	13.855916	1011	-22.1875	4	59	0
2020-04-06T22:30:14	84.555160	13.858055	1011	-22.3125	4	58	0
