/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Hoppmann, Mario; Yuan, Zhuoli (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T77 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940704, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T77, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940749
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperature
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 83.463378 * MEDIAN LONGITUDE: 11.724195 * SOUTH-BOUND LATITUDE: 81.912186 * WEST-BOUND LONGITUDE: 7.259276 * NORTH-BOUND LATITUDE: 84.585826 * EAST-BOUND LONGITUDE: 18.130823
	DATE/TIME START: 2020-04-04T12:00:14 * DATE/TIME END: 2020-06-22T07:30:14
Event(s):	PS122/3_28-93 (2020T77, PRIC_10_05) * LATITUDE START: 84.664489 * LONGITUDE START: 12.899714 * LATITUDE END: 81.928200 * LONGITUDE END: 8.932500 * DATE/TIME START: 2020-04-04T11:12:00 * DATE/TIME END: 2020-06-22T08:00:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t77 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068524740; Total failure: 2020-06-22
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	18920 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-04T12:00:14	84.585826	12.674380	1025	-13.1875	1	130	0
2020-04-04T12:30:14	84.583240	12.679133	1025	-14.7500	1	129	0
2020-04-04T13:00:14	84.580680	12.684721	1024	-15.6250	1	130	0
2020-04-04T13:30:14	84.578146	12.690816	1024	-16.1875	1	132	0
2020-04-04T14:00:14	84.575800	12.696175	1024	-16.9375	1	137	0
2020-04-04T14:30:15	84.573440	12.702815	1024	-17.5625	1	125	0
2020-04-04T15:00:14	84.571026	12.709855	1024	-18.1875	1	135	0
2020-04-04T15:30:14	84.568506	12.716580	1024	-18.7500	1	135	0
2020-04-04T16:00:14	84.565986	12.722865	1024	-19.2500	1	140	0
2020-04-04T16:30:14	84.563426	12.729390	1024	-19.7500	1	135	0
2020-04-04T17:00:14	84.560773	12.734833	1024	-20.2500	1	137	0
2020-04-04T17:30:14	84.558106	12.739761	1024	-20.7500	1	137	0
2020-04-04T18:00:14	84.555413	12.744665	1023	-21.2500	1	140	0
2020-04-04T18:30:14	84.552773	12.750168	1023	-21.8125	1	137	0
2020-04-04T19:00:14	84.550213	12.756041	1023	-22.3125	1	144	0
2020-04-04T19:30:14	84.547786	12.762238	1023	-22.6875	1	145	0
2020-04-04T20:00:15	84.545480	12.769740	1023	-23.1875	1	142	0
2020-04-04T20:30:14	84.543240	12.778398	1022	-23.3750	1	139	0
2020-04-04T21:00:14	84.541026	12.786611	1022	-23.5000	1	141	0
2020-04-04T21:30:14	84.539026	12.795130	1022	-23.6875	1	141	0
2020-04-04T22:00:14	84.537026	12.803448	1022	-23.8750	1	143	0
2020-04-04T22:30:14	84.535160	12.812321	1021	-24.0000	1	139	0
2020-04-04T23:00:14	84.533333	12.821420	1021	-24.0625	1	146	0
2020-04-04T23:30:14	84.531626	12.830500	1021	-24.2500	1	148	0
2020-04-05T00:00:14	84.529960	12.839648	1021	-24.1250	1	144	0
2020-04-05T00:30:15	84.528306	12.848323	1021	-23.8750	1	139	0
2020-04-05T01:00:14	84.526666	12.856111	1020	-23.5000	1	144	0
2020-04-05T01:30:14	84.525093	12.863853	1020	-23.0625	1	137	0
2020-04-05T02:00:14	84.523546	12.871685	1020	-22.7500	1	146	0
2020-04-05T02:30:14	84.522066	12.879500	1019	-22.3125	1	143	0
2020-04-05T03:00:14	84.520666	12.887673	1019	-22.0000	1	141	0
2020-04-05T03:30:14	84.519333	12.897473	1019	-21.7500	1	136	0
2020-04-05T04:00:14	84.518053	12.908005	1018	-21.4375	1	145	0
2020-04-05T04:30:14	84.516933	12.919773	1018	-21.3125	1	147	0
2020-04-05T05:00:14	84.515840	12.931885	1018	-21.0000	1	142	0
2020-04-05T05:30:15	84.514773	12.943670	1017	-20.7500	1	142	0
2020-04-05T06:00:14	84.513800	12.955788	1017	-20.5625	1	137	0
2020-04-05T06:30:14	84.512853	12.969350	1017	-20.3125	1	143	0
2020-04-05T07:00:14	84.511920	12.984668	1016	-20.1875	1	139	0
2020-04-05T07:30:14	84.511080	13.001143	1016	-19.9375	1	137	0
2020-04-05T08:00:14	84.510346	13.018455	1015	-19.8125	1	140	0
2020-04-05T08:30:14	84.509600	13.036421	1015	-19.5625	1	141	0
2020-04-05T09:00:14	84.508800	13.055235	1014	-17.6875	1	137	0
2020-04-05T09:30:14	84.508053	13.074675	1014	-18.2500	1	136	0
2020-04-05T10:00:14	84.507293	13.094836	1014	-18.4375	1	138	0
2020-04-05T10:30:14	84.506626	13.116043	1013	-18.6250	1	135	0
2020-04-05T11:00:15	84.506026	13.138370	1013	-18.6875	1	134	0
2020-04-05T11:30:14	84.505453	13.161310	1013	-18.6875	1	136	0
2020-04-05T12:00:14	84.504893	13.184441	1012	-18.6250	1	137	0
2020-04-05T12:30:14	84.504453	13.208618	1012	-18.6250	1	138	0
2020-04-05T13:00:14	84.503973	13.232478	1011	-18.6875	1	136	0
2020-04-05T13:30:14	84.503560	13.257690	1011	-18.5625	1	137	0
2020-04-05T14:00:14	84.503160	13.283030	1010	-18.4375	1	139	0
2020-04-05T14:30:14	84.502666	13.308035	1009	-18.2500	1	130	0
2020-04-05T15:00:14	84.502093	13.332605	1009	-18.0625	1	135	0
2020-04-05T15:30:14	84.501533	13.357623	1009	-17.8125	1	138	0
2020-04-05T16:00:14	84.500866	13.381701	1008	-17.5000	1	136	0
2020-04-05T16:30:15	84.500080	13.405105	1008	-17.1250	1	137	0
2020-04-05T17:00:14	84.499240	13.428040	1008	-16.8750	1	137	0
2020-04-05T17:30:14	84.498306	13.449776	1008	-16.6875	1	132	0
2020-04-05T18:00:14	84.497320	13.471356	1007	-16.3750	1	137	0
2020-04-05T18:30:14	84.496253	13.491648	1007	-16.1250	1	137	0
2020-04-05T19:00:14	84.495186	13.510766	1007	-16.0625	1	132	0
2020-04-05T19:30:14	84.494120	13.529155	1007	-15.9375	1	130	0
2020-04-05T20:00:14	84.493066	13.547316	1007	-15.8125	1	139	0
2020-04-05T20:30:14	84.491973	13.565430	1007	-15.6875	1	138	0
2020-04-05T21:00:14	84.490920	13.584000	1007	-15.6250	1	127	0
2020-04-05T21:30:14	84.489866	13.602905	1007	-15.9375	1	138	0
2020-04-05T22:00:14	84.488773	13.621620	1008	-16.4375	1	136	0
2020-04-05T22:30:15	84.487666	13.640216	1008	-16.7500	1	133	0
2020-04-05T23:00:14	84.486573	13.659170	1008	-17.2500	1	138	0
2020-04-05T23:30:14	84.485480	13.678878	1008	-17.4375	1	134	0
2020-04-06T00:00:14	84.484373	13.699016	1008	-17.8125	1	132	0
2020-04-06T00:30:14	84.483306	13.718973	1008	-17.9375	1	143	0
2020-04-06T01:00:14	84.482226	13.739130	1009	-18.0000	1	138	0
2020-04-06T01:30:14	84.481186	13.758791	1009	-18.1250	1	134	0
2020-04-06T02:00:14	84.480106	13.778338	1009	-18.4375	1	137	0
2020-04-06T02:30:14	84.479040	13.797145	1009	-18.6250	1	137	0
2020-04-06T03:00:14	84.478000	13.814471	1009	-18.5625	1	138	0
2020-04-06T03:30:14	84.476933	13.830560	1010	-18.6250	1	138	0
2020-04-06T04:00:15	84.475946	13.845516	1010	-18.6875	1	133	0
2020-04-06T04:30:14	84.474986	13.858851	1010	-18.7500	1	135	0
2020-04-06T05:00:14	84.474093	13.871738	1010	-18.8750	1	138	0
2020-04-06T05:30:14	84.473200	13.883788	1010	-19.0000	1	138	0
2020-04-06T06:00:14	84.472213	13.895411	1010	-19.1875	1	138	0
2020-04-06T06:30:14	84.471240	13.906916	1010	-19.3750	1	136	0
2020-04-06T07:00:14	84.470293	13.918826	1010	-19.5625	1	137	0
2020-04-06T07:30:14	84.469373	13.931101	1010	-19.5000	1	138	0
2020-04-06T08:00:14	84.468440	13.944075	1010	-19.5000	1	138	0
2020-04-06T08:30:14	84.467386	13.958370	1011	-19.5625	1	141	0
2020-04-06T09:00:14	84.466453	13.973401	1011	-18.0000	1	139	0
2020-04-06T09:30:15	84.465506	13.988971	1011	-18.4375	1	130	0
2020-04-06T10:00:14	84.464573	14.005030	1011	-18.5625	1	137	0
2020-04-06T10:30:14	84.463653	14.021421	1011	-18.7500	1	139	0
2020-04-06T11:00:14	84.462773	14.038110	1011	-18.7500	1	144	0
2020-04-06T11:30:14	84.461933	14.054541	1011	-18.8125	1	141	0
2020-04-06T12:00:14	84.461080	14.070830	1011	-18.7500	1	137	0
2020-04-06T12:30:14	84.460266	14.086631	1011	-18.7500	1	134	0
2020-04-06T13:00:14	84.459440	14.101858	1011	-18.8750	1	135	0
2020-04-06T13:30:14	84.458640	14.116585	1011	-18.8125	1	133	0
2020-04-06T14:00:14	84.457826	14.130660	1010	-18.8125	1	136	0
2020-04-06T14:30:14	84.456960	14.144191	1011	-18.6250	1	136	0
2020-04-06T15:00:15	84.456106	14.157080	1010	-18.4375	1	137	0
2020-04-06T15:30:14	84.455173	14.168578	1011	-18.5625	1	138	0
2020-04-06T16:00:14	84.454186	14.178528	1011	-18.5000	1	137	0
2020-04-06T16:30:14	84.453146	14.187010	1010	-18.5000	1	134	0
2020-04-06T17:00:14	84.452000	14.194333	1010	-18.6250	1	139	0
2020-04-06T17:30:14	84.450840	14.200506	1010	-18.8125	1	136	0
2020-04-06T18:00:14	84.449640	14.205596	1010	-19.0000	1	132	0
2020-04-06T18:30:14	84.448453	14.209695	1010	-19.2500	1	132	0
2020-04-06T19:00:14	84.447200	14.213261	1010	-19.5000	1	134	0
2020-04-06T19:30:14	84.446040	14.215881	1011	-20.1875	1	141	0
2020-04-06T20:00:14	84.444853	14.217928	1011	-20.8750	1	140	0
2020-04-06T20:30:15	84.443680	14.219643	1011	-21.5000	1	134	0
2020-04-06T21:00:14	84.442533	14.221456	1011	-22.0000	1	143	0
2020-04-06T21:30:14	84.441400	14.223111	1011	-22.1250	1	137	0
2020-04-06T22:00:14	84.440320	14.224930	1011	-22.2500	1	144	0
2020-04-06T22:30:14	84.439280	14.227396	1011	-22.1875	1	137	0
2020-04-06T23:00:14	84.438253	14.230888	1011	-22.2500	1	138	0
2020-04-06T23:30:14	84.437293	14.235556	1012	-22.2500	1	143	0
2020-04-07T00:00:14	84.436426	14.241140	1012	-22.6250	1	141	0
2020-04-07T00:30:14	84.435640	14.247023	1012	-22.7500	1	138	0
2020-04-07T01:00:14	84.435000	14.253346	1012	-22.7500	1	141	0
2020-04-07T01:30:15	84.434453	14.259846	1012	-22.8125	1	141	0
2020-04-07T02:00:14	84.433986	14.266018	1012	-22.8750	1	143	0
2020-04-07T02:30:14	84.433613	14.272545	1012	-23.2500	1	145	0
2020-04-07T03:00:14	84.433320	14.279018	1012	-23.8750	1	148	0
2020-04-07T03:30:14	84.433040	14.284783	1012	-24.4375	1	138	0
2020-04-07T04:00:14	84.432760	14.290381	1012	-25.2500	1	145	0
2020-04-07T04:30:14	84.432493	14.294386	1012	-25.8125	1	143	0
2020-04-07T05:00:14	84.432213	14.297425	1012	-26.1250	1	144	0
2020-04-07T05:30:14	84.431840	14.298866	1011	-26.3125	1	143	0
