/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Hutchings, Jennifer K; Hoppmann, Mario; Yuan, Zhuoli (2022): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T79 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.940708, 
	In: Lei, R et al. (2022): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T79, deployed during MOSAiC 2019/20 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.940712
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; MOSAiC-ICE; Sea ice mass balance; SIMBA; snow; Temperature
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 82.531019 * MEDIAN LONGITUDE: 8.438192 * SOUTH-BOUND LATITUDE: 78.830600 * WEST-BOUND LONGITUDE: -2.582776 * NORTH-BOUND LATITUDE: 84.604480 * EAST-BOUND LONGITUDE: 18.351513
	DATE/TIME START: 2020-04-16T12:00:14 * DATE/TIME END: 2020-07-31T15:00:14
Event(s):	PS122/3_28-92 (2020T79, PRIC_10_07) * LATITUDE START: 84.324712 * LONGITUDE START: 13.106860 * LATITUDE END: 78.847760 * LONGITUDE END: -2.066130 * DATE/TIME START: 2020-04-16T10:00:00 * DATE/TIME END: 2020-07-31T17:48:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t79 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068527600; Recovery: PS122/4_43-155
	PS122/4_43-155 (2020T79) * LATITUDE: 78.847761 * LONGITUDE: -2.066137 * DATE/TIME: 2020-07-31T17:48:00 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t79 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/4 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: Recovery
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels) * Processing Level: PANGAEA data processing level 2 (URI: https://wiki.pangaea.de/wiki/Processing_levels#PANGAEA_data_processing_level_2)
Size:	25445 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-04-16T12:00:14	84.333253	13.088590	994	-2.3125	4	59	0
2020-04-16T12:30:14	84.335826	13.087398	994	-0.5625	4	59	0
2020-04-16T13:00:15	84.338333	13.087015	994	-1.3750	4	58	0
2020-04-16T13:30:14	84.340840	13.087023	994	-1.8125	4	58	0
2020-04-16T14:00:14	84.343280	13.087131	994	-1.9375	4	59	0
2020-04-16T14:30:14	84.345693	13.087400	994	-2.0625	4	58	0
2020-04-16T15:00:14	84.348080	13.087418	994	-2.2500	4	59	0
2020-04-16T15:30:14	84.350413	13.088073	994	-2.0625	4	58	0
2020-04-16T16:00:14	84.352853	13.089695	994	-2.0000	4	58	0
2020-04-16T16:30:14	84.355413	13.092205	994	-2.1875	4	58	0
2020-04-16T17:00:14	84.358186	13.096638	994	-2.3750	4	58	0
2020-04-16T17:30:14	84.361053	13.103798	994	-2.3750	4	58	0
2020-04-16T18:00:14	84.363986	13.113310	994	-2.4375	4	59	0
2020-04-16T18:30:14	84.366760	13.123325	995	-2.2500	4	58	0
2020-04-16T19:00:14	84.369680	13.136756	995	-2.3125	4	59	0
2020-04-16T19:30:15	84.372693	13.153358	995	-2.1875	4	59	0
2020-04-16T20:00:14	84.375720	13.170946	995	-2.1250	4	59	0
2020-04-16T20:30:14	84.378680	13.189850	996	-2.6875	4	58	0
2020-04-16T21:00:14	84.381546	13.209845	997	-3.5625	4	58	0
2020-04-16T21:30:14	84.384306	13.230481	997	-4.8125	4	58	0
2020-04-16T22:00:14	84.387026	13.252055	998	-6.5000	4	59	0
2020-04-16T22:30:14	84.389653	13.274558	999	-7.7500	4	58	0
2020-04-16T23:00:14	84.392306	13.297510	999	-8.4375	4	59	0
2020-04-16T23:30:14	84.394840	13.319765	1000	-8.9375	3	57	0
2020-04-17T00:00:14	84.397226	13.343030	1001	-9.1875	3	59	0
2020-04-17T00:30:14	84.399546	13.366863	1001	-9.3750	3	58	0
2020-04-17T01:00:14	84.401693	13.391436	1002	-9.6875	4	59	0
2020-04-17T01:30:15	84.403546	13.419091	1002	-10.0625	4	59	0
2020-04-17T02:00:14	84.405093	13.447486	1003	-10.2500	4	59	0
2020-04-17T02:30:14	84.406440	13.475703	1004	-10.5000	4	57	0
2020-04-17T03:00:14	84.407760	13.502850	1004	-10.7500	4	58	0
2020-04-17T03:30:14	84.408653	13.528320	1005	-10.8750	3	58	0
2020-04-17T04:00:14	84.409320	13.551033	1006	-11.1875	4	56	0
2020-04-17T04:30:14	84.409760	13.571041	1007	-11.7500	4	57	0
2020-04-17T05:00:14	84.410026	13.589785	1007	-12.2500	3	58	0
2020-04-17T05:30:14	84.410133	13.607308	1008	-12.6250	3	57	0
2020-04-17T06:00:14	84.410120	13.623148	1009	-12.8125	4	57	0
2020-04-17T06:30:14	84.409973	13.636630	1009	-12.8125	4	57	0
2020-04-17T07:00:15	84.409813	13.647808	1010	-12.8750	4	58	0
2020-04-17T07:30:14	84.409706	13.657091	1010	-12.8125	3	57	0
2020-04-17T08:00:14	84.409680	13.664445	1011	-12.8125	3	58	0
2020-04-17T08:30:14	84.409813	13.670108	1011	-12.6250	3	58	0
2020-04-17T09:00:14	84.410120	13.674435	1011	-12.3750	3	59	0
2020-04-17T09:30:14	84.410573	13.677375	1012	-12.1250	4	58	0
2020-04-17T10:00:14	84.411213	13.679276	1012	-12.5625	3	57	0
2020-04-17T10:30:14	84.411973	13.680496	1012	-13.2500	3	58	0
2020-04-17T11:00:14	84.412826	13.682208	1013	-13.5625	4	56	0
2020-04-17T11:30:14	84.413746	13.684553	1013	-12.8750	4	57	0
2020-04-17T12:00:15	84.414680	13.686818	1013	-12.1250	3	58	0
2020-04-17T12:30:14	84.415826	13.692128	1013	-9.9375	3	57	0
2020-04-17T13:00:14	84.417173	13.702186	1013	-10.6875	3	57	0
2020-04-17T13:30:14	84.418506	13.712621	1013	-10.8750	3	57	0
2020-04-17T14:00:14	84.419760	13.722416	1013	-11.0625	3	57	0
2020-04-17T14:30:14	84.421040	13.731091	1013	-11.3750	3	57	0
2020-04-17T15:00:14	84.422106	13.739008	1013	-11.3750	3	58	0
2020-04-17T15:30:14	84.422960	13.745975	1012	-11.4375	3	58	0
2020-04-17T16:00:14	84.423733	13.748798	1012	-11.6250	3	57	0
2020-04-17T16:30:14	84.424253	13.750411	1012	-11.9375	3	59	0
2020-04-17T17:00:14	84.424653	13.751475	1012	-12.1875	3	58	0
2020-04-17T17:30:15	84.424973	13.753033	1012	-12.5000	3	57	0
2020-04-17T18:00:14	84.425200	13.755143	1012	-12.8750	3	59	0
2020-04-17T18:30:14	84.425533	13.756381	1012	-13.0625	3	58	0
2020-04-17T19:00:14	84.425880	13.757660	1012	-13.4375	3	58	0
2020-04-17T19:30:14	84.426200	13.758968	1012	-13.8125	3	57	0
2020-04-17T20:00:14	84.426573	13.760155	1011	-14.3125	3	58	0
2020-04-17T20:30:14	84.426973	13.761050	1011	-14.6250	3	58	0
2020-04-17T21:00:14	84.427413	13.761781	1011	-14.8125	3	57	0
2020-04-18T00:30:14	84.433213	13.766756	1008	-12.5000	3	58	0
2020-04-18T01:00:14	84.434386	13.768850	1008	-12.3125	3	57	0
2020-04-18T01:30:14	84.435573	13.771106	1008	-12.1250	3	57	0
2020-04-18T02:00:14	84.436813	13.773443	1008	-11.9375	3	58	0
2020-04-18T02:30:14	84.438053	13.776238	1007	-11.6875	3	58	0
2020-04-18T03:00:14	84.439306	13.779325	1007	-11.3125	3	57	0
2020-04-18T03:30:14	84.440560	13.782585	1006	-10.8125	3	58	0
2020-04-18T04:00:15	84.441813	13.786348	1006	-10.3125	3	58	0
2020-04-18T04:30:14	84.443066	13.790315	1006	-9.9375	3	58	0
2020-04-18T05:00:14	84.444320	13.794330	1006	-9.5625	3	58	0
2020-04-18T05:30:14	84.445600	13.798395	1005	-9.3750	3	59	0
2020-04-18T06:00:14	84.446880	13.802695	1005	-9.0625	3	59	0
