/* DATA DESCRIPTION:
Citation:	Lei, Ruibo; Cheng, Bin; Hoppmann, Mario; Nicolaus, Marcel; Regnery, Julia (2023): Auxiliary data from SIMBA-type sea ice mass balance buoy 2020T85 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.958445, 
	In: Lei, R et al. (2023): Temperature and heating induced temperature difference measurements from SIMBA-type sea ice mass balance buoy 2020T85, deployed during MOSAiC 2020/21 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.958443
Abstract:	Geographic position, barometric pressure, tilt and compass.
Keyword(s):	Arctic Ocean; mass balance; MOSAiC-ICE; Sea ice; SIMBA; Temperature
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: https://www.awi.de/), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
	National Key Research and Development Program of China, grant/award no. 2018YFA0605903
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41722605
	National Natural Science Foundation of China (NSFC) (URI: http://www.nsfc.gov.cn/publish/portal1/), grant/award no. 41976219
Coverage:	MEDIAN LATITUDE: 86.112031 * MEDIAN LONGITUDE: 17.127462 * SOUTH-BOUND LATITUDE: 75.427000 * WEST-BOUND LONGITUDE: -28.961966 * NORTH-BOUND LATITUDE: 89.596066 * EAST-BOUND LONGITUDE: 111.976560
	DATE/TIME START: 2020-09-17T13:58:00 * DATE/TIME END: 2021-07-09T11:00:00
Event(s):	PS122/5_58-170 (2020T85, PRIC_09_06) * LATITUDE START: 89.138902 * LONGITUDE START: 110.402976 * LATITUDE END: 75.490610 * LONGITUDE END: -10.496680 * DATE/TIME START: 2020-09-19T11:15:00 * DATE/TIME END: 2021-07-09T12:00:29 * Sensor URI: https://sensor.awi.de/?urn=buoy:2020t85 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/5 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/) * COMMENT: IRIDIUM number 300234068704730; Deployed in ridge close to iBOB/AZFP; Total failure 2021-07-09
Comment:	The data set has been processed and contains quality flags for different kinds for erroneous data. Flag values are the sum of individual error codes. The value of 0 refers to no error. Quality flag, position: The geographic position is flagged +1 if the drift velocity, as derived from the GPS longitude and latitude, exceeds a threshold of 10 deg latitude or 50 deg longitude per time step; +2 if the position exceeds extreme values, such as longitude > 360 deg; +4 if the position is exactly 0.0.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LATITUDE (Latitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	LONGITUDE (Longitude) * GEOCODE * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Pressure, atmospheric [hPa] (PPPP) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Temperature, air [°C] (TTT) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Tilt angle [deg] (Tilt) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Compass bearing [deg] (Compass bearing) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn) * METHOD/DEVICE: SAMS Ice Mass Balance buoy (SIMBA) (URI: https://www.sams-enterprise.com/services/autonomous-ice-measurement---old/)
	Quality flag, position (QF pos) * PI: Lei, Ruibo (https://orcid.org/0000-0001-8525-8622, leiruibo@pric.org.cn)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	26310 data points
*/
Date/Time	Latitude	Longitude	PPPP [hPa]	TTT [°C]	Tilt [deg]	Compass bearing [deg]	QF pos
2020-09-17T13:58	89.022733	106.905746	1015	-0.8750	4	133	0
2020-09-17T14:00	89.022800	106.903733	1014	-0.6875	3	134	0
2020-09-17T15:00	89.026373	106.935093	1014	-3.8750	4	129	0
2020-09-17T15:30	89.028040	106.974573	1014	-4.5000	4	133	0
2020-09-17T16:00	89.029666	107.036053	1014	-4.8750	4	135	0
2020-09-17T16:30	89.031133	107.106626	1014	-5.0625	3	138	0
2020-09-17T17:00	89.032440	107.181186	1014	-5.1250	2	135	0
2020-09-17T17:30	89.033426	107.263800	1014	-5.3125	6	133	0
2020-09-17T18:00	89.034280	107.341720	1014	-5.3125	0	139	0
2020-09-17T18:30	89.034906	107.401613	1014	-5.5000	2	135	0
2020-09-17T19:00	89.035453	107.449173	1014	-5.6875	5	127	0
2020-09-17T19:30	89.035853	107.483186	1015	-5.7500	3	139	0
2020-09-17T20:00	89.036133	107.502826	1015	-5.8750	3	133	0
2020-09-17T20:30	89.036373	107.497906	1015	-5.9375	5	130	0
2020-09-17T21:00	89.036813	107.476533	1015	-6.0625	5	132	0
2020-09-17T21:30	89.037386	107.438200	1015	-6.2500	4	134	0
2020-09-17T22:00	89.038200	107.389373	1015	-6.5625	3	138	0
2020-09-17T22:30	89.039280	107.328773	1015	-6.9375	4	130	0
2020-09-17T23:00	89.040533	107.265053	1014	-7.2500	7	120	0
2020-09-17T23:30	89.042093	107.196333	1015	-7.3750	3	136	0
2020-09-18T00:00	89.043893	107.130653	1014	-7.3125	3	135	0
2020-09-18T00:30	89.045946	107.076386	1014	-7.4375	5	131	0
2020-09-18T01:00	89.048240	107.032880	1014	-7.3750	4	137	0
2020-09-18T01:30	89.050666	107.005666	1014	-7.5625	2	133	0
2020-09-18T02:00	89.053080	106.995866	1014	-7.6250	3	130	0
2020-09-18T02:30	89.055506	107.005133	1014	-7.8125	4	132	0
2020-09-18T03:00	89.057866	107.020786	1014	-7.8750	3	132	0
2020-09-18T03:30	89.060106	107.051520	1014	-7.8125	4	130	0
2020-09-18T04:00	89.062226	107.089813	1013	-7.4375	3	135	0
2020-09-18T04:30	89.063986	107.142453	1014	-7.6875	7	77	0
2020-09-18T05:00	89.063666	107.249253	1014	-7.8125	6	103	0
2020-09-18T05:30	89.066026	107.204280	1014	-8.2500	3	128	0
2020-09-18T06:00	89.065320	107.246666	1014	-8.4375	6	199	0
2020-09-18T06:30	89.068213	107.249773	1014	-8.6250	11	260	0
2020-09-18T07:00	89.068880	107.272280	1014	-8.7500	11	254	0
2020-09-18T07:30	89.069400	107.275160	1013	-8.8125	11	254	0
2020-09-18T08:00	89.069786	107.256880	1013	-9.0625	11	261	0
2020-09-18T08:30	89.070146	107.216133	1013	-9.0625	11	255	0
2020-09-18T09:00	89.070666	107.157160	1013	-8.8750	11	261	0
2020-09-18T09:30	89.071413	107.083413	1013	-8.7500	11	257	0
2020-09-18T10:00	89.072493	106.999680	1013	-8.3750	11	253	0
2020-09-18T10:30	89.071893	106.953493	1013	-8.3750	13	249	0
2020-09-18T11:00	89.075533	106.825066	1013	-8.3125	12	251	0
2020-09-18T11:30	89.075960	106.879120	1013	-8.1875	9	126	0
2020-09-18T12:00	89.078106	106.813880	1012	-8.1875	4	109	0
2020-09-18T12:30	89.082426	106.729400	1011	-8.1250	5	121	0
2020-09-18T13:00	89.085000	106.685600	1011	-8.0000	3	119	0
2020-09-18T13:30	89.087706	106.679080	1011	-8.0625	5	109	0
2020-09-18T14:00	89.090426	106.695506	1011	-8.0000	1	117	0
2020-09-18T14:30	89.093053	106.732893	1011	-8.0000	0	115	0
2020-09-18T15:00	89.095666	106.795146	1011	-8.0625	2	115	0
2020-09-18T15:30	89.098093	106.876466	1011	-8.0625	1	111	0
2020-09-18T16:00	89.100320	106.964746	1010	-8.1250	0	117	0
2020-09-18T16:30	89.102133	107.056960	1010	-8.5000	1	120	0
2020-09-18T17:00	89.103613	107.152146	1010	-9.0000	1	112	0
2020-09-18T17:30	89.104626	107.240360	1010	-9.3125	2	114	0
2020-09-18T18:00	89.105320	107.327226	1010	-9.6250	2	119	0
2020-09-18T18:30	89.105906	107.404120	1010	-9.9375	5	113	0
2020-09-18T19:00	89.106493	107.471466	1009	-10.1875	1	112	0
2020-09-18T19:30	89.107306	107.524533	1009	-10.0000	2	104	0
2020-09-18T20:00	89.108280	107.552293	1009	-9.5625	2	116	0
2020-09-18T20:30	89.109306	107.565426	1009	-9.1250	2	113	0
2020-09-18T21:00	89.110533	107.561626	1008	-8.6250	2	125	0
2020-09-18T21:30	89.112226	107.550066	1008	-8.1875	0	114	0
2020-09-18T22:00	89.114306	107.530186	1008	-7.6875	1	119	0
2020-09-18T22:30	89.116826	107.519440	1007	-7.4375	1	120	0
2020-09-18T23:00	89.119546	107.521253	1007	-7.1250	4	119	0
2020-09-18T23:30	89.122706	107.548773	1007	-6.8125	2	107	0
2020-09-19T00:00	89.125946	107.602933	1007	-6.5000	2	125	0
2020-09-19T00:30	89.129413	107.671480	1006	-6.2500	2	123	0
2020-09-19T01:00	89.133013	107.759413	1006	-6.0625	1	115	0
2020-09-19T01:30	89.136720	107.860853	1006	-6.0000	3	116	0
2020-09-19T02:00	89.140186	108.001186	1006	-5.8125	2	118	0
